#AAA MM DD HH    Qaflu   Qdeflu
2015 01 14 01   165.64   164.70
2015 01 14 02   165.19   164.72
2015 01 14 03   165.02   164.56
2015 01 14 04   164.89   164.42
2015 01 14 05   165.30   164.37
2015 01 14 06   165.39   164.46
2015 01 14 07   165.77   164.61
2015 01 14 08   166.23   164.83
2015 01 14 09   166.26   165.08
2015 01 14 10   166.52   165.35
2015 01 14 11   166.83   165.66
2015 01 14 12   166.65   165.94
2015 01 14 13   166.29   166.06
2015 01 14 14   166.03   166.03
2015 01 14 15   165.70   165.93
2015 01 14 16   165.56   165.79
2015 01 14 17   165.48   165.71
2015 01 14 18   165.53   165.76
2015 01 14 19   165.16   165.86
2015 01 14 20   165.02   165.96
2015 01 14 21   165.17   166.10
2015 01 14 22   164.80   166.20
2015 01 14 23   165.14   166.31
2015 01 15 00   157.81   165.53
2015 01 15 01   146.90   162.57
2015 01 15 02   135.93   157.69
2015 01 15 03   124.87   151.54
2015 01 15 04   121.19   145.52
2015 01 15 05   121.19   141.07
2015 01 15 06   121.32   138.13
2015 01 15 07   121.22   136.34
2015 01 15 08   121.36   135.25
2015 01 15 09   121.09   134.70
2015 01 15 10   121.16   134.51
2015 01 15 11   122.11   134.30
2015 01 15 12   124.43   134.09
2015 01 15 13   127.17   133.84
2015 01 15 14   129.43   133.57
2015 01 15 15   131.04   133.34
2015 01 15 16   130.85   133.15
2015 01 15 17   130.96   133.04
2015 01 15 18   131.02   133.09
2015 01 15 19   130.85   133.38
2015 01 15 20   131.29   133.83
2015 01 15 21   130.88   134.34
2015 01 15 22   131.23   134.91
2015 01 15 23   132.97   135.51
2015 01 16 00   131.43   136.03
2015 01 16 01   132.78   136.46
2015 01 16 02   133.97   136.73
2015 01 16 03   134.42   136.72
2015 01 16 04   136.33   136.56
2015 01 16 05   138.16   136.32
2015 01 16 06   138.12   136.05
2015 01 16 07   137.95   135.88
2015 01 16 08   139.35   135.66
2015 01 16 09   137.90   135.37
2015 01 16 10   143.44   135.15
2015 01 16 11   153.47   135.06
2015 01 16 12   164.60   135.29
2015 01 16 13   174.29   136.78
2015 01 16 14   179.04   139.79
2015 01 16 15   179.46   144.48
2015 01 16 16   178.94   150.63
2015 01 16 17   180.00   157.07
2015 01 16 18   179.99   162.91
2015 01 16 19   179.32   167.62
2015 01 16 20   178.07   171.06
2015 01 16 21   177.59   173.38
2015 01 16 22   177.22   174.88
2015 01 16 23   177.11   175.71
2015 01 17 00   177.07   176.13
2015 01 17 01   176.44   176.21
2015 01 17 02   176.52   176.05
2015 01 17 03   175.49   175.72
2015 01 17 04   175.85   175.39
2015 01 17 05   178.16   175.58
2015 01 17 06   179.26   176.22
2015 01 17 07   180.57   177.06
2015 01 17 08   180.68   177.87
2015 01 17 09   178.73   178.03
