#AAA MM DD HH    Qaflu   Qdeflu
2015 01 14 10   111.91   101.34
2015 01 14 11   111.28   102.52
2015 01 14 12   110.64   104.87
2015 01 14 13   110.36   107.00
2015 01 14 14   110.45   108.56
2015 01 14 15   110.53   110.23
2015 01 14 16   110.55   111.28
2015 01 14 17   110.38   112.03
2015 01 14 18   110.01   112.24
2015 01 14 19   109.53   111.92
2015 01 14 20   108.90   111.62
2015 01 14 21   108.15   111.48
2015 01 14 22   107.40   111.46
2015 01 14 23   106.54   111.43
2015 01 15 00   105.55   111.44
2015 01 15 01   104.71   111.32
2015 01 15 02   104.15   110.24
2015 01 15 03   104.05   108.14
2015 01 15 04   104.21   105.91
2015 01 15 05   104.43   103.84
2015 01 15 06   104.51   102.91
2015 01 15 07   104.30   103.14
2015 01 15 08   104.06   103.45
2015 01 15 09   103.81   103.75
2015 01 15 10   103.54   103.89
2015 01 15 11   103.35   103.87
2015 01 15 12   103.14   103.87
2015 01 15 13   102.91   103.84
2015 01 15 14   102.73   103.78
2015 01 15 15   102.53   103.75
2015 01 15 16   102.25   103.71
2015 01 15 17   101.94   103.69
2015 01 15 18   101.47   103.63
2015 01 15 19   101.22   103.06
2015 01 15 20   101.13   102.38
2015 01 15 21   101.22   101.31
2015 01 15 22   101.42   100.28
2015 01 15 23   101.45    99.76
2015 01 16 00   101.49    99.36
2015 01 16 01   101.42    99.41
2015 01 16 02   101.57    98.74
2015 01 16 03   101.78    97.54
2015 01 16 04   102.01    96.38
2015 01 16 05   102.20    95.20
2015 01 16 06   101.90    95.64
2015 01 16 07   101.58    97.18
2015 01 16 08   101.35    98.72
2015 01 16 09   101.05   100.22
2015 01 16 10   101.12   100.82
2015 01 16 11   101.02   100.83
2015 01 16 12   100.90   100.83
2015 01 16 13   100.88   100.82
2015 01 16 14   100.59   100.83
2015 01 16 15   100.44   100.83
2015 01 16 16   100.37   100.83
2015 01 16 17   100.38   100.84
2015 01 16 18   100.64   100.83
2015 01 16 19   100.83   100.83
2015 01 16 20   100.99   100.35
2015 01 16 21   100.93   100.80
2015 01 16 22   100.99   101.29
2015 01 16 23   101.14   101.75
2015 01 17 00   101.12   102.70
2015 01 17 01   101.25   102.75
2015 01 17 02   101.16   102.75
2015 01 17 03   100.92   102.76
2015 01 17 04   100.66   102.74
2015 01 17 05   100.43   102.73
2015 01 17 06   100.26   102.70
2015 01 17 07   100.32   102.73
2015 01 17 08   100.51   102.77
2015 01 17 09   100.85   102.77
2015 01 17 10    99.40   105.73
2015 01 17 11    98.02   108.62
2015 01 17 12    98.72   108.91
2015 01 17 13    99.87   108.86
2015 01 17 14   103.16   105.90
2015 01 17 15   107.11    96.36
2015 01 17 16   108.81    89.57
2015 01 17 17   108.54    83.70
2015 01 17 18   108.01    79.87
2015 01 17 19   108.73    86.28
2015 01 17 20   111.61    95.76
2015 01 17 21   117.39   106.82
2015 01 17 22   124.13   117.23
2015 01 17 23   129.57   125.05
2015 01 18 00   133.63   130.42
2015 01 18 01   136.85   134.37
2015 01 18 02   139.67   137.56
2015 01 18 03   142.35   140.39
2015 01 18 04   145.09   143.22
2015 01 18 05   147.94   146.17
2015 01 18 06   150.84   149.24
2015 01 18 07   153.31   152.08
2015 01 18 08   155.70   154.59
2015 01 18 09   157.36   156.60
2015 01 18 10   158.23   157.82
2015 01 18 11   158.65   158.45
2015 01 18 12   158.11   158.37
2015 01 18 13   157.20   157.63
2015 01 18 14   155.98   156.56
2015 01 18 15   154.53   155.20
2015 01 18 16   152.95   153.68
2015 01 18 17   150.60   151.68
2015 01 18 18   148.90   149.66
2015 01 18 19   147.31   148.04
2015 01 18 20   145.82   146.53
2015 01 18 21   145.18   145.57
2015 01 18 22   144.06   144.76
2015 01 18 23   142.97   143.71
2015 01 19 00   141.92   142.68
2015 01 19 01   140.84   141.63
2015 01 19 02   139.66   140.48
2015 01 19 03   138.57   139.36
2015 01 19 04   137.51   138.28
2015 01 19 05   136.53   137.23
2015 01 19 06   135.61   136.31
2015 01 19 07   134.77   135.41
2015 01 19 08   133.96   134.57
2015 01 19 09   133.10   133.72
2015 01 19 10   132.31   132.89
2015 01 19 11   131.38   132.02
2015 01 19 12   130.49   131.13
2015 01 19 13   129.66   130.27
2015 01 19 14   128.78   129.39
2015 01 19 15   127.87   128.52
2015 01 19 16   126.87   127.54
2015 01 19 17   125.74   126.50
2015 01 19 18   124.65   125.41
2015 01 19 19   123.62   124.32
2015 01 19 20   122.77   123.41
2015 01 19 21   122.06   122.58
2015 01 19 22   121.45   121.91
2015 01 19 23   121.05   121.38
2015 01 20 00   121.46   121.28
2015 01 20 01   122.87   122.01
2015 01 20 02   124.38   123.34
2015 01 20 03   126.51   125.07
2015 01 20 04   128.31   127.00
2015 01 20 05   129.61   128.63
2015 01 20 06   131.29   130.13
2015 01 20 07   132.72   131.69
2015 01 20 08   134.17   133.16
2015 01 20 09   135.74   134.64
2015 01 20 10   137.38   136.22
2015 01 20 11   139.07   137.88
2015 01 20 12   140.51   139.44
2015 01 20 13   141.45   140.72
2015 01 20 14   141.76   141.45
2015 01 20 15   141.55   141.61
2015 01 20 16   141.15   141.40
2015 01 20 17   140.74   141.01
2015 01 20 18   140.54   140.69
2015 01 20 19   140.40   140.50
2015 01 20 20   140.31   140.35
2015 01 20 21   140.25   140.28
2015 01 20 22   140.15   140.21
2015 01 20 23   140.08   140.14
2015 01 21 00   140.12   140.12
2015 01 21 01   140.34   140.22
2015 01 21 02   140.82   140.52
2015 01 21 03   141.72   141.14
2015 01 21 04   142.95   142.13
2015 01 21 05   144.57   143.51
2015 01 21 06   146.49   145.32
2015 01 21 07   148.67   147.45
2015 01 21 08   150.74   149.69
2015 01 21 09   152.97   151.92
2015 01 21 10   155.14   154.15
2015 01 21 11   157.07   156.20
2015 01 21 12   158.88   158.06
2015 01 21 13   160.03   159.50
2015 01 21 14   160.71   160.39
2015 01 21 15   161.12   160.92
2015 01 21 16   161.28   161.19
2015 01 21 17   161.31   161.28
2015 01 21 18   161.21   161.24
2015 01 21 19   161.03   161.11
2015 01 21 20   160.73   160.84
2015 01 21 21   160.52   160.61
2015 01 21 22   160.32   160.41
2015 01 21 23   159.99   160.13
2015 01 22 00   159.61   159.78
2015 01 22 01   159.19   159.39
2015 01 22 02   158.64   158.90
2015 01 22 03   158.01   158.30
2015 01 22 04   157.47   157.73
2015 01 22 05   157.03   157.23
2015 01 22 06   156.79   156.91
2015 01 22 07   156.78   156.80
2015 01 22 08   157.00   156.91
2015 01 22 09   157.23   157.15
2015 01 22 10   157.53   157.42
2015 01 22 11   157.79   157.67
2015 01 22 12   157.93   157.87
2015 01 22 13   157.97   157.94
2015 01 22 14   157.81   157.87
2015 01 22 15   157.49   157.64
2015 01 22 16   156.95   157.19
2015 01 22 17   156.49   156.69
2015 01 22 18   155.60   156.01
2015 01 22 19   154.57   155.01
2015 01 22 20   153.39   153.92
2015 01 22 21   151.87   152.57
2015 01 22 22   150.59   151.18
2015 01 22 23   149.23   149.87
2015 01 23 00   147.93   148.54
2015 01 23 01   146.66   147.28
2015 01 23 02   145.38   146.04
2015 01 23 03   144.48   145.06
2015 01 23 04   143.68   144.23
2015 01 23 05   143.06   143.55
2015 01 23 06   142.61   143.01
2015 01 23 07   141.90   142.40
2015 01 23 08   141.72   141.93
2015 01 23 09   141.60   141.72
2015 01 23 10   141.67   141.67
2015 01 23 11   142.13   141.89
2015 01 23 12   142.33   142.18
2015 01 23 13   142.51   142.36
2015 01 23 14   142.71   142.56
2015 01 23 15   142.68   142.65
2015 01 23 16   142.49   142.58
2015 01 23 17   142.22   142.37
2015 01 23 18   141.74   142.01
2015 01 23 19   141.23   141.56
2015 01 23 20   140.55   140.98
2015 01 23 21   139.79   140.31
2015 01 23 22   139.01   139.56
2015 01 23 23   138.20   138.78
2015 01 24 00   137.37   137.95
2015 01 24 01   136.52   137.10
2015 01 24 02   135.61   136.25
2015 01 24 03   134.72   135.36
2015 01 24 04   133.88   134.52
2015 01 24 05   133.05   133.69
2015 01 24 06   132.21   132.85
2015 01 24 07   131.29   131.96
2015 01 24 08   130.46   131.10
2015 01 24 09   129.55   130.23
2015 01 24 10   128.67   129.31
2015 01 24 11   127.89   128.48
2015 01 24 12   126.94   127.59
2015 01 24 13   126.12   126.73
2015 01 24 14   125.24   125.85
2015 01 24 15   124.37   124.98
2015 01 24 16   123.50   124.12
2015 01 24 17   122.59   123.20
2015 01 24 18   121.70   122.31
2015 01 24 19   120.78   121.42
2015 01 24 20   119.91   120.52
2015 01 24 21   119.02   119.63
2015 01 24 22   118.16   118.77
2015 01 24 23   117.27   117.88
2015 01 25 00   116.40   117.01
2015 01 25 01   115.61   116.19
2015 01 25 02   114.79   115.37
2015 01 25 03   114.00   114.58
2015 01 25 04   113.29   113.84
2015 01 25 05   112.56   113.11
2015 01 25 06   111.96   112.45
2015 01 25 07   111.43   111.86
2015 01 25 08   110.93   111.30
2015 01 25 09   110.98   111.04
2015 01 25 10   111.38   111.17
2015 01 25 11   111.94   111.57
2015 01 25 12   112.52   112.12
2015 01 25 13   112.58   112.45
2015 01 25 14   112.12   112.34
2015 01 25 15   110.62   111.54
2015 01 25 16   108.69   114.24
2015 01 25 17   110.73   124.29
2015 01 25 18   106.89   132.52
2015 01 25 19   102.53   136.47
2015 01 25 20   102.17   131.74
2015 01 25 21    98.27   116.64
2015 01 25 22   100.50   103.56
2015 01 25 23   104.33    95.32
2015 01 26 00   104.73    92.25
2015 01 26 01   104.45    93.44
2015 01 26 02   104.00    95.96
2015 01 26 03   103.09    99.39
2015 01 26 04   101.01   104.30
2015 01 26 05    99.45   106.96
2015 01 26 06    97.32   108.19
2015 01 26 07    93.80   108.78
2015 01 26 08    90.38   107.66
2015 01 26 09    91.39   103.38
2015 01 26 10    92.19    95.57
2015 01 26 11    94.33    87.51
2015 01 26 12    96.31    83.43
2015 01 26 13    93.98    86.42
2015 01 26 14    92.22    92.97
2015 01 26 15    92.44    97.02
2015 01 26 16    93.52    97.28
2015 01 26 17    94.46    94.75
2015 01 26 18    95.85    92.23
2015 01 26 19    95.90    92.20
2015 01 26 20    96.15    92.19
2015 01 26 21    96.26    92.12
2015 01 26 22    96.29    92.15
2015 01 26 23    95.96    92.10
2015 01 27 00    95.65    92.15
2015 01 27 01    95.25    92.22
2015 01 27 02    94.71    92.23
2015 01 27 03    94.21    92.32
2015 01 27 04    93.72    92.32
2015 01 27 05    93.26    92.38
2015 01 27 06    92.83    92.42
2015 01 27 07    92.42    92.36
2015 01 27 08    92.04    92.13
2015 01 27 09    91.70    91.87
2015 01 27 10    91.58    91.61
2015 01 27 11    91.48    91.30
2015 01 27 12    91.27    91.07
2015 01 27 13    91.07    90.87
2015 01 27 14    90.71    90.69
