#AAA MM DD HH    Qaflu   Qdeflu
2015 01 14 10   277.14  1005.75
2015 01 14 11   298.56  1035.65
2015 01 14 12   239.15  1060.96
2015 01 14 13   295.13  1057.63
2015 01 14 14   273.98  1053.42
2015 01 14 15   260.31  1048.23
2015 01 14 16   289.25  1043.28
2015 01 14 17   297.29  1042.85
2015 01 14 18   322.58  1042.71
2015 01 14 19   333.26  1044.93
2015 01 14 20   340.37  1060.51
2015 01 14 21   309.75  1063.77
2015 01 14 22   304.80  1067.30
2015 01 14 23   306.16  1068.66
2015 01 15 00   286.46  1057.43
2015 01 15 01   333.87  1003.18
2015 01 15 02   302.61   887.19
2015 01 15 03   322.96   729.62
2015 01 15 04   311.76   540.51
2015 01 15 05   312.63   456.66
2015 01 15 06   372.89   389.83
2015 01 15 07   352.73   327.32
2015 01 15 08   349.91   316.02
2015 01 15 09   316.47   291.05
2015 01 15 10   247.95   358.09
2015 01 15 11   297.79   535.01
2015 01 15 12   287.76   719.84
2015 01 15 13   285.50   868.84
2015 01 15 14   298.14   969.67
2015 01 15 15   255.63   999.03
2015 01 15 16   330.70   969.94
2015 01 15 17   298.44   926.49
2015 01 15 18   325.57   904.05
2015 01 15 19   317.79   912.79
2015 01 15 20   273.71   959.62
2015 01 15 21   292.30  1019.53
2015 01 15 22   296.12  1031.61
2015 01 15 23   329.55  1007.19
2015 01 16 00   273.02   934.13
2015 01 16 01   337.88   858.50
2015 01 16 02   319.09   674.44
2015 01 16 03   233.20   439.79
2015 01 16 04   345.14   245.97
2015 01 16 05   253.29    54.96
2015 01 16 06   272.71     0.00
2015 01 16 07   330.56     0.00
2015 01 16 08   239.65     0.00
2015 01 16 09   303.80    39.36
2015 01 16 10   369.93   188.12
2015 01 16 11   445.38   346.21
2015 01 16 12   494.33   585.23
2015 01 16 13   513.41   753.06
2015 01 16 14   503.92   809.68
2015 01 16 15   417.60   855.58
2015 01 16 16   412.72   850.71
2015 01 16 17   370.17   890.80
2015 01 16 18   343.29   913.50
2015 01 16 19   331.87   976.46
2015 01 16 20   406.12  1009.38
2015 01 16 21   480.63   992.99
2015 01 16 22   360.44   980.24
2015 01 16 23   472.25   926.77
2015 01 17 00   332.77   803.81
2015 01 17 01   301.34   714.53
2015 01 17 02   466.63   524.48
2015 01 17 03   385.37   311.00
2015 01 17 04   406.54   166.88
2015 01 17 05   375.54    28.45
2015 01 17 06   349.20   109.55
2015 01 17 07   357.35   324.30
2015 01 17 08   412.93   578.21
2015 01 17 09   412.81   842.53
2015 01 17 10   343.37  1004.48
2015 01 17 11   347.11  1057.80
2015 01 17 12   344.39  1071.61
2015 01 17 13   320.36  1072.37
2015 01 17 14   320.53  1072.55
2015 01 17 15   337.62  1073.11
2015 01 17 16   355.07  1074.02
2015 01 17 17   350.70  1094.45
2015 01 17 18   383.21  1184.81
2015 01 17 19   374.29  1275.05
2015 01 17 20   307.37  1365.15
2015 01 17 21   361.63  1435.93
2015 01 17 22   345.87  1436.71
2015 01 17 23   342.25  1375.24
2015 01 18 00   395.09  1304.12
2015 01 18 01   394.72  1072.36
2015 01 18 02   305.30   776.34
2015 01 18 03   370.09   518.84
2015 01 18 04   346.92   231.22
2015 01 18 05   318.37   103.51
2015 01 18 06   356.36   149.76
2015 01 18 07   345.84   337.58
2015 01 18 08   373.20   654.18
2015 01 18 09   319.25   988.62
2015 01 18 10   398.24  1224.63
2015 01 18 11   298.78  1356.56
2015 01 18 12   291.57  1398.93
2015 01 18 13   333.61  1424.44
2015 01 18 14   275.02  1438.35
2015 01 18 15   299.41  1438.92
2015 01 18 16   299.08  1439.98
2015 01 18 17   306.22  1440.05
2015 01 18 18   329.07  1440.73
2015 01 18 19   345.03  1440.58
2015 01 18 20   329.11  1440.78
2015 01 18 21   321.14  1440.86
2015 01 18 22   345.12  1440.67
2015 01 18 23   321.30  1441.03
2015 01 19 00   378.33  1385.27
2015 01 19 01   336.74  1206.74
2015 01 19 02   343.67   899.51
2015 01 19 03   361.87   539.10
2015 01 19 04   291.01   234.63
2015 01 19 05   349.44    67.49
2015 01 19 06   282.67   161.83
2015 01 19 07   364.54   332.31
2015 01 19 08   271.57   650.19
2015 01 19 09   375.77   996.05
2015 01 19 10   330.78  1208.83
2015 01 19 11   295.29  1398.90
2015 01 19 12   377.47  1440.81
2015 01 19 13   240.80  1441.07
2015 01 19 14   353.77  1441.27
2015 01 19 15   256.93  1441.10
2015 01 19 16   313.75  1441.53
2015 01 19 17   289.34  1441.29
2015 01 19 18   273.33  1441.38
2015 01 19 19   361.67  1441.11
2015 01 19 20   289.46  1441.41
2015 01 19 21   378.10  1441.43
2015 01 19 22   345.74  1441.29
2015 01 19 23   329.76  1441.43
2015 01 20 00   328.33  1407.77
2015 01 20 01   356.96  1315.57
2015 01 20 02   511.06   978.28
2015 01 20 03   553.59   618.04
2015 01 20 04   613.41   291.19
2015 01 20 05   514.42    23.03
