#AAA MM DD HH    Qaflu   Qdeflu
2015 01 14 19    68.71   145.55
2015 01 14 20    67.45   145.56
2015 01 14 21    66.14   145.53
2015 01 14 22    57.25   145.61
2015 01 14 23    62.34   145.58
2015 01 15 00    56.03   145.67
2015 01 15 01    58.59   145.67
2015 01 15 02    63.79   145.74
2015 01 15 03    58.77   145.85
2015 01 15 04    66.48   145.87
2015 01 15 05    57.55   145.91
2015 01 15 06    63.95   145.91
2015 01 15 07    57.70   146.06
2015 01 15 08    55.12   146.04
2015 01 15 09    64.19   146.14
2015 01 15 10    57.84   146.20
2015 01 15 11    60.21   146.01
2015 01 15 12    58.96   146.04
2015 01 15 13    61.45   145.97
2015 01 15 14    55.03   145.95
2015 01 15 15    58.92   146.00
2015 01 15 16    60.25   146.05
2015 01 15 17    51.39   146.16
2015 01 15 18    63.61   139.16
2015 01 15 19    60.07   129.22
2015 01 15 20    59.10   119.28
2015 01 15 21    61.91   109.30
2015 01 15 22    58.98   106.36
2015 01 15 23    56.43   106.37
2015 01 16 00    55.12   106.34
2015 01 16 01    61.52   106.34
2015 01 16 02    55.14   106.37
2015 01 16 03    62.82   106.36
2015 01 16 04    59.08   106.46
2015 01 16 05    61.69   106.51
2015 01 16 06    64.26   106.52
2015 01 16 07    57.87   106.53
2015 01 16 08    64.27   106.53
2015 01 16 09    55.28   106.50
2015 01 16 10    61.67   106.49
2015 01 16 11    64.23   106.48
2015 01 16 12    57.75   106.41
2015 01 16 13    62.81   106.35
2015 01 16 14    61.49   106.31
2015 01 16 15    55.05   106.27
2015 01 16 16    63.98   106.24
2015 01 16 17    46.12   106.31
2015 01 16 18    55.11   106.34
2015 01 16 19    59.00   106.38
2015 01 16 20    71.88   106.46
2015 01 16 21    71.88   106.46
2015 01 16 22    85.95   106.44
2015 01 16 23    71.83   106.40
2015 01 17 00    73.05   106.35
2015 01 17 01    84.61   106.38
2015 01 17 02    59.04   106.42
2015 01 17 03    83.45   106.50
2015 01 17 04    60.32   112.82
2015 01 17 05    74.11   122.77
2015 01 17 06    72.56   132.74
2015 01 17 07    56.87   142.67
2015 01 17 08    79.75   146.34
2015 01 17 09    70.75   146.31
2015 01 17 10    68.17   146.28
2015 01 17 11    77.12   146.27
2015 01 17 12    78.45   146.32
2015 01 17 13    61.80   146.31
2015 01 17 14    86.22   146.40
2015 01 17 15    76.03   146.46
2015 01 17 16    72.23   146.50
2015 01 17 17    83.93   146.67
2015 01 17 18    82.58   146.61
2015 01 17 19    85.21   146.68
2015 01 17 20    85.18   146.64
2015 01 17 21    90.20   146.54
2015 01 17 22    78.68   146.55
2015 01 17 23    96.51   146.45
2015 01 18 00   105.48   146.46
2015 01 18 01   114.48   146.49
2015 01 18 02   115.84   146.57
2015 01 18 03   109.63   146.76
2015 01 18 04   104.52   146.78
2015 01 18 05   105.81   146.78
2015 01 18 06   104.55   146.81
2015 01 18 07   109.63   146.76
2015 01 18 08   105.83   146.80
2015 01 18 09   116.18   146.91
2015 01 18 10   108.70   147.12
2015 01 18 11   120.36   147.25
2015 01 18 12   111.04   147.38
2015 01 18 13   105.72   147.42
2015 01 18 14   110.08   147.37
2015 01 18 15   107.79   147.43
2015 01 18 16   106.73   147.48
2015 01 18 17   107.91   147.59
2015 01 18 18   112.30   147.68
2015 01 18 19   107.94   147.61
2015 01 18 20   110.06   147.59
2015 01 18 21   107.88   147.55
2015 01 18 22   108.85   147.45
2015 01 18 23   105.69   147.51
2015 01 19 00   106.76   147.51
2015 01 19 01   103.52   147.48
2015 01 19 02   106.80   147.54
2015 01 19 03    99.29   147.54
2015 01 19 04   106.84   147.58
2015 01 19 05   101.55   147.65
2015 01 19 06    98.32   147.64
2015 01 19 07   102.63   147.66
2015 01 19 08    96.14   147.61
2015 01 19 09    97.17   147.57
2015 01 19 10    97.21   147.60
2015 01 19 11    91.84   147.60
2015 01 19 12    95.17   147.71
2015 01 19 13    96.29   147.76
2015 01 19 14    87.80   147.85
2015 01 19 15    94.34   147.95
2015 01 19 16    87.66   147.71
2015 01 19 17    88.26   147.23
2015 01 19 18    92.74   148.50
2015 01 19 19    94.29   150.05
2015 01 19 20    93.09   152.06
2015 01 19 21    94.10   154.15
2015 01 19 22    86.90   154.46
2015 01 19 23    86.05   154.67
2015 01 20 00    83.31   151.94
2015 01 20 01    80.47   145.88
2015 01 20 02    85.03   139.71
2015 01 20 03    78.81   133.49
2015 01 20 04    92.44   129.96
2015 01 20 05    80.51   129.84
2015 01 20 06    89.06   129.80
2015 01 20 07    88.94   129.68
2015 01 20 08    83.80   132.05
2015 01 20 09    78.12   136.02
2015 01 20 10    96.90   137.64
2015 01 20 11    95.06   129.37
2015 01 20 12   119.30   113.94
2015 01 20 13   110.88    90.51
2015 01 20 14    88.68    69.38
2015 01 20 15   113.07    59.46
2015 01 20 16    63.83    57.40
2015 01 20 17   111.44    64.26
2015 01 20 18   113.89    69.93
2015 01 20 19    96.53    70.80
2015 01 20 20   121.48    73.23
2015 01 20 21   120.42    73.24
2015 01 20 22   124.84    74.44
2015 01 20 23   119.82    79.07
2015 01 21 00   131.61    79.07
2015 01 21 01   122.83    87.45
2015 01 21 02   117.35   104.48
2015 01 21 03   131.84   122.19
2015 01 21 04   132.19   139.69
2015 01 21 05   135.93   147.73
2015 01 21 06   136.33   147.05
2015 01 21 07   146.82   145.75
2015 01 21 08   141.39   144.61
2015 01 21 09   134.99   144.64
2015 01 21 10   152.18   144.67
2015 01 21 11   144.68   144.68
2015 01 21 12   146.88   144.73
2015 01 21 13   153.26   144.68
2015 01 21 14   144.78   144.78
2015 01 21 15   145.93   144.86
2015 01 21 16   144.92   144.92
2015 01 21 17   146.05   144.98
2015 01 21 18   149.28   144.99
2015 01 21 19   148.18   144.96
2015 01 21 20   145.97   144.90
2015 01 21 21   144.86   144.86
2015 01 21 22   140.41   144.70
2015 01 21 23   139.29   144.65
2015 01 22 00   143.55   144.62
2015 01 22 01   143.51   144.58
2015 01 22 02   143.64   144.71
2015 01 22 03   139.47   144.83
2015 01 22 04   139.63   144.99
2015 01 22 05   138.70   145.13
2015 01 22 06   135.54   145.18
2015 01 22 07   135.65   145.30
2015 01 22 08   134.48   145.20
2015 01 22 09   129.10   145.18
2015 01 22 10   132.36   145.23
2015 01 22 11   130.14   145.15
2015 01 22 12   129.17   145.25
2015 01 22 13   127.07   145.30
2015 01 22 14   125.98   145.28
2015 01 22 15   122.76   145.28
2015 01 22 16   119.59   145.32
2015 01 22 17   118.59   145.40
2015 01 22 18   119.10   138.40
2015 01 22 19   121.45   128.96
2015 01 22 20   115.18   119.47
2015 01 22 21   112.10   109.95
2015 01 22 22   107.46   107.46
2015 01 22 23   104.19   107.41
2015 01 23 00   110.64   107.43
2015 01 23 01   106.48   107.56
