#AAA MM DD HH    Qaflu   Qdeflu
2015 01 14 22  1626.12  1540.49
2015 01 14 23  1616.31  1549.71
2015 01 15 00  1435.31  1558.98
2015 01 15 01  1540.25  1559.28
2015 01 15 02  1749.56  1559.29
2015 01 15 03  1559.21  1559.21
2015 01 15 04  1625.78  1559.18
2015 01 15 05  1720.82  1559.09
2015 01 15 06  1645.93  1560.30
2015 01 15 07  1615.36  1567.79
2015 01 15 08  1660.98  1575.36
2015 01 15 09  1773.15  1582.87
2015 01 15 10  1617.19  1588.65
2015 01 15 11  1584.63  1698.79
2015 01 15 12  1732.89  1828.03
2015 01 15 13  1743.56  1838.70
2015 01 15 14  1648.09  1743.23
2015 01 15 15  1607.26  1369.41
2015 01 15 16  1559.76   941.36
2015 01 15 17  1383.38   631.79
2015 01 15 18  1475.31   428.78
2015 01 15 19  1544.71   393.53
2015 01 15 20  1455.27   503.88
2015 01 15 21  1378.15   655.10
2015 01 15 22  1464.23   855.34
2015 01 15 23  1504.38  1152.36
2015 01 16 00  1491.51  1339.29
2015 01 16 01  1571.22  1485.59
2015 01 16 02  1487.82  1582.96
2015 01 16 03  1506.54  1592.17
2015 01 16 04  1586.08  1529.00
2015 01 16 05  1509.81  1500.30
2015 01 16 06  1461.58  1499.63
2015 01 16 07  1366.21  1632.60
2015 01 16 08  1430.26  1706.16
2015 01 16 09  1648.89  1734.51
2015 01 16 10  1534.96  1734.75
2015 01 16 11  1735.50  1592.80
2015 01 16 12  1686.72  1582.07
2015 01 16 13  1576.96  1510.36
2015 01 16 14  1598.52  1341.65
2015 01 16 15  1534.15  1106.03
2015 01 16 16  1529.29   825.26
2015 01 16 17  1388.41   608.27
2015 01 16 18  1501.52   483.53
2015 01 16 19  1376.57   425.18
2015 01 16 20  1045.82   427.42
2015 01 16 21   594.95   442.73
2015 01 16 22   830.35   459.31
2015 01 16 23  1210.62   478.05
2015 01 17 00  1245.12   493.52
2015 01 17 01  1741.50   495.18
2015 01 17 02  1722.72   504.94
2015 01 17 03  1490.10   510.17
2015 01 17 04  1448.57   525.72
2015 01 17 05  1581.03   696.24
2015 01 17 06  1666.24   952.69
2015 01 17 07  1560.15  1398.42
2015 01 17 08  1789.46  1818.00
2015 01 17 09  1986.94  2015.48
2015 01 17 10  1716.85  2116.43
2015 01 17 11  1508.77  1984.47
2015 01 17 12  1640.25  1697.34
2015 01 17 13  1479.89  1432.32
2015 01 17 14  1319.30  1109.99
2015 01 17 15  1517.34   794.29
2015 01 17 16  1543.80   630.46
2015 01 17 17  1463.23   530.87
2015 01 17 18  1544.99   603.12
2015 01 17 19  1458.80   830.88
2015 01 17 20  1686.21  1286.63
2015 01 17 21  1694.41  1751.49
2015 01 17 22  1807.18  2111.62
2015 01 17 23  1975.80  2356.36
2015 01 18 00  1761.91  2380.31
2015 01 18 01  1869.89  2383.64
2015 01 18 02  1794.52  2384.38
2015 01 18 03  1879.90  2384.13
2015 01 18 04  1880.57  2384.81
2015 01 18 05  1737.51  2298.83
2015 01 18 06  1814.67  2280.85
2015 01 18 07  1731.58  2273.87
2015 01 18 08  1771.26  2265.99
2015 01 18 09  1728.47  2346.88
2015 01 18 10  1826.07  2358.84
2015 01 18 11  1899.65  2242.15
2015 01 18 12  1708.78  2108.36
2015 01 18 13  1628.30  1809.06
2015 01 18 14  1538.10  1442.96
2015 01 18 15  1415.18  1186.85
2015 01 18 16  1457.92   934.65
2015 01 18 17  1533.73   867.76
2015 01 18 18  1233.42   909.95
2015 01 18 19  1160.63   932.30
2015 01 18 20  1388.24  1083.80
2015 01 18 21  1420.78  1249.53
2015 01 18 22  1585.54  1442.83
2015 01 18 23  1784.75  1784.75
2015 01 19 00  1715.68  2010.61
2015 01 19 01  1678.29  2201.56
2015 01 19 02  1753.19  2324.03
2015 01 19 03  1784.18  2326.47
2015 01 19 04  1712.71  2331.11
2015 01 19 05  1903.72  2341.36
2015 01 19 06  1907.01  2354.17
2015 01 19 07  1900.48  2366.66
2015 01 19 08  1862.07  2375.82
2015 01 19 09  1789.60  2379.46
2015 01 19 10  1941.65  2379.28
2015 01 19 11  1882.67  2377.39
2015 01 19 12  1856.32  2274.93
2015 01 19 13  1798.26  2121.74
2015 01 19 14  1573.76  1954.32
2015 01 19 15  1484.04  1798.00
2015 01 19 16  1415.63  1739.10
2015 01 19 17  1268.44  1858.30
2015 01 19 18  1073.44  1948.72
2015 01 19 19  1344.59  2077.16
2015 01 19 20  1518.81  2222.84
2015 01 19 21  1545.44  2135.30
2015 01 19 22  1698.41  2012.37
2015 01 19 23  1623.20  1842.02
2015 01 20 00  1495.86  1657.60
2015 01 20 01  1522.02  1579.10
2015 01 20 02  1692.69  1578.52
2015 01 20 03  1634.97  1577.89
2015 01 20 04  1587.81  1578.30
2015 01 20 05  1691.97  1577.81
2015 01 20 06  1758.89  1578.12
2015 01 20 07  1664.63  1579.01
2015 01 20 08  1626.52  1578.95
2015 01 20 09  1645.82  1579.22
2015 01 20 10  1588.82  1579.31
2015 01 20 11  1463.44  1577.60
2015 01 20 12  1726.26  1564.53
2015 01 20 13  1932.56  1475.89
2015 01 20 14  1840.38  1250.51
2015 01 20 15  1443.90   958.69
2015 01 20 16   893.93   684.62
2015 01 20 17   716.95   498.13
2015 01 20 18   750.63   446.19
2015 01 20 19   642.83   718.94
2015 01 20 20  1130.82  1007.14
2015 01 20 21  1502.29  1283.47
2015 01 20 22  1190.51  1561.55
2015 01 20 23  1668.50  1582.87
2015 01 21 00  1855.28  1579.38
2015 01 21 01  1553.79  1506.23
2015 01 21 02  1476.72  1505.27
2015 01 21 03  1608.46  1503.80
2015 01 21 04  1762.95  1506.07
2015 01 21 05  1463.76  1577.92
2015 01 21 06  1761.76  1761.76
2015 01 21 07  1982.35  1963.32
2015 01 21 08  1831.91  2164.90
2015 01 21 09  1806.39  2367.71
2015 01 21 10  1891.08  2385.81
2015 01 21 11  2082.05  2386.50
2015 01 21 12  1754.00  2277.27
2015 01 21 13  1733.62  2123.69
2015 01 21 14  1769.65  1959.93
2015 01 21 15  1533.93  1562.47
2015 01 21 16  1224.01  1176.44
2015 01 21 17  1147.32   833.36
2015 01 21 18  1318.82   757.50
2015 01 21 19  1284.13  1084.33
2015 01 21 20  1558.28  1558.29
2015 01 21 21  1792.07  2058.46
2015 01 21 22  1903.11  2302.69
2015 01 21 23  1893.22  2378.43
2015 01 22 00  1816.02  2405.88
2015 01 22 01  2015.78  2405.85
2015 01 22 02  1874.15  2406.93
2015 01 22 03  1817.71  2407.57
2015 01 22 04  1931.61  2407.30
2015 01 22 05  1990.05  2408.66
2015 01 22 06  1989.70  2408.31
2015 01 22 07  1856.31  2408.11
2015 01 22 08  2009.19  2408.78
2015 01 22 09  1961.36  2408.51
2015 01 22 10  1876.41  2409.19
2015 01 22 11  1949.83  2406.50
2015 01 22 12  1969.14  2359.21
2015 01 22 13  1879.99  2279.58
2015 01 22 14  1732.10  2103.14
2015 01 22 15  1723.80  1676.23
2015 01 22 16  1425.68  1225.89
2015 01 22 17  1171.35   809.82
2015 01 22 18  1168.69   502.72
2015 01 22 19  1082.83   454.92
2015 01 22 20  1104.69   571.91
2015 01 22 21  1221.62   812.52
2015 01 22 22  1510.69  1082.56
2015 01 22 23  1505.40  1391.23
2015 01 23 00  1606.33  1739.52
2015 01 23 01  1824.26  1909.88
2015 01 23 02  1643.30  2061.91
2015 01 23 03  1701.90  2206.14
2015 01 23 04  1785.95  2204.56
2015 01 23 05  1853.57  2234.13
2015 01 23 06  1780.03  2113.02
2015 01 23 07  1677.91  2029.92
2015 01 23 08  1658.73  2010.75
2015 01 23 09  1686.20  2066.75
2015 01 23 10  1803.29  2098.22
2015 01 23 11  1796.38  1891.52
2015 01 23 12  1866.86  1552.90
2015 01 23 13  1646.54  1056.67
2015 01 23 14  1495.45   705.80
2015 01 23 15  1239.40   535.37
2015 01 23 16   663.84   445.02
2015 01 23 17   658.24   439.41
2015 01 23 18   395.97   453.05
2015 01 23 19   336.39   441.05
2015 01 23 20   456.68   437.65
2015 01 23 21   193.44   459.82
2015 01 23 22   586.06   481.40
2015 01 23 23  1035.89   512.62
