#AAA MM DD HH    Qaflu   Qdeflu
2015 01 20 16  1120.25   905.81
2015 01 20 17  1226.72   907.81
2015 01 20 18  1241.39   911.48
2015 01 20 19  1298.56   913.65
2015 01 20 20  1235.97   917.05
2015 01 20 21  1168.37   915.44
2015 01 20 22  1202.85   910.86
2015 01 20 23  1221.96   945.83
2015 01 21 00  1217.56  1013.03
2015 01 21 01  1250.91  1079.03
2015 01 21 02  1236.20  1147.32
2015 01 21 03  1222.30  1177.86
2015 01 21 04  1258.47  1175.14
2015 01 21 05  1245.19  1172.97
2015 01 21 06  1240.81  1174.15
2015 01 21 07  1232.09  1176.54
2015 01 21 08  1082.28  1176.73
2015 01 21 09   923.44  1178.54
2015 01 21 10   768.85  1177.91
2015 01 21 11   612.46  1164.54
2015 01 21 12   554.15  1154.47
2015 01 21 13   529.00  1155.84
2015 01 21 14   455.89  1154.21
2015 01 21 15   361.58  1164.38
2015 01 21 16   584.44  1172.79
2015 01 21 17   652.66  1169.53
2015 01 21 18   850.16  1169.07
2015 01 21 19  1095.13  1172.11
2015 01 21 20  1115.57  1176.05
2015 01 21 21  1134.91  1178.90
2015 01 21 22  1165.37  1181.86
2015 01 21 23  1136.52  1180.51
2015 01 22 00   985.92  1178.37
2015 01 22 01  1075.12  1179.59
2015 01 22 02  1148.48  1181.47
2015 01 22 03  1165.47  1159.97
2015 01 22 04  1276.06  1094.60
2015 01 22 05  1205.49  1024.04
2015 01 22 06  1154.98   957.03
2015 01 22 07  1056.48   913.52
2015 01 22 08   932.11   910.12
2015 01 22 09   673.06   909.50
2015 01 22 10   355.26   905.12
2015 01 22 11   296.73   901.58
2015 01 22 12   181.00   901.32
2015 01 22 13   120.32   901.13
2015 01 22 14   171.73   903.04
2015 01 22 15   359.82   904.18
2015 01 22 16   361.66   906.02
2015 01 22 17   776.32   908.28
2015 01 22 18  1034.75   908.29
2015 01 22 19  1088.74   907.29
2015 01 22 20  1329.58   906.19
2015 01 22 21  1201.38   904.45
2015 01 22 22  1107.81   904.36
2015 01 22 23  1108.20   904.75
2015 01 23 00  1317.30   904.90
2015 01 23 01  1246.90   905.99
2015 01 23 02  1414.30   902.93
2015 01 23 03  1456.90   901.54
2015 01 23 04  1263.15   900.24
2015 01 23 05  1222.61   898.19
2015 01 23 06  1228.38   898.46
2015 01 23 07   969.41   897.93
2015 01 23 08   840.85   851.85
2015 01 23 09   712.44   778.43
2015 01 23 10   330.40   704.30
2015 01 23 11   328.18   663.60
2015 01 23 12   259.98   710.86
2015 01 23 13   565.58   785.53
2015 01 23 14   839.66   861.65
2015 01 23 15  1035.34   903.37
2015 01 23 16  1206.09   903.66
2015 01 23 17  1303.16   907.26
2015 01 23 18  1387.50   909.12
2015 01 23 19  1318.40   911.50
2015 01 23 20  1332.22   914.32
2015 01 23 21  1374.15   912.27
2015 01 23 22  1257.36   910.95
2015 01 23 23  1322.05   909.66
2015 01 24 00  1404.80   909.93
2015 01 24 01  1506.43   907.08
2015 01 24 02  1632.52   939.70
2015 01 24 03  1652.45  1042.11
2015 01 24 04  1764.21  1141.15
2015 01 24 05  1603.84  1294.49
2015 01 24 06  1475.89  1464.90
2015 01 24 07  1431.01  1568.48
2015 01 24 08   994.20  1672.23
2015 01 24 09   644.67  1723.82
2015 01 24 10   633.69  1722.42
2015 01 24 11   428.18  1709.36
2015 01 24 12   207.43  1626.08
2015 01 24 13   509.25  1548.48
2015 01 24 14   816.88  1460.22
2015 01 24 15  1010.12  1274.06
