#AAA MM DD HH    Qaflu   Qdeflu
2015 01 20 16  1040.00  1497.00
2015 01 20 17  1192.00  1497.00
2015 01 20 18  1498.00  1498.00
2015 01 20 19  1344.00  1496.00
2015 01 20 20  1497.00  1497.00
2015 01 20 21  1343.00  1496.00
2015 01 20 22  1339.00  1491.00
2015 01 20 23  1346.00  1498.00
2015 01 21 00  1344.00  1496.00
2015 01 21 01  1497.00  1497.00
2015 01 21 02  1498.00  1498.00
2015 01 21 03  1499.00  1499.00
2015 01 21 04  1500.00  1500.00
2015 01 21 05  1495.00  1495.00
2015 01 21 06  1495.00  1495.00
2015 01 21 07  1411.00  1411.00
2015 01 21 08  1339.00  1339.00
2015 01 21 09  1483.00  1330.00
2015 01 21 10  1357.00  1357.00
2015 01 21 11  1498.00  1346.00
2015 01 21 12  1423.00  1423.00
2015 01 21 13  1428.00  1124.00
2015 01 21 14  1490.00  1338.00
2015 01 21 15  1554.00  1402.00
2015 01 21 16  1402.00  1402.00
2015 01 21 17  1403.00  1403.00
2015 01 21 18  1401.00  1401.00
2015 01 21 19  1397.00  1397.00
2015 01 21 20  1395.00  1395.00
2015 01 21 21  1393.00  1393.00
2015 01 21 22  1445.00  1292.00
2015 01 21 23  1424.00  1119.00
2015 01 22 00  1435.00  1130.00
2015 01 22 01  1499.00  1499.00
2015 01 22 02  1503.00  1503.00
2015 01 22 03  1504.00  1504.00
2015 01 22 04  1348.00  1501.00
2015 01 22 05  1505.00  1505.00
2015 01 22 06  1351.00  1504.00
2015 01 22 07  1518.00  1366.00
2015 01 22 08  1325.00  1325.00
2015 01 22 09  1491.00  1338.00
2015 01 22 10  1483.00  1331.00
2015 01 22 11  1440.00  1288.00
2015 01 22 12  1418.00  1113.00
2015 01 22 13  1520.00   297.00
2015 01 22 14   813.00   201.00
2015 01 22 15   667.00  1126.00
2015 01 22 16  1363.00  1363.00
2015 01 22 17  1526.00  1373.00
2015 01 22 18  1595.00  1442.00
2015 01 22 19  1386.00  1386.00
2015 01 22 20  1413.00  1413.00
2015 01 22 21  1395.00  1395.00
2015 01 22 22  1439.00  1439.00
2015 01 22 23  1434.00  1434.00
2015 01 23 00  1353.00  1353.00
2015 01 23 01  1498.00  1498.00
2015 01 23 02  1488.00  1488.00
2015 01 23 03  1368.00  1368.00
2015 01 23 04  1512.00  1359.00
2015 01 23 05  1487.00  1334.00
2015 01 23 06  1473.00  1320.00
2015 01 23 07  1483.00  1330.00
2015 01 23 08  1418.00  1264.00
2015 01 23 09  1393.00  1393.00
2015 01 23 10  1507.00  1354.00
2015 01 23 11  1422.00  1422.00
2015 01 23 12  1409.00  1409.00
2015 01 23 13  1426.00  1426.00
2015 01 23 14  1295.00  1448.00
2015 01 23 15  1311.00  1464.00
2015 01 23 16  1487.00  1487.00
2015 01 23 17  1481.00  1481.00
2015 01 23 18  1475.00  1475.00
2015 01 23 19  1476.00  1476.00
2015 01 23 20  1483.00  1483.00
2015 01 23 21  1477.00  1477.00
2015 01 23 22  1479.00  1479.00
2015 01 23 23  1491.00  1491.00
2015 01 24 00  1493.00  1493.00
2015 01 24 01  1480.00  1480.00
2015 01 24 02  1486.00  1486.00
2015 01 24 03  1495.00  1495.00
2015 01 24 04  1492.00  1492.00
2015 01 24 05  1337.00  1337.00
2015 01 24 06  1470.00  1317.00
2015 01 24 07  1463.00  1310.00
2015 01 24 08  1319.00  1319.00
2015 01 24 09  1434.00  1281.00
2015 01 24 10  1429.00  1123.00
2015 01 24 11  1127.00   666.00
2015 01 24 12  1582.00  1274.00
2015 01 24 13  1490.00  1337.00
2015 01 24 14  1411.00  1411.00
2015 01 24 15  1430.00  1430.00
2015 01 24 16  1412.00  1412.00
2015 01 24 17  1415.00  1415.00
2015 01 24 18  1579.00  1425.00
2015 01 24 19  1413.00  1413.00
2015 01 24 20  1422.00  1422.00
2015 01 24 21  1416.00  1416.00
2015 01 24 22  1453.00  1453.00
2015 01 24 23  1494.00  1494.00
2015 01 25 00  1491.00  1491.00
2015 01 25 01  1492.00  1492.00
2015 01 25 02  1489.00  1489.00
2015 01 25 03  1482.00  1482.00
2015 01 25 04  1483.00  1483.00
2015 01 25 05  1450.00  1450.00
2015 01 25 06  1345.00  1345.00
2015 01 25 07  1437.00  1284.00
2015 01 25 08  1404.00  1251.00
2015 01 25 09  1391.00  1237.00
2015 01 25 10  1463.00   693.00
2015 01 25 11  1414.00   797.00
2015 01 25 12  1142.00  1296.00
2015 01 25 13  1119.00  1427.00
2015 01 25 14  1149.00  1457.00
2015 01 25 15  1016.00  1478.00
2015 01 25 16  1015.00  1476.00
2015 01 25 17  1184.00  1491.00
2015 01 25 18  1463.00  1463.00
2015 01 25 19  1476.00  1476.00
2015 01 25 20  1483.00  1483.00
2015 01 25 21  1314.00  1468.00
2015 01 25 22  1469.00  1469.00
2015 01 25 23  1465.00  1465.00
2015 01 26 00  1639.00  1486.00
2015 01 26 01  1771.00  1464.00
2015 01 26 02  1752.00  1445.00
2015 01 26 03  1618.00  1464.00
2015 01 26 04  1621.00  1468.00
2015 01 26 05  1595.00  1441.00
2015 01 26 06  1525.00  1371.00
2015 01 26 07  1761.00  1145.00
2015 01 26 08  1532.00   453.00
2015 01 26 09   865.00   556.00
2015 01 26 10  1017.00   554.00
2015 01 26 11   866.00   556.00
2015 01 26 12   617.00   772.00
2015 01 26 13   642.00  1260.00
2015 01 26 14   738.00  1355.00
2015 01 26 15   981.00  1444.00
2015 01 26 16  1164.00  1472.00
2015 01 26 17  1022.00  1485.00
2015 01 26 18  1145.00  1453.00
2015 01 26 19  1117.00  1271.00
2015 01 26 20  1128.00  1436.00
2015 01 26 21  1175.00  1483.00
2015 01 26 22  1187.00  1495.00
2015 01 26 23  1175.00  1482.00
2015 01 27 00  1037.00  1498.00
2015 01 27 01  1184.00  1491.00
2015 01 27 02  1331.00  1484.00
2015 01 27 03  1323.00  1477.00
2015 01 27 04  1176.00  1483.00
2015 01 27 05  1012.00  1472.00
2015 01 27 06  1066.00  1372.00
2015 01 27 07   991.00  1297.00
2015 01 27 08  1157.00  1004.00
2015 01 27 09  1062.00   909.00
2015 01 27 10  1234.00   928.00
2015 01 27 11  1212.00  1212.00
2015 01 27 12  1185.00  1338.00
2015 01 27 13  1113.00  1420.00
2015 01 27 14  1153.00  1459.00
2015 01 27 15  1047.00  1506.00
2015 01 27 16  1196.00  1501.00
2015 01 27 17  1197.00  1503.00
2015 01 27 18  1197.00  1502.00
2015 01 27 19  1494.00  1494.00
2015 01 27 20  1349.00  1502.00
2015 01 27 21  1345.00  1498.00
2015 01 27 22  1502.00  1502.00
2015 01 27 23  1503.00  1503.00
2015 01 28 00  1497.00  1497.00
2015 01 28 01  1500.00  1500.00
2015 01 28 02  1491.00  1491.00
2015 01 28 03  1483.00  1483.00
2015 01 28 04  1502.00  1502.00
2015 01 28 05  1481.00  1481.00
2015 01 28 06  1410.00  1410.00
2015 01 28 07  1391.00  1391.00
2015 01 28 08  1427.00  1274.00
2015 01 28 09  1502.00  1044.00
2015 01 28 10  1475.00   863.00
2015 01 28 11  1407.00   795.00
2015 01 28 12  1482.00   870.00
2015 01 28 13  1412.00  1105.00
2015 01 28 14  1355.00  1355.00
2015 01 28 15  1441.00  1441.00
2015 01 28 16  1442.00  1442.00
2015 01 28 17  1588.00  1435.00
2015 01 28 18  1431.00  1431.00
2015 01 28 19  1371.00  1371.00
2015 01 28 20  1409.00  1409.00
2015 01 28 21  1443.00  1443.00
2015 01 28 22  1434.00  1434.00
2015 01 28 23  1406.00  1406.00
2015 01 29 00  1404.00  1250.00
2015 01 29 01  1520.00  1366.00
2015 01 29 02  1587.00  1434.00
2015 01 29 03  1498.00  1498.00
2015 01 29 04  1487.00  1487.00
2015 01 29 05  1492.00  1492.00
2015 01 29 06  1117.00  1424.00
2015 01 29 07  1049.00  1202.00
2015 01 29 08  1070.00   303.00
2015 01 29 09  1000.00   232.00
2015 01 29 10   734.00   273.00
2015 01 29 11   577.00   269.00
2015 01 29 12   579.00   271.00
2015 01 29 13   660.00    44.00
2015 01 29 14    65.00   219.00
