Consulta dos dados diários reservatório para GBM de 01/01/2020 até 18/06/2021

                                                Vazões (m3/s)
Dia           Mont     Vol.Útil  Afluente  Vertida Turbinada  Defluente    Transf          MW

01/01/2020    712,87     22,36    221,35    0,00       0,00        0,00      0,00          0,00
02/01/2020    712,96     22,54    207,54    0,00     125,08      125,08      0,00        114,46
03/01/2020    713,08     22,79    214,42    0,00     106,61      106,61      0,00         97,25
04/01/2020    713,37     23,37    258,45    0,00       0,00        0,00      0,00          0,00
05/01/2020    713,67     23,97    262,01    0,00       0,00        0,00      0,00          0,00
06/01/2020    713,67     23,97    276,59    0,00     276,59      276,59      0,00        260,79
07/01/2020    713,53     23,69    282,14    0,00     406,91      406,91      0,00        385,00
08/01/2020    713,40     23,43    267,64    0,00     380,82      380,82      0,00        358,04
09/01/2020    713,19     23,01    258,66    0,00     444,03      444,03      0,00        416,29
10/01/2020    712,48     21,59    269,09    0,00     893,30      893,30      0,00        845,50
11/01/2020    712,06     20,76    340,25    0,00     703,96      703,96      0,00        657,38
12/01/2020    712,25     21,14    371,88    0,00     208,69      208,69      0,00        193,00
13/01/2020    711,86     20,39    271,95    0,00     600,49      600,49      0,00        559,58
14/01/2020    711,76     20,19    290,28    0,00     378,62      378,62      0,00        347,17
15/01/2020    711,36     19,44    293,78    0,00     622,95      622,95      0,00        579,67
16/01/2020    711,01     18,77    323,84    0,00     619,67      619,67      0,00        572,46
17/01/2020    710,79     18,36    314,21    0,00     492,60      492,60      0,00        454,58
18/01/2020    711,08     18,92    287,86    0,00      44,47       44,47      0,00         39,00
19/01/2020    711,39     19,50    256,67    0,00       0,00        0,00      0,00          0,00
20/01/2020    711,17     19,08    231,60    0,00     415,77      415,77      0,00        380,71
21/01/2020    710,98     18,72    211,64    0,00     372,22      372,22      0,00        339,33
22/01/2020    711,16     19,05    233,15    0,00      85,08       85,08      0,00         75,29
23/01/2020    711,24     19,22    216,77    0,00     143,43      143,43      0,00        127,29
24/01/2020    711,05     18,85    187,02    0,00     349,52      349,52      0,00        321,79
25/01/2020    711,18     19,10    184,31    0,00      75,15       75,15      0,00         68,13
26/01/2020    711,29     19,31    173,52    0,00      80,18       80,18      0,00         71,33
27/01/2020    710,75     18,29    149,82    0,00     598,59      598,59      0,00        555,63
28/01/2020    710,34     17,53    140,73    0,00     475,19      475,19      0,00        435,79
29/01/2020    709,87     16,65    163,72    0,00     553,39      553,39      0,00        505,13
30/01/2020    709,57     16,12    175,29    0,00     408,48      408,48      0,00        368,25
31/01/2020    709,47     15,93    176,39    0,00     258,64      258,64      0,00        229,25
01/02/2020    709,59     16,15    182,06    0,00      86,23       86,23      0,00         76,79
02/02/2020    709,81     16,55    202,36    0,00      23,47       23,47      0,00         21,92
03/02/2020    709,51     16,00    180,27    0,00     424,64      424,64      0,00        391,33
04/02/2020    709,39     15,78    188,42    0,00     283,45      283,45      0,00        252,83
05/02/2020    709,16     15,37    159,66    0,00     340,15      340,15      0,00        304,75
06/02/2020    709,06     15,18    165,16    0,00     249,01      249,01      0,00        220,75
07/02/2020    708,88     14,87    169,69    0,00     306,52      306,52      0,00        271,96
08/02/2020    708,87     14,84    159,82    0,00     172,42      172,42      0,00        151,67
09/02/2020    709,09     15,24    172,58    0,00       0,00        0,00      0,00          0,00
10/02/2020    709,12     15,29    180,45    0,00     154,89      154,89      0,00        136,25
11/02/2020    709,27     15,58    201,73    0,00      77,94       77,94      0,00         67,00
12/02/2020    709,39     15,79    186,23    0,00      90,39       90,39      0,00         78,25
13/02/2020    709,51     16,00    193,73    0,00     102,69      102,69      0,00         89,21
14/02/2020    709,29     15,60    199,97    0,00     377,26      377,26      0,00        339,29
15/02/2020    709,03     15,13    188,03    0,00     392,47      392,47      0,00        352,54
16/02/2020    709,11     15,28    189,01    0,00     124,32      124,32      0,00        107,38
17/02/2020    708,60     14,36    183,63    0,00     589,45      589,45      0,00        531,08
18/02/2020    708,01     13,31    154,47    0,00     614,09      614,09      0,00        549,00
19/02/2020    707,57     12,54    150,45    0,00     491,81      491,81      0,00        436,67
20/02/2020    707,36     12,17    153,78    0,00     318,17      318,17      0,00        278,42
21/02/2020    707,33     12,12    137,28    0,00     158,99      158,99      0,00        136,54
22/02/2020    707,50     12,42    132,60    0,00       0,00        0,00      0,00          0,00
23/02/2020    707,65     12,68    128,10    0,00      11,78       11,78      0,00          9,04
24/02/2020    707,69     12,74    115,15    0,00      88,01       88,01      0,00         75,42
25/02/2020    707,86     13,04    210,77    0,00      81,27       81,27      0,00         69,92
26/02/2020    708,49     14,17    498,89    0,00       0,00        0,00      0,00          0,00
27/02/2020    709,14     15,34    513,22    0,00       0,00        0,00      0,00          0,00
28/02/2020    709,77     16,48    505,52    0,00       0,00        0,00      0,00          0,00
29/02/2020    710,40     17,63    505,93    0,00       0,00        0,00      0,00          0,00
01/03/2020    710,90     18,58    511,17    0,00      93,71       93,71      0,00         82,13
02/03/2020    711,43     19,58    445,05    0,00       6,15        6,15      0,00          4,96
03/03/2020    711,79     20,26    372,52    0,00      72,52       72,52      0,00         64,71
04/03/2020    711,87     20,40    324,97    0,00     261,63      261,63      0,00        239,13
05/03/2020    711,98     20,61    286,84    0,00     196,01      196,01      0,00        178,08
06/03/2020    712,15     20,96    241,25    0,00      88,37       88,37      0,00         79,67
07/03/2020    712,35     21,33    220,68    0,00      55,74       55,74      0,00         50,50
08/03/2020    712,56     21,75    208,74    0,00      22,11       22,11      0,00         20,08
09/03/2020    712,34     21,32    162,76    0,00     355,47      355,47      0,00        330,04
10/03/2020    712,11     20,88    164,73    0,00     357,43      357,43      0,00        328,46
11/03/2020    712,05     20,76    156,90    0,00     203,78      203,78      0,00        185,54
12/03/2020    711,69     20,06    141,12    0,00     449,69      449,69      0,00        417,58
13/03/2020    711,32     19,36    142,89    0,00     451,22      451,22      0,00        415,75
14/03/2020    711,30     19,32    116,37    0,00     133,03      133,03      0,00        119,63
15/03/2020    711,35     19,41    125,44    0,00      83,78       83,78      0,00         74,96
16/03/2020    711,08     18,90    112,91    0,00     339,58      339,58      0,00        309,88
17/03/2020    711,10     18,94    107,98    0,00      88,82       88,82      0,00         79,21
18/03/2020    711,28     19,28    150,00    0,00       0,00        0,00      0,00          0,00
19/03/2020    711,41     19,53    134,92    0,00      25,75       25,75      0,00         22,63
20/03/2020    711,50     19,70    131,34    0,00      57,17       57,17      0,00         54,04
21/03/2020    711,64     19,97    120,83    0,00       0,00        0,00      0,00          0,00
22/03/2020    711,78     20,24    115,83    0,00       0,00        0,00      0,00          0,00
23/03/2020    711,87     20,40    118,18    0,00      45,68       45,68      0,00         43,00
24/03/2020    712,01     20,67    116,11    0,00       0,00        0,00      0,00          0,00
25/03/2020    712,14     20,93    116,32    0,00       0,00        0,00      0,00          0,00
26/03/2020    712,18     21,02    103,94    0,00      66,61       66,61      0,00         63,29
27/03/2020    712,29     21,23    101,51    0,00       8,63        8,63      0,00          7,54
28/03/2020    712,32     21,29     95,20    0,00      69,16       69,16      0,00         62,63
29/03/2020    712,34     21,32     92,85    0,00      76,36       76,36      0,00         69,67
30/03/2020    712,20     21,03     86,19    0,00     212,92      212,92      0,00        196,58
31/03/2020    712,03     20,72     85,48    0,00     224,37      224,37      0,00        205,33
01/04/2020    712,07     20,78     90,49    0,00      62,71       62,71      0,00         55,33
02/04/2020    711,85     20,37     85,41    0,00     266,07      266,07      0,00        244,08
03/04/2020    711,70     20,07     84,67    0,00     216,33      216,33      0,00        195,58
04/04/2020    711,64     19,97     76,88    0,00     121,04      121,04      0,00        109,96
05/04/2020    711,64     19,96     68,94    0,00      73,10       73,10      0,00         66,33
06/04/2020    711,55     19,81    101,89    0,00     171,05      171,05      0,00        153,92
07/04/2020    711,57     19,83     79,40    0,00      66,90       66,90      0,00         59,21
08/04/2020    711,62     19,93     83,42    0,00      40,92       40,92      0,00         35,79
09/04/2020    711,67     20,03     77,34    0,00      33,17       33,17      0,00         29,88
10/04/2020    711,73     20,13     76,52    0,00      32,36       32,36      0,00         29,04
11/04/2020    711,75     20,19     74,19    0,00      50,02       50,02      0,00         44,42
12/04/2020    711,84     20,35     71,67    0,00       0,00        0,00      0,00          0,00
13/04/2020    711,87     20,40     76,08    0,00      54,41       54,41      0,00         47,08
14/04/2020    711,92     20,49    123,24    0,00      81,57       81,57      0,00         74,58
15/04/2020    711,82     20,31     93,05    0,00     175,55      175,55      0,00        163,08
16/04/2020    711,79     20,26     82,32    0,00     103,98      103,98      0,00         94,50
17/04/2020    711,72     20,11     79,34    0,00     142,68      142,68      0,00        130,54
18/04/2020    711,68     20,04     81,11    0,00     111,95      111,95      0,00        100,21
19/04/2020    711,76     20,20     69,17    0,00       0,00        0,00      0,00          0,00
20/04/2020    711,69     20,06     70,53    0,00     132,20      132,20      0,00        119,25
21/04/2020    711,78     20,23     75,00    0,00       0,00        0,00      0,00          0,00
22/04/2020    711,59     19,87     72,23    0,00     233,06      233,06      0,00        213,25
23/04/2020    711,36     19,44     66,45    0,00     252,28      252,28      0,00        232,21
24/04/2020    711,06     18,87     58,00    0,00     309,67      309,67      0,00        286,50
25/04/2020    711,04     18,83     63,27    0,00      81,60       81,60      0,00         73,08
26/04/2020    711,06     18,87     58,56    0,00      41,06       41,06      0,00         36,50
27/04/2020    710,84     18,46     50,59    0,00     231,23      231,23      0,00        210,46
28/04/2020    710,56     17,94     69,31    0,00     296,94      296,94      0,00        274,25
29/04/2020    710,26     17,38     46,51    0,00     293,86      293,86      0,00        268,50
30/04/2020    709,96     16,82     51,53    0,00     297,98      297,98      0,00        271,17
01/05/2020    709,99     16,87     55,39    0,00      33,03       33,03      0,00         29,04
02/05/2020    709,95     16,80     60,95    0,00      92,09       92,09      0,00         81,75
03/05/2020    709,97     16,84     59,37    0,00      41,01       41,01      0,00         35,83
04/05/2020    709,79     16,52     42,53    0,00     185,48      185,48      0,00        168,17
05/05/2020    709,65     16,26     68,25    0,00     181,66      181,66      0,00        161,58
06/05/2020    709,42     15,84     33,53    0,00     218,80      218,80      0,00        198,58
07/05/2020    709,24     15,52     41,54    0,00     182,09      182,09      0,00        163,96
08/05/2020    709,07     15,21     44,35    0,00     182,51      182,51      0,00        165,42
09/05/2020    709,03     15,13     51,62    0,00      85,96       85,96      0,00         74,92
10/05/2020    709,09     15,24     49,51    0,00       0,00        0,00      0,00          0,00
11/05/2020    708,90     14,90     34,77    0,00     184,56      184,56      0,00        165,04
12/05/2020    708,82     14,75     63,60    0,00     128,93      128,93      0,00        113,79
13/05/2020    708,68     14,51     52,38    0,00     159,41      159,41      0,00        139,00
14/05/2020    708,55     14,28     65,55    0,00     167,07      167,07      0,00        145,79
15/05/2020    708,59     14,35     44,88    0,00      14,19       14,19      0,00         12,54
16/05/2020    708,66     14,48     57,45    0,00       0,00        0,00      0,00          0,00
17/05/2020    708,73     14,60     54,03    0,00       1,30        1,30      0,00          1,08
18/05/2020    708,80     14,71     51,21    0,00       0,84        0,84      0,00          0,71
19/05/2020    708,86     14,84     53,52    0,00       0,00        0,00      0,00          0,00
20/05/2020    708,80     14,72     55,24    0,00     106,40      106,40      0,00         91,25
21/05/2020    708,74     14,62     48,70    0,00      93,57       93,57      0,00         83,21
22/05/2020    708,94     14,97    172,33    0,00      61,67       37,59      0,00         36,83
23/05/2020    709,21     15,46    214,95    0,00       0,00        0,00      0,00          0,00
24/05/2020    709,44     15,87    178,89    0,00       0,00        0,00      0,00          0,00
25/05/2020    709,60     16,16    129,37    0,00       0,00        0,00      0,00          0,00
26/05/2020    709,74     16,42    115,00    0,00       0,00        0,00      0,00          0,00
27/05/2020    709,88     16,67    107,81    0,00       0,00        0,00      0,00          0,00
28/05/2020    710,00     16,89     95,83    0,00       0,00        0,00      0,00          0,00
29/05/2020    710,11     17,10     95,25    0,00       0,00        0,00      0,00          0,00
30/05/2020    710,22     17,30     88,75    0,00       0,00        0,00      0,00          0,00
31/05/2020    710,32     17,49     82,18    0,00       0,00        0,00      0,00          0,00
01/06/2020    710,43     17,69     86,28    0,00       0,00        0,00      0,00          0,00
02/06/2020    710,52     17,85     73,96    0,00       0,00        0,00      0,00          0,00
03/06/2020    710,60     18,02     71,94    0,00       0,45        0,45      0,00          0,38
04/06/2020    710,72     18,23     93,68    0,00       0,00        0,00      0,00          0,00
05/06/2020    710,84     18,45     96,97    0,00       0,00        0,00      0,00          0,00
06/06/2020    711,00     18,76    134,77    0,00       0,00        0,00      0,00          0,00
07/06/2020    711,20     19,13    163,32    0,00       0,00        0,00      0,00          0,00
08/06/2020    711,39     19,49    159,17    0,00       0,00        0,00      0,00          0,00
09/06/2020    711,72     20,12    279,17    0,00       0,00        0,00      0,00          0,00
10/06/2020    712,68     21,99    820,17    0,00       0,00        0,00      0,00          0,00
11/06/2020    714,01     24,67   1184,39    0,00       0,00        0,00      0,00          0,00
12/06/2020    715,55     27,87   1405,29    0,00       0,00        0,00      0,00          0,00
13/06/2020    716,87     30,67   1230,38    0,00       0,00        0,00      0,00          0,00
14/06/2020    717,97     33,04   1047,17    0,00       0,00        0,00      0,00          0,00
15/06/2020    718,99     35,26    975,67    0,00       0,00        0,00      0,00          0,00
16/06/2020    719,91     37,31    902,97    0,00       0,00        0,00      0,00          0,00
17/06/2020    720,72     39,10    787,01    0,00       0,00        0,00      0,00          0,00
18/06/2020    721,37     40,58    652,06    0,00       0,00        0,00      0,00          0,00
19/06/2020    721,91     41,81    543,75    0,00       0,00        0,00      0,00          0,00
20/06/2020    722,35     42,84    454,25    0,00       0,00        0,00      0,00          0,00
21/06/2020    722,72     43,71    379,07    0,00       0,00        0,00      0,00          0,00
22/06/2020    723,04     44,45    326,79    0,00       0,00        0,00      0,00          0,00
23/06/2020    723,34     45,17    319,45    0,00       0,00        0,00      0,00          0,00
24/06/2020    723,61     45,83    290,70    0,00       0,00        0,00      0,00          0,00
25/06/2020    723,87     46,45    271,53    0,00       0,00        0,00      0,00          0,00
26/06/2020    724,11     47,04    260,30    0,00       0,00        0,00      0,00          0,00
27/06/2020    724,37     47,71    292,48    0,00       0,00        0,00      0,00          0,00
28/06/2020    724,64     48,38    296,88    0,00       0,00        0,00      0,00          0,00
29/06/2020    724,87     48,94    293,81    0,00      46,41       46,41      0,00         47,42
30/06/2020    725,10     49,52    335,65    0,00      80,52       80,52      0,00         83,96
01/07/2020    725,36     50,20    414,66    0,00     115,21      115,21      0,00        121,58
02/07/2020    725,67     51,01    463,19    0,00     108,17      108,17      0,00        112,33
03/07/2020    725,79     51,32    423,84    0,00     287,73      287,73      0,00        304,29
04/07/2020    726,03     51,93    393,50    0,00     124,81      124,81      0,00        130,88
05/07/2020    726,37     52,84    402,13    0,00       0,00        0,00      0,00          0,00
06/07/2020    726,45     53,04    391,04    0,00     302,20      302,20      0,00        320,88
07/07/2020    726,47     53,09    401,33    0,00     377,95      377,95      0,00        401,33
08/07/2020    726,48     53,13    416,25    0,00     399,88      399,88      0,00        424,92
09/07/2020    726,50     53,16    407,51    0,00     393,49      393,49      0,00        417,25
10/07/2020    726,42     52,96    400,62    0,00     490,63      490,63      0,00        522,50
11/07/2020    726,51     53,21    392,34    0,00     282,46      282,46      0,00        299,67
12/07/2020    726,72     53,75    386,45    0,00     147,97      147,97      0,00        156,63
13/07/2020    726,50     53,19    335,56    0,00     583,39      583,39      0,00        622,29
14/07/2020    726,43     53,00    321,15    0,00     402,98      402,98      0,00        428,50
15/07/2020    726,32     52,70    297,45    0,00     430,72      430,72      0,00        456,75
16/07/2020    726,06     52,01    283,23    0,00     586,00      586,00      0,00        624,42
17/07/2020    725,98     51,81    290,00    0,00     380,59      380,59      0,00        402,33
18/07/2020    726,15     52,26    295,04    0,00      95,73       95,73      0,00        100,88
19/07/2020    726,37     52,82    303,72    0,00      54,73       54,73      0,00         56,67
20/07/2020    726,32     52,70    271,05    0,00     327,16      327,16      0,00        346,54
21/07/2020    726,02     51,90    240,06    0,00     588,41      588,41      0,00        627,67
22/07/2020    725,71     51,09    230,24    0,00     587,12      587,12      0,00        622,79
23/07/2020    725,43     50,38    221,75    0,00     537,07      537,07      0,00        571,92
24/07/2020    725,19     49,77    205,34    0,00     471,89      471,89      0,00        496,63
25/07/2020    724,98     49,22    192,94    0,00     438,28      438,28      0,00        463,13
26/07/2020    725,10     49,53    206,70    0,00      69,12       69,12      0,00         70,71
27/07/2020    724,78     48,72    177,96    0,00     532,15      532,15      0,00        561,13
28/07/2020    724,40     47,77    185,52    0,00     604,45      604,45      0,00        636,13
29/07/2020    724,00     46,79    176,84    0,00     611,16      611,16      0,00        640,71
30/07/2020    723,62     45,85    177,80    0,00     590,02      590,02      0,00        615,71
31/07/2020    723,22     44,90    175,82    0,00     595,35      595,35      0,00        618,79
01/08/2020    723,05     44,48    189,25    0,00     371,33      371,33      0,00        382,71
02/08/2020    722,92     44,17    193,79    0,00     331,57      331,57      0,00        339,75
03/08/2020    722,60     43,43    194,27    0,00     520,81      520,81      0,00        537,13
04/08/2020    722,35     42,84    191,18    0,00     452,82      452,82      0,00        464,00
05/08/2020    722,16     42,39    189,74    0,00     385,46      385,46      0,00        393,42
06/08/2020    721,95     41,90    178,45    0,00     396,61      396,61      0,00        405,13
07/08/2020    721,71     41,34    182,93    0,00     425,60      425,60      0,00        432,42
08/08/2020    721,64     41,19    152,98    0,00     219,44      219,44      0,00        223,17
09/08/2020    721,78     41,51    149,39    0,00       9,42        9,42      0,00          9,25
10/08/2020    721,57     41,04    145,57    0,00     355,02      355,02      0,00        362,29
11/08/2020    721,14     40,06    138,17    0,00     568,14      568,14      0,00        579,58
12/08/2020    720,72     39,11    175,42    0,00     594,00      594,00      0,00        603,88
13/08/2020    720,45     38,50    252,32    0,00     519,07      519,07      0,00        525,96
14/08/2020    720,24     38,04    318,94    0,00     519,98      519,98      0,00        522,50
15/08/2020    720,39     38,37    466,68    0,00     321,54      321,54      0,00        320,58
16/08/2020    720,67     38,99    681,48    0,00     408,86      408,86      0,00        411,71
17/08/2020    720,75     39,18    681,76    0,00     598,40      598,40      0,00        601,83
18/08/2020    721,01     39,75    835,39    0,00     586,12      586,12      0,00        592,58
19/08/2020    721,52     40,92   1222,32    0,00     704,75      704,75      0,00        716,25
20/08/2020    722,17     42,41   1280,07    0,00     624,68      624,68      0,00        640,08
21/08/2020    722,70     43,67   1173,44    0,00     621,31      621,31      0,00        639,71
22/08/2020    723,51     45,59   1109,91    0,00     263,01      263,01      0,00        271,63
23/08/2020    724,49     48,01   1082,90    0,00      18,00       18,00      0,00         18,08
24/08/2020    725,23     49,87   1039,15    0,00     218,54      218,54      0,00        227,17
25/08/2020    725,67     51,01    999,68    0,00     498,34      498,34      0,00        529,54
26/08/2020    726,10     52,11    939,60    0,00     454,11      454,11      0,00        482,92
27/08/2020    726,38     52,86    890,69    0,00     563,37      563,37      0,00        600,54
28/08/2020    726,66     53,60    843,05    0,00     514,56      514,56      0,00        551,54
29/08/2020    726,96     54,40    797,65    0,00     446,95      446,95      0,00        479,67
30/08/2020    727,45     55,71    784,26    0,00     206,25      206,25      0,00        221,29
31/08/2020    727,52     55,89    699,47    0,00     620,37      620,37      0,00        671,04
01/09/2020    727,52     55,90    635,57    0,00     632,03      632,03      0,00        683,71
02/09/2020    727,44     55,68    546,81    0,00     643,62      643,62      0,00        699,92
03/09/2020    727,15     54,89    429,42    0,00     774,14      774,14      0,00        835,21
04/09/2020    726,67     53,62    352,20    0,00     912,66      912,66      0,00        982,00
05/09/2020    726,36     52,80    298,60    0,00     659,81      659,81      0,00        705,08
06/09/2020    726,17     52,31    294,66    0,00     509,75      509,75      0,00        542,38
07/09/2020    725,74     51,17    257,70    0,00     761,72      761,72      0,00        809,58
08/09/2020    725,38     50,25    255,46    0,00     661,53      661,53      0,00        702,25
09/09/2020    724,61     48,31    211,43    0,00    1064,60     1064,60      0,00       1124,42
10/09/2020    723,77     46,22    211,20    0,00    1131,23     1131,23      0,00       1181,42
11/09/2020    722,76     43,79    207,23    0,00    1277,45     1277,45      0,00       1314,08
12/09/2020    721,89     41,76    216,84    0,00    1111,41     1111,41      0,00       1130,17
13/09/2020    721,59     41,08    199,68    0,00     499,75      499,75      0,00        500,96
14/09/2020    721,03     39,79    198,85    0,00     764,75      764,75      0,00        778,25
