fid,id,x,y
"1999","1998",-51.2010000000001,-25.5418
"2000","1999",-51.1610000000001,-25.5418
"2001","2000",-51.1210000000001,-25.5418
"2135","2134",-51.2410000000001,-25.5818
"2136","2135",-51.2010000000001,-25.5818
"2137","2136",-51.1610000000001,-25.5818
"2138","2137",-51.1210000000001,-25.5818
"2139","2138",-51.0810000000001,-25.5818
"2140","2139",-51.0410000000001,-25.5818
"2141","2140",-51.0010000000001,-25.5818
"2272","2271",-51.2410000000001,-25.6218
"2273","2272",-51.2010000000001,-25.6218
"2274","2273",-51.1610000000001,-25.6218
"2275","2274",-51.1210000000001,-25.6218
"2276","2275",-51.0810000000001,-25.6218
"2277","2276",-51.0410000000001,-25.6218
"2278","2277",-51.0010000000001,-25.6218
"2408","2407",-51.2810000000001,-25.6618
"2409","2408",-51.2410000000001,-25.6618
"2410","2409",-51.2010000000001,-25.6618
"2411","2410",-51.1610000000001,-25.6618
"2412","2411",-51.1210000000001,-25.6618
"2413","2412",-51.0810000000001,-25.6618
"2414","2413",-51.0410000000001,-25.6618
"2415","2414",-51.0010000000001,-25.6618
"2545","2544",-51.2810000000001,-25.7018
"2546","2545",-51.2410000000001,-25.7018
"2547","2546",-51.2010000000001,-25.7018
"2548","2547",-51.1610000000001,-25.7018
"2549","2548",-51.1210000000001,-25.7018
"2550","2549",-51.0810000000001,-25.7018
"2551","2550",-51.0410000000001,-25.7018
"2552","2551",-51.0010000000001,-25.7018
"2553","2552",-50.9610000000001,-25.7018
"2682","2681",-51.2810000000001,-25.7418
"2683","2682",-51.2410000000001,-25.7418
"2684","2683",-51.2010000000001,-25.7418
"2685","2684",-51.1610000000001,-25.7418
"2686","2685",-51.1210000000001,-25.7418
"2687","2686",-51.0810000000001,-25.7418
"2688","2687",-51.0410000000001,-25.7418
"2689","2688",-51.0010000000001,-25.7418
"2690","2689",-50.9610000000001,-25.7418
"2819","2818",-51.2810000000001,-25.7818
"2820","2819",-51.2410000000001,-25.7818
