fid,id,x,y
"448","447",-52.961,-25.1018
"449","448",-52.921,-25.1018
"450","449",-52.881,-25.1018
"584","583",-53.001,-25.1418
"585","584",-52.961,-25.1418
"586","585",-52.921,-25.1418
"587","586",-52.881,-25.1418
"588","587",-52.841,-25.1418
"589","588",-52.801,-25.1418
"590","589",-52.761,-25.1418
"591","590",-52.721,-25.1418
"720","719",-53.041,-25.1818
"721","720",-53.001,-25.1818
"722","721",-52.961,-25.1818
"723","722",-52.921,-25.1818
"724","723",-52.881,-25.1818
"725","724",-52.841,-25.1818
"726","725",-52.801,-25.1818
"727","726",-52.761,-25.1818
"728","727",-52.721,-25.1818
"729","728",-52.681,-25.1818
"857","856",-53.041,-25.2218
"858","857",-53.001,-25.2218
"859","858",-52.961,-25.2218
"860","859",-52.921,-25.2218
"861","860",-52.881,-25.2218
"862","861",-52.841,-25.2218
"863","862",-52.801,-25.2218
"864","863",-52.761,-25.2218
"865","864",-52.721,-25.2218
"866","865",-52.681,-25.2218
"867","866",-52.641,-25.2218
"993","992",-53.081,-25.2618
"994","993",-53.041,-25.2618
"995","994",-53.001,-25.2618
"996","995",-52.961,-25.2618
"997","996",-52.921,-25.2618
"998","997",-52.881,-25.2618
"999","998",-52.841,-25.2618
"1000","999",-52.801,-25.2618
"1001","1000",-52.761,-25.2618
"1002","1001",-52.721,-25.2618
"1129","1128",-53.121,-25.3018
"1130","1129",-53.081,-25.3018
"1131","1130",-53.041,-25.3018
"1132","1131",-53.001,-25.3018
"1133","1132",-52.961,-25.3018
"1134","1133",-52.921,-25.3018
"1135","1134",-52.881,-25.3018
"1136","1135",-52.841,-25.3018
"1137","1136",-52.801,-25.3018
"1267","1266",-53.081,-25.3418
"1268","1267",-53.041,-25.3418
"1269","1268",-53.001,-25.3418
"1270","1269",-52.961,-25.3418
"1271","1270",-52.921,-25.3418
"1272","1271",-52.881,-25.3418
"1404","1403",-53.081,-25.3818
"1405","1404",-53.041,-25.3818
"1406","1405",-53.001,-25.3818
"1407","1406",-52.961,-25.3818
"1408","1407",-52.921,-25.3818
