3461,3461
datahora,pme,etp,qjus,qmon
2013-01-01 06:00:00+00:00,0.122,0.036,213.793,
2013-01-01 12:00:00+00:00,0.113,1.852,209.480,
2013-01-01 18:00:00+00:00,4.637,2.149,205.982,
2013-01-02 00:00:00+00:00,0.781,0.111,202.145,
2013-01-02 06:00:00+00:00,0.299,0.031,199.917,
2013-01-02 12:00:00+00:00,1.864,2.085,196.812,
2013-01-02 18:00:00+00:00,1.418,2.798,193.833,
2013-01-03 00:00:00+00:00,0.769,0.142,189.395,
2013-01-03 06:00:00+00:00,0.323,0.034,185.752,
2013-01-03 12:00:00+00:00,0.218,2.056,181.897,
2013-01-03 18:00:00+00:00,0.000,2.551,177.562,
2013-01-04 00:00:00+00:00,0.000,0.136,171.250,
2013-01-04 06:00:00+00:00,0.031,0.033,165.835,
2013-01-04 12:00:00+00:00,0.156,1.865,159.687,
2013-01-04 18:00:00+00:00,0.000,2.532,153.478,
2013-01-05 00:00:00+00:00,0.000,0.121,146.108,
2013-01-05 06:00:00+00:00,0.000,0.033,141.148,
2013-01-05 12:00:00+00:00,0.000,1.861,136.282,
2013-01-05 18:00:00+00:00,0.000,2.638,130.562,
2013-01-06 00:00:00+00:00,0.000,0.135,124.545,
2013-01-06 06:00:00+00:00,0.000,0.034,121.752,
2013-01-06 12:00:00+00:00,9.247,2.111,119.857,
2013-01-06 18:00:00+00:00,0.000,2.579,117.232,
2013-01-07 00:00:00+00:00,4.188,0.119,113.967,
2013-01-07 06:00:00+00:00,0.069,0.027,111.943,
2013-01-07 12:00:00+00:00,0.122,1.882,111.438,
2013-01-07 18:00:00+00:00,0.000,2.500,110.407,
2013-01-08 00:00:00+00:00,0.253,0.145,107.575,
2013-01-08 06:00:00+00:00,0.094,0.035,106.545,
2013-01-08 12:00:00+00:00,1.082,2.003,103.920,
2013-01-08 18:00:00+00:00,7.400,2.315,103.395,
2013-01-09 00:00:00+00:00,0.000,0.112,100.093,
2013-01-09 06:00:00+00:00,0.122,0.026,98.257,
2013-01-09 12:00:00+00:00,0.000,2.174,95.593,
2013-01-09 18:00:00+00:00,6.047,2.737,92.970,
2013-01-10 00:00:00+00:00,0.706,0.112,90.437,
2013-01-10 06:00:00+00:00,0.062,0.026,90.588,
2013-01-10 12:00:00+00:00,0.000,1.801,90.043,
2013-01-10 18:00:00+00:00,0.000,1.785,87.680,
2013-01-11 00:00:00+00:00,0.000,0.086,84.175,
2013-01-11 06:00:00+00:00,0.000,0.033,83.837,
2013-01-11 12:00:00+00:00,0.122,1.613,83.500,
2013-01-11 18:00:00+00:00,0.000,2.202,81.755,
2013-01-12 00:00:00+00:00,0.000,0.105,78.643,
2013-01-12 06:00:00+00:00,0.000,0.035,78.043,
2013-01-12 12:00:00+00:00,0.000,1.677,77.668,
2013-01-12 18:00:00+00:00,0.000,2.216,75.402,
2013-01-13 00:00:00+00:00,0.000,0.109,72.212,
2013-01-13 06:00:00+00:00,0.122,0.025,72.607,
2013-01-13 12:00:00+00:00,0.000,1.776,72.625,
2013-01-13 18:00:00+00:00,0.009,2.416,71.557,
2013-01-14 00:00:00+00:00,0.000,0.112,69.682,
2013-01-14 06:00:00+00:00,0.000,0.027,70.207,
2013-01-14 12:00:00+00:00,0.000,2.042,69.588,
2013-01-14 18:00:00+00:00,0.062,2.832,67.263,
2013-01-15 00:00:00+00:00,0.038,0.104,64.807,
2013-01-15 06:00:00+00:00,1.116,0.023,65.275,
2013-01-15 12:00:00+00:00,0.031,2.014,64.563,
2013-01-15 18:00:00+00:00,0.031,2.459,61.357,
2013-01-16 00:00:00+00:00,0.263,0.094,57.888,
2013-01-16 06:00:00+00:00,1.241,0.024,59.162,
2013-01-16 12:00:00+00:00,0.153,1.903,59.293,
2013-01-16 18:00:00+00:00,0.226,2.577,58.377,
2013-01-17 00:00:00+00:00,0.366,0.117,56.575,
2013-01-17 06:00:00+00:00,0.000,0.028,57.963,
2013-01-17 12:00:00+00:00,0.122,2.222,58.918,
2013-01-17 18:00:00+00:00,0.000,2.897,57.700,
2013-01-18 00:00:00+00:00,0.000,0.114,55.055,
2013-01-18 06:00:00+00:00,0.866,0.023,58.095,
2013-01-18 12:00:00+00:00,0.000,1.848,58.468,
2013-01-18 18:00:00+00:00,0.037,2.519,57.025,
2013-01-19 00:00:00+00:00,1.535,0.111,54.982,
2013-01-19 06:00:00+00:00,0.191,0.033,56.875,
