3624,3624
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.08,0.00,0.042,95.333,
2013-01-01T12:00:00+00:00,2.13,0.00,1.786,96.196,
2013-01-01T18:00:00+00:00,10.40,0.00,1.773,98.665,
2013-01-02T00:00:00+00:00,0.26,0.00,0.079,101.098,
2013-01-02T06:00:00+00:00,3.02,0.00,0.030,102.646,
2013-01-02T12:00:00+00:00,2.41,0.00,2.119,104.019,
2013-01-02T18:00:00+00:00,1.39,0.00,2.558,105.929,
2013-01-03T00:00:00+00:00,0.52,0.00,0.114,107.406,
2013-01-03T06:00:00+00:00,0.07,0.00,0.032,108.498,
2013-01-03T12:00:00+00:00,0.11,0.00,2.012,109.061,
2013-01-03T18:00:00+00:00,0.00,0.00,2.310,109.292,
2013-01-04T00:00:00+00:00,0.04,0.00,0.087,109.323,
2013-01-04T06:00:00+00:00,0.03,0.00,0.029,109.138,
2013-01-04T12:00:00+00:00,0.02,0.00,1.758,108.844,
2013-01-04T18:00:00+00:00,0.00,0.00,2.212,108.523,
2013-01-05T00:00:00+00:00,0.06,0.00,0.079,108.077,
2013-01-05T06:00:00+00:00,0.00,0.00,0.030,107.515,
2013-01-05T12:00:00+00:00,0.00,0.00,1.832,106.860,
2013-01-05T18:00:00+00:00,0.07,0.00,2.366,106.169,
2013-01-06T00:00:00+00:00,0.01,0.00,0.098,105.406,
2013-01-06T06:00:00+00:00,0.77,0.00,0.036,104.544,
2013-01-06T12:00:00+00:00,2.64,0.00,2.235,103.794,
2013-01-06T18:00:00+00:00,0.67,0.00,2.448,102.784,
2013-01-07T00:00:00+00:00,5.74,0.00,0.094,101.988,
2013-01-07T06:00:00+00:00,0.08,0.00,0.039,100.771,
2013-01-07T12:00:00+00:00,0.02,0.00,1.876,99.225,
2013-01-07T18:00:00+00:00,0.31,0.00,2.088,96.930,
2013-01-08T00:00:00+00:00,0.24,0.00,0.105,94.407,
2013-01-08T06:00:00+00:00,1.15,0.00,0.039,92.660,
2013-01-08T12:00:00+00:00,4.64,0.00,1.954,88.900,
2013-01-08T18:00:00+00:00,10.77,0.00,2.019,89.825,
2013-01-09T00:00:00+00:00,0.01,0.00,0.086,94.046,
2013-01-09T06:00:00+00:00,0.00,0.00,0.025,87.862,
2013-01-09T12:00:00+00:00,0.00,0.00,2.246,83.708,
2013-01-09T18:00:00+00:00,4.25,0.00,2.598,80.959,
2013-01-10T00:00:00+00:00,1.21,0.00,0.099,77.218,
2013-01-10T06:00:00+00:00,0.09,0.00,0.027,72.420,
2013-01-10T12:00:00+00:00,0.00,0.00,1.940,68.140,
2013-01-10T18:00:00+00:00,0.00,0.00,1.763,64.690,
2013-01-11T00:00:00+00:00,0.00,0.00,0.072,60.904,
2013-01-11T06:00:00+00:00,0.00,0.00,0.044,57.194,
2013-01-11T12:00:00+00:00,0.00,0.00,1.735,53.922,
2013-01-11T18:00:00+00:00,0.00,0.00,2.026,51.266,
2013-01-12T00:00:00+00:00,0.00,0.00,0.090,48.449,
2013-01-12T06:00:00+00:00,0.00,0.00,0.044,46.073,
2013-01-12T12:00:00+00:00,0.04,0.00,1.635,44.308,
2013-01-12T18:00:00+00:00,0.00,0.00,2.016,42.881,
2013-01-13T00:00:00+00:00,0.00,0.00,0.075,41.501,
2013-01-13T06:00:00+00:00,0.00,0.00,0.027,40.154,
2013-01-13T12:00:00+00:00,0.00,0.00,1.831,39.114,
2013-01-13T18:00:00+00:00,0.79,0.00,2.211,38.365,
2013-01-14T00:00:00+00:00,0.24,0.00,0.082,37.347,
2013-01-14T06:00:00+00:00,0.10,0.00,0.026,36.573,
2013-01-14T12:00:00+00:00,0.04,0.00,2.096,35.937,
2013-01-14T18:00:00+00:00,2.94,0.00,2.719,35.500,
2013-01-15T00:00:00+00:00,2.51,0.00,0.087,37.431,
2013-01-15T06:00:00+00:00,1.01,0.00,0.028,37.793,
2013-01-15T12:00:00+00:00,0.06,0.00,2.154,37.659,
2013-01-15T18:00:00+00:00,0.06,0.00,2.460,41.774,
2013-01-16T00:00:00+00:00,0.57,0.00,0.088,46.030,
2013-01-16T06:00:00+00:00,0.17,0.00,0.027,47.613,
2013-01-16T12:00:00+00:00,0.02,0.00,1.976,47.683,
2013-01-16T18:00:00+00:00,4.50,0.00,2.439,47.840,
2013-01-17T00:00:00+00:00,0.61,0.00,0.088,47.123,
2013-01-17T06:00:00+00:00,0.01,0.00,0.029,45.341,
2013-01-17T12:00:00+00:00,0.05,0.00,2.190,43.230,
2013-01-17T18:00:00+00:00,0.06,0.00,2.651,41.412,
2013-01-18T00:00:00+00:00,0.08,0.00,0.078,40.158,
2013-01-18T06:00:00+00:00,0.12,0.00,0.022,40.108,
2013-01-18T12:00:00+00:00,0.00,0.00,1.772,40.714,
2013-01-18T18:00:00+00:00,0.41,0.00,2.399,40.907,
2013-01-19T00:00:00+00:00,10.91,0.00,0.090,47.733,
2013-01-19T06:00:00+00:00,0.04,0.00,0.036,61.489,
2013-01-19T12:00:00+00:00,0.04,0.00,1.722,47.578,
2013-01-19T18:00:00+00:00,0.01,0.00,2.198,44.436,
2013-01-20T00:00:00+00:00,0.00,0.00,0.102,43.706,
2013-01-20T06:00:00+00:00,0.18,0.00,0.036,44.416,
2013-01-20T12:00:00+00:00,0.02,0.00,2.004,46.747,
2013-01-20T18:00:00+00:00,0.01,0.00,2.256,49.114,
2013-01-21T00:00:00+00:00,0.02,0.00,0.076,50.680,
2013-01-21T06:00:00+00:00,0.65,0.00,0.026,51.244,
2013-01-21T12:00:00+00:00,0.58,0.00,2.140,51.074,
2013-01-21T18:00:00+00:00,0.19,0.00,2.274,49.967,
2013-01-22T00:00:00+00:00,0.04,0.00,0.075,47.994,
2013-01-22T06:00:00+00:00,0.14,0.00,0.028,45.628,
2013-01-22T12:00:00+00:00,0.00,0.00,1.869,43.315,
2013-01-22T18:00:00+00:00,0.02,0.00,2.359,41.042,
2013-01-23T00:00:00+00:00,0.00,0.00,0.076,39.043,
2013-01-23T06:00:00+00:00,0.00,0.00,0.035,37.292,
2013-01-23T12:00:00+00:00,0.05,0.00,1.872,35.702,
2013-01-23T18:00:00+00:00,0.00,0.00,2.564,34.235,
2013-01-24T00:00:00+00:00,0.00,0.00,0.083,33.007,
2013-01-24T06:00:00+00:00,0.00,0.00,0.025,32.011,
2013-01-24T12:00:00+00:00,0.00,0.00,1.695,31.264,
2013-01-24T18:00:00+00:00,0.00,0.00,1.819,30.593,
2013-01-25T00:00:00+00:00,0.00,0.00,0.054,29.897,
2013-01-25T06:00:00+00:00,0.00,0.00,0.026,29.447,
2013-01-25T12:00:00+00:00,0.00,0.00,1.549,29.259,
2013-01-25T18:00:00+00:00,2.83,0.00,2.116,29.110,
2013-01-26T00:00:00+00:00,0.09,0.00,0.086,28.896,
2013-01-26T06:00:00+00:00,0.00,0.00,0.035,28.229,
2013-01-26T12:00:00+00:00,0.00,0.00,1.779,28.585,
2013-01-26T18:00:00+00:00,0.00,0.00,1.928,28.802,
2013-01-27T00:00:00+00:00,0.00,0.00,0.074,28.904,
2013-01-27T06:00:00+00:00,0.00,0.00,0.039,28.494,
2013-01-27T12:00:00+00:00,0.00,0.00,1.651,28.077,
2013-01-27T18:00:00+00:00,0.00,0.00,2.208,27.541,
2013-01-28T00:00:00+00:00,0.00,0.00,0.089,26.356,
2013-01-28T06:00:00+00:00,0.00,0.00,0.035,25.156,
2013-01-28T12:00:00+00:00,0.00,0.00,1.748,24.675,
2013-01-28T18:00:00+00:00,0.00,0.00,2.093,24.400,
2013-01-29T00:00:00+00:00,0.00,0.00,0.072,23.613,
2013-01-29T06:00:00+00:00,0.00,0.00,0.028,22.928,
2013-01-29T12:00:00+00:00,0.02,0.00,1.810,22.710,
2013-01-29T18:00:00+00:00,0.00,0.00,2.239,22.712,
2013-01-30T00:00:00+00:00,0.00,0.00,0.094,22.081,
2013-01-30T06:00:00+00:00,0.00,0.00,0.032,21.710,
2013-01-30T12:00:00+00:00,0.00,0.00,1.899,21.915,
2013-01-30T18:00:00+00:00,0.00,0.00,2.132,21.953,
2013-01-31T00:00:00+00:00,0.00,0.00,0.069,21.409,
2013-01-31T06:00:00+00:00,0.00,0.00,0.030,20.763,
2013-01-31T12:00:00+00:00,0.00,0.00,1.820,20.694,
2013-01-31T18:00:00+00:00,0.00,0.00,2.219,20.762,
2013-02-01T00:00:00+00:00,0.00,0.00,0.074,20.234,
2013-02-01T06:00:00+00:00,0.00,0.00,0.035,20.222,
2013-02-01T12:00:00+00:00,0.00,0.00,2.140,19.969,
2013-02-01T18:00:00+00:00,0.00,0.00,2.771,20.163,
2013-02-02T00:00:00+00:00,0.22,0.00,0.115,19.619,
2013-02-02T06:00:00+00:00,0.02,0.00,0.045,19.269,
2013-02-02T12:00:00+00:00,0.00,0.00,2.116,19.322,
2013-02-02T18:00:00+00:00,1.52,0.00,2.448,19.481,
2013-02-03T00:00:00+00:00,24.44,0.00,0.084,19.157,
2013-02-03T06:00:00+00:00,4.86,0.00,0.035,19.165,
2013-02-03T12:00:00+00:00,0.12,0.00,1.811,19.744,
2013-02-03T18:00:00+00:00,1.89,0.00,2.447,21.762,
2013-02-04T00:00:00+00:00,16.62,0.00,0.095,28.006,
2013-02-04T06:00:00+00:00,0.28,0.00,0.044,43.039,
2013-02-04T12:00:00+00:00,0.33,0.00,2.058,52.120,
2013-02-04T18:00:00+00:00,0.00,0.00,2.568,59.088,
