2209,2209
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.10,0.00,0.030,35.130,
2013-01-01T12:00:00+00:00,9.30,0.00,1.884,36.608,
2013-01-01T18:00:00+00:00,11.77,0.00,2.417,37.975,
2013-01-02T00:00:00+00:00,0.62,0.00,0.083,39.666,
2013-01-02T06:00:00+00:00,0.08,0.00,0.032,41.400,
2013-01-02T12:00:00+00:00,0.66,0.00,2.211,43.430,
2013-01-02T18:00:00+00:00,0.26,0.00,3.065,45.556,
2013-01-03T00:00:00+00:00,0.27,0.00,0.127,47.527,
2013-01-03T06:00:00+00:00,0.12,0.00,0.042,49.000,
2013-01-03T12:00:00+00:00,0.01,0.00,2.061,50.128,
2013-01-03T18:00:00+00:00,0.01,0.00,2.658,50.979,
2013-01-04T00:00:00+00:00,0.00,0.00,0.132,52.167,
2013-01-04T06:00:00+00:00,0.00,0.00,0.042,53.156,
2013-01-04T12:00:00+00:00,0.00,0.00,1.914,54.177,
2013-01-04T18:00:00+00:00,0.00,0.00,2.595,54.983,
2013-01-05T00:00:00+00:00,0.13,0.00,0.103,55.661,
2013-01-05T06:00:00+00:00,0.00,0.00,0.034,56.008,
2013-01-05T12:00:00+00:00,0.00,0.00,2.011,56.094,
2013-01-05T18:00:00+00:00,0.09,0.00,2.950,55.672,
2013-01-06T00:00:00+00:00,0.03,0.00,0.111,55.002,
2013-01-06T06:00:00+00:00,4.25,0.00,0.036,53.844,
2013-01-06T12:00:00+00:00,3.01,0.00,2.117,52.500,
2013-01-06T18:00:00+00:00,4.81,0.00,2.622,50.678,
2013-01-07T00:00:00+00:00,9.70,0.00,0.078,49.040,
2013-01-07T06:00:00+00:00,0.07,0.00,0.028,47.124,
2013-01-07T12:00:00+00:00,0.07,0.00,2.014,45.232,
2013-01-07T18:00:00+00:00,1.93,0.00,2.826,43.163,
2013-01-08T00:00:00+00:00,0.84,0.00,0.129,41.420,
2013-01-08T06:00:00+00:00,6.94,0.00,0.043,39.705,
2013-01-08T12:00:00+00:00,25.25,0.00,2.102,38.470,
2013-01-08T18:00:00+00:00,13.51,0.00,2.700,40.296,
2013-01-09T00:00:00+00:00,0.02,0.00,0.097,45.804,
2013-01-09T06:00:00+00:00,0.00,0.00,0.030,53.381,
2013-01-09T12:00:00+00:00,0.00,0.00,2.266,61.665,
2013-01-09T18:00:00+00:00,0.33,0.00,2.941,69.012,
2013-01-10T00:00:00+00:00,0.22,0.00,0.087,75.060,
2013-01-10T06:00:00+00:00,0.00,0.00,0.030,79.825,
2013-01-10T12:00:00+00:00,0.00,0.00,1.882,83.725,
2013-01-10T18:00:00+00:00,0.00,0.00,2.211,86.452,
2013-01-11T00:00:00+00:00,0.00,0.00,0.070,88.723,
2013-01-11T06:00:00+00:00,0.00,0.00,0.032,90.274,
2013-01-11T12:00:00+00:00,0.00,0.00,1.660,91.059,
2013-01-11T18:00:00+00:00,0.00,0.00,2.357,90.963,
2013-01-12T00:00:00+00:00,0.00,0.00,0.094,90.395,
2013-01-12T06:00:00+00:00,0.00,0.00,0.030,89.492,
2013-01-12T12:00:00+00:00,0.00,0.00,1.738,88.231,
2013-01-12T18:00:00+00:00,0.00,0.00,2.453,86.792,
2013-01-13T00:00:00+00:00,0.00,0.00,0.098,85.735,
2013-01-13T06:00:00+00:00,0.00,0.00,0.031,84.549,
2013-01-13T12:00:00+00:00,0.00,0.00,1.791,83.350,
2013-01-13T18:00:00+00:00,0.01,0.00,2.678,82.197,
2013-01-14T00:00:00+00:00,0.00,0.00,0.091,80.963,
2013-01-14T06:00:00+00:00,0.00,0.00,0.032,79.837,
2013-01-14T12:00:00+00:00,0.03,0.00,2.154,78.391,
