2605
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.10,0.00,0.040,77.099,0.000
2013-01-01T12:00:00+00:00,13.58,0.00,1.729,65.120,0.000
2013-01-01T18:00:00+00:00,6.54,0.00,2.607,61.734,0.000
2013-01-02T00:00:00+00:00,0.21,0.00,0.170,64.750,0.000
2013-01-02T06:00:00+00:00,0.03,0.00,0.050,76.109,0.000
2013-01-02T12:00:00+00:00,0.11,0.00,2.135,84.338,0.000
2013-01-02T18:00:00+00:00,0.18,0.00,2.945,83.020,0.000
2013-01-03T00:00:00+00:00,0.32,0.00,0.175,77.834,0.000
2013-01-03T06:00:00+00:00,0.01,0.00,0.064,72.049,0.000
2013-01-03T12:00:00+00:00,0.01,0.00,1.967,66.503,0.000
2013-01-03T18:00:00+00:00,0.01,0.00,2.666,61.414,0.000
2013-01-04T00:00:00+00:00,0.03,0.00,0.190,57.007,0.000
2013-01-04T06:00:00+00:00,0.00,0.00,0.055,54.361,0.000
2013-01-04T12:00:00+00:00,0.02,0.00,1.892,51.930,0.000
2013-01-04T18:00:00+00:00,0.00,0.00,2.685,49.193,0.000
2013-01-05T00:00:00+00:00,0.10,0.00,0.158,46.601,0.000
2013-01-05T06:00:00+00:00,0.00,0.00,0.046,45.334,0.000
2013-01-05T12:00:00+00:00,0.00,0.00,1.902,44.026,0.000
2013-01-05T18:00:00+00:00,0.05,0.00,3.001,42.823,0.000
2013-01-06T00:00:00+00:00,0.28,0.00,0.152,41.393,0.000
2013-01-06T06:00:00+00:00,10.65,0.00,0.042,40.651,0.000
2013-01-06T12:00:00+00:00,0.88,0.00,2.013,40.747,0.000
2013-01-06T18:00:00+00:00,8.11,0.00,2.706,43.224,0.000
2013-01-07T00:00:00+00:00,4.69,0.00,0.133,49.103,0.000
2013-01-07T06:00:00+00:00,0.08,0.00,0.032,60.869,0.000
2013-01-07T12:00:00+00:00,0.02,0.00,1.909,86.795,0.000
2013-01-07T18:00:00+00:00,8.65,0.00,2.775,100.776,0.000
2013-01-08T00:00:00+00:00,1.99,0.00,0.172,97.288,0.000
2013-01-08T06:00:00+00:00,12.91,0.00,0.055,97.279,0.000
2013-01-08T12:00:00+00:00,23.36,0.00,2.015,108.600,0.000
2013-01-08T18:00:00+00:00,5.25,0.00,2.581,136.683,0.000
2013-01-09T00:00:00+00:00,0.01,0.00,0.147,202.146,0.000
2013-01-09T06:00:00+00:00,0.00,0.00,0.041,225.192,0.000
2013-01-09T12:00:00+00:00,0.00,0.00,2.083,214.019,0.000
2013-01-09T18:00:00+00:00,0.31,0.00,2.798,195.859,0.000
2013-01-10T00:00:00+00:00,0.28,0.00,0.133,175.623,0.000
2013-01-10T06:00:00+00:00,0.00,0.00,0.042,159.718,0.000
2013-01-10T12:00:00+00:00,0.07,0.00,1.597,150.314,0.000
2013-01-10T18:00:00+00:00,0.00,0.00,2.133,137.875,0.000
2013-01-11T00:00:00+00:00,0.00,0.00,0.134,125.129,0.000
2013-01-11T06:00:00+00:00,0.00,0.00,0.039,112.266,0.000
2013-01-11T12:00:00+00:00,0.00,0.00,1.532,100.781,0.000
