2411,6035
datahora,pme,etp,qjus,qmon
2013-01-01 06:00:00+00:00,0.041,0.031,111.613,95.335
2013-01-01 12:00:00+00:00,2.705,1.897,114.903,96.195
2013-01-01 18:00:00+00:00,12.891,2.234,119.010,98.665
2013-01-02 00:00:00+00:00,0.540,0.080,123.898,101.100
2013-01-02 06:00:00+00:00,0.000,0.026,128.243,102.645
2013-01-02 12:00:00+00:00,0.700,2.099,132.670,104.017
2013-01-02 18:00:00+00:00,1.423,2.907,136.077,105.930
2013-01-03 00:00:00+00:00,0.359,0.110,139.953,107.405
2013-01-03 06:00:00+00:00,0.091,0.030,142.428,108.498
2013-01-03 12:00:00+00:00,0.000,2.107,144.312,109.060
2013-01-03 18:00:00+00:00,0.000,2.627,146.132,109.292
2013-01-04 00:00:00+00:00,0.000,0.118,148.043,109.323
2013-01-04 06:00:00+00:00,0.000,0.031,149.180,109.137
2013-01-04 12:00:00+00:00,0.000,1.920,150.283,108.845
2013-01-04 18:00:00+00:00,0.000,2.647,151.027,108.522
2013-01-05 00:00:00+00:00,0.000,0.101,152.420,108.077
2013-01-05 06:00:00+00:00,0.000,0.030,153.260,107.517
2013-01-05 12:00:00+00:00,0.000,1.893,153.838,106.862
2013-01-05 18:00:00+00:00,0.000,2.747,154.003,106.167
2013-01-06 00:00:00+00:00,0.000,0.109,156.002,105.407
2013-01-06 06:00:00+00:00,0.141,0.031,156.002,104.542
2013-01-06 12:00:00+00:00,5.786,2.125,157.065,103.793
2013-01-06 18:00:00+00:00,0.332,2.627,157.387,102.785
2013-01-07 00:00:00+00:00,8.095,0.086,159.193,101.987
2013-01-07 06:00:00+00:00,0.036,0.021,159.357,100.770
2013-01-07 12:00:00+00:00,0.064,1.910,159.262,99.225
2013-01-07 18:00:00+00:00,0.150,2.679,159.548,96.669
2013-01-08 00:00:00+00:00,0.064,0.125,160.128,94.407
2013-01-08 06:00:00+00:00,1.368,0.029,159.903,92.658
2013-01-08 12:00:00+00:00,16.313,2.040,160.320,88.900
2013-01-08 18:00:00+00:00,23.755,2.410,167.862,89.825
2013-01-09 00:00:00+00:00,0.000,0.090,174.253,94.042
2013-01-09 06:00:00+00:00,0.000,0.021,178.337,87.860
2013-01-09 12:00:00+00:00,0.000,2.183,181.045,83.708
2013-01-09 18:00:00+00:00,0.000,2.824,182.188,80.960
2013-01-10 00:00:00+00:00,0.000,0.083,184.475,77.218
2013-01-10 06:00:00+00:00,0.000,0.022,184.348,72.420
2013-01-10 12:00:00+00:00,0.000,1.827,183.047,68.142
2013-01-10 18:00:00+00:00,0.000,1.781,181.073,64.690
2013-01-11 00:00:00+00:00,0.000,0.054,180.152,60.903
2013-01-11 06:00:00+00:00,0.000,0.025,176.998,57.195
2013-01-11 12:00:00+00:00,0.000,1.611,172.722,53.923
2013-01-11 18:00:00+00:00,0.000,2.303,167.862,51.267
2013-01-12 00:00:00+00:00,0.000,0.083,163.630,48.447
2013-01-12 06:00:00+00:00,0.000,0.028,157.035,46.073
2013-01-12 12:00:00+00:00,0.000,1.715,148.920,44.307
2013-01-12 18:00:00+00:00,0.000,2.275,140.570,42.880
2013-01-13 00:00:00+00:00,0.000,0.079,133.978,41.500
2013-01-13 06:00:00+00:00,0.000,0.021,125.412,40.155
2013-01-13 12:00:00+00:00,0.000,1.779,117.223,39.115
2013-01-13 18:00:00+00:00,0.000,2.507,109.480,38.363
2013-01-14 00:00:00+00:00,0.000,0.083,104.875,37.347
2013-01-14 06:00:00+00:00,0.000,0.024,98.797,36.573
2013-01-14 12:00:00+00:00,0.055,2.100,93.662,35.935
2013-01-14 18:00:00+00:00,0.923,2.871,88.915,35.500
2013-01-15 00:00:00+00:00,4.586,0.074,87.075,37.430
2013-01-15 06:00:00+00:00,0.109,0.019,83.253,37.792
2013-01-15 12:00:00+00:00,0.000,2.033,80.723,37.657
2013-01-15 18:00:00+00:00,0.000,2.550,79.865,41.775
2013-01-16 00:00:00+00:00,2.850,0.071,83.150,46.030
2013-01-16 06:00:00+00:00,0.345,0.021,85.267,47.613
2013-01-16 12:00:00+00:00,0.000,1.926,89.292,47.682
2013-01-16 18:00:00+00:00,0.105,2.649,89.527,47.842
2013-01-17 00:00:00+00:00,0.791,0.095,90.242,47.125
2013-01-17 06:00:00+00:00,0.141,0.024,87.688,45.343
2013-01-17 12:00:00+00:00,0.009,2.288,86.050,43.230
2013-01-17 18:00:00+00:00,0.000,3.012,84.757,41.412
2013-01-18 00:00:00+00:00,0.000,0.097,86.528,40.158
2013-01-18 06:00:00+00:00,0.127,0.020,85.980,40.108
2013-01-18 12:00:00+00:00,0.009,1.919,85.540,40.713
2013-01-18 18:00:00+00:00,1.100,2.578,84.413,40.908
2013-01-19 00:00:00+00:00,12.749,0.089,85.847,47.733
2013-01-19 06:00:00+00:00,0.086,0.029,84.483,61.488
2013-01-19 12:00:00+00:00,0.009,1.781,84.210,47.577
2013-01-19 18:00:00+00:00,0.000,2.524,85.265,44.437
2013-01-20 00:00:00+00:00,0.000,0.092,88.508,43.705
2013-01-20 06:00:00+00:00,1.136,0.031,88.745,44.415
2013-01-20 12:00:00+00:00,0.000,1.907,87.860,46.748
2013-01-20 18:00:00+00:00,0.000,2.601,86.802,49.115
2013-01-21 00:00:00+00:00,0.000,0.089,87.585,50.678
2013-01-21 06:00:00+00:00,0.077,0.023,86.767,51.245
2013-01-21 12:00:00+00:00,0.027,2.293,85.265,51.075
2013-01-21 18:00:00+00:00,0.000,2.732,83.560,49.965
2013-01-22 00:00:00+00:00,0.000,0.084,83.253,47.995
2013-01-22 06:00:00+00:00,0.000,0.025,81.373,45.628
2013-01-22 12:00:00+00:00,0.000,1.927,79.518,43.315
2013-01-22 18:00:00+00:00,0.000,2.756,78.832,41.042
2013-01-23 00:00:00+00:00,0.000,0.073,80.003,39.045
2013-01-23 06:00:00+00:00,0.000,0.024,79.418,37.293
2013-01-23 12:00:00+00:00,0.000,1.870,78.902,35.702
2013-01-23 18:00:00+00:00,0.000,2.707,77.348,34.233
2013-01-24 00:00:00+00:00,0.000,0.072,78.418,33.007
2013-01-24 06:00:00+00:00,0.000,0.019,76.553,32.012
2013-01-24 12:00:00+00:00,0.000,1.760,74.522,31.263
2013-01-24 18:00:00+00:00,0.000,2.041,72.065,30.593
2013-01-25 00:00:00+00:00,0.000,0.046,72.137,29.895
2013-01-25 06:00:00+00:00,0.000,0.018,69.840,29.447
2013-01-25 12:00:00+00:00,0.000,1.487,67.192,29.258
2013-01-25 18:00:00+00:00,8.237,2.371,65.835,29.110
2013-01-26 00:00:00+00:00,0.155,0.074,65.137,28.895
2013-01-26 06:00:00+00:00,0.000,0.020,63.533,28.230
2013-01-26 12:00:00+00:00,0.000,1.866,61.198,28.587
2013-01-26 18:00:00+00:00,0.000,2.445,60.082,28.803
2013-01-27 00:00:00+00:00,0.000,0.069,60.915,28.905
2013-01-27 06:00:00+00:00,0.000,0.024,59.593,28.495
2013-01-27 12:00:00+00:00,0.000,1.829,58.370,28.078
2013-01-27 18:00:00+00:00,0.000,2.439,57.567,27.542
2013-01-28 00:00:00+00:00,0.000,0.083,58.722,26.358
2013-01-28 06:00:00+00:00,0.000,0.022,57.880,25.155
2013-01-28 12:00:00+00:00,0.000,1.848,57.047,24.678
2013-01-28 18:00:00+00:00,0.000,2.366,55.975,24.400
2013-01-29 00:00:00+00:00,0.000,0.069,56.910,23.613
2013-01-29 06:00:00+00:00,0.000,0.023,55.870,22.928
2013-01-29 12:00:00+00:00,0.000,1.791,54.367,22.708
2013-01-29 18:00:00+00:00,0.000,2.601,53.067,22.710
2013-01-30 00:00:00+00:00,0.000,0.089,54.100,22.082
2013-01-30 06:00:00+00:00,0.000,0.026,52.967,21.710
2013-01-30 12:00:00+00:00,0.000,2.020,51.233,21.915
2013-01-30 18:00:00+00:00,0.000,2.675,49.800,21.955
2013-01-31 00:00:00+00:00,0.000,0.077,50.833,21.408
2013-01-31 06:00:00+00:00,0.000,0.026,49.700,20.763
2013-01-31 12:00:00+00:00,0.000,1.757,48.568,20.693
2013-01-31 18:00:00+00:00,0.000,2.249,47.435,20.762
2013-02-01 00:00:00+00:00,0.000,0.058,48.608,20.235
2013-02-01 06:00:00+00:00,0.000,0.018,47.595,20.222
2013-02-01 12:00:00+00:00,0.000,2.048,46.902,19.968
2013-02-01 18:00:00+00:00,0.000,2.757,45.862,20.162
2013-02-02 00:00:00+00:00,0.000,0.086,46.995,19.617
2013-02-02 06:00:00+00:00,0.000,0.018,46.302,19.268
2013-02-02 12:00:00+00:00,0.000,2.023,45.330,19.320
2013-02-02 18:00:00+00:00,2.540,3.000,45.083,19.480
2013-02-03 00:00:00+00:00,11.895,0.104,46.838,19.158
2013-02-03 06:00:00+00:00,0.609,0.022,46.743,19.165
2013-02-03 12:00:00+00:00,0.009,1.900,46.428,19.743
2013-02-03 18:00:00+00:00,0.341,2.866,45.958,21.763
2013-02-04 00:00:00+00:00,12.468,0.094,47.662,28.005
2013-02-04 06:00:00+00:00,0.196,0.029,46.930,43.038
2013-02-04 12:00:00+00:00,0.386,2.115,46.240,52.118
2013-02-04 18:00:00+00:00,0.000,2.897,45.078,59.087
2013-02-05 00:00:00+00:00,0.000,0.101,46.242,64.737
2013-02-05 06:00:00+00:00,0.000,0.026,45.328,68.163
2013-02-05 12:00:00+00:00,0.000,2.050,45.013,69.743
2013-02-05 18:00:00+00:00,0.000,2.599,45.360,70.123
2013-02-06 00:00:00+00:00,0.000,0.079,49.247,70.470
2013-02-06 06:00:00+00:00,0.000,0.021,53.067,70.820
2013-02-06 12:00:00+00:00,0.000,1.880,58.408,71.280
2013-02-06 18:00:00+00:00,0.000,2.707,64.510,71.507
2013-02-07 00:00:00+00:00,0.145,0.087,71.508,71.222
2013-02-07 06:00:00+00:00,0.286,0.026,76.072,70.650
2013-02-07 12:00:00+00:00,2.264,2.015,80.208,69.857
2013-02-07 18:00:00+00:00,11.159,2.856,83.047,69.303
2013-02-08 00:00:00+00:00,9.199,0.093,87.930,76.397
2013-02-08 06:00:00+00:00,0.050,0.021,89.867,87.605
2013-02-08 12:00:00+00:00,0.104,1.982,91.055,86.575
2013-02-08 18:00:00+00:00,0.391,2.991,91.630,89.877
2013-02-09 00:00:00+00:00,2.033,0.119,93.018,92.305
2013-02-09 06:00:00+00:00,0.055,0.031,93.252,94.008
2013-02-09 12:00:00+00:00,0.141,1.684,93.863,94.668
2013-02-09 18:00:00+00:00,2.818,2.651,95.490,94.640
2013-02-10 00:00:00+00:00,1.768,0.077,98.997,95.378
2013-02-10 06:00:00+00:00,0.036,0.023,102.392,96.752
2013-02-10 12:00:00+00:00,0.177,1.763,105.845,98.553
2013-02-10 18:00:00+00:00,9.150,2.610,109.380,100.465
2013-02-11 00:00:00+00:00,0.541,0.079,113.942,101.658
2013-02-11 06:00:00+00:00,2.128,0.022,116.858,103.393
2013-02-11 12:00:00+00:00,0.196,1.791,119.243,104.790
2013-02-11 18:00:00+00:00,0.464,3.099,121.165,105.403
2013-02-12 00:00:00+00:00,7.781,0.128,125.278,105.722
2013-02-12 06:00:00+00:00,0.663,0.040,126.465,106.108
2013-02-12 12:00:00+00:00,0.192,1.953,128.177,106.697
2013-02-12 18:00:00+00:00,1.009,2.451,129.787,106.233
2013-02-13 00:00:00+00:00,10.981,0.082,133.457,105.993
2013-02-13 06:00:00+00:00,1.937,0.025,135.287,105.950
2013-02-13 12:00:00+00:00,0.091,1.566,136.663,105.732
2013-02-13 18:00:00+00:00,0.677,2.212,138.262,105.132
2013-02-14 00:00:00+00:00,0.041,0.061,140.832,104.577
2013-02-14 06:00:00+00:00,0.041,0.020,141.972,104.128
2013-02-14 12:00:00+00:00,0.041,1.261,143.207,103.445
2013-02-14 18:00:00+00:00,10.322,1.794,144.897,102.690
2013-02-15 00:00:00+00:00,2.214,0.044,147.168,101.863
2013-02-15 06:00:00+00:00,0.355,0.016,148.303,101.512
2013-02-15 12:00:00+00:00,0.373,1.381,149.405,101.600
2013-02-15 18:00:00+00:00,3.568,2.226,150.833,100.878
2013-02-16 00:00:00+00:00,3.245,0.059,153.517,99.927
2013-02-16 06:00:00+00:00,0.322,0.021,154.775,98.867
2013-02-16 12:00:00+00:00,0.000,1.312,155.067,97.803
2013-02-16 18:00:00+00:00,1.568,2.232,155.002,96.895
2013-02-17 00:00:00+00:00,5.413,0.062,156.228,96.133
2013-02-17 06:00:00+00:00,0.036,0.018,157.485,95.445
2013-02-17 12:00:00+00:00,0.000,1.832,157.260,95.088
