2590,8054
datahora,pme,etp,qjus,qmon
2013-01-01 06:00:00+00:00,0.004,0.032,273.990,271.998
2013-01-01 12:00:00+00:00,1.263,1.882,280.662,269.182
2013-01-01 18:00:00+00:00,6.049,2.243,288.392,266.975
2013-01-02 00:00:00+00:00,0.434,0.108,291.487,264.385
2013-01-02 06:00:00+00:00,0.000,0.029,,263.177
2013-01-02 12:00:00+00:00,0.834,2.082,,260.945
2013-01-02 18:00:00+00:00,0.763,2.872,,258.805
2013-01-03 00:00:00+00:00,0.500,0.137,,255.162
2013-01-03 06:00:00+00:00,0.317,0.032,,252.248
2013-01-03 12:00:00+00:00,0.004,2.078,,249.007
2013-01-03 18:00:00+00:00,0.000,2.622,,245.205
2013-01-04 00:00:00+00:00,0.000,0.141,,239.295
2013-01-04 06:00:00+00:00,0.000,0.032,290.688,234.318
2013-01-04 12:00:00+00:00,0.004,1.908,286.420,228.528
2013-01-04 18:00:00+00:00,0.000,2.624,281.027,222.583
2013-01-05 00:00:00+00:00,0.000,0.122,275.133,215.540
2013-01-05 06:00:00+00:00,0.000,0.030,268.835,210.918
2013-01-05 12:00:00+00:00,0.000,1.874,262.140,206.358
2013-01-05 18:00:00+00:00,0.000,2.717,255.128,200.852
2013-01-06 00:00:00+00:00,0.000,0.134,248.150,194.835
2013-01-06 06:00:00+00:00,0.125,0.031,241.195,192.017
2013-01-06 12:00:00+00:00,8.430,2.102,235.433,189.895
2013-01-06 18:00:00+00:00,0.192,2.643,229.533,186.877
2013-01-07 00:00:00+00:00,6.797,0.112,228.900,183.072
2013-01-07 06:00:00+00:00,0.104,0.023,226.267,180.353
2013-01-07 12:00:00+00:00,0.004,1.885,223.315,178.740
2013-01-07 18:00:00+00:00,0.088,2.629,216.843,176.097
2013-01-08 00:00:00+00:00,0.517,0.144,213.313,171.110
2013-01-08 06:00:00+00:00,0.875,0.031,210.188,167.277
2013-01-08 12:00:00+00:00,7.197,2.021,208.625,161.093
2013-01-08 18:00:00+00:00,11.875,2.389,209.938,156.613
2013-01-09 00:00:00+00:00,0.000,0.107,211.938,148.785
2013-01-09 06:00:00+00:00,0.004,0.023,213.782,142.717
2013-01-09 12:00:00+00:00,0.000,2.163,215.032,137.278
2013-01-09 18:00:00+00:00,0.000,2.777,215.250,133.253
2013-01-10 00:00:00+00:00,0.000,0.106,214.718,129.997
2013-01-10 06:00:00+00:00,0.000,0.023,214.500,129.938
2013-01-10 12:00:00+00:00,0.000,1.784,214.343,129.540
2013-01-10 18:00:00+00:00,0.000,1.773,213.282,127.250
2013-01-11 00:00:00+00:00,0.000,0.079,210.938,123.263
2013-01-11 06:00:00+00:00,0.000,0.028,207.000,121.917
2013-01-11 12:00:00+00:00,0.004,1.588,201.813,120.415
