2287,16376
datahora,pme,etp,qjus,qmon
2013-01-01 06:00:00+00:00,0.000,0.039,403.200,420.732
2013-01-01 12:00:00+00:00,1.929,1.806,421.917,432.175
2013-01-01 18:00:00+00:00,4.434,2.479,438.815,445.377
2013-01-02 00:00:00+00:00,0.190,0.150,453.648,455.804
2013-01-02 06:00:00+00:00,0.000,0.043,465.485,465.559
2013-01-02 12:00:00+00:00,0.038,2.146,476.425,474.488
2013-01-02 18:00:00+00:00,0.028,2.932,486.507,481.500
2013-01-03 00:00:00+00:00,0.095,0.166,495.278,487.879
2013-01-03 06:00:00+00:00,0.000,0.052,501.485,491.449
2013-01-03 12:00:00+00:00,0.000,2.031,506.702,493.216
2013-01-03 18:00:00+00:00,0.000,2.656,511.552,493.817
2013-01-04 00:00:00+00:00,0.000,0.178,513.042,494.066
2013-01-04 06:00:00+00:00,0.000,0.048,514.780,493.221
2013-01-04 12:00:00+00:00,0.000,1.920,515.525,490.880
2013-01-04 18:00:00+00:00,0.000,2.657,515.648,487.035
2013-01-05 00:00:00+00:00,0.000,0.151,514.532,483.215
2013-01-05 06:00:00+00:00,0.000,0.042,511.427,478.102
2013-01-05 12:00:00+00:00,0.000,1.928,507.200,472.072
2013-01-05 18:00:00+00:00,0.000,2.898,502.727,464.803
2013-01-06 00:00:00+00:00,0.014,0.149,496.767,459.155
2013-01-06 06:00:00+00:00,1.586,0.040,490.078,451.042
2013-01-06 12:00:00+00:00,2.029,2.065,483.555,445.000
2013-01-06 18:00:00+00:00,1.248,2.666,474.950,437.600
2013-01-07 00:00:00+00:00,7.010,0.127,474.213,437.133
2013-01-07 06:00:00+00:00,0.048,0.030,467.207,432.747
2013-01-07 12:00:00+00:00,0.028,1.936,458.875,427.810
2013-01-07 18:00:00+00:00,1.929,2.737,451.218,419.555
2013-01-08 00:00:00+00:00,0.214,0.167,443.677,414.862
2013-01-08 06:00:00+00:00,2.014,0.048,435.657,409.797
2013-01-08 12:00:00+00:00,11.047,2.041,429.967,407.413
2013-01-08 18:00:00+00:00,5.024,2.542,436.263,418.097
2013-01-09 00:00:00+00:00,0.000,0.138,444.772,431.997
2013-01-09 06:00:00+00:00,0.000,0.035,454.257,445.498
2013-01-09 12:00:00+00:00,0.000,2.148,466.592,457.743
2013-01-09 18:00:00+00:00,0.014,2.815,479.500,466.448
2013-01-10 00:00:00+00:00,0.000,0.127,490.197,474.255
2013-01-10 06:00:00+00:00,0.000,0.036,497.138,478.673
2013-01-10 12:00:00+00:00,0.014,1.716,504.342,481.115
2013-01-10 18:00:00+00:00,0.000,2.049,510.185,480.807
2013-01-11 00:00:00+00:00,0.000,0.114,513.910,479.813
2013-01-11 06:00:00+00:00,0.000,0.036,514.780,474.273
2013-01-11 12:00:00+00:00,0.000,1.587,512.545,465.597
2013-01-11 18:00:00+00:00,0.000,2.352,509.190,454.638
2013-01-12 00:00:00+00:00,0.000,0.137,502.727,443.495
