3029,22010
datahora,pme,etp,qjus,qmon
2013-01-01 06:00:00+00:00,0.004,0.036,407.642,480.300
2013-01-01 12:00:00+00:00,11.085,1.678,434.328,487.035
2013-01-01 18:00:00+00:00,7.180,2.752,466.338,500.548
2013-01-02 00:00:00+00:00,0.324,0.162,499.842,518.397
2013-01-02 06:00:00+00:00,0.000,0.051,526.740,541.592
2013-01-02 12:00:00+00:00,0.000,2.166,547.013,560.760
2013-01-02 18:00:00+00:00,0.166,2.991,559.863,569.527
2013-01-03 00:00:00+00:00,0.062,0.161,570.138,573.112
2013-01-03 06:00:00+00:00,0.000,0.062,576.840,573.532
2013-01-03 12:00:00+00:00,0.031,1.936,582.125,573.203
2013-01-03 18:00:00+00:00,0.008,2.725,583.558,572.965
2013-01-04 00:00:00+00:00,0.012,0.181,588.062,570.050
2013-01-04 06:00:00+00:00,0.004,0.048,590.610,569.140
2013-01-04 12:00:00+00:00,0.035,1.878,590.610,567.457
2013-01-04 18:00:00+00:00,0.004,2.731,589.825,564.840
2013-01-05 00:00:00+00:00,0.004,0.146,586.277,561.132
2013-01-05 06:00:00+00:00,0.000,0.040,584.742,556.760
2013-01-05 12:00:00+00:00,0.012,1.894,582.350,551.225
2013-01-05 18:00:00+00:00,0.100,3.170,574.375,545.550
2013-01-06 00:00:00+00:00,0.035,0.130,574.267,538.160
2013-01-06 06:00:00+00:00,9.954,0.036,571.687,530.728
2013-01-06 12:00:00+00:00,0.866,2.076,572.233,524.305
2013-01-06 18:00:00+00:00,10.265,2.811,569.348,518.175
2013-01-07 00:00:00+00:00,8.576,0.110,576.883,523.317
2013-01-07 06:00:00+00:00,0.058,0.027,579.727,528.073
2013-01-07 12:00:00+00:00,0.039,1.906,587.353,545.672
2013-01-07 18:00:00+00:00,1.640,2.857,597.600,551.997
2013-01-08 00:00:00+00:00,0.235,0.143,602.475,540.963
2013-01-08 06:00:00+00:00,11.800,0.050,607.173,532.933
2013-01-08 12:00:00+00:00,22.289,1.995,623.937,538.567
2013-01-08 18:00:00+00:00,7.607,2.612,664.357,572.945
2013-01-09 00:00:00+00:00,0.004,0.117,712.032,646.918
2013-01-09 06:00:00+00:00,0.000,0.034,762.212,679.450
2013-01-09 12:00:00+00:00,0.000,2.044,795.118,680.610
2013-01-09 18:00:00+00:00,0.008,2.808,807.740,675.360
2013-01-10 00:00:00+00:00,0.781,0.116,802.937,665.818
2013-01-10 06:00:00+00:00,0.016,0.039,793.637,656.855
2013-01-10 12:00:00+00:00,0.012,1.562,784.355,654.657
