978
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.13,0.00,0.039,31.407,0.000
2013-01-01T12:00:00+00:00,10.82,0.00,1.944,33.210,0.000
2013-01-01T18:00:00+00:00,7.76,0.00,2.669,35.846,0.000
2013-01-02T00:00:00+00:00,0.35,0.00,0.116,36.281,0.000
2013-01-02T06:00:00+00:00,0.03,0.00,0.048,44.321,0.000
2013-01-02T12:00:00+00:00,0.17,0.00,2.350,52.799,0.000
2013-01-02T18:00:00+00:00,0.08,0.00,3.168,53.678,0.000
2013-01-03T00:00:00+00:00,0.06,0.00,0.143,48.296,0.000
2013-01-03T06:00:00+00:00,0.03,0.00,0.070,41.271,0.000
2013-01-03T12:00:00+00:00,0.01,0.00,2.195,36.156,0.000
2013-01-03T18:00:00+00:00,0.01,0.00,2.773,33.057,0.000
2013-01-04T00:00:00+00:00,0.00,0.00,0.152,29.766,0.000
2013-01-04T06:00:00+00:00,0.00,0.00,0.065,27.131,0.000
2013-01-04T12:00:00+00:00,0.01,0.00,2.161,25.542,0.000
2013-01-04T18:00:00+00:00,0.00,0.00,2.710,25.096,0.000
2013-01-05T00:00:00+00:00,0.20,0.00,0.120,23.535,0.000
2013-01-05T06:00:00+00:00,0.00,0.00,0.053,22.309,0.000
2013-01-05T12:00:00+00:00,0.00,0.00,2.156,21.554,0.000
2013-01-05T18:00:00+00:00,0.08,0.00,3.032,21.129,0.000
2013-01-06T00:00:00+00:00,0.02,0.00,0.116,20.127,0.000
2013-01-06T06:00:00+00:00,5.73,0.00,0.049,19.275,0.000
2013-01-06T12:00:00+00:00,1.42,0.00,2.147,18.674,0.000
2013-01-06T18:00:00+00:00,9.49,0.00,2.707,20.233,0.000
2013-01-07T00:00:00+00:00,11.94,0.00,0.093,27.050,0.000
2013-01-07T06:00:00+00:00,0.03,0.00,0.039,42.474,0.000
2013-01-07T12:00:00+00:00,0.03,0.00,2.198,65.706,0.000
2013-01-07T18:00:00+00:00,5.38,0.00,2.858,68.919,0.000
2013-01-08T00:00:00+00:00,1.49,0.00,0.151,70.020,0.000
2013-01-08T06:00:00+00:00,8.39,0.00,0.064,66.609,0.000
2013-01-08T12:00:00+00:00,33.10,0.00,2.242,71.463,0.000
2013-01-08T18:00:00+00:00,7.67,0.00,2.795,171.542,0.000
2013-01-09T00:00:00+00:00,0.02,0.00,0.124,235.002,0.000
2013-01-09T06:00:00+00:00,0.00,0.00,0.052,207.493,0.000
2013-01-09T12:00:00+00:00,0.01,0.00,2.400,174.564,0.000
2013-01-09T18:00:00+00:00,0.43,0.00,2.952,155.732,0.000
2013-01-10T00:00:00+00:00,0.40,0.00,0.094,136.691,0.000
2013-01-10T06:00:00+00:00,0.00,0.00,0.046,122.725,0.000
2013-01-10T12:00:00+00:00,0.00,0.00,1.887,106.774,0.000
2013-01-10T18:00:00+00:00,0.00,0.00,2.309,91.758,0.000
2013-01-11T00:00:00+00:00,0.00,0.00,0.100,78.633,0.000
2013-01-11T06:00:00+00:00,0.00,0.00,0.047,68.213,0.000
2013-01-11T12:00:00+00:00,0.00,0.00,1.744,59.943,0.000
2013-01-11T18:00:00+00:00,0.00,0.00,2.402,52.968,0.000
2013-01-12T00:00:00+00:00,0.00,0.00,0.119,46.775,0.000
2013-01-12T06:00:00+00:00,0.00,0.00,0.049,42.460,0.000
2013-01-12T12:00:00+00:00,0.00,0.00,1.818,39.751,0.000
2013-01-12T18:00:00+00:00,0.00,0.00,2.520,38.330,0.000
2013-01-13T00:00:00+00:00,0.00,0.00,0.126,36.073,0.000
2013-01-13T06:00:00+00:00,0.00,0.00,0.055,34.065,0.000
2013-01-13T12:00:00+00:00,0.00,0.00,1.914,32.629,0.000
2013-01-13T18:00:00+00:00,0.01,0.00,2.724,32.110,0.000
2013-01-14T00:00:00+00:00,0.00,0.00,0.118,30.644,0.000
2013-01-14T06:00:00+00:00,0.00,0.00,0.047,29.148,0.000
2013-01-14T12:00:00+00:00,0.00,0.00,2.162,28.413,0.000
2013-01-14T18:00:00+00:00,0.19,0.00,2.991,28.218,0.000
2013-01-15T00:00:00+00:00,0.58,0.00,0.103,27.075,0.000
2013-01-15T06:00:00+00:00,0.18,0.00,0.029,26.100,0.000
2013-01-15T12:00:00+00:00,0.00,0.00,2.025,27.730,0.000
2013-01-15T18:00:00+00:00,0.28,0.00,2.598,30.125,0.000
2013-01-16T00:00:00+00:00,1.99,0.00,0.094,28.551,0.000
2013-01-16T06:00:00+00:00,0.59,0.00,0.037,31.473,0.000
2013-01-16T12:00:00+00:00,0.00,0.00,2.082,38.792,0.000
2013-01-16T18:00:00+00:00,0.51,0.00,2.843,35.744,0.000
2013-01-17T00:00:00+00:00,4.36,0.00,0.141,32.629,0.000
2013-01-17T06:00:00+00:00,0.04,0.00,0.052,29.250,0.000
2013-01-17T12:00:00+00:00,0.01,0.00,2.413,27.912,0.000
2013-01-17T18:00:00+00:00,0.27,0.00,3.131,26.852,0.000
2013-01-18T00:00:00+00:00,1.11,0.00,0.135,25.291,0.000
2013-01-18T06:00:00+00:00,0.03,0.00,0.045,23.954,0.000
2013-01-18T12:00:00+00:00,0.01,0.00,2.085,23.535,0.000
2013-01-18T18:00:00+00:00,1.33,0.00,2.779,24.204,0.000
2013-01-19T00:00:00+00:00,2.83,0.00,0.118,23.535,0.000
2013-01-19T06:00:00+00:00,0.02,0.00,0.061,23.117,0.000
2013-01-19T12:00:00+00:00,0.01,0.00,2.004,22.727,0.000
2013-01-19T18:00:00+00:00,0.00,0.00,2.673,22.978,0.000
2013-01-20T00:00:00+00:00,0.00,0.00,0.155,22.420,0.000
2013-01-20T06:00:00+00:00,0.15,0.00,0.069,21.329,0.000
2013-01-20T12:00:00+00:00,0.00,0.00,2.102,20.377,0.000
2013-01-20T18:00:00+00:00,0.05,0.00,2.659,19.952,0.000
2013-01-21T00:00:00+00:00,0.08,0.00,0.116,18.875,0.000
2013-01-21T06:00:00+00:00,0.01,0.00,0.049,18.349,0.000
