1004
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.28,0.00,0.045,53.265,0.000
2013-01-01T12:00:00+00:00,20.28,0.00,1.757,46.283,0.000
2013-01-01T18:00:00+00:00,8.03,0.00,2.781,49.787,0.000
2013-01-02T00:00:00+00:00,0.26,0.00,0.184,53.845,0.000
2013-01-02T06:00:00+00:00,0.03,0.00,0.057,55.585,0.000
2013-01-02T12:00:00+00:00,0.08,0.00,2.185,54.667,0.000
2013-01-02T18:00:00+00:00,0.09,0.00,2.996,49.550,0.000
2013-01-03T00:00:00+00:00,0.07,0.00,0.183,44.246,0.000
2013-01-03T06:00:00+00:00,0.01,0.00,0.077,39.899,0.000
2013-01-03T12:00:00+00:00,0.01,0.00,1.997,35.373,0.000
2013-01-03T18:00:00+00:00,0.01,0.00,2.720,33.073,0.000
2013-01-04T00:00:00+00:00,0.01,0.00,0.195,31.427,0.000
2013-01-04T06:00:00+00:00,0.00,0.00,0.066,28.870,0.000
2013-01-04T12:00:00+00:00,0.06,0.00,1.956,26.374,0.000
2013-01-04T18:00:00+00:00,0.00,0.00,2.769,25.946,0.000
2013-01-05T00:00:00+00:00,0.19,0.00,0.157,24.254,0.000
2013-01-05T06:00:00+00:00,0.00,0.00,0.050,22.907,0.000
2013-01-05T12:00:00+00:00,0.00,0.00,1.982,21.224,0.000
2013-01-05T18:00:00+00:00,0.10,0.00,3.069,20.719,0.000
2013-01-06T00:00:00+00:00,0.09,0.00,0.153,20.172,0.000
2013-01-06T06:00:00+00:00,10.05,0.00,0.047,20.466,0.000
2013-01-06T12:00:00+00:00,0.74,0.00,2.025,23.033,0.000
2013-01-06T18:00:00+00:00,10.24,0.00,2.774,23.244,0.000
2013-01-07T00:00:00+00:00,6.93,0.00,0.139,33.032,0.000
2013-01-07T06:00:00+00:00,0.05,0.00,0.036,35.067,0.000
2013-01-07T12:00:00+00:00,0.01,0.00,1.948,42.304,0.000
2013-01-07T18:00:00+00:00,7.77,0.00,2.873,49.108,0.000
2013-01-08T00:00:00+00:00,3.51,0.00,0.178,48.011,0.000
2013-01-08T06:00:00+00:00,15.39,0.00,0.064,49.942,0.000
