1654,1654
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,0.61,0.00,0.062,24.667,
2013-01-01T12:00:00+00:00,25.86,0.00,1.925,25.642,
2013-01-01T18:00:00+00:00,9.68,0.00,2.949,29.883,
2013-01-02T00:00:00+00:00,0.23,0.00,0.195,38.917,
2013-01-02T06:00:00+00:00,0.02,0.00,0.071,47.412,
2013-01-02T12:00:00+00:00,0.06,0.00,2.300,54.092,
2013-01-02T18:00:00+00:00,0.04,0.00,3.100,51.617,
2013-01-03T00:00:00+00:00,0.01,0.00,0.208,47.492,
2013-01-03T06:00:00+00:00,0.00,0.00,0.108,42.879,
2013-01-03T12:00:00+00:00,0.01,0.00,2.174,38.833,
2013-01-03T18:00:00+00:00,0.01,0.00,2.807,35.000,
2013-01-04T00:00:00+00:00,0.00,0.00,0.200,31.831,
2013-01-04T06:00:00+00:00,0.00,0.00,0.102,29.387,
2013-01-04T12:00:00+00:00,0.03,0.00,2.151,27.298,
2013-01-04T18:00:00+00:00,0.00,0.00,2.921,25.633,
2013-01-05T00:00:00+00:00,0.26,0.00,0.156,24.150,
2013-01-05T06:00:00+00:00,0.00,0.00,0.067,23.042,
2013-01-05T12:00:00+00:00,0.00,0.00,2.233,22.108,
2013-01-05T18:00:00+00:00,0.17,0.00,2.992,21.292,
2013-01-06T00:00:00+00:00,0.02,0.00,0.171,20.446,
2013-01-06T06:00:00+00:00,11.36,0.00,0.067,20.096,
2013-01-06T12:00:00+00:00,0.75,0.00,2.078,19.862,
2013-01-06T18:00:00+00:00,9.15,0.00,2.829,20.767,
2013-01-07T00:00:00+00:00,12.04,0.00,0.163,28.875,
2013-01-07T06:00:00+00:00,0.08,0.00,0.051,30.131,
2013-01-07T12:00:00+00:00,0.01,0.00,2.060,31.017,
2013-01-07T18:00:00+00:00,3.31,0.00,3.040,33.621,
2013-01-08T00:00:00+00:00,3.85,0.00,0.217,38.292,
2013-01-08T06:00:00+00:00,23.46,0.00,0.090,44.125,
2013-01-08T12:00:00+00:00,40.40,0.00,2.295,106.242,
2013-01-08T18:00:00+00:00,4.75,0.00,2.945,217.700,
2013-01-09T00:00:00+00:00,0.02,0.00,0.193,256.625,
2013-01-09T06:00:00+00:00,0.00,0.00,0.079,247.250,
2013-01-09T12:00:00+00:00,0.02,0.00,2.315,209.600,
2013-01-09T18:00:00+00:00,0.16,0.00,3.051,168.175,
2013-01-10T00:00:00+00:00,0.77,0.00,0.150,141.600,
2013-01-10T06:00:00+00:00,0.00,0.00,0.079,123.067,
2013-01-10T12:00:00+00:00,0.00,0.00,1.744,110.513,
2013-01-10T18:00:00+00:00,0.00,0.00,2.388,96.938,
2013-01-11T00:00:00+00:00,0.00,0.00,0.159,85.188,
2013-01-11T06:00:00+00:00,0.00,0.00,0.077,76.300,
2013-01-11T12:00:00+00:00,0.00,0.00,1.695,69.225,
2013-01-11T18:00:00+00:00,0.00,0.00,2.494,63.633,
2013-01-12T00:00:00+00:00,0.00,0.00,0.185,59.500,
2013-01-12T06:00:00+00:00,0.00,0.00,0.082,56.017,
2013-01-12T12:00:00+00:00,0.00,0.00,1.887,52.808,
2013-01-12T18:00:00+00:00,0.00,0.00,2.667,49.692,
2013-01-13T00:00:00+00:00,0.00,0.00,0.205,47.171,
2013-01-13T06:00:00+00:00,0.00,0.00,0.089,45.017,
2013-01-13T12:00:00+00:00,0.00,0.00,1.808,42.804,
2013-01-13T18:00:00+00:00,0.00,0.00,3.059,41.000,
2013-01-14T00:00:00+00:00,0.00,0.00,0.193,39.375,
2013-01-14T06:00:00+00:00,0.00,0.00,0.063,37.875,
2013-01-14T12:00:00+00:00,0.01,0.00,2.053,36.542,
2013-01-14T18:00:00+00:00,0.06,0.00,2.971,35.250,
2013-01-15T00:00:00+00:00,1.74,0.00,0.159,34.000,
2013-01-15T06:00:00+00:00,0.70,0.00,0.037,35.917,
2013-01-15T12:00:00+00:00,0.00,0.00,1.904,47.133,
2013-01-15T18:00:00+00:00,0.11,0.00,2.394,50.471,
2013-01-16T00:00:00+00:00,2.24,0.00,0.140,42.871,
2013-01-16T06:00:00+00:00,0.38,0.00,0.061,44.971,
2013-01-16T12:00:00+00:00,0.02,0.00,2.016,45.383,
2013-01-16T18:00:00+00:00,0.16,0.00,2.986,45.525,
2013-01-17T00:00:00+00:00,2.93,0.00,0.217,41.458,
2013-01-17T06:00:00+00:00,0.04,0.00,0.082,39.208,
2013-01-17T12:00:00+00:00,0.00,0.00,2.328,36.833,
2013-01-17T18:00:00+00:00,0.49,0.00,3.257,35.125,
