1083
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,1.20,0.00,0.051,17.259,0.000
2013-01-01T12:00:00+00:00,30.80,0.00,2.132,18.041,0.000
2013-01-01T18:00:00+00:00,10.89,0.00,2.914,29.467,0.000
2013-01-02T00:00:00+00:00,0.30,0.00,0.140,46.421,0.000
2013-01-02T06:00:00+00:00,0.02,0.00,0.054,82.117,0.000
2013-01-02T12:00:00+00:00,0.04,0.00,2.409,133.496,0.000
2013-01-02T18:00:00+00:00,0.00,0.00,2.974,127.454,0.000
2013-01-03T00:00:00+00:00,0.01,0.00,0.110,105.154,0.000
2013-01-03T06:00:00+00:00,0.00,0.00,0.078,85.962,0.000
2013-01-03T12:00:00+00:00,0.00,0.00,2.252,70.967,0.000
2013-01-03T18:00:00+00:00,0.24,0.00,2.993,59.833,0.000
2013-01-04T00:00:00+00:00,0.00,0.00,0.154,51.950,0.000
2013-01-04T06:00:00+00:00,0.00,0.00,0.070,45.121,0.000
2013-01-04T12:00:00+00:00,0.00,0.00,2.249,39.367,0.000
2013-01-04T18:00:00+00:00,0.00,0.00,2.953,34.933,0.000
2013-01-05T00:00:00+00:00,2.08,0.00,0.127,31.400,0.000
2013-01-05T06:00:00+00:00,0.00,0.00,0.066,28.067,0.000
2013-01-05T12:00:00+00:00,0.00,0.00,2.235,25.100,0.000
2013-01-05T18:00:00+00:00,0.03,0.00,2.984,22.367,0.000
2013-01-06T00:00:00+00:00,0.00,0.00,0.130,20.386,0.000
2013-01-06T06:00:00+00:00,7.50,0.00,0.064,19.018,0.000
2013-01-06T12:00:00+00:00,0.38,0.00,2.095,19.828,0.000
2013-01-06T18:00:00+00:00,3.11,0.00,2.907,19.464,0.000
2013-01-07T00:00:00+00:00,6.09,0.00,0.141,28.839,0.000
2013-01-07T06:00:00+00:00,0.00,0.00,0.047,51.338,0.000
2013-01-07T12:00:00+00:00,0.01,0.00,2.426,58.433,0.000
2013-01-07T18:00:00+00:00,0.73,0.00,3.214,94.279,0.000
2013-01-08T00:00:00+00:00,3.92,0.00,0.174,82.117,0.000
2013-01-08T06:00:00+00:00,7.86,0.00,0.081,66.875,0.000
2013-01-08T12:00:00+00:00,41.40,0.00,2.505,63.583,0.000
2013-01-08T18:00:00+00:00,9.44,0.00,3.111,120.175,0.000
2013-01-09T00:00:00+00:00,0.21,0.00,0.166,253.554,0.000
2013-01-09T06:00:00+00:00,0.00,0.00,0.074,484.338,0.000
2013-01-09T12:00:00+00:00,0.00,0.00,2.414,423.325,0.000
2013-01-09T18:00:00+00:00,0.15,0.00,2.940,270.838,0.000
2013-01-10T00:00:00+00:00,0.18,0.00,0.150,192.383,0.000
2013-01-10T06:00:00+00:00,0.00,0.00,0.058,147.042,0.000
2013-01-10T12:00:00+00:00,0.00,0.00,2.144,117.808,0.000
2013-01-10T18:00:00+00:00,0.00,0.00,2.612,98.638,0.000
2013-01-11T00:00:00+00:00,0.00,0.00,0.128,83.946,0.000
2013-01-11T06:00:00+00:00,0.00,0.00,0.058,71.163,0.000
2013-01-11T12:00:00+00:00,0.00,0.00,1.752,60.375,0.000
2013-01-11T18:00:00+00:00,0.00,0.00,2.179,52.629,0.000
2013-01-12T00:00:00+00:00,0.00,0.00,0.092,47.400,0.000
2013-01-12T06:00:00+00:00,0.00,0.00,0.057,42.300,0.000
2013-01-12T12:00:00+00:00,0.00,0.00,2.050,37.800,0.000
2013-01-12T18:00:00+00:00,0.00,0.00,2.622,33.900,0.000
2013-01-13T00:00:00+00:00,0.00,0.00,0.090,31.233,0.000
2013-01-13T06:00:00+00:00,0.00,0.00,0.049,28.267,0.000
2013-01-13T12:00:00+00:00,0.00,0.00,2.003,25.200,0.000
2013-01-13T18:00:00+00:00,0.00,0.00,2.651,22.800,0.000
2013-01-14T00:00:00+00:00,0.00,0.00,0.101,20.938,0.000
2013-01-14T06:00:00+00:00,0.00,0.00,0.038,19.353,0.000
2013-01-14T12:00:00+00:00,0.00,0.00,2.189,17.538,0.000
2013-01-14T18:00:00+00:00,0.06,0.00,3.012,16.338,0.000
2013-01-15T00:00:00+00:00,0.28,0.00,0.117,15.389,0.000
2013-01-15T06:00:00+00:00,0.07,0.00,0.031,14.261,0.000
2013-01-15T12:00:00+00:00,0.00,0.00,1.925,13.145,0.000
2013-01-15T18:00:00+00:00,0.02,0.00,2.446,12.407,0.000
2013-01-16T00:00:00+00:00,2.86,0.00,0.115,11.891,0.000
2013-01-16T06:00:00+00:00,1.06,0.00,0.043,11.375,0.000
2013-01-16T12:00:00+00:00,0.01,0.00,2.293,11.424,0.000
2013-01-16T18:00:00+00:00,0.12,0.00,3.199,12.702,0.000
2013-01-17T00:00:00+00:00,2.53,0.00,0.165,11.645,0.000
2013-01-17T06:00:00+00:00,0.03,0.00,0.063,10.760,0.000
2013-01-17T12:00:00+00:00,0.00,0.00,2.416,9.801,0.000
2013-01-17T18:00:00+00:00,0.05,0.00,3.086,9.162,0.000
2013-01-18T00:00:00+00:00,0.13,0.00,0.132,8.769,0.000
2013-01-18T06:00:00+00:00,0.01,0.00,0.061,8.146,0.000
2013-01-18T12:00:00+00:00,0.00,0.00,2.169,7.440,0.000
2013-01-18T18:00:00+00:00,0.35,0.00,2.950,7.068,0.000
2013-01-19T00:00:00+00:00,0.63,0.00,0.122,6.970,0.000
2013-01-19T06:00:00+00:00,0.00,0.00,0.064,6.500,0.000
2013-01-19T12:00:00+00:00,0.00,0.00,2.151,5.991,0.000
2013-01-19T18:00:00+00:00,0.00,0.00,2.779,5.639,0.000
2013-01-20T00:00:00+00:00,0.00,0.00,0.145,5.580,0.000
2013-01-20T06:00:00+00:00,0.03,0.00,0.101,5.228,0.000
2013-01-20T12:00:00+00:00,0.00,0.00,2.140,4.914,0.000
2013-01-20T18:00:00+00:00,0.15,0.00,2.755,4.659,0.000
2013-01-21T00:00:00+00:00,0.03,0.00,0.136,4.522,0.000
2013-01-21T06:00:00+00:00,0.00,0.00,0.062,4.170,0.000
2013-01-21T12:00:00+00:00,0.08,0.00,2.335,3.796,0.000
2013-01-21T18:00:00+00:00,0.00,0.00,3.105,3.577,0.000
2013-01-22T00:00:00+00:00,0.00,0.00,0.123,3.812,0.000
2013-01-22T06:00:00+00:00,0.00,0.00,0.047,4.131,0.000
2013-01-22T12:00:00+00:00,0.00,0.00,2.039,3.563,0.000
2013-01-22T18:00:00+00:00,0.00,0.00,2.930,3.495,0.000
2013-01-23T00:00:00+00:00,0.00,0.00,0.096,3.562,0.000
2013-01-23T06:00:00+00:00,0.00,0.00,0.034,3.363,0.000
2013-01-23T12:00:00+00:00,0.00,0.00,1.713,3.050,0.000
2013-01-23T18:00:00+00:00,0.00,0.00,2.326,2.863,0.000
2013-01-24T00:00:00+00:00,0.00,0.00,0.071,2.975,0.000
2013-01-24T06:00:00+00:00,0.00,0.00,0.038,2.800,0.000
2013-01-24T12:00:00+00:00,0.00,0.00,1.872,2.462,0.000
2013-01-24T18:00:00+00:00,0.01,0.00,2.311,2.288,0.000
2013-01-25T00:00:00+00:00,0.00,0.00,0.087,2.438,0.000
2013-01-25T06:00:00+00:00,0.00,0.00,0.038,2.375,0.000
2013-01-25T12:00:00+00:00,0.16,0.00,1.609,2.137,0.000
2013-01-25T18:00:00+00:00,4.53,0.00,2.396,2.238,0.000
2013-01-26T00:00:00+00:00,0.00,0.00,0.097,3.075,0.000
2013-01-26T06:00:00+00:00,0.00,0.00,0.034,3.100,0.000
2013-01-26T12:00:00+00:00,0.00,0.00,2.093,2.950,0.000
2013-01-26T18:00:00+00:00,0.00,0.00,2.862,2.863,0.000
2013-01-27T00:00:00+00:00,0.00,0.00,0.140,2.837,0.000
2013-01-27T06:00:00+00:00,0.00,0.00,0.079,2.550,0.000
2013-01-27T12:00:00+00:00,0.00,0.00,2.206,2.075,0.000
2013-01-27T18:00:00+00:00,0.00,0.00,3.055,1.800,0.000
2013-01-28T00:00:00+00:00,0.00,0.00,0.136,1.863,0.000
2013-01-28T06:00:00+00:00,0.00,0.00,0.054,1.825,0.000
2013-01-28T12:00:00+00:00,0.00,0.00,1.849,1.475,0.000
2013-01-28T18:00:00+00:00,0.00,0.00,2.382,1.363,0.000
2013-01-29T00:00:00+00:00,0.00,0.00,0.071,1.487,0.000
2013-01-29T06:00:00+00:00,0.00,0.00,0.033,1.325,0.000
2013-01-29T12:00:00+00:00,0.00,0.00,1.883,1.188,0.000
2013-01-29T18:00:00+00:00,0.00,0.00,2.475,1.075,0.000
2013-01-30T00:00:00+00:00,0.00,0.00,0.110,1.162,0.000
2013-01-30T06:00:00+00:00,0.00,0.00,0.044,1.012,0.000
2013-01-30T12:00:00+00:00,0.00,0.00,1.908,0.907,0.000
2013-01-30T18:00:00+00:00,0.00,0.00,2.399,0.750,0.000
2013-01-31T00:00:00+00:00,0.00,0.00,0.086,0.812,0.000
2013-01-31T06:00:00+00:00,0.00,0.00,0.027,0.700,0.000
2013-01-31T12:00:00+00:00,0.00,0.00,1.803,0.652,0.000
2013-01-31T18:00:00+00:00,0.00,0.00,2.537,0.651,0.000
2013-02-01T00:00:00+00:00,0.00,0.00,0.075,0.664,0.000
2013-02-01T06:00:00+00:00,0.00,0.00,0.033,0.633,0.000
2013-02-01T12:00:00+00:00,0.00,0.00,1.637,0.608,0.000
2013-02-01T18:00:00+00:00,0.00,0.00,2.399,0.586,0.000
2013-02-02T00:00:00+00:00,0.36,0.00,0.075,0.605,0.000
2013-02-02T06:00:00+00:00,0.00,0.00,0.025,0.580,0.000
2013-02-02T12:00:00+00:00,0.00,0.00,1.947,0.541,0.000
2013-02-02T18:00:00+00:00,0.17,0.00,2.999,0.552,0.000
2013-02-03T00:00:00+00:00,8.36,0.00,0.107,0.591,0.000
2013-02-03T06:00:00+00:00,1.56,0.00,0.029,0.566,0.000
2013-02-03T12:00:00+00:00,0.28,0.00,1.948,0.552,0.000
2013-02-03T18:00:00+00:00,1.52,0.00,3.079,0.574,0.000
2013-02-04T00:00:00+00:00,2.08,0.00,0.117,0.847,0.000
2013-02-04T06:00:00+00:00,0.00,0.00,0.044,1.300,0.000
2013-02-04T12:00:00+00:00,0.01,0.00,2.058,1.087,0.000
2013-02-04T18:00:00+00:00,0.00,0.00,2.982,0.726,0.000
2013-02-05T00:00:00+00:00,0.00,0.00,0.104,0.700,0.000
2013-02-05T06:00:00+00:00,0.00,0.00,0.035,nan,0.000
2013-02-05T12:00:00+00:00,0.00,0.00,1.773,0.655,0.000
2013-02-05T18:00:00+00:00,0.00,0.00,2.596,0.705,0.000
2013-02-06T00:00:00+00:00,0.00,0.00,0.087,0.678,0.000
2013-02-06T06:00:00+00:00,0.00,0.00,0.042,0.633,0.000
2013-02-06T12:00:00+00:00,0.68,0.00,1.893,0.616,0.000
2013-02-06T18:00:00+00:00,0.56,0.00,2.992,0.619,0.000
2013-02-07T00:00:00+00:00,8.56,0.00,0.112,0.633,0.000
2013-02-07T06:00:00+00:00,3.39,0.00,0.054,nan,0.000
2013-02-07T12:00:00+00:00,0.74,0.00,1.951,0.675,0.000
2013-02-07T18:00:00+00:00,3.86,0.00,2.911,0.622,0.000
2013-02-08T00:00:00+00:00,0.49,0.00,0.128,0.650,0.000
2013-02-08T06:00:00+00:00,0.00,0.00,0.076,0.641,0.000
2013-02-08T12:00:00+00:00,0.00,0.00,2.244,0.625,0.000
2013-02-08T18:00:00+00:00,0.04,0.00,3.266,0.602,0.000
2013-02-09T00:00:00+00:00,2.36,0.00,0.126,0.628,0.000
2013-02-09T06:00:00+00:00,0.06,0.00,0.070,0.614,0.000
2013-02-09T12:00:00+00:00,0.05,0.00,1.966,0.563,0.000
2013-02-09T18:00:00+00:00,5.91,0.00,2.694,0.566,0.000
2013-02-10T00:00:00+00:00,2.39,0.00,0.096,0.587,0.000
2013-02-10T06:00:00+00:00,0.07,0.00,0.039,nan,0.000
2013-02-10T12:00:00+00:00,0.21,0.00,1.906,0.521,0.000
2013-02-10T18:00:00+00:00,1.95,0.00,3.130,0.538,0.000
2013-02-11T00:00:00+00:00,0.15,0.00,0.144,0.586,0.000
2013-02-11T06:00:00+00:00,0.05,0.00,0.069,0.572,0.000
2013-02-11T12:00:00+00:00,0.35,0.00,2.268,0.555,0.000
2013-02-11T18:00:00+00:00,0.83,0.00,3.229,0.563,0.000
2013-02-12T00:00:00+00:00,0.83,0.00,0.182,0.587,0.000
2013-02-12T06:00:00+00:00,0.21,0.00,0.089,nan,0.000
2013-02-12T12:00:00+00:00,0.10,0.00,2.135,0.575,0.000
2013-02-12T18:00:00+00:00,0.96,0.00,2.641,1.539,0.000
