6694
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T06:00:00+00:00,1.59,0.00,0.056,262.307,0.000
2013-01-01T12:00:00+00:00,29.72,0.00,2.216,268.820,0.000
2013-01-01T18:00:00+00:00,6.51,0.00,3.018,303.841,0.000
2013-01-02T00:00:00+00:00,0.12,0.00,0.219,334.415,0.000
2013-01-02T06:00:00+00:00,0.00,0.00,0.057,372.180,0.000
2013-01-02T12:00:00+00:00,0.02,0.00,2.484,395.560,0.000
2013-01-02T18:00:00+00:00,0.00,0.00,2.982,395.769,0.000
2013-01-03T00:00:00+00:00,0.01,0.00,0.200,390.968,0.000
2013-01-03T06:00:00+00:00,0.00,0.00,0.111,388.880,0.000
2013-01-03T12:00:00+00:00,0.00,0.00,2.452,383.452,0.000
2013-01-03T18:00:00+00:00,0.06,0.00,3.002,371.345,0.000
2013-01-04T00:00:00+00:00,0.00,0.00,0.213,356.765,0.000
2013-01-04T06:00:00+00:00,0.00,0.00,0.100,340.550,0.000
2013-01-04T12:00:00+00:00,0.00,0.00,2.376,322.935,0.000
2013-01-04T18:00:00+00:00,0.00,0.00,3.189,306.586,0.000
2013-01-05T00:00:00+00:00,1.02,0.00,0.194,292.491,0.000
2013-01-05T06:00:00+00:00,0.00,0.00,0.080,275.309,0.000
2013-01-05T12:00:00+00:00,0.00,0.00,2.332,255.887,0.000
2013-01-05T18:00:00+00:00,0.06,0.00,3.202,244.507,0.000
2013-01-06T00:00:00+00:00,0.01,0.00,0.213,234.527,0.000
2013-01-06T06:00:00+00:00,12.45,0.00,0.079,231.376,0.000
2013-01-06T12:00:00+00:00,0.41,0.00,2.136,240.480,0.000
2013-01-06T18:00:00+00:00,5.49,0.00,3.155,234.527,0.000
2013-01-07T00:00:00+00:00,13.83,0.00,0.184,229.450,0.000
2013-01-07T06:00:00+00:00,0.02,0.00,0.043,225.773,0.000
2013-01-07T12:00:00+00:00,0.04,0.00,2.492,223.497,0.000
2013-01-07T18:00:00+00:00,1.27,0.00,3.144,245.966,0.000
2013-01-08T00:00:00+00:00,6.29,0.00,0.244,279.231,0.000
2013-01-08T06:00:00+00:00,11.41,0.00,0.116,296.039,0.000
2013-01-08T12:00:00+00:00,49.47,0.00,2.677,350.117,0.000
2013-01-08T18:00:00+00:00,2.57,0.00,3.306,544.596,0.000
2013-01-09T00:00:00+00:00,0.06,0.00,0.214,855.429,0.000
2013-01-09T06:00:00+00:00,0.00,0.00,0.084,1131.950,0.000
2013-01-09T12:00:00+00:00,0.01,0.00,2.671,1247.217,0.000
2013-01-09T18:00:00+00:00,0.42,0.00,3.317,1233.427,0.000
2013-01-10T00:00:00+00:00,0.65,0.00,0.188,1209.130,0.000
2013-01-10T06:00:00+00:00,0.00,0.00,0.077,1231.457,0.000
2013-01-10T12:00:00+00:00,0.00,0.00,2.127,1260.022,0.000
2013-01-10T18:00:00+00:00,0.00,0.00,2.402,1233.098,0.000
2013-01-11T00:00:00+00:00,0.00,0.00,0.146,1133.501,0.000
2013-01-11T06:00:00+00:00,0.00,0.00,0.047,989.840,0.000
2013-01-11T12:00:00+00:00,0.00,0.00,1.907,847.689,0.000
2013-01-11T18:00:00+00:00,0.00,0.00,2.505,724.315,0.000
2013-01-12T00:00:00+00:00,0.00,0.00,0.176,628.204,0.000
2013-01-12T06:00:00+00:00,0.00,0.00,0.073,561.046,0.000
2013-01-12T12:00:00+00:00,0.00,0.00,2.134,513.684,0.000
2013-01-12T18:00:00+00:00,0.00,0.00,2.790,477.630,0.000
