3461
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.00,0.00,0.007,215.500,0.000
2013-01-01T01:00:00+00:00,0.00,0.00,0.007,215.000,0.000
2013-01-01T02:00:00+00:00,0.02,0.00,0.006,214.875,0.000
2013-01-01T03:00:00+00:00,0.06,0.00,0.005,214.375,0.000
2013-01-01T04:00:00+00:00,0.00,0.00,0.005,213.625,0.000
2013-01-01T05:00:00+00:00,0.01,0.00,0.004,212.875,0.000
2013-01-01T06:00:00+00:00,0.05,0.00,0.008,212.000,0.000
2013-01-01T07:00:00+00:00,0.15,0.00,0.058,210.875,0.000
2013-01-01T08:00:00+00:00,0.43,0.00,0.160,210.250,0.000
2013-01-01T09:00:00+00:00,0.64,0.00,0.265,209.500,0.000
2013-01-01T10:00:00+00:00,0.79,0.00,0.368,209.125,0.000
2013-01-01T11:00:00+00:00,1.50,0.09,0.484,208.875,0.000
2013-01-01T12:00:00+00:00,0.64,0.00,0.517,208.250,0.000
2013-01-01T13:00:00+00:00,0.24,0.00,0.529,207.375,0.000
2013-01-01T14:00:00+00:00,0.21,0.00,0.488,206.375,0.000
2013-01-01T15:00:00+00:00,0.90,0.00,0.430,206.000,0.000
2013-01-01T16:00:00+00:00,3.42,2.28,0.326,206.000,0.000
2013-01-01T17:00:00+00:00,2.05,1.89,0.226,205.375,0.000
2013-01-01T18:00:00+00:00,0.86,0.23,0.149,204.750,0.000
2013-01-01T19:00:00+00:00,0.30,0.00,0.062,203.750,0.000
2013-01-01T20:00:00+00:00,0.03,0.00,0.015,203.000,0.000
2013-01-01T21:00:00+00:00,0.00,0.00,0.012,202.125,0.000
2013-01-01T22:00:00+00:00,0.00,0.00,0.009,201.250,0.000
2013-01-01T23:00:00+00:00,0.02,0.00,0.008,201.250,0.000
2013-01-02T00:00:00+00:00,0.02,0.00,0.007,201.500,0.000
2013-01-02T01:00:00+00:00,0.12,0.00,0.006,201.500,0.000
2013-01-02T02:00:00+00:00,0.13,0.00,0.005,200.875,0.000
2013-01-02T03:00:00+00:00,0.07,0.00,0.004,200.500,0.000
2013-01-02T04:00:00+00:00,0.08,0.00,0.005,199.750,0.000
2013-01-02T05:00:00+00:00,0.03,0.00,0.004,198.750,0.000
2013-01-02T06:00:00+00:00,0.01,0.00,0.008,198.125,0.000
2013-01-02T07:00:00+00:00,0.09,0.00,0.060,197.625,0.000
2013-01-02T08:00:00+00:00,0.30,0.01,0.169,197.375,0.000
2013-01-02T09:00:00+00:00,0.23,0.00,0.308,197.000,0.000
2013-01-02T10:00:00+00:00,0.23,0.00,0.426,196.625,0.000
2013-01-02T11:00:00+00:00,0.08,0.00,0.515,196.250,0.000
2013-01-02T12:00:00+00:00,0.14,0.00,0.607,196.000,0.000
2013-01-02T13:00:00+00:00,0.24,0.00,0.653,195.625,0.000
2013-01-02T14:00:00+00:00,0.11,0.00,0.619,195.000,0.000
2013-01-02T15:00:00+00:00,0.02,0.00,0.553,194.250,0.000
2013-01-02T16:00:00+00:00,0.04,0.00,0.450,193.375,0.000
2013-01-02T17:00:00+00:00,0.04,0.00,0.338,192.750,0.000
2013-01-02T18:00:00+00:00,0.05,0.00,0.184,192.000,0.000
2013-01-02T19:00:00+00:00,0.17,0.03,0.071,191.000,0.000
2013-01-02T20:00:00+00:00,0.07,0.01,0.022,190.125,0.000
2013-01-02T21:00:00+00:00,0.02,0.00,0.015,189.375,0.000
2013-01-02T22:00:00+00:00,0.01,0.00,0.013,189.000,0.000
2013-01-02T23:00:00+00:00,0.11,0.00,0.011,188.625,0.000
2013-01-03T00:00:00+00:00,0.18,0.00,0.009,188.250,0.000
