3624
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.00,nan,0.008,94.825,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.010,95.100,0.000
2013-01-01T02:00:00+00:00,0.03,nan,0.008,95.200,0.000
2013-01-01T03:00:00+00:00,0.01,nan,0.007,95.150,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.006,95.275,0.000
2013-01-01T05:00:00+00:00,0.01,nan,0.005,95.525,0.000
2013-01-01T06:00:00+00:00,0.03,nan,0.006,95.750,0.000
2013-01-01T07:00:00+00:00,0.12,nan,0.054,95.850,0.000
2013-01-01T08:00:00+00:00,0.25,nan,0.158,96.000,0.000
2013-01-01T09:00:00+00:00,0.33,nan,0.247,96.125,0.000
2013-01-01T10:00:00+00:00,0.35,nan,0.372,96.275,0.000
2013-01-01T11:00:00+00:00,0.50,nan,0.485,96.300,0.000
2013-01-01T12:00:00+00:00,0.58,nan,0.471,96.625,0.000
2013-01-01T13:00:00+00:00,0.41,nan,0.484,97.150,0.000
2013-01-01T14:00:00+00:00,0.17,nan,0.421,97.450,0.000
2013-01-01T15:00:00+00:00,2.37,nan,0.359,98.300,0.000
2013-01-01T16:00:00+00:00,5.02,nan,0.249,99.175,0.000
2013-01-01T17:00:00+00:00,1.67,nan,0.174,99.750,0.000
2013-01-01T18:00:00+00:00,0.76,nan,0.085,100.163,0.000
2013-01-01T19:00:00+00:00,0.11,nan,0.024,100.375,0.000
2013-01-01T20:00:00+00:00,0.07,nan,0.015,100.675,0.000
2013-01-01T21:00:00+00:00,0.00,nan,0.012,100.950,0.000
2013-01-01T22:00:00+00:00,0.00,nan,0.012,101.250,0.000
2013-01-01T23:00:00+00:00,0.06,nan,0.009,101.537,0.000
2013-01-02T00:00:00+00:00,0.02,nan,0.008,101.800,0.000
2013-01-02T01:00:00+00:00,0.16,nan,0.007,102.075,0.000
2013-01-02T02:00:00+00:00,0.66,nan,0.006,102.300,0.000
2013-01-02T03:00:00+00:00,0.83,nan,0.005,102.512,0.000
2013-01-02T04:00:00+00:00,1.01,nan,0.005,102.775,0.000
2013-01-02T05:00:00+00:00,0.25,nan,0.004,103.013,0.000
2013-01-02T06:00:00+00:00,0.11,nan,0.004,103.200,0.000
2013-01-02T07:00:00+00:00,0.19,nan,0.058,103.375,0.000
2013-01-02T08:00:00+00:00,0.28,nan,0.179,103.575,0.000
2013-01-02T09:00:00+00:00,0.69,nan,0.335,103.862,0.000
2013-01-02T10:00:00+00:00,0.79,nan,0.429,104.125,0.000
2013-01-02T11:00:00+00:00,0.18,nan,0.519,104.463,0.000
2013-01-02T12:00:00+00:00,0.28,nan,0.599,104.713,0.000
2013-01-02T13:00:00+00:00,0.28,nan,0.614,105.087,0.000
2013-01-02T14:00:00+00:00,0.14,nan,0.563,105.388,0.000
2013-01-02T15:00:00+00:00,0.08,nan,0.489,105.800,0.000
2013-01-02T16:00:00+00:00,0.23,nan,0.415,106.163,0.000
2013-01-02T17:00:00+00:00,0.31,nan,0.317,106.462,0.000
2013-01-02T18:00:00+00:00,0.35,nan,0.160,106.675,0.000
2013-01-02T19:00:00+00:00,0.30,nan,0.039,106.912,0.000
2013-01-02T20:00:00+00:00,0.13,nan,0.024,107.088,0.000
2013-01-02T21:00:00+00:00,0.02,nan,0.015,107.312,0.000
2013-01-02T22:00:00+00:00,0.01,nan,0.013,107.550,0.000
2013-01-02T23:00:00+00:00,0.04,nan,0.012,107.662,0.000
2013-01-03T00:00:00+00:00,0.02,nan,0.010,107.912,0.000
2013-01-03T01:00:00+00:00,0.03,nan,0.009,108.138,0.000
2013-01-03T02:00:00+00:00,0.03,nan,0.007,108.350,0.000
2013-01-03T03:00:00+00:00,0.00,nan,0.006,108.475,0.000
2013-01-03T04:00:00+00:00,0.01,nan,0.004,108.600,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.003,108.650,0.000
2013-01-03T06:00:00+00:00,0.00,nan,0.003,108.775,0.000
2013-01-03T07:00:00+00:00,0.00,nan,0.056,108.850,0.000
2013-01-03T08:00:00+00:00,0.02,nan,0.154,108.900,0.000
2013-01-03T09:00:00+00:00,0.00,nan,0.291,109.050,0.000
2013-01-03T10:00:00+00:00,0.02,nan,0.422,109.150,0.000
2013-01-03T11:00:00+00:00,0.02,nan,0.519,109.188,0.000
2013-01-03T12:00:00+00:00,0.05,nan,0.570,109.225,0.000
2013-01-03T13:00:00+00:00,0.00,nan,0.617,109.225,0.000
2013-01-03T14:00:00+00:00,0.00,nan,0.578,109.275,0.000
2013-01-03T15:00:00+00:00,0.00,nan,0.406,109.300,0.000
2013-01-03T16:00:00+00:00,0.00,nan,0.346,109.263,0.000
2013-01-03T17:00:00+00:00,0.00,nan,0.245,109.375,0.000
2013-01-03T18:00:00+00:00,0.00,nan,0.117,109.312,0.000
2013-01-03T19:00:00+00:00,0.00,nan,0.024,109.300,0.000
2013-01-03T20:00:00+00:00,0.00,nan,0.014,109.363,0.000
2013-01-03T21:00:00+00:00,0.04,nan,0.017,109.388,0.000
2013-01-03T22:00:00+00:00,0.00,nan,0.013,109.337,0.000
2013-01-03T23:00:00+00:00,0.00,nan,0.010,109.287,0.000
2013-01-04T00:00:00+00:00,0.00,nan,0.010,109.263,0.000
2013-01-04T01:00:00+00:00,0.00,nan,0.007,109.213,0.000
2013-01-04T02:00:00+00:00,0.00,nan,0.006,109.188,0.000
2013-01-04T03:00:00+00:00,0.02,nan,0.005,109.150,0.000
2013-01-04T04:00:00+00:00,0.01,nan,0.004,109.112,0.000
2013-01-04T05:00:00+00:00,0.00,nan,0.004,109.088,0.000
2013-01-04T06:00:00+00:00,0.00,nan,0.004,109.075,0.000
2013-01-04T07:00:00+00:00,0.00,nan,0.048,109.025,0.000
2013-01-04T08:00:00+00:00,0.02,nan,0.135,108.975,0.000
2013-01-04T09:00:00+00:00,0.00,nan,0.243,108.887,0.000
2013-01-04T10:00:00+00:00,0.00,nan,0.360,108.838,0.000
2013-01-04T11:00:00+00:00,0.00,nan,0.476,108.700,0.000
2013-01-04T12:00:00+00:00,0.00,nan,0.496,108.638,0.000
2013-01-04T13:00:00+00:00,0.00,nan,0.517,108.700,0.000
2013-01-04T14:00:00+00:00,0.00,nan,0.508,108.675,0.000
2013-01-04T15:00:00+00:00,0.00,nan,0.486,108.550,0.000
2013-01-04T16:00:00+00:00,0.00,nan,0.366,108.475,0.000
2013-01-04T17:00:00+00:00,0.00,nan,0.223,108.412,0.000
2013-01-04T18:00:00+00:00,0.00,nan,0.110,108.325,0.000
2013-01-04T19:00:00+00:00,0.02,nan,0.026,108.263,0.000
2013-01-04T20:00:00+00:00,0.03,nan,0.015,108.162,0.000
2013-01-04T21:00:00+00:00,0.00,nan,0.011,108.138,0.000
2013-01-04T22:00:00+00:00,0.00,nan,0.010,108.087,0.000
2013-01-04T23:00:00+00:00,0.01,nan,0.008,107.950,0.000
2013-01-05T00:00:00+00:00,0.00,nan,0.009,107.862,0.000
2013-01-05T01:00:00+00:00,0.00,nan,0.005,107.775,0.000
2013-01-05T02:00:00+00:00,0.00,nan,0.005,107.675,0.000
2013-01-05T03:00:00+00:00,0.00,nan,0.006,107.588,0.000
2013-01-05T04:00:00+00:00,0.00,nan,0.005,107.450,0.000
2013-01-05T05:00:00+00:00,0.00,nan,0.004,107.325,0.000
2013-01-05T06:00:00+00:00,0.00,nan,0.005,107.275,0.000
2013-01-05T07:00:00+00:00,0.00,nan,0.052,107.125,0.000
2013-01-05T08:00:00+00:00,0.00,nan,0.145,107.025,0.000
2013-01-05T09:00:00+00:00,0.00,nan,0.245,106.925,0.000
2013-01-05T10:00:00+00:00,0.00,nan,0.362,106.787,0.000
2013-01-05T11:00:00+00:00,0.00,nan,0.489,106.725,0.000
2013-01-05T12:00:00+00:00,0.00,nan,0.537,106.575,0.000
2013-01-05T13:00:00+00:00,0.00,nan,0.621,106.475,0.000
2013-01-05T14:00:00+00:00,0.00,nan,0.538,106.412,0.000
2013-01-05T15:00:00+00:00,0.00,nan,0.498,106.200,0.000
2013-01-05T16:00:00+00:00,0.06,nan,0.353,106.112,0.000
2013-01-05T17:00:00+00:00,0.00,nan,0.233,105.975,0.000
2013-01-05T18:00:00+00:00,0.01,nan,0.123,105.838,0.000
2013-01-05T19:00:00+00:00,0.00,nan,0.037,105.700,0.000
2013-01-05T20:00:00+00:00,0.00,nan,0.018,105.638,0.000
2013-01-05T21:00:00+00:00,0.00,nan,0.017,105.500,0.000
2013-01-05T22:00:00+00:00,0.01,nan,0.010,105.338,0.000
2013-01-05T23:00:00+00:00,0.00,nan,0.008,105.200,0.000
2013-01-06T00:00:00+00:00,0.00,nan,0.008,105.062,0.000
2013-01-06T01:00:00+00:00,0.00,nan,0.009,104.963,0.000
2013-01-06T02:00:00+00:00,0.02,nan,0.006,104.775,0.000
2013-01-06T03:00:00+00:00,0.08,nan,0.005,104.625,0.000
2013-01-06T04:00:00+00:00,0.13,nan,0.006,104.463,0.000
2013-01-06T05:00:00+00:00,0.41,nan,0.004,104.275,0.000
2013-01-06T06:00:00+00:00,0.13,nan,0.005,104.162,0.000
2013-01-06T07:00:00+00:00,0.21,nan,0.058,104.000,0.000
2013-01-06T08:00:00+00:00,0.63,nan,0.183,103.875,0.000
2013-01-06T09:00:00+00:00,1.71,nan,0.337,104.162,0.000
2013-01-06T10:00:00+00:00,0.08,nan,0.456,103.825,0.000
2013-01-06T11:00:00+00:00,0.00,nan,0.570,103.562,0.000
2013-01-06T12:00:00+00:00,0.01,nan,0.631,103.338,0.000
2013-01-06T13:00:00+00:00,0.06,nan,0.651,103.175,0.000
2013-01-06T14:00:00+00:00,0.02,nan,0.600,103.013,0.000
2013-01-06T15:00:00+00:00,0.01,nan,0.495,102.862,0.000
2013-01-06T16:00:00+00:00,0.12,nan,0.355,102.688,0.000
