2003
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.00,nan,0.006,57.205,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.007,57.465,0.000
2013-01-01T02:00:00+00:00,0.05,nan,0.006,57.790,0.000
2013-01-01T03:00:00+00:00,0.03,nan,0.005,58.050,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.004,58.375,0.000
2013-01-01T05:00:00+00:00,0.01,nan,0.004,58.635,0.000
2013-01-01T06:00:00+00:00,0.03,nan,0.007,58.895,0.000
2013-01-01T07:00:00+00:00,0.08,nan,0.058,59.155,0.000
2013-01-01T08:00:00+00:00,0.26,nan,0.164,59.350,0.000
2013-01-01T09:00:00+00:00,0.33,nan,0.270,59.610,0.000
2013-01-01T10:00:00+00:00,0.37,nan,0.371,59.740,0.000
2013-01-01T11:00:00+00:00,0.87,nan,0.492,60.072,0.000
2013-01-01T12:00:00+00:00,0.63,nan,0.520,60.287,0.000
2013-01-01T13:00:00+00:00,0.31,nan,0.526,60.503,0.000
2013-01-01T14:00:00+00:00,0.19,nan,0.475,60.647,0.000
2013-01-01T15:00:00+00:00,1.21,nan,0.414,60.790,0.000
2013-01-01T16:00:00+00:00,3.66,nan,0.310,61.078,0.000
2013-01-01T17:00:00+00:00,1.59,nan,0.212,61.293,0.000
2013-01-01T18:00:00+00:00,1.05,nan,0.131,61.653,0.000
2013-01-01T19:00:00+00:00,0.26,nan,0.035,61.725,0.000
2013-01-01T20:00:00+00:00,0.03,nan,0.012,62.012,0.000
2013-01-01T21:00:00+00:00,0.00,nan,0.010,62.156,0.000
2013-01-01T22:00:00+00:00,0.00,nan,0.008,62.372,0.000
2013-01-01T23:00:00+00:00,0.04,nan,0.007,62.515,0.000
2013-01-02T00:00:00+00:00,0.04,nan,0.006,62.659,0.000
2013-01-02T01:00:00+00:00,0.30,nan,0.005,62.875,0.000
2013-01-02T02:00:00+00:00,0.16,nan,0.004,63.019,0.000
2013-01-02T03:00:00+00:00,0.13,nan,0.003,63.162,0.000
2013-01-02T04:00:00+00:00,0.16,nan,0.004,63.306,0.000
2013-01-02T05:00:00+00:00,0.07,nan,0.004,63.450,0.000
2013-01-02T06:00:00+00:00,0.02,nan,0.006,63.737,0.000
2013-01-02T07:00:00+00:00,0.12,nan,0.060,63.737,0.000
2013-01-02T08:00:00+00:00,0.22,nan,0.173,63.953,0.000
2013-01-02T09:00:00+00:00,0.24,nan,0.312,64.025,0.000
2013-01-02T10:00:00+00:00,0.22,nan,0.426,64.240,0.000
2013-01-02T11:00:00+00:00,0.09,nan,0.510,64.312,0.000
2013-01-02T12:00:00+00:00,0.21,nan,0.603,64.528,0.000
2013-01-02T13:00:00+00:00,0.19,nan,0.651,64.600,0.000
2013-01-02T14:00:00+00:00,0.07,nan,0.613,64.672,0.000
2013-01-02T15:00:00+00:00,0.03,nan,0.549,64.959,0.000
2013-01-02T16:00:00+00:00,0.07,nan,0.455,65.103,0.000
2013-01-02T17:00:00+00:00,0.07,nan,0.339,65.175,0.000
2013-01-02T18:00:00+00:00,0.16,nan,0.172,65.319,0.000
2013-01-02T19:00:00+00:00,0.46,nan,0.045,65.462,0.000
2013-01-02T20:00:00+00:00,0.19,nan,0.020,65.606,0.000
2013-01-02T21:00:00+00:00,0.04,nan,0.014,65.750,0.000
2013-01-02T22:00:00+00:00,0.01,nan,0.012,65.750,0.000
2013-01-02T23:00:00+00:00,0.11,nan,0.010,65.977,0.000
2013-01-03T00:00:00+00:00,0.07,nan,0.008,66.053,0.000
2013-01-03T01:00:00+00:00,0.06,nan,0.007,66.279,0.000
2013-01-03T02:00:00+00:00,0.05,nan,0.006,66.355,0.000
2013-01-03T03:00:00+00:00,0.02,nan,0.004,66.355,0.000
2013-01-03T04:00:00+00:00,0.04,nan,0.003,66.658,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.003,66.658,0.000
2013-01-03T06:00:00+00:00,0.00,nan,0.006,66.658,0.000
2013-01-03T07:00:00+00:00,0.00,nan,0.059,66.884,0.000
2013-01-03T08:00:00+00:00,0.04,nan,0.166,66.960,0.000
2013-01-03T09:00:00+00:00,0.00,nan,0.301,67.036,0.000
2013-01-03T10:00:00+00:00,0.04,nan,0.422,67.263,0.000
2013-01-03T11:00:00+00:00,0.04,nan,0.532,67.263,0.000
2013-01-03T12:00:00+00:00,0.01,nan,0.591,67.263,0.000
2013-01-03T13:00:00+00:00,0.00,nan,0.611,67.489,0.000
2013-01-03T14:00:00+00:00,0.00,nan,0.609,67.565,0.000
2013-01-03T15:00:00+00:00,0.00,nan,0.474,67.565,0.000
2013-01-03T16:00:00+00:00,0.00,nan,0.389,67.565,0.000
2013-01-03T17:00:00+00:00,0.00,nan,0.288,67.792,0.000
2013-01-03T18:00:00+00:00,0.00,nan,0.161,67.868,0.000
2013-01-03T19:00:00+00:00,0.00,nan,0.039,67.868,0.000
2013-01-03T20:00:00+00:00,0.00,nan,0.017,67.868,0.000
2013-01-03T21:00:00+00:00,0.01,nan,0.018,68.019,0.000
2013-01-03T22:00:00+00:00,0.00,nan,0.012,68.170,0.000
2013-01-03T23:00:00+00:00,0.00,nan,0.009,68.170,0.000
2013-01-04T00:00:00+00:00,0.00,nan,0.008,68.170,0.000
2013-01-04T01:00:00+00:00,0.00,nan,0.006,68.397,0.000
2013-01-04T02:00:00+00:00,0.00,nan,0.005,68.473,0.000
2013-01-04T03:00:00+00:00,0.04,nan,0.004,68.473,0.000
2013-01-04T04:00:00+00:00,0.04,nan,0.004,68.473,0.000
2013-01-04T05:00:00+00:00,0.00,nan,0.003,68.473,0.000
2013-01-04T06:00:00+00:00,0.00,nan,0.006,68.624,0.000
2013-01-04T07:00:00+00:00,0.00,nan,0.047,68.775,0.000
2013-01-04T08:00:00+00:00,0.04,nan,0.136,68.775,0.000
2013-01-04T09:00:00+00:00,0.00,nan,0.257,68.775,0.000
2013-01-04T10:00:00+00:00,0.00,nan,0.398,68.775,0.000
2013-01-04T11:00:00+00:00,0.00,nan,0.482,68.927,0.000
2013-01-04T12:00:00+00:00,0.00,nan,0.541,69.002,0.000
2013-01-04T13:00:00+00:00,0.00,nan,0.568,69.078,0.000
2013-01-04T14:00:00+00:00,0.00,nan,0.566,69.078,0.000
2013-01-04T15:00:00+00:00,0.00,nan,0.531,69.078,0.000
2013-01-04T16:00:00+00:00,0.00,nan,0.434,69.078,0.000
2013-01-04T17:00:00+00:00,0.00,nan,0.262,69.078,0.000
2013-01-04T18:00:00+00:00,0.00,nan,0.148,69.229,0.000
2013-01-04T19:00:00+00:00,0.01,nan,0.035,69.380,0.000
2013-01-04T20:00:00+00:00,0.02,nan,0.016,69.380,0.000
