2209
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.00,nan,0.007,34.440,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.007,34.655,0.000
2013-01-01T02:00:00+00:00,0.01,nan,0.006,34.925,0.000
2013-01-01T03:00:00+00:00,0.00,nan,0.005,34.980,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.004,35.190,0.000
2013-01-01T05:00:00+00:00,0.02,nan,0.004,35.410,0.000
2013-01-01T06:00:00+00:00,0.07,nan,0.004,35.620,0.000
2013-01-01T07:00:00+00:00,0.22,nan,0.048,35.998,0.000
2013-01-01T08:00:00+00:00,0.70,nan,0.150,36.215,0.000
2013-01-01T09:00:00+00:00,1.26,nan,0.261,36.483,0.000
2013-01-01T10:00:00+00:00,2.01,nan,0.387,36.858,0.000
2013-01-01T11:00:00+00:00,2.70,nan,0.489,36.965,0.000
2013-01-01T12:00:00+00:00,2.41,nan,0.548,37.130,0.000
2013-01-01T13:00:00+00:00,1.28,nan,0.579,37.340,0.000
2013-01-01T14:00:00+00:00,0.98,nan,0.551,37.610,0.000
2013-01-01T15:00:00+00:00,2.40,nan,0.505,37.825,0.000
2013-01-01T16:00:00+00:00,2.85,nan,0.372,38.043,0.000
2013-01-01T17:00:00+00:00,2.57,nan,0.249,38.373,0.000
2013-01-01T18:00:00+00:00,1.69,nan,0.161,38.660,0.000
2013-01-01T19:00:00+00:00,0.53,nan,0.032,38.890,0.000
2013-01-01T20:00:00+00:00,0.05,nan,0.015,39.235,0.000
2013-01-01T21:00:00+00:00,0.03,nan,0.013,39.465,0.000
2013-01-01T22:00:00+00:00,0.00,nan,0.009,39.752,0.000
2013-01-01T23:00:00+00:00,0.01,nan,0.007,40.270,0.000
2013-01-02T00:00:00+00:00,0.00,nan,0.006,40.385,0.000
2013-01-02T01:00:00+00:00,0.01,nan,0.006,40.620,0.000
2013-01-02T02:00:00+00:00,0.02,nan,0.006,40.920,0.000
2013-01-02T03:00:00+00:00,0.02,nan,0.005,41.280,0.000
2013-01-02T04:00:00+00:00,0.02,nan,0.006,41.580,0.000
2013-01-02T05:00:00+00:00,0.01,nan,0.005,41.820,0.000
2013-01-02T06:00:00+00:00,0.00,nan,0.005,42.180,0.000
2013-01-02T07:00:00+00:00,0.07,nan,0.055,42.540,0.000
2013-01-02T08:00:00+00:00,0.14,nan,0.157,42.900,0.000
2013-01-02T09:00:00+00:00,0.08,nan,0.300,43.198,0.000
2013-01-02T10:00:00+00:00,0.16,nan,0.455,43.610,0.000
2013-01-02T11:00:00+00:00,0.16,nan,0.581,43.900,0.000
2013-01-02T12:00:00+00:00,0.05,nan,0.664,44.430,0.000
2013-01-02T13:00:00+00:00,0.03,nan,0.709,44.723,0.000
2013-01-02T14:00:00+00:00,0.05,nan,0.724,45.020,0.000
2013-01-02T15:00:00+00:00,0.04,nan,0.634,45.370,0.000
2013-01-02T16:00:00+00:00,0.03,nan,0.461,45.780,0.000
2013-01-02T17:00:00+00:00,0.03,nan,0.349,46.075,0.000
2013-01-02T18:00:00+00:00,0.08,nan,0.189,46.370,0.000
2013-01-02T19:00:00+00:00,0.06,nan,0.042,46.720,0.000
2013-01-02T20:00:00+00:00,0.01,nan,0.022,47.015,0.000
2013-01-02T21:00:00+00:00,0.03,nan,0.019,47.367,0.000
2013-01-02T22:00:00+00:00,0.12,nan,0.016,47.840,0.000
2013-01-02T23:00:00+00:00,0.04,nan,0.015,48.080,0.000
2013-01-03T00:00:00+00:00,0.01,nan,0.012,48.140,0.000
2013-01-03T01:00:00+00:00,0.09,nan,0.011,48.500,0.000
2013-01-03T02:00:00+00:00,0.03,nan,0.009,48.800,0.000
2013-01-03T03:00:00+00:00,0.00,nan,0.008,48.920,0.000
2013-01-03T04:00:00+00:00,0.00,nan,0.006,49.100,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.004,49.160,0.000
2013-01-03T06:00:00+00:00,0.00,nan,0.005,49.520,0.000
2013-01-03T07:00:00+00:00,0.00,nan,0.050,49.700,0.000
2013-01-03T08:00:00+00:00,0.00,nan,0.144,49.880,0.000
2013-01-03T09:00:00+00:00,0.00,nan,0.277,50.125,0.000
2013-01-03T10:00:00+00:00,0.00,nan,0.435,50.250,0.000
2013-01-03T11:00:00+00:00,0.01,nan,0.542,50.375,0.000
2013-01-03T12:00:00+00:00,0.00,nan,0.614,50.438,0.000
2013-01-03T13:00:00+00:00,0.00,nan,0.623,50.625,0.000
2013-01-03T14:00:00+00:00,0.00,nan,0.590,50.750,0.000
2013-01-03T15:00:00+00:00,0.00,nan,0.549,50.812,0.000
2013-01-03T16:00:00+00:00,0.00,nan,0.426,51.062,0.000
2013-01-03T17:00:00+00:00,0.00,nan,0.302,51.250,0.000
2013-01-03T18:00:00+00:00,0.01,nan,0.168,51.375,0.000
2013-01-03T19:00:00+00:00,0.00,nan,0.046,51.688,0.000
2013-01-03T20:00:00+00:00,0.00,nan,0.023,51.875,0.000
2013-01-03T21:00:00+00:00,0.00,nan,0.020,52.125,0.000
2013-01-03T22:00:00+00:00,0.00,nan,0.016,52.188,0.000
2013-01-03T23:00:00+00:00,0.00,nan,0.016,52.375,0.000
2013-01-04T00:00:00+00:00,0.00,nan,0.012,52.750,0.000
2013-01-04T01:00:00+00:00,0.00,nan,0.009,52.875,0.000
2013-01-04T02:00:00+00:00,0.00,nan,0.009,53.000,0.000
2013-01-04T03:00:00+00:00,0.00,nan,0.007,53.000,0.000
2013-01-04T04:00:00+00:00,0.00,nan,0.006,53.125,0.000
2013-01-04T05:00:00+00:00,0.00,nan,0.006,53.312,0.000
2013-01-04T06:00:00+00:00,0.00,nan,0.005,53.625,0.000
2013-01-04T07:00:00+00:00,0.00,nan,0.042,53.938,0.000
2013-01-04T08:00:00+00:00,0.00,nan,0.127,54.000,0.000
2013-01-04T09:00:00+00:00,0.00,nan,0.246,54.000,0.000
2013-01-04T10:00:00+00:00,0.00,nan,0.392,54.312,0.000
2013-01-04T11:00:00+00:00,0.00,nan,0.517,54.312,0.000
2013-01-04T12:00:00+00:00,0.00,nan,0.590,54.500,0.000
2013-01-04T13:00:00+00:00,0.00,nan,0.602,54.625,0.000
2013-01-04T14:00:00+00:00,0.00,nan,0.568,54.750,0.000
2013-01-04T15:00:00+00:00,0.00,nan,0.559,54.938,0.000
2013-01-04T16:00:00+00:00,0.00,nan,0.435,55.000,0.000
2013-01-04T17:00:00+00:00,0.00,nan,0.274,55.195,0.000
2013-01-04T18:00:00+00:00,0.00,nan,0.157,55.390,0.000
2013-01-04T19:00:00+00:00,0.03,nan,0.036,55.390,0.000
2013-01-04T20:00:00+00:00,0.06,nan,0.019,55.520,0.000
2013-01-04T21:00:00+00:00,0.00,nan,0.013,55.780,0.000
2013-01-04T22:00:00+00:00,0.00,nan,0.014,55.715,0.000
2013-01-04T23:00:00+00:00,0.04,nan,0.011,55.780,0.000
2013-01-05T00:00:00+00:00,0.00,nan,0.010,55.780,0.000
2013-01-05T01:00:00+00:00,0.00,nan,0.008,55.910,0.000
2013-01-05T02:00:00+00:00,0.00,nan,0.007,56.040,0.000
2013-01-05T03:00:00+00:00,0.00,nan,0.006,56.040,0.000
2013-01-05T04:00:00+00:00,0.00,nan,0.004,56.040,0.000
2013-01-05T05:00:00+00:00,0.00,nan,0.004,55.975,0.000
2013-01-05T06:00:00+00:00,0.00,nan,0.004,56.040,0.000
2013-01-05T07:00:00+00:00,0.00,nan,0.041,56.105,0.000
2013-01-05T08:00:00+00:00,0.00,nan,0.141,56.170,0.000
2013-01-05T09:00:00+00:00,0.00,nan,0.249,56.235,0.000
2013-01-05T10:00:00+00:00,0.00,nan,0.373,56.040,0.000
2013-01-05T11:00:00+00:00,0.00,nan,0.546,55.975,0.000
2013-01-05T12:00:00+00:00,0.00,nan,0.662,56.040,0.000
2013-01-05T13:00:00+00:00,0.00,nan,0.712,56.040,0.000
2013-01-05T14:00:00+00:00,0.00,nan,0.688,55.780,0.000
2013-01-05T15:00:00+00:00,0.00,nan,0.560,55.715,0.000
2013-01-05T16:00:00+00:00,0.06,nan,0.481,55.585,0.000
2013-01-05T17:00:00+00:00,0.00,nan,0.341,55.520,0.000
