2605
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.00,nan,0.011,85.375,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.008,83.153,0.000
2013-01-01T02:00:00+00:00,0.01,nan,0.008,80.558,0.000
2013-01-01T03:00:00+00:00,0.00,nan,0.006,78.282,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.005,75.707,0.000
2013-01-01T05:00:00+00:00,0.02,nan,0.005,73.507,0.000
2013-01-01T06:00:00+00:00,0.07,nan,0.007,71.385,0.000
2013-01-01T07:00:00+00:00,0.21,nan,0.045,69.417,0.000
2013-01-01T08:00:00+00:00,0.76,nan,0.121,67.362,0.000
2013-01-01T09:00:00+00:00,2.04,nan,0.223,65.532,0.000
2013-01-01T10:00:00+00:00,3.49,nan,0.343,63.933,0.000
2013-01-01T11:00:00+00:00,4.51,nan,0.454,62.600,0.000
2013-01-01T12:00:00+00:00,2.57,nan,0.542,61.873,0.000
2013-01-01T13:00:00+00:00,0.23,nan,0.582,61.553,0.000
2013-01-01T14:00:00+00:00,0.21,nan,0.546,61.380,0.000
2013-01-01T15:00:00+00:00,0.80,nan,0.554,61.612,0.000
2013-01-01T16:00:00+00:00,2.24,nan,0.444,61.665,0.000
2013-01-01T17:00:00+00:00,2.03,nan,0.277,62.037,0.000
2013-01-01T18:00:00+00:00,1.03,nan,0.205,62.155,0.000
2013-01-01T19:00:00+00:00,0.17,nan,0.096,62.433,0.000
2013-01-01T20:00:00+00:00,0.02,nan,0.023,62.810,0.000
2013-01-01T21:00:00+00:00,0.00,nan,0.016,63.795,0.000
2013-01-01T22:00:00+00:00,0.00,nan,0.013,64.922,0.000
2013-01-01T23:00:00+00:00,0.02,nan,0.011,66.265,0.000
2013-01-02T00:00:00+00:00,0.00,nan,0.011,68.277,0.000
2013-01-02T01:00:00+00:00,0.00,nan,0.010,70.505,0.000
2013-01-02T02:00:00+00:00,0.01,nan,0.008,72.995,0.000
2013-01-02T03:00:00+00:00,0.01,nan,0.008,75.170,0.000
2013-01-02T04:00:00+00:00,0.01,nan,0.008,77.312,0.000
2013-01-02T05:00:00+00:00,0.00,nan,0.007,79.405,0.000
2013-01-02T06:00:00+00:00,0.00,nan,0.009,81.267,0.000
2013-01-02T07:00:00+00:00,0.01,nan,0.053,82.710,0.000
2013-01-02T08:00:00+00:00,0.03,nan,0.147,83.825,0.000
2013-01-02T09:00:00+00:00,0.02,nan,0.280,84.493,0.000
2013-01-02T10:00:00+00:00,0.03,nan,0.433,84.975,0.000
2013-01-02T11:00:00+00:00,0.01,nan,0.555,84.993,0.000
2013-01-02T12:00:00+00:00,0.01,nan,0.667,85.030,0.000
2013-01-02T13:00:00+00:00,0.09,nan,0.716,84.565,0.000
2013-01-02T14:00:00+00:00,0.05,nan,0.694,84.183,0.000
2013-01-02T15:00:00+00:00,0.00,nan,0.610,83.352,0.000
2013-01-02T16:00:00+00:00,0.01,nan,0.416,82.922,0.000
2013-01-02T17:00:00+00:00,0.02,nan,0.308,82.105,0.000
2013-01-02T18:00:00+00:00,0.01,nan,0.201,80.995,0.000
2013-01-02T19:00:00+00:00,0.29,nan,0.082,80.407,0.000
2013-01-02T20:00:00+00:00,0.00,nan,0.027,79.153,0.000
2013-01-02T21:00:00+00:00,0.00,nan,0.020,78.303,0.000
2013-01-02T22:00:00+00:00,0.01,nan,0.018,77.060,0.000
2013-01-02T23:00:00+00:00,0.01,nan,0.015,76.390,0.000
2013-01-03T00:00:00+00:00,0.01,nan,0.014,75.693,0.000
2013-01-03T01:00:00+00:00,0.01,nan,0.013,74.233,0.000
2013-01-03T02:00:00+00:00,0.00,nan,0.012,73.368,0.000
2013-01-03T03:00:00+00:00,0.00,nan,0.011,72.765,0.000
2013-01-03T04:00:00+00:00,0.00,nan,0.010,71.325,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.008,70.615,0.000
2013-01-03T06:00:00+00:00,0.00,nan,0.009,69.987,0.000
2013-01-03T07:00:00+00:00,0.00,nan,0.054,69.263,0.000
2013-01-03T08:00:00+00:00,0.00,nan,0.148,67.570,0.000
2013-01-03T09:00:00+00:00,0.00,nan,0.269,66.808,0.000
2013-01-03T10:00:00+00:00,0.00,nan,0.412,66.085,0.000
2013-01-03T11:00:00+00:00,0.01,nan,0.499,65.395,0.000
2013-01-03T12:00:00+00:00,0.00,nan,0.584,63.895,0.000
2013-01-03T13:00:00+00:00,0.00,nan,0.635,62.985,0.000
2013-01-03T14:00:00+00:00,0.00,nan,0.593,62.335,0.000
2013-01-03T15:00:00+00:00,0.00,nan,0.519,61.722,0.000
2013-01-03T16:00:00+00:00,0.00,nan,0.395,61.140,0.000
2013-01-03T17:00:00+00:00,0.00,nan,0.314,60.440,0.000
2013-01-03T18:00:00+00:00,0.01,nan,0.209,59.863,0.000
2013-01-03T19:00:00+00:00,0.00,nan,0.091,58.645,0.000
2013-01-03T20:00:00+00:00,0.00,nan,0.030,57.910,0.000
2013-01-03T21:00:00+00:00,0.00,nan,0.023,57.370,0.000
2013-01-03T22:00:00+00:00,0.03,nan,0.018,56.650,0.000
2013-01-03T23:00:00+00:00,0.00,nan,0.016,56.000,0.000
2013-01-04T00:00:00+00:00,0.00,nan,0.013,55.467,0.000
2013-01-04T01:00:00+00:00,0.00,nan,0.012,55.110,0.000
2013-01-04T02:00:00+00:00,0.00,nan,0.012,54.850,0.000
2013-01-04T03:00:00+00:00,0.00,nan,0.008,54.583,0.000
2013-01-04T04:00:00+00:00,0.00,nan,0.008,54.320,0.000
2013-01-04T05:00:00+00:00,0.00,nan,0.008,53.828,0.000
2013-01-04T06:00:00+00:00,0.00,nan,0.008,53.475,0.000
2013-01-04T07:00:00+00:00,0.00,nan,0.042,53.035,0.000
2013-01-04T08:00:00+00:00,0.00,nan,0.116,52.775,0.000
2013-01-04T09:00:00+00:00,0.00,nan,0.233,52.275,0.000
2013-01-04T10:00:00+00:00,0.01,nan,0.370,51.723,0.000
2013-01-04T11:00:00+00:00,0.01,nan,0.509,51.180,0.000
2013-01-04T12:00:00+00:00,0.00,nan,0.621,50.595,0.000
2013-01-04T13:00:00+00:00,0.00,nan,0.649,49.922,0.000
2013-01-04T14:00:00+00:00,0.00,nan,0.607,49.475,0.000
2013-01-04T15:00:00+00:00,0.00,nan,0.566,49.218,0.000
2013-01-04T16:00:00+00:00,0.00,nan,0.412,49.398,0.000
2013-01-04T17:00:00+00:00,0.00,nan,0.278,48.855,0.000
2013-01-04T18:00:00+00:00,0.00,nan,0.174,48.288,0.000
2013-01-04T19:00:00+00:00,0.03,nan,0.075,47.590,0.000
2013-01-04T20:00:00+00:00,0.05,nan,0.023,46.832,0.000
2013-01-04T21:00:00+00:00,0.00,nan,0.016,46.110,0.000
2013-01-04T22:00:00+00:00,0.00,nan,0.016,46.692,0.000
2013-01-04T23:00:00+00:00,0.02,nan,0.014,46.255,0.000
2013-01-05T00:00:00+00:00,0.00,nan,0.014,46.130,0.000
2013-01-05T01:00:00+00:00,0.00,nan,0.012,45.880,0.000
2013-01-05T02:00:00+00:00,0.00,nan,0.010,45.490,0.000
2013-01-05T03:00:00+00:00,0.00,nan,0.008,45.175,0.000
2013-01-05T04:00:00+00:00,0.00,nan,0.006,45.038,0.000
2013-01-05T05:00:00+00:00,0.00,nan,0.005,45.435,0.000
2013-01-05T06:00:00+00:00,0.00,nan,0.006,44.985,0.000
2013-01-05T07:00:00+00:00,0.00,nan,0.038,44.508,0.000
2013-01-05T08:00:00+00:00,0.00,nan,0.122,44.030,0.000
2013-01-05T09:00:00+00:00,0.00,nan,0.230,44.695,0.000
2013-01-05T10:00:00+00:00,0.00,nan,0.350,44.250,0.000
2013-01-05T11:00:00+00:00,0.00,nan,0.526,43.503,0.000
2013-01-05T12:00:00+00:00,0.00,nan,0.636,43.168,0.000
2013-01-05T13:00:00+00:00,0.00,nan,0.709,43.068,0.000
2013-01-05T14:00:00+00:00,0.00,nan,0.685,43.557,0.000
2013-01-05T15:00:00+00:00,0.00,nan,0.602,43.085,0.000
2013-01-05T16:00:00+00:00,0.02,nan,0.468,42.513,0.000
2013-01-05T17:00:00+00:00,0.00,nan,0.343,42.420,0.000
2013-01-05T18:00:00+00:00,0.03,nan,0.195,42.297,0.000
2013-01-05T19:00:00+00:00,0.00,nan,0.077,41.598,0.000
2013-01-05T20:00:00+00:00,0.01,nan,0.029,41.302,0.000
2013-01-05T21:00:00+00:00,0.00,nan,0.014,41.645,0.000
2013-01-05T22:00:00+00:00,0.27,nan,0.013,41.220,0.000
2013-01-05T23:00:00+00:00,0.00,nan,0.010,41.057,0.000
2013-01-06T00:00:00+00:00,0.00,nan,0.011,41.535,0.000
2013-01-06T01:00:00+00:00,0.00,nan,0.010,41.203,0.000
2013-01-06T02:00:00+00:00,0.06,nan,0.009,40.980,0.000
2013-01-06T03:00:00+00:00,0.21,nan,0.007,41.285,0.000
2013-01-06T04:00:00+00:00,1.97,nan,0.006,40.730,0.000
2013-01-06T05:00:00+00:00,7.88,nan,0.005,40.002,0.000
2013-01-06T06:00:00+00:00,0.53,nan,0.006,39.705,0.000
2013-01-06T07:00:00+00:00,0.39,nan,0.045,40.398,0.000
2013-01-06T08:00:00+00:00,0.26,nan,0.134,40.300,0.000
2013-01-06T09:00:00+00:00,0.13,nan,0.251,40.438,0.000
2013-01-06T10:00:00+00:00,0.02,nan,0.417,41.205,0.000
2013-01-06T11:00:00+00:00,0.02,nan,0.569,40.938,0.000
2013-01-06T12:00:00+00:00,0.06,nan,0.596,41.205,0.000
2013-01-06T13:00:00+00:00,0.28,nan,0.657,41.337,0.000
2013-01-06T14:00:00+00:00,0.07,nan,0.588,42.197,0.000
2013-01-06T15:00:00+00:00,0.04,nan,0.537,43.188,0.000
2013-01-06T16:00:00+00:00,0.92,nan,0.413,43.860,0.000
2013-01-06T17:00:00+00:00,2.05,nan,0.322,44.430,0.000
2013-01-06T18:00:00+00:00,4.75,nan,0.189,44.333,0.000
2013-01-06T19:00:00+00:00,1.99,nan,0.074,45.245,0.000
2013-01-06T20:00:00+00:00,0.91,nan,0.020,46.805,0.000
2013-01-06T21:00:00+00:00,0.85,nan,0.012,48.380,0.000
2013-01-06T22:00:00+00:00,0.72,nan,0.010,49.527,0.000
2013-01-06T23:00:00+00:00,0.17,nan,0.008,51.477,0.000
2013-01-07T00:00:00+00:00,0.05,nan,0.008,53.185,0.000
2013-01-07T01:00:00+00:00,0.03,nan,0.007,55.670,0.000
2013-01-07T02:00:00+00:00,0.04,nan,0.007,57.565,0.000
2013-01-07T03:00:00+00:00,0.00,nan,0.005,59.700,0.000
2013-01-07T04:00:00+00:00,0.00,nan,0.004,61.483,0.000
2013-01-07T05:00:00+00:00,0.00,nan,0.003,63.572,0.000
2013-01-07T06:00:00+00:00,0.01,nan,0.005,67.222,0.000
2013-01-07T07:00:00+00:00,0.00,nan,0.044,72.645,0.000
2013-01-07T08:00:00+00:00,0.01,nan,0.133,79.015,0.000
2013-01-07T09:00:00+00:00,0.00,nan,0.241,85.487,0.000
2013-01-07T10:00:00+00:00,0.01,nan,0.378,90.917,0.000
2013-01-07T11:00:00+00:00,0.00,nan,0.482,94.938,0.000
2013-01-07T12:00:00+00:00,0.00,nan,0.630,97.768,0.000
2013-01-07T13:00:00+00:00,0.00,nan,0.661,99.637,0.000
2013-01-07T14:00:00+00:00,0.00,nan,0.632,100.907,0.000
2013-01-07T15:00:00+00:00,0.02,nan,0.556,101.390,0.000
2013-01-07T16:00:00+00:00,0.14,nan,0.434,101.345,0.000
2013-01-07T17:00:00+00:00,0.48,nan,0.306,100.960,0.000
2013-01-07T18:00:00+00:00,8.01,nan,0.185,100.415,0.000
2013-01-07T19:00:00+00:00,0.73,nan,0.083,99.555,0.000
2013-01-07T20:00:00+00:00,0.03,nan,0.028,98.675,0.000
2013-01-07T21:00:00+00:00,0.25,nan,0.021,98.085,0.000
2013-01-07T22:00:00+00:00,0.53,nan,0.016,96.795,0.000
2013-01-07T23:00:00+00:00,0.16,nan,0.014,95.843,0.000
2013-01-08T00:00:00+00:00,0.29,nan,0.011,94.772,0.000
2013-01-08T01:00:00+00:00,3.68,nan,0.012,94.483,0.000
2013-01-08T02:00:00+00:00,3.38,nan,0.010,94.793,0.000
2013-01-08T03:00:00+00:00,1.73,nan,0.009,95.755,0.000
