978
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.01,nan,0.010,32.385,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.008,31.652,0.000
2013-01-01T02:00:00+00:00,0.02,nan,0.008,31.652,0.000
2013-01-01T03:00:00+00:00,0.00,nan,0.006,31.285,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.006,30.919,0.000
2013-01-01T05:00:00+00:00,0.02,nan,0.006,31.285,0.000
2013-01-01T06:00:00+00:00,0.09,nan,0.005,31.652,0.000
2013-01-01T07:00:00+00:00,0.27,nan,0.049,32.202,0.000
2013-01-01T08:00:00+00:00,0.95,nan,0.152,32.385,0.000
2013-01-01T09:00:00+00:00,1.96,nan,0.279,32.935,0.000
2013-01-01T10:00:00+00:00,3.03,nan,0.400,33.118,0.000
2013-01-01T11:00:00+00:00,3.05,nan,0.501,34.034,0.000
2013-01-01T12:00:00+00:00,1.56,nan,0.562,34.584,0.000
2013-01-01T13:00:00+00:00,0.77,nan,0.610,34.951,0.000
2013-01-01T14:00:00+00:00,0.66,nan,0.588,35.317,0.000
2013-01-01T15:00:00+00:00,1.02,nan,0.564,35.867,0.000
2013-01-01T16:00:00+00:00,2.08,nan,0.421,36.050,0.000
2013-01-01T17:00:00+00:00,2.28,nan,0.300,36.645,0.000
2013-01-01T18:00:00+00:00,0.95,nan,0.187,36.248,0.000
2013-01-01T19:00:00+00:00,0.26,nan,0.049,36.050,0.000
2013-01-01T20:00:00+00:00,0.07,nan,0.020,36.050,0.000
2013-01-01T21:00:00+00:00,0.01,nan,0.015,36.050,0.000
2013-01-01T22:00:00+00:00,0.00,nan,0.012,36.050,0.000
2013-01-01T23:00:00+00:00,0.01,nan,0.010,36.248,0.000
2013-01-02T00:00:00+00:00,0.00,nan,0.010,37.239,0.000
2013-01-02T01:00:00+00:00,0.00,nan,0.009,39.222,0.000
2013-01-02T02:00:00+00:00,0.01,nan,0.008,41.403,0.000
2013-01-02T03:00:00+00:00,0.01,nan,0.007,43.385,0.000
2013-01-02T04:00:00+00:00,0.01,nan,0.008,45.466,0.000
2013-01-02T05:00:00+00:00,0.00,nan,0.008,47.376,0.000
2013-01-02T06:00:00+00:00,0.00,nan,0.007,49.074,0.000
2013-01-02T07:00:00+00:00,0.02,nan,0.053,50.560,0.000
2013-01-02T08:00:00+00:00,0.04,nan,0.165,51.833,0.000
2013-01-02T09:00:00+00:00,0.02,nan,0.319,52.696,0.000
2013-01-02T10:00:00+00:00,0.04,nan,0.487,53.374,0.000
2013-01-02T11:00:00+00:00,0.04,nan,0.619,54.052,0.000
2013-01-02T12:00:00+00:00,0.01,nan,0.707,54.278,0.000
2013-01-02T13:00:00+00:00,0.01,nan,0.751,54.504,0.000
2013-01-02T14:00:00+00:00,0.02,nan,0.703,54.730,0.000
2013-01-02T15:00:00+00:00,0.01,nan,0.645,54.278,0.000
2013-01-02T16:00:00+00:00,0.01,nan,0.497,53.600,0.000
2013-01-02T17:00:00+00:00,0.01,nan,0.362,52.696,0.000
2013-01-02T18:00:00+00:00,0.02,nan,0.209,52.258,0.000
2013-01-02T19:00:00+00:00,0.02,nan,0.043,51.197,0.000
2013-01-02T20:00:00+00:00,0.00,nan,0.022,50.347,0.000
2013-01-02T21:00:00+00:00,0.01,nan,0.020,49.074,0.000
2013-01-02T22:00:00+00:00,0.02,nan,0.021,47.800,0.000
2013-01-02T23:00:00+00:00,0.01,nan,0.020,46.315,0.000
2013-01-03T00:00:00+00:00,0.00,nan,0.017,45.041,0.000
2013-01-03T01:00:00+00:00,0.02,nan,0.016,43.782,0.000
2013-01-03T02:00:00+00:00,0.01,nan,0.013,42.791,0.000
2013-01-03T03:00:00+00:00,0.00,nan,0.012,41.799,0.000
2013-01-03T04:00:00+00:00,0.00,nan,0.013,40.610,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.008,39.817,0.000
2013-01-03T06:00:00+00:00,0.00,nan,0.007,38.826,0.000
2013-01-03T07:00:00+00:00,0.00,nan,0.053,38.032,0.000
2013-01-03T08:00:00+00:00,0.00,nan,0.164,37.239,0.000
2013-01-03T09:00:00+00:00,0.00,nan,0.308,36.447,0.000
2013-01-03T10:00:00+00:00,0.00,nan,0.463,35.500,0.000
2013-01-03T11:00:00+00:00,0.01,nan,0.554,35.134,0.000
2013-01-03T12:00:00+00:00,0.00,nan,0.654,34.584,0.000
2013-01-03T13:00:00+00:00,0.00,nan,0.672,34.218,0.000
2013-01-03T14:00:00+00:00,0.00,nan,0.634,33.851,0.000
2013-01-03T15:00:00+00:00,0.00,nan,0.544,33.301,0.000
2013-01-03T16:00:00+00:00,0.00,nan,0.424,32.935,0.000
2013-01-03T17:00:00+00:00,0.00,nan,0.314,32.385,0.000
2013-01-03T18:00:00+00:00,0.01,nan,0.184,31.652,0.000
2013-01-03T19:00:00+00:00,0.00,nan,0.052,31.102,0.000
2013-01-03T20:00:00+00:00,0.00,nan,0.027,30.552,0.000
2013-01-03T21:00:00+00:00,0.00,nan,0.020,30.369,0.000
2013-01-03T22:00:00+00:00,0.00,nan,0.018,29.636,0.000
2013-01-03T23:00:00+00:00,0.00,nan,0.019,28.720,0.000
2013-01-04T00:00:00+00:00,0.00,nan,0.016,28.218,0.000
2013-01-04T01:00:00+00:00,0.00,nan,0.014,28.051,0.000
2013-01-04T02:00:00+00:00,0.00,nan,0.014,27.549,0.000
2013-01-04T03:00:00+00:00,0.00,nan,0.010,27.382,0.000
2013-01-04T04:00:00+00:00,0.00,nan,0.010,26.880,0.000
2013-01-04T05:00:00+00:00,0.00,nan,0.010,26.713,0.000
2013-01-04T06:00:00+00:00,0.00,nan,0.007,26.211,0.000
2013-01-04T07:00:00+00:00,0.00,nan,0.046,26.044,0.000
2013-01-04T08:00:00+00:00,0.00,nan,0.145,25.709,0.000
2013-01-04T09:00:00+00:00,0.00,nan,0.289,25.375,0.000
2013-01-04T10:00:00+00:00,0.01,nan,0.444,25.375,0.000
2013-01-04T11:00:00+00:00,0.00,nan,0.576,25.375,0.000
2013-01-04T12:00:00+00:00,0.00,nan,0.660,25.375,0.000
