1004
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.01,nan,0.012,59.210,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.008,57.760,0.000
2013-01-01T02:00:00+00:00,0.01,nan,0.009,55.440,0.000
2013-01-01T03:00:00+00:00,0.00,nan,0.007,53.990,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.006,52.540,0.000
2013-01-01T05:00:00+00:00,0.08,nan,0.006,50.800,0.000
2013-01-01T06:00:00+00:00,0.19,nan,0.008,49.060,0.000
2013-01-01T07:00:00+00:00,0.55,nan,0.044,48.190,0.000
2013-01-01T08:00:00+00:00,1.76,nan,0.118,46.790,0.000
2013-01-01T09:00:00+00:00,3.42,nan,0.226,45.680,0.000
2013-01-01T10:00:00+00:00,6.28,nan,0.349,45.125,0.000
2013-01-01T11:00:00+00:00,5.68,nan,0.462,45.680,0.000
2013-01-01T12:00:00+00:00,2.59,nan,0.558,46.235,0.000
2013-01-01T13:00:00+00:00,0.50,nan,0.604,48.203,0.000
2013-01-01T14:00:00+00:00,0.37,nan,0.577,49.060,0.000
2013-01-01T15:00:00+00:00,1.01,nan,0.591,49.060,0.000
2013-01-01T16:00:00+00:00,2.82,nan,0.484,49.640,0.000
2013-01-01T17:00:00+00:00,2.36,nan,0.302,50.510,0.000
2013-01-01T18:00:00+00:00,0.97,nan,0.223,52.250,0.000
2013-01-01T19:00:00+00:00,0.22,nan,0.103,53.700,0.000
2013-01-01T20:00:00+00:00,0.03,nan,0.026,52.830,0.000
2013-01-01T21:00:00+00:00,0.00,nan,0.017,53.700,0.000
2013-01-01T22:00:00+00:00,0.00,nan,0.014,53.700,0.000
2013-01-01T23:00:00+00:00,0.01,nan,0.012,54.280,0.000
2013-01-02T00:00:00+00:00,0.00,nan,0.012,54.860,0.000
2013-01-02T01:00:00+00:00,0.00,nan,0.011,55.150,0.000
2013-01-02T02:00:00+00:00,0.01,nan,0.009,54.860,0.000
2013-01-02T03:00:00+00:00,0.01,nan,0.009,55.440,0.000
2013-01-02T04:00:00+00:00,0.01,nan,0.010,56.020,0.000
2013-01-02T05:00:00+00:00,0.00,nan,0.008,56.020,0.000
2013-01-02T06:00:00+00:00,0.00,nan,0.010,56.020,0.000
2013-01-02T07:00:00+00:00,0.01,nan,0.051,56.020,0.000
2013-01-02T08:00:00+00:00,0.02,nan,0.147,56.020,0.000
2013-01-02T09:00:00+00:00,0.01,nan,0.284,54.860,0.000
2013-01-02T10:00:00+00:00,0.02,nan,0.446,54.570,0.000
2013-01-02T11:00:00+00:00,0.01,nan,0.573,53.700,0.000
2013-01-02T12:00:00+00:00,0.01,nan,0.684,52.830,0.000
2013-01-02T13:00:00+00:00,0.02,nan,0.736,51.960,0.000
2013-01-02T14:00:00+00:00,0.03,nan,0.714,51.090,0.000
2013-01-02T15:00:00+00:00,0.00,nan,0.620,50.220,0.000
2013-01-02T16:00:00+00:00,0.01,nan,0.413,49.060,0.000
2013-01-02T17:00:00+00:00,0.02,nan,0.302,47.900,0.000
2013-01-02T18:00:00+00:00,0.01,nan,0.209,47.067,0.000
2013-01-02T19:00:00+00:00,0.05,nan,0.084,46.235,0.000
2013-01-02T20:00:00+00:00,0.00,nan,0.028,45.680,0.000
2013-01-02T21:00:00+00:00,0.00,nan,0.021,44.570,0.000
2013-01-02T22:00:00+00:00,0.01,nan,0.019,43.738,0.000
2013-01-02T23:00:00+00:00,0.01,nan,0.016,43.182,0.000
2013-01-03T00:00:00+00:00,0.00,nan,0.016,42.073,0.000
2013-01-03T01:00:00+00:00,0.01,nan,0.015,41.240,0.000
2013-01-03T02:00:00+00:00,0.00,nan,0.015,40.407,0.000
2013-01-03T03:00:00+00:00,0.00,nan,0.014,40.130,0.000
2013-01-03T04:00:00+00:00,0.00,nan,0.013,39.575,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.010,39.020,0.000
2013-01-03T06:00:00+00:00,0.00,nan,0.010,39.020,0.000
2013-01-03T07:00:00+00:00,0.00,nan,0.053,36.557,0.000
2013-01-03T08:00:00+00:00,0.00,nan,0.147,35.760,0.000
2013-01-03T09:00:00+00:00,0.00,nan,0.272,35.760,0.000
2013-01-03T10:00:00+00:00,0.00,nan,0.416,34.720,0.000
2013-01-03T11:00:00+00:00,0.01,nan,0.504,34.720,0.000
2013-01-03T12:00:00+00:00,0.00,nan,0.605,34.720,0.000
2013-01-03T13:00:00+00:00,0.00,nan,0.653,33.940,0.000
2013-01-03T14:00:00+00:00,0.00,nan,0.600,33.680,0.000
2013-01-03T15:00:00+00:00,0.00,nan,0.525,33.680,0.000
2013-01-03T16:00:00+00:00,0.00,nan,0.401,32.640,0.000
2013-01-03T17:00:00+00:00,0.00,nan,0.323,32.640,0.000
2013-01-03T18:00:00+00:00,0.01,nan,0.217,31.860,0.000
2013-01-03T19:00:00+00:00,0.00,nan,0.093,32.640,0.000
2013-01-03T20:00:00+00:00,0.00,nan,0.030,31.600,0.000
2013-01-03T21:00:00+00:00,0.00,nan,0.022,32.380,0.000
2013-01-03T22:00:00+00:00,0.01,nan,0.018,31.340,0.000
2013-01-03T23:00:00+00:00,0.00,nan,0.017,30.560,0.000
2013-01-04T00:00:00+00:00,0.00,nan,0.015,30.040,0.000
2013-01-04T01:00:00+00:00,0.00,nan,0.013,29.520,0.000
2013-01-04T02:00:00+00:00,0.00,nan,0.015,29.520,0.000
2013-01-04T03:00:00+00:00,0.00,nan,0.010,29.260,0.000
2013-01-04T04:00:00+00:00,0.00,nan,0.010,28.480,0.000
2013-01-04T05:00:00+00:00,0.00,nan,0.010,27.960,0.000
2013-01-04T06:00:00+00:00,0.00,nan,0.009,28.480,0.000
2013-01-04T07:00:00+00:00,0.00,nan,0.042,27.440,0.000
2013-01-04T08:00:00+00:00,0.00,nan,0.117,27.440,0.000
2013-01-04T09:00:00+00:00,0.00,nan,0.236,27.440,0.000
2013-01-04T10:00:00+00:00,0.01,nan,0.383,26.660,0.000
2013-01-04T11:00:00+00:00,0.05,nan,0.532,25.642,0.000
2013-01-04T12:00:00+00:00,0.00,nan,0.646,23.623,0.000
2013-01-04T13:00:00+00:00,0.00,nan,0.677,24.885,0.000
2013-01-04T14:00:00+00:00,0.00,nan,0.624,25.390,0.000
2013-01-04T15:00:00+00:00,0.00,nan,0.588,25.390,0.000
2013-01-04T16:00:00+00:00,0.00,nan,0.419,27.700,0.000
2013-01-04T17:00:00+00:00,0.00,nan,0.287,26.920,0.000
2013-01-04T18:00:00+00:00,0.00,nan,0.173,25.390,0.000
2013-01-04T19:00:00+00:00,0.05,nan,0.076,24.380,0.000
2013-01-04T20:00:00+00:00,0.08,nan,0.022,24.380,0.000
2013-01-04T21:00:00+00:00,0.00,nan,0.014,24.380,0.000
2013-01-04T22:00:00+00:00,0.01,nan,0.016,24.380,0.000
2013-01-04T23:00:00+00:00,0.05,nan,0.014,24.380,0.000
2013-01-05T00:00:00+00:00,0.00,nan,0.015,23.623,0.000
2013-01-05T01:00:00+00:00,0.00,nan,0.012,23.370,0.000
2013-01-05T02:00:00+00:00,0.00,nan,0.010,23.370,0.000
2013-01-05T03:00:00+00:00,0.00,nan,0.008,22.865,0.000
2013-01-05T04:00:00+00:00,0.00,nan,0.006,23.117,0.000
2013-01-05T05:00:00+00:00,0.00,nan,0.006,22.360,0.000
2013-01-05T06:00:00+00:00,0.00,nan,0.007,22.360,0.000
2013-01-05T07:00:00+00:00,0.00,nan,0.037,22.108,0.000
2013-01-05T08:00:00+00:00,0.00,nan,0.122,21.350,0.000
2013-01-05T09:00:00+00:00,0.00,nan,0.239,21.350,0.000
2013-01-05T10:00:00+00:00,0.00,nan,0.368,21.350,0.000
2013-01-05T11:00:00+00:00,0.00,nan,0.551,20.845,0.000
2013-01-05T12:00:00+00:00,0.00,nan,0.665,20.340,0.000
2013-01-05T13:00:00+00:00,0.00,nan,0.724,21.602,0.000
2013-01-05T14:00:00+00:00,0.00,nan,0.698,22.360,0.000
2013-01-05T15:00:00+00:00,0.00,nan,0.627,21.350,0.000
2013-01-05T16:00:00+00:00,0.01,nan,0.477,17.057,0.000
2013-01-05T17:00:00+00:00,0.00,nan,0.348,20.340,0.000
2013-01-05T18:00:00+00:00,0.09,nan,0.197,21.602,0.000
2013-01-05T19:00:00+00:00,0.00,nan,0.076,20.340,0.000
2013-01-05T20:00:00+00:00,0.01,nan,0.029,20.340,0.000
2013-01-05T21:00:00+00:00,0.00,nan,0.014,19.835,0.000
2013-01-05T22:00:00+00:00,0.08,nan,0.012,19.835,0.000
2013-01-05T23:00:00+00:00,0.00,nan,0.011,20.340,0.000
2013-01-06T00:00:00+00:00,0.00,nan,0.012,20.340,0.000
2013-01-06T01:00:00+00:00,0.01,nan,0.011,20.340,0.000
2013-01-06T02:00:00+00:00,0.20,nan,0.009,20.087,0.000
2013-01-06T03:00:00+00:00,0.58,nan,0.007,19.330,0.000
2013-01-06T04:00:00+00:00,3.49,nan,0.006,20.088,0.000
2013-01-06T05:00:00+00:00,5.21,nan,0.006,21.098,0.000
2013-01-06T06:00:00+00:00,0.56,nan,0.007,21.855,0.000
2013-01-06T07:00:00+00:00,0.27,nan,0.043,24.127,0.000
2013-01-06T08:00:00+00:00,0.15,nan,0.131,24.885,0.000
2013-01-06T09:00:00+00:00,0.08,nan,0.252,24.380,0.000
2013-01-06T10:00:00+00:00,0.06,nan,0.422,23.370,0.000
2013-01-06T11:00:00+00:00,0.09,nan,0.580,22.360,0.000
2013-01-06T12:00:00+00:00,0.09,nan,0.597,19.078,0.000
2013-01-06T13:00:00+00:00,0.64,nan,0.648,20.593,0.000
2013-01-06T14:00:00+00:00,0.20,nan,0.609,22.865,0.000
2013-01-06T15:00:00+00:00,0.10,nan,0.557,24.380,0.000
2013-01-06T16:00:00+00:00,1.54,nan,0.432,23.370,0.000
2013-01-06T17:00:00+00:00,1.81,nan,0.334,23.622,0.000
2013-01-06T18:00:00+00:00,5.95,nan,0.195,24.633,0.000
2013-01-06T19:00:00+00:00,2.54,nan,0.077,26.155,0.000
2013-01-06T20:00:00+00:00,1.37,nan,0.022,31.080,0.000
2013-01-06T21:00:00+00:00,1.76,nan,0.012,35.500,0.000
2013-01-06T22:00:00+00:00,0.96,nan,0.011,35.240,0.000
2013-01-06T23:00:00+00:00,0.20,nan,0.009,34.720,0.000
2013-01-07T00:00:00+00:00,0.10,nan,0.009,35.500,0.000
2013-01-07T01:00:00+00:00,0.03,nan,0.008,35.760,0.000
2013-01-07T02:00:00+00:00,0.02,nan,0.007,34.720,0.000
2013-01-07T03:00:00+00:00,0.00,nan,0.006,34.720,0.000
2013-01-07T04:00:00+00:00,0.00,nan,0.005,34.720,0.000
