1654
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.02,nan,0.016,26.200,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.011,25.350,0.000
2013-01-01T02:00:00+00:00,0.01,nan,0.012,25.350,0.000
2013-01-01T03:00:00+00:00,0.00,nan,0.012,24.500,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.009,24.500,0.000
2013-01-01T05:00:00+00:00,0.23,nan,0.010,24.500,0.000
2013-01-01T06:00:00+00:00,0.37,nan,0.009,23.800,0.000
2013-01-01T07:00:00+00:00,0.63,nan,0.052,23.800,0.000
2013-01-01T08:00:00+00:00,6.75,nan,0.133,23.975,0.000
2013-01-01T09:00:00+00:00,7.11,nan,0.264,24.712,0.000
2013-01-01T10:00:00+00:00,5.34,nan,0.388,26.200,0.000
2013-01-01T11:00:00+00:00,3.46,nan,0.512,27.263,0.000
2013-01-01T12:00:00+00:00,2.57,nan,0.576,27.900,0.000
2013-01-01T13:00:00+00:00,1.21,nan,0.632,27.900,0.000
2013-01-01T14:00:00+00:00,0.97,nan,0.646,28.325,0.000
2013-01-01T15:00:00+00:00,1.31,nan,0.601,29.388,0.000
2013-01-01T16:00:00+00:00,3.17,nan,0.488,30.025,0.000
2013-01-01T17:00:00+00:00,2.31,nan,0.342,31.087,0.000
2013-01-01T18:00:00+00:00,0.71,nan,0.240,32.575,0.000
2013-01-01T19:00:00+00:00,0.18,nan,0.103,35.000,0.000
2013-01-01T20:00:00+00:00,0.05,nan,0.033,37.500,0.000
2013-01-01T21:00:00+00:00,0.00,nan,0.019,38.750,0.000
2013-01-01T22:00:00+00:00,0.00,nan,0.015,39.750,0.000
2013-01-01T23:00:00+00:00,0.00,nan,0.013,40.750,0.000
2013-01-02T00:00:00+00:00,0.00,nan,0.012,41.750,0.000
2013-01-02T01:00:00+00:00,0.00,nan,0.013,42.250,0.000
2013-01-02T02:00:00+00:00,0.00,nan,0.011,43.550,0.000
2013-01-02T03:00:00+00:00,0.01,nan,0.011,46.300,0.000
2013-01-02T04:00:00+00:00,0.01,nan,0.013,49.050,0.000
2013-01-02T05:00:00+00:00,0.00,nan,0.011,50.975,0.000
2013-01-02T06:00:00+00:00,0.00,nan,0.012,52.350,0.000
2013-01-02T07:00:00+00:00,0.01,nan,0.051,53.175,0.000
2013-01-02T08:00:00+00:00,0.01,nan,0.160,54.000,0.000
2013-01-02T09:00:00+00:00,0.01,nan,0.310,54.000,0.000
2013-01-02T10:00:00+00:00,0.01,nan,0.474,54.825,0.000
2013-01-02T11:00:00+00:00,0.01,nan,0.607,54.550,0.000
2013-01-02T12:00:00+00:00,0.01,nan,0.697,54.000,0.000
2013-01-02T13:00:00+00:00,0.01,nan,0.753,53.175,0.000
2013-01-02T14:00:00+00:00,0.01,nan,0.731,52.625,0.000
2013-01-02T15:00:00+00:00,0.00,nan,0.627,51.800,0.000
2013-01-02T16:00:00+00:00,0.00,nan,0.437,51.525,0.000
2013-01-02T17:00:00+00:00,0.01,nan,0.320,50.700,0.000
2013-01-02T18:00:00+00:00,0.01,nan,0.232,49.875,0.000
2013-01-02T19:00:00+00:00,0.01,nan,0.092,49.325,0.000
2013-01-02T20:00:00+00:00,0.00,nan,0.029,48.500,0.000
2013-01-02T21:00:00+00:00,0.00,nan,0.022,47.950,0.000
2013-01-02T22:00:00+00:00,0.00,nan,0.024,47.400,0.000
2013-01-02T23:00:00+00:00,0.00,nan,0.019,46.300,0.000
2013-01-03T00:00:00+00:00,0.00,nan,0.023,45.475,0.000
2013-01-03T01:00:00+00:00,0.00,nan,0.022,44.925,0.000
2013-01-03T02:00:00+00:00,0.00,nan,0.019,44.100,0.000
2013-01-03T03:00:00+00:00,0.00,nan,0.020,43.000,0.000
2013-01-03T04:00:00+00:00,0.00,nan,0.019,42.500,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.015,41.750,0.000
