1083
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.01,nan,0.012,17.650,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.009,17.817,0.000
2013-01-01T02:00:00+00:00,0.00,nan,0.009,17.650,0.000
2013-01-01T03:00:00+00:00,0.00,nan,0.008,17.650,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.008,17.148,0.000
2013-01-01T05:00:00+00:00,0.11,nan,0.009,16.980,0.000
2013-01-01T06:00:00+00:00,1.09,nan,0.008,16.310,0.000
2013-01-01T07:00:00+00:00,2.12,nan,0.022,16.310,0.000
2013-01-01T08:00:00+00:00,5.90,nan,0.156,16.142,0.000
2013-01-01T09:00:00+00:00,10.24,nan,0.308,16.645,0.000
2013-01-01T10:00:00+00:00,4.89,nan,0.453,18.655,0.000
2013-01-01T11:00:00+00:00,3.93,nan,0.542,20.162,0.000
2013-01-01T12:00:00+00:00,3.72,nan,0.652,20.330,0.000
2013-01-01T13:00:00+00:00,1.97,nan,0.631,22.600,0.000
2013-01-01T14:00:00+00:00,2.00,nan,0.636,26.000,0.000
2013-01-01T15:00:00+00:00,3.21,nan,0.601,28.200,0.000
2013-01-01T16:00:00+00:00,1.97,nan,0.509,30.600,0.000
2013-01-01T17:00:00+00:00,1.31,nan,0.363,33.000,0.000
2013-01-01T18:00:00+00:00,0.43,nan,0.173,36.400,0.000
2013-01-01T19:00:00+00:00,0.17,nan,0.038,39.200,0.000
2013-01-01T20:00:00+00:00,0.07,nan,0.027,41.400,0.000
2013-01-01T21:00:00+00:00,0.00,nan,0.025,44.225,0.000
2013-01-01T22:00:00+00:00,0.06,nan,0.019,48.150,0.000
2013-01-01T23:00:00+00:00,0.00,nan,0.016,51.525,0.000
2013-01-02T00:00:00+00:00,0.00,nan,0.015,54.025,0.000
2013-01-02T01:00:00+00:00,0.00,nan,0.013,57.500,0.000
2013-01-02T02:00:00+00:00,0.00,nan,0.012,64.000,0.000
2013-01-02T03:00:00+00:00,0.01,nan,0.009,73.625,0.000
2013-01-02T04:00:00+00:00,0.01,nan,0.007,86.650,0.000
2013-01-02T05:00:00+00:00,0.00,nan,0.007,99.625,0.000
2013-01-02T06:00:00+00:00,0.00,nan,0.006,111.300,0.000
2013-01-02T07:00:00+00:00,0.01,nan,0.018,121.350,0.000
2013-01-02T08:00:00+00:00,0.01,nan,0.165,129.750,0.000
2013-01-02T09:00:00+00:00,0.01,nan,0.344,134.950,0.000
2013-01-02T10:00:00+00:00,0.01,nan,0.506,138.200,0.000
2013-01-02T11:00:00+00:00,0.00,nan,0.638,139.175,0.000
2013-01-02T12:00:00+00:00,0.00,nan,0.738,137.550,0.000
2013-01-02T13:00:00+00:00,0.00,nan,0.730,135.600,0.000
2013-01-02T14:00:00+00:00,0.00,nan,0.682,133.325,0.000
2013-01-02T15:00:00+00:00,0.00,nan,0.619,130.400,0.000
2013-01-02T16:00:00+00:00,0.00,nan,0.466,126.175,0.000
2013-01-02T17:00:00+00:00,0.00,nan,0.317,121.625,0.000
2013-01-02T18:00:00+00:00,0.00,nan,0.159,117.600,0.000
2013-01-02T19:00:00+00:00,0.01,nan,0.028,114.300,0.000
2013-01-02T20:00:00+00:00,0.00,nan,0.020,110.700,0.000
2013-01-02T21:00:00+00:00,0.00,nan,0.017,106.500,0.000
2013-01-02T22:00:00+00:00,0.00,nan,0.016,103.500,0.000
2013-01-02T23:00:00+00:00,0.00,nan,0.015,99.900,0.000
2013-01-03T00:00:00+00:00,0.00,nan,0.014,96.025,0.000
2013-01-03T01:00:00+00:00,0.00,nan,0.015,92.975,0.000
2013-01-03T02:00:00+00:00,0.00,nan,0.015,90.225,0.000
2013-01-03T03:00:00+00:00,0.00,nan,0.014,87.200,0.000
2013-01-03T04:00:00+00:00,0.00,nan,0.013,84.450,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.011,81.700,0.000
2013-01-03T06:00:00+00:00,0.00,nan,0.010,79.225,0.000
2013-01-03T07:00:00+00:00,0.00,nan,0.024,76.750,0.000
2013-01-03T08:00:00+00:00,0.00,nan,0.177,74.300,0.000
2013-01-03T09:00:00+00:00,0.00,nan,0.331,72.000,0.000
2013-01-03T10:00:00+00:00,0.00,nan,0.462,69.500,0.000
2013-01-03T11:00:00+00:00,0.00,nan,0.594,67.500,0.000
2013-01-03T12:00:00+00:00,0.00,nan,0.663,65.750,0.000
2013-01-03T13:00:00+00:00,0.00,nan,0.690,63.250,0.000
2013-01-03T14:00:00+00:00,0.00,nan,0.640,62.000,0.000
2013-01-03T15:00:00+00:00,0.00,nan,0.619,60.500,0.000
2013-01-03T16:00:00+00:00,0.00,nan,0.488,59.500,0.000
2013-01-03T17:00:00+00:00,0.00,nan,0.371,57.750,0.000
2013-01-03T18:00:00+00:00,0.24,nan,0.185,56.000,0.000
2013-01-03T19:00:00+00:00,0.00,nan,0.039,54.750,0.000
2013-01-03T20:00:00+00:00,0.00,nan,0.028,53.775,0.000
2013-01-03T21:00:00+00:00,0.00,nan,0.025,52.650,0.000
2013-01-03T22:00:00+00:00,0.00,nan,0.023,51.300,0.000
2013-01-03T23:00:00+00:00,0.00,nan,0.020,50.175,0.000
2013-01-04T00:00:00+00:00,0.00,nan,0.019,49.050,0.000
2013-01-04T01:00:00+00:00,0.00,nan,0.017,47.475,0.000
2013-01-04T02:00:00+00:00,0.00,nan,0.015,46.575,0.000
2013-01-04T03:00:00+00:00,0.00,nan,0.011,45.675,0.000
2013-01-04T04:00:00+00:00,0.00,nan,0.011,44.600,0.000
2013-01-04T05:00:00+00:00,0.00,nan,0.009,43.600,0.000
2013-01-04T06:00:00+00:00,0.00,nan,0.008,42.800,0.000
2013-01-04T07:00:00+00:00,0.00,nan,0.019,41.800,0.000
2013-01-04T08:00:00+00:00,0.00,nan,0.147,41.000,0.000
2013-01-04T09:00:00+00:00,0.00,nan,0.304,40.000,0.000
2013-01-04T10:00:00+00:00,0.00,nan,0.457,39.000,0.000
2013-01-04T11:00:00+00:00,0.00,nan,0.585,37.600,0.000
2013-01-04T12:00:00+00:00,0.00,nan,0.737,36.800,0.000
2013-01-04T13:00:00+00:00,0.00,nan,0.750,36.200,0.000
2013-01-04T14:00:00+00:00,0.00,nan,0.641,35.800,0.000
2013-01-04T15:00:00+00:00,0.00,nan,0.553,35.400,0.000
2013-01-04T16:00:00+00:00,0.00,nan,0.490,34.800,0.000
2013-01-04T17:00:00+00:00,0.00,nan,0.337,34.200,0.000
2013-01-04T18:00:00+00:00,0.00,nan,0.182,33.200,0.000
2013-01-04T19:00:00+00:00,0.50,nan,0.029,33.000,0.000
2013-01-04T20:00:00+00:00,1.37,nan,0.021,32.200,0.000
2013-01-04T21:00:00+00:00,0.04,nan,0.021,31.400,0.000
2013-01-04T22:00:00+00:00,0.07,nan,0.020,31.200,0.000
