6694
datahora,pme,siprec,etp,qjus,qmon
2013-01-01T00:00:00+00:00,0.01,nan,0.015,265.972,0.000
2013-01-01T01:00:00+00:00,0.00,nan,0.011,265.972,0.000
2013-01-01T02:00:00+00:00,0.00,nan,0.010,265.972,0.000
2013-01-01T03:00:00+00:00,0.00,nan,0.008,263.731,0.000
2013-01-01T04:00:00+00:00,0.00,nan,0.008,261.490,0.000
2013-01-01T05:00:00+00:00,0.33,nan,0.009,259.389,0.000
2013-01-01T06:00:00+00:00,1.26,nan,0.010,257.288,0.000
2013-01-01T07:00:00+00:00,7.50,nan,0.070,257.288,0.000
2013-01-01T08:00:00+00:00,6.70,nan,0.180,261.490,0.000
2013-01-01T09:00:00+00:00,4.61,nan,0.334,265.972,0.000
2013-01-01T10:00:00+00:00,3.50,nan,0.466,269.333,0.000
2013-01-01T11:00:00+00:00,4.21,nan,0.539,274.936,0.000
2013-01-01T12:00:00+00:00,3.20,nan,0.628,283.900,0.000
2013-01-01T13:00:00+00:00,0.96,nan,0.689,291.744,0.000
2013-01-01T14:00:00+00:00,1.02,nan,0.653,297.346,0.000
2013-01-01T15:00:00+00:00,1.20,nan,0.620,300.707,0.000
2013-01-01T16:00:00+00:00,1.55,nan,0.473,305.189,0.000
2013-01-01T17:00:00+00:00,1.38,nan,0.352,312.248,0.000
2013-01-01T18:00:00+00:00,0.40,nan,0.230,315.810,0.000
2013-01-01T19:00:00+00:00,0.10,nan,0.102,319.373,0.000
2013-01-01T20:00:00+00:00,0.02,nan,0.035,325.310,0.000
2013-01-01T21:00:00+00:00,0.00,nan,0.025,331.248,0.000
2013-01-01T22:00:00+00:00,0.00,nan,0.023,337.185,0.000
2013-01-01T23:00:00+00:00,0.00,nan,0.021,343.123,0.000
2013-01-02T00:00:00+00:00,0.00,nan,0.013,350.248,0.000
2013-01-02T01:00:00+00:00,0.00,nan,0.015,356.315,0.000
2013-01-02T02:00:00+00:00,0.00,nan,0.010,362.577,0.000
2013-01-02T03:00:00+00:00,0.00,nan,0.010,370.092,0.000
2013-01-02T04:00:00+00:00,0.00,nan,0.007,376.355,0.000
2013-01-02T05:00:00+00:00,0.00,nan,0.007,381.365,0.000
2013-01-02T06:00:00+00:00,0.00,nan,0.008,386.375,0.000
2013-01-02T07:00:00+00:00,0.00,nan,0.067,390.132,0.000
2013-01-02T08:00:00+00:00,0.01,nan,0.189,393.890,0.000
2013-01-02T09:00:00+00:00,0.00,nan,0.349,393.890,0.000
2013-01-02T10:00:00+00:00,0.01,nan,0.498,397.648,0.000
2013-01-02T11:00:00+00:00,0.00,nan,0.634,398.900,0.000
2013-01-02T12:00:00+00:00,0.00,nan,0.746,398.900,0.000
2013-01-02T13:00:00+00:00,0.00,nan,0.755,398.900,0.000
2013-01-02T14:00:00+00:00,0.00,nan,0.667,398.900,0.000
2013-01-02T15:00:00+00:00,0.00,nan,0.600,395.142,0.000
2013-01-02T16:00:00+00:00,0.00,nan,0.450,393.890,0.000
2013-01-02T17:00:00+00:00,0.00,nan,0.325,393.890,0.000
2013-01-02T18:00:00+00:00,0.00,nan,0.185,393.890,0.000
2013-01-02T19:00:00+00:00,0.01,nan,0.075,393.890,0.000
2013-01-02T20:00:00+00:00,0.00,nan,0.032,393.890,0.000
2013-01-02T21:00:00+00:00,0.00,nan,0.026,391.385,0.000
2013-01-02T22:00:00+00:00,0.00,nan,0.026,388.880,0.000
2013-01-02T23:00:00+00:00,0.00,nan,0.023,388.880,0.000
2013-01-03T00:00:00+00:00,0.00,nan,0.019,388.880,0.000
2013-01-03T01:00:00+00:00,0.00,nan,0.018,388.880,0.000
2013-01-03T02:00:00+00:00,0.00,nan,0.020,388.880,0.000
2013-01-03T03:00:00+00:00,0.00,nan,0.017,388.880,0.000
2013-01-03T04:00:00+00:00,0.00,nan,0.020,388.880,0.000
2013-01-03T05:00:00+00:00,0.00,nan,0.019,388.880,0.000
2013-01-03T06:00:00+00:00,0.00,nan,0.018,388.880,0.000
2013-01-03T07:00:00+00:00,0.00,nan,0.067,388.880,0.000
2013-01-03T08:00:00+00:00,0.00,nan,0.194,385.122,0.000
2013-01-03T09:00:00+00:00,0.00,nan,0.345,383.870,0.000
2013-01-03T10:00:00+00:00,0.00,nan,0.525,383.870,0.000
2013-01-03T11:00:00+00:00,0.00,nan,0.634,380.113,0.000
2013-01-03T12:00:00+00:00,0.00,nan,0.687,378.860,0.000
2013-01-03T13:00:00+00:00,0.00,nan,0.722,378.860,0.000
2013-01-03T14:00:00+00:00,0.00,nan,0.594,375.102,0.000
2013-01-03T15:00:00+00:00,0.00,nan,0.598,373.850,0.000
2013-01-03T16:00:00+00:00,0.00,nan,0.465,368.840,0.000
2013-01-03T17:00:00+00:00,0.00,nan,0.377,367.587,0.000
2013-01-03T18:00:00+00:00,0.06,nan,0.246,363.830,0.000
2013-01-03T19:00:00+00:00,0.00,nan,0.089,363.830,0.000
2013-01-03T20:00:00+00:00,0.00,nan,0.028,360.072,0.000
2013-01-03T21:00:00+00:00,0.00,nan,0.026,358.820,0.000
2013-01-03T22:00:00+00:00,0.00,nan,0.026,353.810,0.000
2013-01-03T23:00:00+00:00,0.00,nan,0.023,353.810,0.000
2013-01-04T00:00:00+00:00,0.00,nan,0.023,350.248,0.000
2013-01-04T01:00:00+00:00,0.00,nan,0.019,349.060,0.000
2013-01-04T02:00:00+00:00,0.00,nan,0.019,344.310,0.000
2013-01-04T03:00:00+00:00,0.00,nan,0.015,340.748,0.000
2013-01-04T04:00:00+00:00,0.00,nan,0.016,339.560,0.000
2013-01-04T05:00:00+00:00,0.00,nan,0.016,335.998,0.000
2013-01-04T06:00:00+00:00,0.00,nan,0.015,333.623,0.000
2013-01-04T07:00:00+00:00,0.00,nan,0.064,330.060,0.000
2013-01-04T08:00:00+00:00,0.00,nan,0.179,327.685,0.000
2013-01-04T09:00:00+00:00,0.00,nan,0.328,325.310,0.000
2013-01-04T10:00:00+00:00,0.00,nan,0.479,320.560,0.000
2013-01-04T11:00:00+00:00,0.00,nan,0.616,318.185,0.000
2013-01-04T12:00:00+00:00,0.00,nan,0.710,315.810,0.000
2013-01-04T13:00:00+00:00,0.00,nan,0.758,312.248,0.000
2013-01-04T14:00:00+00:00,0.00,nan,0.706,309.873,0.000
2013-01-04T15:00:00+00:00,0.00,nan,0.655,306.310,0.000
2013-01-04T16:00:00+00:00,0.00,nan,0.510,305.190,0.000
2013-01-04T17:00:00+00:00,0.00,nan,0.352,304.069,0.000
2013-01-04T18:00:00+00:00,0.00,nan,0.208,301.828,0.000
2013-01-04T19:00:00+00:00,0.19,nan,0.082,298.466,0.000
2013-01-04T20:00:00+00:00,0.48,nan,0.024,297.346,0.000
2013-01-04T21:00:00+00:00,0.10,nan,0.022,292.864,0.000
2013-01-04T22:00:00+00:00,0.18,nan,0.027,291.744,0.000
2013-01-04T23:00:00+00:00,0.07,nan,0.019,288.382,0.000
2013-01-05T00:00:00+00:00,0.00,nan,0.021,286.141,0.000
2013-01-05T01:00:00+00:00,0.00,nan,0.022,282.779,0.000
2013-01-05T02:00:00+00:00,0.00,nan,0.016,279.418,0.000
2013-01-05T03:00:00+00:00,0.00,nan,0.014,276.056,0.000
2013-01-05T04:00:00+00:00,0.00,nan,0.010,274.936,0.000
