#AAA MM DD HH    Qaflu   Qdeflu
2015 08 21 10   165.64   164.70
2015 08 21 11   165.19   164.72
2015 08 21 12   165.02   164.56
2015 08 21 13   164.89   164.42
2015 08 21 14   165.30   164.37
2015 08 21 15   165.39   164.46
2015 08 21 16   165.77   164.61
2015 08 21 17   166.23   164.83
2015 08 21 18   166.26   165.08
2015 08 21 19   166.52   165.35
2015 08 21 20   166.83   165.66
2015 08 21 21   166.65   165.94
2015 08 21 22   166.29   166.06
2015 08 21 23   166.03   166.03
2015 08 22 00   165.70   165.93
2015 08 22 01   165.56   165.79
2015 08 22 02   165.48   165.71
2015 08 22 03   165.53   165.76
2015 08 22 04   165.16   165.86
2015 08 22 05   165.02   165.96
2015 08 22 06   165.17   166.10
2015 08 22 07   164.80   166.20
2015 08 22 08   165.14   166.31
2015 08 22 09   157.81   165.53
2015 08 22 10   146.90   162.57
2015 08 22 11   135.93   157.69
2015 08 22 12   124.87   151.54
2015 08 22 13   121.19   145.52
2015 08 22 14   121.19   141.07
2015 08 22 15   121.32   138.13
2015 08 22 16   121.22   136.34
2015 08 22 17   121.36   135.25
2015 08 22 18   121.09   134.70
2015 08 22 19   121.16   134.51
2015 08 22 20   122.11   134.30
2015 08 22 21   124.43   134.09
2015 08 22 22   127.17   133.84
2015 08 22 23   129.43   133.57
2015 08 23 00   131.04   133.34
2015 08 23 01   130.85   133.15
2015 08 23 02   130.96   133.04
2015 08 23 03   131.02   133.09
2015 08 23 04   130.85   133.38
2015 08 23 05   131.29   133.83
2015 08 23 06   130.88   134.34
2015 08 23 07   131.23   134.91
2015 08 23 08   132.97   135.51
2015 08 23 09   131.43   136.03
2015 08 23 10   132.78   136.46
2015 08 23 11   133.97   136.73
2015 08 23 12   134.42   136.72
2015 08 23 13   136.33   136.56
2015 08 23 14   138.16   136.32
2015 08 23 15   138.12   136.05
2015 08 23 16   137.95   135.88
2015 08 23 17   139.35   135.66
2015 08 23 18   137.90   135.37
2015 08 23 19   143.44   135.15
2015 08 23 20   153.47   135.06
2015 08 23 21   164.60   135.29
2015 08 23 22   174.29   136.78
2015 08 23 23   179.04   139.79
2015 08 24 00   179.46   144.48
2015 08 24 01   178.94   150.63
2015 08 24 02   180.00   157.07
2015 08 24 03   179.99   162.91
2015 08 24 04   179.32   167.62
2015 08 24 05   178.07   171.06
2015 08 24 06   177.59   173.38
2015 08 24 07   177.22   174.88
2015 08 24 08   177.11   175.71
2015 08 24 09   177.07   176.13
2015 08 24 10   176.44   176.21
2015 08 24 11   176.52   176.05
2015 08 24 12   175.49   175.72
2015 08 24 13   175.85   175.39
2015 08 24 14   178.16   175.58
2015 08 24 15   179.26   176.22
2015 08 24 16   180.57   177.06
2015 08 24 17   180.68   177.87
2015 08 24 18   178.73   178.03
2015 08 24 19   177.59   177.59
2015 08 24 20   176.96   176.96
2015 08 24 21   176.94   176.47
2015 08 24 22   176.93   176.23
2015 08 24 23   177.14   176.21
2015 08 25 00   177.14   176.44
2015 08 25 01   176.92   176.68
2015 08 25 02   177.36   177.13
2015 08 25 03   177.10   177.80
2015 08 25 04   177.50   178.44
2015 08 25 05   177.36   179.00
2015 08 25 06   176.54   179.35
2015 08 25 07   176.30   179.34
2015 08 25 08   175.63   178.90
2015 08 25 09   175.09   178.13
2015 08 25 10   174.52   177.09
2015 08 25 11   174.31   175.94
2015 08 25 12   174.04   174.98
2015 08 25 13   173.74   174.21
2015 08 25 14   173.74   173.51
2015 08 25 15   173.14   172.91
2015 08 25 16   172.37   172.37
2015 08 25 17   172.23   172.00
2015 08 25 18   171.77   171.77
2015 08 25 19   171.83   171.60
2015 08 25 20   171.70   171.47
2015 08 25 21   171.01   171.25
2015 08 25 22   170.49   170.96
2015 08 25 23   169.67   170.60
2015 08 26 00   169.79   170.25
2015 08 26 01   169.52   169.99
2015 08 26 02   169.39   169.86
2015 08 26 03   169.32   170.02
2015 08 26 04   168.69   170.33
2015 08 26 05   168.76   170.63
2015 08 26 06   168.58   170.92
2015 08 26 07   169.19   171.06
2015 08 26 08   170.47   171.17
2015 08 26 09   171.18   171.41
2015 08 26 10   172.54   171.60
2015 08 26 11   172.31   171.60
2015 08 26 12   171.90   171.43
2015 08 26 13   170.97   170.97
2015 08 26 14   169.03   170.20
2015 08 26 15   168.37   169.31
2015 08 26 16   166.98   168.38
2015 08 26 17   167.33   167.56
2015 08 26 18   168.19   167.26
2015 08 26 19   168.80   167.40
2015 08 26 20   168.23   167.54
2015 08 26 21   167.97   167.50
2015 08 26 22   169.54   167.67
2015 08 26 23   167.73   167.73
2015 08 27 00   166.06   167.23
2015 08 27 01   164.58   166.45
2015 08 27 02   160.92   165.13
2015 08 27 03   153.34   162.70
2015 08 27 04   146.48   159.35
2015 08 27 05   137.92   155.23
2015 08 27 06   129.27   150.32
2015 08 27 07   126.97   145.69
2015 08 27 08   125.55   142.16
2015 08 27 09   124.70   139.44
2015 08 27 10   124.75   137.15
2015 08 27 11   125.89   135.25
2015 08 27 12   126.64   133.65
2015 08 27 13   121.63   132.27
2015 08 27 14   112.11   131.25
2015 08 27 15   101.92   130.47
2015 08 27 16    97.46   129.68
2015 08 27 17   113.19   129.07
2015 08 27 18   134.66   128.90
2015 08 27 19   156.97   129.12
2015 08 27 20   174.28   130.36
2015 08 27 21   176.27   133.36
2015 08 27 22   176.99   138.10
2015 08 27 23   176.86   144.34
2015 08 28 00   176.45   151.17
2015 08 28 01   176.48   157.52
2015 08 28 02   175.88   162.78
2015 08 28 03   175.89   167.00
2015 08 28 04   175.38   170.23
2015 08 28 05   175.21   172.40
2015 08 28 06   174.94   173.77
2015 08 28 07   174.51   174.51
2015 08 28 08   174.30   174.77
2015 08 28 09   173.69   174.62
2015 08 28 10   173.39   174.09
2015 08 28 11   172.96   173.43
2015 08 28 12   172.88   172.88
2015 08 28 13   172.81   172.58
2015 08 28 14   172.73   172.50
2015 08 28 15   172.80   172.57
2015 08 28 16   172.61   172.61
2015 08 28 17   172.36   172.60
2015 08 28 18   172.37   172.61
2015 08 28 19   172.36   172.59
2015 08 28 20   171.76   172.46
2015 08 28 21   171.56   172.26
2015 08 28 22   171.40   172.11
2015 08 28 23   170.95   171.89
2015 08 29 00   170.98   171.68
2015 08 29 01   170.86   171.57
2015 08 29 02   170.54   171.48
2015 08 29 03   170.78   171.48
2015 08 29 04   170.85   171.55
2015 08 29 05   170.75   171.69
2015 08 29 06   170.63   171.80
2015 08 29 07   170.10   171.74
2015 08 29 08   169.77   171.64
2015 08 29 09   162.85   170.57
2015 08 29 10   151.59   167.27
2015 08 29 11   140.20   161.96
2015 08 29 12   129.09   155.29
2015 08 29 13   124.44   148.54
2015 08 29 14   124.98   143.47
2015 08 29 15   124.86   140.06
2015 08 29 16   124.77   137.62
2015 08 29 17   124.76   135.92
2015 08 29 18   123.76   134.65
2015 08 29 19   125.18   133.71
2015 08 29 20   136.25   133.23
2015 08 29 21   148.32   133.65
2015 08 29 22   160.63   135.47
2015 08 29 23   171.05   138.89
