#AAA MM DD HH    Qaflu   Qdeflu
2015 08 21 10    68.71   145.55
2015 08 21 11    67.45   145.56
2015 08 21 12    66.14   145.53
2015 08 21 13    57.25   145.61
2015 08 21 14    62.34   145.58
2015 08 21 15    56.03   145.67
2015 08 21 16    58.59   145.67
2015 08 21 17    63.79   145.74
2015 08 21 18    58.77   145.85
2015 08 21 19    66.48   145.87
2015 08 21 20    57.55   145.91
2015 08 21 21    63.95   145.91
2015 08 21 22    57.70   146.06
2015 08 21 23    55.12   146.04
2015 08 22 00    64.19   146.14
2015 08 22 01    57.84   146.20
2015 08 22 02    60.21   146.01
2015 08 22 03    58.96   146.04
2015 08 22 04    61.45   145.97
2015 08 22 05    55.03   145.95
2015 08 22 06    58.92   146.00
2015 08 22 07    60.25   146.05
2015 08 22 08    51.39   146.16
2015 08 22 09    63.61   139.16
2015 08 22 10    60.07   129.22
2015 08 22 11    59.10   119.28
2015 08 22 12    61.91   109.30
2015 08 22 13    58.98   106.36
2015 08 22 14    56.43   106.37
2015 08 22 15    55.12   106.34
2015 08 22 16    61.52   106.34
2015 08 22 17    55.14   106.37
2015 08 22 18    62.82   106.36
2015 08 22 19    59.08   106.46
2015 08 22 20    61.69   106.51
2015 08 22 21    64.26   106.52
2015 08 22 22    57.87   106.53
2015 08 22 23    64.27   106.53
2015 08 23 00    55.28   106.50
2015 08 23 01    61.67   106.49
2015 08 23 02    64.23   106.48
2015 08 23 03    57.75   106.41
2015 08 23 04    62.81   106.35
2015 08 23 05    61.49   106.31
2015 08 23 06    55.05   106.27
2015 08 23 07    63.98   106.24
2015 08 23 08    46.12   106.31
2015 08 23 09    55.11   106.34
2015 08 23 10    59.00   106.38
2015 08 23 11    71.88   106.46
2015 08 23 12    71.88   106.46
2015 08 23 13    85.95   106.44
2015 08 23 14    71.83   106.40
2015 08 23 15    73.05   106.35
2015 08 23 16    84.61   106.38
2015 08 23 17    59.04   106.42
2015 08 23 18    83.45   106.50
2015 08 23 19    60.32   112.82
2015 08 23 20    74.11   122.77
2015 08 23 21    72.56   132.74
2015 08 23 22    56.87   142.67
2015 08 23 23    79.75   146.34
2015 08 24 00    70.75   146.31
2015 08 24 01    68.17   146.28
2015 08 24 02    77.12   146.27
2015 08 24 03    78.45   146.32
2015 08 24 04    61.80   146.31
2015 08 24 05    86.22   146.40
2015 08 24 06    76.03   146.46
2015 08 24 07    72.23   146.50
2015 08 24 08    83.93   146.67
2015 08 24 09    82.58   146.61
2015 08 24 10    85.21   146.68
2015 08 24 11    85.18   146.64
2015 08 24 12    90.20   146.54
2015 08 24 13    78.68   146.55
2015 08 24 14    96.51   146.45
2015 08 24 15   105.48   146.46
2015 08 24 16   114.48   146.49
2015 08 24 17   115.84   146.57
2015 08 24 18   109.63   146.76
2015 08 24 19   104.52   146.78
2015 08 24 20   105.81   146.78
2015 08 24 21   104.55   146.81
