#AAA MM DD HH    Qaflu   Qdeflu
2015 08 21 10  1626.12  1540.49
2015 08 21 11  1616.31  1549.71
2015 08 21 12  1435.31  1558.98
2015 08 21 13  1540.25  1559.28
2015 08 21 14  1749.56  1559.29
2015 08 21 15  1559.21  1559.21
2015 08 21 16  1625.78  1559.18
2015 08 21 17  1720.82  1559.09
2015 08 21 18  1645.93  1560.30
2015 08 21 19  1615.36  1567.79
2015 08 21 20  1660.98  1575.36
2015 08 21 21  1773.15  1582.87
2015 08 21 22  1617.19  1588.65
2015 08 21 23  1584.63  1698.79
2015 08 22 00  1732.89  1828.03
2015 08 22 01  1743.56  1838.70
2015 08 22 02  1648.09  1743.23
2015 08 22 03  1607.26  1369.41
2015 08 22 04  1559.76   941.36
2015 08 22 05  1383.38   631.79
2015 08 22 06  1475.31   428.78
2015 08 22 07  1544.71   393.53
2015 08 22 08  1455.27   503.88
2015 08 22 09  1378.15   655.10
2015 08 22 10  1464.23   855.34
2015 08 22 11  1504.38  1152.36
2015 08 22 12  1491.51  1339.29
2015 08 22 13  1571.22  1485.59
2015 08 22 14  1487.82  1582.96
2015 08 22 15  1506.54  1592.17
2015 08 22 16  1586.08  1529.00
2015 08 22 17  1509.81  1500.30
2015 08 22 18  1461.58  1499.63
2015 08 22 19  1366.21  1632.60
2015 08 22 20  1430.26  1706.16
2015 08 22 21  1648.89  1734.51
2015 08 22 22  1534.96  1734.75
2015 08 22 23  1735.50  1592.80
2015 08 23 00  1686.72  1582.07
2015 08 23 01  1576.96  1510.36
2015 08 23 02  1598.52  1341.65
2015 08 23 03  1534.15  1106.03
2015 08 23 04  1529.29   825.26
2015 08 23 05  1388.41   608.27
2015 08 23 06  1501.52   483.53
2015 08 23 07  1376.57   425.18
2015 08 23 08  1045.82   427.42
2015 08 23 09   594.95   442.73
2015 08 23 10   830.35   459.31
2015 08 23 11  1210.62   478.05
2015 08 23 12  1245.12   493.52
2015 08 23 13  1741.50   495.18
2015 08 23 14  1722.72   504.94
2015 08 23 15  1490.10   510.17
2015 08 23 16  1448.57   525.72
2015 08 23 17  1581.03   696.24
2015 08 23 18  1666.24   952.69
2015 08 23 19  1560.15  1398.42
2015 08 23 20  1789.46  1818.00
2015 08 23 21  1986.94  2015.48
2015 08 23 22  1716.85  2116.43
2015 08 23 23  1508.77  1984.47
2015 08 24 00  1640.25  1697.34
2015 08 24 01  1479.89  1432.32
2015 08 24 02  1319.30  1109.99
2015 08 24 03  1517.34   794.29
2015 08 24 04  1543.80   630.46
2015 08 24 05  1463.23   530.87
2015 08 24 06  1544.99   603.12
2015 08 24 07  1458.80   830.88
2015 08 24 08  1686.21  1286.63
2015 08 24 09  1694.41  1751.49
2015 08 24 10  1807.18  2111.62
