#AAA MM DD HH    Qaflu   Qdeflu
2015 08 21 10  1120.25   905.81
2015 08 21 11  1226.72   907.81
2015 08 21 12  1241.39   911.48
2015 08 21 13  1298.56   913.65
2015 08 21 14  1235.97   917.05
2015 08 21 15  1168.37   915.44
2015 08 21 16  1202.85   910.86
2015 08 21 17  1221.96   945.83
2015 08 21 18  1217.56  1013.03
2015 08 21 19  1250.91  1079.03
2015 08 21 20  1236.20  1147.32
2015 08 21 21  1222.30  1177.86
2015 08 21 22  1258.47  1175.14
2015 08 21 23  1245.19  1172.97
2015 08 22 00  1240.81  1174.15
2015 08 22 01  1232.09  1176.54
2015 08 22 02  1082.28  1176.73
2015 08 22 03   923.44  1178.54
2015 08 22 04   768.85  1177.91
2015 08 22 05   612.46  1164.54
2015 08 22 06   554.15  1154.47
2015 08 22 07   529.00  1155.84
2015 08 22 08   455.89  1154.21
2015 08 22 09   361.58  1164.38
2015 08 22 10   584.44  1172.79
2015 08 22 11   652.66  1169.53
2015 08 22 12   850.16  1169.07
2015 08 22 13  1095.13  1172.11
2015 08 22 14  1115.57  1176.05
2015 08 22 15  1134.91  1178.90
2015 08 22 16  1165.37  1181.86
2015 08 22 17  1136.52  1180.51
2015 08 22 18   985.92  1178.37
2015 08 22 19  1075.12  1179.59
2015 08 22 20  1148.48  1181.47
2015 08 22 21  1165.47  1159.97
2015 08 22 22  1276.06  1094.60
2015 08 22 23  1205.49  1024.04
2015 08 23 00  1154.98   957.03
2015 08 23 01  1056.48   913.52
2015 08 23 02   932.11   910.12
2015 08 23 03   673.06   909.50
2015 08 23 04   355.26   905.12
2015 08 23 05   296.73   901.58
2015 08 23 06   181.00   901.32
2015 08 23 07   120.32   901.13
2015 08 23 08   171.73   903.04
2015 08 23 09   359.82   904.18
2015 08 23 10   361.66   906.02
2015 08 23 11   776.32   908.28
2015 08 23 12  1034.75   908.29
2015 08 23 13  1088.74   907.29
2015 08 23 14  1329.58   906.19
2015 08 23 15  1201.38   904.45
2015 08 23 16  1107.81   904.36
2015 08 23 17  1108.20   904.75
2015 08 23 18  1317.30   904.90
2015 08 23 19  1246.90   905.99
2015 08 23 20  1414.30   902.93
2015 08 23 21  1456.90   901.54
2015 08 23 22  1263.15   900.24
2015 08 23 23  1222.61   898.19
2015 08 24 00  1228.38   898.46
2015 08 24 01   969.41   897.93
2015 08 24 02   840.85   851.85
2015 08 24 03   712.44   778.43
2015 08 24 04   330.40   704.30
