#AAA MM DD HH    Qaflu   Qdeflu
2015 08 21 10  1040.00  1497.00
2015 08 21 11  1192.00  1497.00
2015 08 21 12  1498.00  1498.00
2015 08 21 13  1344.00  1496.00
2015 08 21 14  1497.00  1497.00
2015 08 21 15  1343.00  1496.00
2015 08 21 16  1339.00  1491.00
2015 08 21 17  1346.00  1498.00
2015 08 21 18  1344.00  1496.00
2015 08 21 19  1497.00  1497.00
2015 08 21 20  1498.00  1498.00
2015 08 21 21  1499.00  1499.00
2015 08 21 22  1500.00  1500.00
2015 08 21 23  1495.00  1495.00
2015 08 22 00  1495.00  1495.00
2015 08 22 01  1411.00  1411.00
2015 08 22 02  1339.00  1339.00
2015 08 22 03  1483.00  1330.00
2015 08 22 04  1357.00  1357.00
2015 08 22 05  1498.00  1346.00
2015 08 22 06  1423.00  1423.00
2015 08 22 07  1428.00  1124.00
2015 08 22 08  1490.00  1338.00
2015 08 22 09  1554.00  1402.00
2015 08 22 10  1402.00  1402.00
2015 08 22 11  1403.00  1403.00
2015 08 22 12  1401.00  1401.00
2015 08 22 13  1397.00  1397.00
2015 08 22 14  1395.00  1395.00
2015 08 22 15  1393.00  1393.00
2015 08 22 16  1445.00  1292.00
2015 08 22 17  1424.00  1119.00
2015 08 22 18  1435.00  1130.00
2015 08 22 19  1499.00  1499.00
2015 08 22 20  1503.00  1503.00
2015 08 22 21  1504.00  1504.00
2015 08 22 22  1348.00  1501.00
2015 08 22 23  1505.00  1505.00
2015 08 23 00  1351.00  1504.00
2015 08 23 01  1518.00  1366.00
2015 08 23 02  1325.00  1325.00
2015 08 23 03  1491.00  1338.00
2015 08 23 04  1483.00  1331.00
2015 08 23 05  1440.00  1288.00
2015 08 23 06  1418.00  1113.00
2015 08 23 07  1520.00   297.00
2015 08 23 08   813.00   201.00
2015 08 23 09   667.00  1126.00
2015 08 23 10  1363.00  1363.00
2015 08 23 11  1526.00  1373.00
2015 08 23 12  1595.00  1442.00
2015 08 23 13  1386.00  1386.00
2015 08 23 14  1413.00  1413.00
2015 08 23 15  1395.00  1395.00
2015 08 23 16  1439.00  1439.00
2015 08 23 17  1434.00  1434.00
2015 08 23 18  1353.00  1353.00
2015 08 23 19  1498.00  1498.00
2015 08 23 20  1488.00  1488.00
2015 08 23 21  1368.00  1368.00
2015 08 23 22  1512.00  1359.00
2015 08 23 23  1487.00  1334.00
2015 08 24 00  1473.00  1320.00
2015 08 24 01  1483.00  1330.00
2015 08 24 02  1418.00  1264.00
2015 08 24 03  1393.00  1393.00
2015 08 24 04  1507.00  1354.00
2015 08 24 05  1422.00  1422.00
2015 08 24 06  1409.00  1409.00
2015 08 24 07  1426.00  1426.00
2015 08 24 08  1295.00  1448.00
2015 08 24 09  1311.00  1464.00
2015 08 24 10  1487.00  1487.00
2015 08 24 11  1481.00  1481.00
2015 08 24 12  1475.00  1475.00
2015 08 24 13  1476.00  1476.00
2015 08 24 14  1483.00  1483.00
2015 08 24 15  1477.00  1477.00
2015 08 24 16  1479.00  1479.00
2015 08 24 17  1491.00  1491.00
2015 08 24 18  1493.00  1493.00
2015 08 24 19  1480.00  1480.00
2015 08 24 20  1486.00  1486.00
2015 08 24 21  1495.00  1495.00
2015 08 24 22  1492.00  1492.00
2015 08 24 23  1337.00  1337.00
2015 08 25 00  1470.00  1317.00
2015 08 25 01  1463.00  1310.00
2015 08 25 02  1319.00  1319.00
2015 08 25 03  1434.00  1281.00
2015 08 25 04  1429.00  1123.00
2015 08 25 05  1127.00   666.00
2015 08 25 06  1582.00  1274.00
2015 08 25 07  1490.00  1337.00
2015 08 25 08  1411.00  1411.00
2015 08 25 09  1430.00  1430.00
2015 08 25 10  1412.00  1412.00
2015 08 25 11  1415.00  1415.00
2015 08 25 12  1579.00  1425.00
2015 08 25 13  1413.00  1413.00
2015 08 25 14  1422.00  1422.00
2015 08 25 15  1416.00  1416.00
2015 08 25 16  1453.00  1453.00
2015 08 25 17  1494.00  1494.00
2015 08 25 18  1491.00  1491.00
2015 08 25 19  1492.00  1492.00
2015 08 25 20  1489.00  1489.00
2015 08 25 21  1482.00  1482.00
2015 08 25 22  1483.00  1483.00
2015 08 25 23  1450.00  1450.00
2015 08 26 00  1345.00  1345.00
2015 08 26 01  1437.00  1284.00
2015 08 26 02  1404.00  1251.00
2015 08 26 03  1391.00  1237.00
2015 08 26 04  1463.00   693.00
2015 08 26 05  1414.00   797.00
2015 08 26 06  1142.00  1296.00
2015 08 26 07  1119.00  1427.00
2015 08 26 08  1149.00  1457.00
2015 08 26 09  1016.00  1478.00
2015 08 26 10  1015.00  1476.00
2015 08 26 11  1184.00  1491.00
2015 08 26 12  1463.00  1463.00
2015 08 26 13  1476.00  1476.00
2015 08 26 14  1483.00  1483.00
2015 08 26 15  1314.00  1468.00
2015 08 26 16  1469.00  1469.00
2015 08 26 17  1465.00  1465.00
2015 08 26 18  1639.00  1486.00
2015 08 26 19  1771.00  1464.00
2015 08 26 20  1752.00  1445.00
2015 08 26 21  1618.00  1464.00
2015 08 26 22  1621.00  1468.00
2015 08 26 23  1595.00  1441.00
2015 08 27 00  1525.00  1371.00
2015 08 27 01  1761.00  1145.00
2015 08 27 02  1532.00   453.00
2015 08 27 03   865.00   556.00
2015 08 27 04  1017.00   554.00
2015 08 27 05   866.00   556.00
2015 08 27 06   617.00   772.00
2015 08 27 07   642.00  1260.00
2015 08 27 08   738.00  1355.00
2015 08 27 09   981.00  1444.00
2015 08 27 10  1164.00  1472.00
2015 08 27 11  1022.00  1485.00
2015 08 27 12  1145.00  1453.00
2015 08 27 13  1117.00  1271.00
2015 08 27 14  1128.00  1436.00
2015 08 27 15  1175.00  1483.00
2015 08 27 16  1187.00  1495.00
2015 08 27 17  1175.00  1482.00
2015 08 27 18  1037.00  1498.00
2015 08 27 19  1184.00  1491.00
2015 08 27 20  1331.00  1484.00
2015 08 27 21  1323.00  1477.00
2015 08 27 22  1176.00  1483.00
2015 08 27 23  1012.00  1472.00
2015 08 28 00  1066.00  1372.00
2015 08 28 01   991.00  1297.00
2015 08 28 02  1157.00  1004.00
2015 08 28 03  1062.00   909.00
2015 08 28 04  1234.00   928.00
2015 08 28 05  1212.00  1212.00
2015 08 28 06  1185.00  1338.00
2015 08 28 07  1113.00  1420.00
2015 08 28 08  1153.00  1459.00
2015 08 28 09  1047.00  1506.00
2015 08 28 10  1196.00  1501.00
2015 08 28 11  1197.00  1503.00
2015 08 28 12  1197.00  1502.00
2015 08 28 13  1494.00  1494.00
2015 08 28 14  1349.00  1502.00
2015 08 28 15  1345.00  1498.00
2015 08 28 16  1502.00  1502.00
2015 08 28 17  1503.00  1503.00
