#AAA MM DD HH    Qaflu   Qdeflu
2015 02 08 16   165.64   164.70
2015 02 08 17   165.19   164.72
2015 02 08 18   165.02   164.56
2015 02 08 19   164.89   164.42
2015 02 08 20   165.30   164.37
2015 02 08 21   165.39   164.46
2015 02 08 22   165.77   164.61
2015 02 08 23   166.23   164.83
2015 02 09 00   166.26   165.08
2015 02 09 01   166.52   165.35
2015 02 09 02   166.83   165.66
2015 02 09 03   166.65   165.94
2015 02 09 04   166.29   166.06
2015 02 09 05   166.03   166.03
2015 02 09 06   165.70   165.93
2015 02 09 07   165.56   165.79
2015 02 09 08   165.48   165.71
2015 02 09 09   165.53   165.76
2015 02 09 10   165.16   165.86
2015 02 09 11   165.02   165.96
2015 02 09 12   165.17   166.10
2015 02 09 13   164.80   166.20
2015 02 09 14   165.14   166.31
2015 02 09 15   157.81   165.53
2015 02 09 16   146.90   162.57
2015 02 09 17   135.93   157.69
2015 02 09 18   124.87   151.54
2015 02 09 19   121.19   145.52
2015 02 09 20   121.19   141.07
2015 02 09 21   121.32   138.13
2015 02 09 22   121.22   136.34
2015 02 09 23   121.36   135.25
2015 02 10 00   121.09   134.70
2015 02 10 01   121.16   134.51
2015 02 10 02   122.11   134.30
2015 02 10 03   124.43   134.09
2015 02 10 04   127.17   133.84
2015 02 10 05   129.43   133.57
2015 02 10 06   131.04   133.34
2015 02 10 07   130.85   133.15
2015 02 10 08   130.96   133.04
2015 02 10 09   131.02   133.09
2015 02 10 10   130.85   133.38
2015 02 10 11   131.29   133.83
2015 02 10 12   130.88   134.34
2015 02 10 13   131.23   134.91
2015 02 10 14   132.97   135.51
2015 02 10 15   131.43   136.03
2015 02 10 16   132.78   136.46
2015 02 10 17   133.97   136.73
2015 02 10 18   134.42   136.72
2015 02 10 19   136.33   136.56
2015 02 10 20   138.16   136.32
2015 02 10 21   138.12   136.05
2015 02 10 22   137.95   135.88
2015 02 10 23   139.35   135.66
2015 02 11 00   137.90   135.37
2015 02 11 01   143.44   135.15
2015 02 11 02   153.47   135.06
2015 02 11 03   164.60   135.29
2015 02 11 04   174.29   136.78
2015 02 11 05   179.04   139.79
2015 02 11 06   179.46   144.48
2015 02 11 07   178.94   150.63
2015 02 11 08   180.00   157.07
2015 02 11 09   179.99   162.91
2015 02 11 10   179.32   167.62
2015 02 11 11   178.07   171.06
2015 02 11 12   177.59   173.38
2015 02 11 13   177.22   174.88
2015 02 11 14   177.11   175.71
2015 02 11 15   177.07   176.13
2015 02 11 16   176.44   176.21
2015 02 11 17   176.52   176.05
2015 02 11 18   175.49   175.72
2015 02 11 19   175.85   175.39
2015 02 11 20   178.16   175.58
2015 02 11 21   179.26   176.22
2015 02 11 22   180.57   177.06
2015 02 11 23   180.68   177.87
2015 02 12 00   178.73   178.03
2015 02 12 01   177.59   177.59
2015 02 12 02   176.96   176.96
2015 02 12 03   176.94   176.47
2015 02 12 04   176.93   176.23
2015 02 12 05   177.14   176.21
2015 02 12 06   177.14   176.44
2015 02 12 07   176.92   176.68
2015 02 12 08   177.36   177.13
2015 02 12 09   177.10   177.80
2015 02 12 10   177.50   178.44
2015 02 12 11   177.36   179.00
2015 02 12 12   176.54   179.35
2015 02 12 13   176.30   179.34
2015 02 12 14   175.63   178.90
2015 02 12 15   175.09   178.13
2015 02 12 16   174.52   177.09
2015 02 12 17   174.31   175.94
2015 02 12 18   174.04   174.98
2015 02 12 19   173.74   174.21
2015 02 12 20   173.74   173.51
2015 02 12 21   173.14   172.91
2015 02 12 22   172.37   172.37
2015 02 12 23   172.23   172.00
2015 02 13 00   171.77   171.77
2015 02 13 01   171.83   171.60
2015 02 13 02   171.70   171.47
2015 02 13 03   171.01   171.25
2015 02 13 04   170.49   170.96
2015 02 13 05   169.67   170.60
2015 02 13 06   169.79   170.25
2015 02 13 07   169.52   169.99
2015 02 13 08   169.39   169.86
2015 02 13 09   169.32   170.02
2015 02 13 10   168.69   170.33
2015 02 13 11   168.76   170.63
2015 02 13 12   168.58   170.92
2015 02 13 13   169.19   171.06
2015 02 13 14   170.47   171.17
2015 02 13 15   171.18   171.41
2015 02 13 16   172.54   171.60
2015 02 13 17   172.31   171.60
2015 02 13 18   171.90   171.43
2015 02 13 19   170.97   170.97
2015 02 13 20   169.03   170.20
2015 02 13 21   168.37   169.31
2015 02 13 22   166.98   168.38
2015 02 13 23   167.33   167.56
2015 02 14 00   168.19   167.26
2015 02 14 01   168.80   167.40
2015 02 14 02   168.23   167.54
2015 02 14 03   167.97   167.50
2015 02 14 04   169.54   167.67
2015 02 14 05   167.73   167.73
2015 02 14 06   166.06   167.23
2015 02 14 07   164.58   166.45
2015 02 14 08   160.92   165.13
2015 02 14 09   153.34   162.70
2015 02 14 10   146.48   159.35
2015 02 14 11   137.92   155.23
2015 02 14 12   129.27   150.32
2015 02 14 13   126.97   145.69
2015 02 14 14   125.55   142.16
2015 02 14 15   124.70   139.44
2015 02 14 16   124.75   137.15
2015 02 14 17   125.89   135.25
2015 02 14 18   126.64   133.65
2015 02 14 19   121.63   132.27
2015 02 14 20   112.11   131.25
2015 02 14 21   101.92   130.47
2015 02 14 22    97.46   129.68
2015 02 14 23   113.19   129.07
2015 02 15 00   134.66   128.90
2015 02 15 01   156.97   129.12
2015 02 15 02   174.28   130.36
2015 02 15 03   176.27   133.36
2015 02 15 04   176.99   138.10
2015 02 15 05   176.86   144.34
2015 02 15 06   176.45   151.17
2015 02 15 07   176.48   157.52
2015 02 15 08   175.88   162.78
2015 02 15 09   175.89   167.00
2015 02 15 10   175.38   170.23
2015 02 15 11   175.21   172.40
2015 02 15 12   174.94   173.77
2015 02 15 13   174.51   174.51
2015 02 15 14   174.30   174.77
2015 02 15 15   173.69   174.62
2015 02 15 16   173.39   174.09
2015 02 15 17   172.96   173.43
2015 02 15 18   172.88   172.88
2015 02 15 19   172.81   172.58
2015 02 15 20   172.73   172.50
2015 02 15 21   172.80   172.57
2015 02 15 22   172.61   172.61
2015 02 15 23   172.36   172.60
2015 02 16 00   172.37   172.61
2015 02 16 01   172.36   172.59
2015 02 16 02   171.76   172.46
2015 02 16 03   171.56   172.26
2015 02 16 04   171.40   172.11
2015 02 16 05   170.95   171.89
2015 02 16 06   170.98   171.68
2015 02 16 07   170.86   171.57
2015 02 16 08   170.54   171.48
2015 02 16 09   170.78   171.48
2015 02 16 10   170.85   171.55
2015 02 16 11   170.75   171.69
2015 02 16 12   170.63   171.80
2015 02 16 13   170.10   171.74
2015 02 16 14   169.77   171.64
2015 02 16 15   162.85   170.57
2015 02 16 16   151.59   167.27
2015 02 16 17   140.20   161.96
2015 02 16 18   129.09   155.29
2015 02 16 19   124.44   148.54
2015 02 16 20   124.98   143.47
2015 02 16 21   124.86   140.06
2015 02 16 22   124.77   137.62
2015 02 16 23   124.76   135.92
2015 02 17 00   123.76   134.65
2015 02 17 01   125.18   133.71
2015 02 17 02   136.25   133.23
2015 02 17 03   148.32   133.65
2015 02 17 04   160.63   135.47
2015 02 17 05   171.05   138.89
2015 02 17 06   171.78   143.70
2015 02 17 07   172.11   149.18
2015 02 17 08   170.96   154.35
2015 02 17 09   161.96   157.51
2015 02 17 10   147.20   157.26
2015 02 17 11   132.13   153.65
2015 02 17 12   118.24   147.96
