#AAA MM DD HH    Qaflu   Qdeflu
2015 02 09 01   111.91   101.34
2015 02 09 02   111.28   102.52
2015 02 09 03   110.64   104.87
2015 02 09 04   110.36   107.00
2015 02 09 05   110.45   108.56
2015 02 09 06   110.53   110.23
2015 02 09 07   110.55   111.28
2015 02 09 08   110.38   112.03
2015 02 09 09   110.01   112.24
2015 02 09 10   109.53   111.92
2015 02 09 11   108.90   111.62
2015 02 09 12   108.15   111.48
2015 02 09 13   107.40   111.46
2015 02 09 14   106.54   111.43
2015 02 09 15   105.55   111.44
2015 02 09 16   104.71   111.32
2015 02 09 17   104.15   110.24
2015 02 09 18   104.05   108.14
2015 02 09 19   104.21   105.91
2015 02 09 20   104.43   103.84
2015 02 09 21   104.51   102.91
2015 02 09 22   104.30   103.14
2015 02 09 23   104.06   103.45
2015 02 10 00   103.81   103.75
2015 02 10 01   103.54   103.89
2015 02 10 02   103.35   103.87
2015 02 10 03   103.14   103.87
2015 02 10 04   102.91   103.84
2015 02 10 05   102.73   103.78
2015 02 10 06   102.53   103.75
2015 02 10 07   102.25   103.71
2015 02 10 08   101.94   103.69
2015 02 10 09   101.47   103.63
2015 02 10 10   101.22   103.06
2015 02 10 11   101.13   102.38
2015 02 10 12   101.22   101.31
2015 02 10 13   101.42   100.28
2015 02 10 14   101.45    99.76
2015 02 10 15   101.49    99.36
2015 02 10 16   101.42    99.41
2015 02 10 17   101.57    98.74
2015 02 10 18   101.78    97.54
2015 02 10 19   102.01    96.38
2015 02 10 20   102.20    95.20
2015 02 10 21   101.90    95.64
2015 02 10 22   101.58    97.18
2015 02 10 23   101.35    98.72
2015 02 11 00   101.05   100.22
2015 02 11 01   101.12   100.82
2015 02 11 02   101.02   100.83
2015 02 11 03   100.90   100.83
2015 02 11 04   100.88   100.82
2015 02 11 05   100.59   100.83
2015 02 11 06   100.44   100.83
2015 02 11 07   100.37   100.83
2015 02 11 08   100.38   100.84
2015 02 11 09   100.64   100.83
2015 02 11 10   100.83   100.83
2015 02 11 11   100.99   100.35
2015 02 11 12   100.93   100.80
2015 02 11 13   100.99   101.29
2015 02 11 14   101.14   101.75
2015 02 11 15   101.12   102.70
2015 02 11 16   101.25   102.75
2015 02 11 17   101.16   102.75
2015 02 11 18   100.92   102.76
2015 02 11 19   100.66   102.74
2015 02 11 20   100.43   102.73
2015 02 11 21   100.26   102.70
2015 02 11 22   100.32   102.73
2015 02 11 23   100.51   102.77
2015 02 12 00   100.85   102.77
2015 02 12 01    99.40   105.73
2015 02 12 02    98.02   108.62
2015 02 12 03    98.72   108.91
2015 02 12 04    99.87   108.86
2015 02 12 05   103.16   105.90
2015 02 12 06   107.11    96.36
2015 02 12 07   108.81    89.57
2015 02 12 08   108.54    83.70
2015 02 12 09   108.01    79.87
2015 02 12 10   108.73    86.28
2015 02 12 11   111.61    95.76
2015 02 12 12   117.39   106.82
2015 02 12 13   124.13   117.23
2015 02 12 14   129.57   125.05
2015 02 12 15   133.63   130.42
2015 02 12 16   136.85   134.37
2015 02 12 17   139.67   137.56
2015 02 12 18   142.35   140.39
2015 02 12 19   145.09   143.22
2015 02 12 20   147.94   146.17
2015 02 12 21   150.84   149.24
2015 02 12 22   153.31   152.08
2015 02 12 23   155.70   154.59
2015 02 13 00   157.36   156.60
2015 02 13 01   158.23   157.82
2015 02 13 02   158.65   158.45
2015 02 13 03   158.11   158.37
2015 02 13 04   157.20   157.63
2015 02 13 05   155.98   156.56
2015 02 13 06   154.53   155.20
2015 02 13 07   152.95   153.68
2015 02 13 08   150.60   151.68
2015 02 13 09   148.90   149.66
2015 02 13 10   147.31   148.04
2015 02 13 11   145.82   146.53
2015 02 13 12   145.18   145.57
2015 02 13 13   144.06   144.76
2015 02 13 14   142.97   143.71
2015 02 13 15   141.92   142.68
2015 02 13 16   140.84   141.63
2015 02 13 17   139.66   140.48
2015 02 13 18   138.57   139.36
2015 02 13 19   137.51   138.28
2015 02 13 20   136.53   137.23
2015 02 13 21   135.61   136.31
2015 02 13 22   134.77   135.41
2015 02 13 23   133.96   134.57
2015 02 14 00   133.10   133.72
2015 02 14 01   132.31   132.89
2015 02 14 02   131.38   132.02
2015 02 14 03   130.49   131.13
2015 02 14 04   129.66   130.27
2015 02 14 05   128.78   129.39
2015 02 14 06   127.87   128.52
2015 02 14 07   126.87   127.54
2015 02 14 08   125.74   126.50
2015 02 14 09   124.65   125.41
2015 02 14 10   123.62   124.32
2015 02 14 11   122.77   123.41
2015 02 14 12   122.06   122.58
2015 02 14 13   121.45   121.91
2015 02 14 14   121.05   121.38
2015 02 14 15   121.46   121.28
2015 02 14 16   122.87   122.01
2015 02 14 17   124.38   123.34
2015 02 14 18   126.51   125.07
2015 02 14 19   128.31   127.00
2015 02 14 20   129.61   128.63
2015 02 14 21   131.29   130.13
2015 02 14 22   132.72   131.69
2015 02 14 23   134.17   133.16
2015 02 15 00   135.74   134.64
2015 02 15 01   137.38   136.22
2015 02 15 02   139.07   137.88
2015 02 15 03   140.51   139.44
2015 02 15 04   141.45   140.72
2015 02 15 05   141.76   141.45
2015 02 15 06   141.55   141.61
2015 02 15 07   141.15   141.40
2015 02 15 08   140.74   141.01
2015 02 15 09   140.54   140.69
2015 02 15 10   140.40   140.50
2015 02 15 11   140.31   140.35
2015 02 15 12   140.25   140.28
2015 02 15 13   140.15   140.21
2015 02 15 14   140.08   140.14
2015 02 15 15   140.12   140.12
2015 02 15 16   140.34   140.22
2015 02 15 17   140.82   140.52
2015 02 15 18   141.72   141.14
2015 02 15 19   142.95   142.13
2015 02 15 20   144.57   143.51
2015 02 15 21   146.49   145.32
2015 02 15 22   148.67   147.45
2015 02 15 23   150.74   149.69
2015 02 16 00   152.97   151.92
2015 02 16 01   155.14   154.15
2015 02 16 02   157.07   156.20
2015 02 16 03   158.88   158.06
2015 02 16 04   160.03   159.50
2015 02 16 05   160.71   160.39
2015 02 16 06   161.12   160.92
2015 02 16 07   161.28   161.19
2015 02 16 08   161.31   161.28
2015 02 16 09   161.21   161.24
2015 02 16 10   161.03   161.11
2015 02 16 11   160.73   160.84
2015 02 16 12   160.52   160.61
2015 02 16 13   160.32   160.41
2015 02 16 14   159.99   160.13
2015 02 16 15   159.61   159.78
2015 02 16 16   159.19   159.39
2015 02 16 17   158.64   158.90
2015 02 16 18   158.01   158.30
2015 02 16 19   157.47   157.73
2015 02 16 20   157.03   157.23
2015 02 16 21   156.79   156.91
2015 02 16 22   156.78   156.80
2015 02 16 23   157.00   156.91
2015 02 17 00   157.23   157.15
2015 02 17 01   157.53   157.42
2015 02 17 02   157.79   157.67
2015 02 17 03   157.93   157.87
2015 02 17 04   157.97   157.94
2015 02 17 05   157.81   157.87
2015 02 17 06   157.49   157.64
2015 02 17 07   156.95   157.19
2015 02 17 08   156.49   156.69
2015 02 17 09   155.60   156.01
2015 02 17 10   154.57   155.01
2015 02 17 11   153.39   153.92
2015 02 17 12   151.87   152.57
2015 02 17 13   150.59   151.18
2015 02 17 14   149.23   149.87
2015 02 17 15   147.93   148.54
2015 02 17 16   146.66   147.28
2015 02 17 17   145.38   146.04
2015 02 17 18   144.48   145.06
2015 02 17 19   143.68   144.23
2015 02 17 20   143.06   143.55
2015 02 17 21   142.61   143.01
2015 02 17 22   141.90   142.40
2015 02 17 23   141.72   141.93
2015 02 18 00   141.60   141.72
2015 02 18 01   141.67   141.67
2015 02 18 02   142.13   141.89
2015 02 18 03   142.33   142.18
2015 02 18 04   142.51   142.36
2015 02 18 05   142.71   142.56
2015 02 18 06   142.68   142.65
2015 02 18 07   142.49   142.58
2015 02 18 08   142.22   142.37
2015 02 18 09   141.74   142.01
2015 02 18 10   141.23   141.56
2015 02 18 11   140.55   140.98
2015 02 18 12   139.79   140.31
2015 02 18 13   139.01   139.56
2015 02 18 14   138.20   138.78
2015 02 18 15   137.37   137.95
2015 02 18 16   136.52   137.10
2015 02 18 17   135.61   136.25
2015 02 18 18   134.72   135.36
2015 02 18 19   133.88   134.52
2015 02 18 20   133.05   133.69
2015 02 18 21   132.21   132.85
2015 02 18 22   131.29   131.96
2015 02 18 23   130.46   131.10
2015 02 19 00   129.55   130.23
2015 02 19 01   128.67   129.31
2015 02 19 02   127.89   128.48
2015 02 19 03   126.94   127.59
2015 02 19 04   126.12   126.73
2015 02 19 05   125.24   125.85
2015 02 19 06   124.37   124.98
2015 02 19 07   123.50   124.12
2015 02 19 08   122.59   123.20
2015 02 19 09   121.70   122.31
2015 02 19 10   120.78   121.42
2015 02 19 11   119.91   120.52
2015 02 19 12   119.02   119.63
2015 02 19 13   118.16   118.77
2015 02 19 14   117.27   117.88
2015 02 19 15   116.40   117.01
2015 02 19 16   115.61   116.19
2015 02 19 17   114.79   115.37
2015 02 19 18   114.00   114.58
2015 02 19 19   113.29   113.84
2015 02 19 20   112.56   113.11
2015 02 19 21   111.96   112.45
2015 02 19 22   111.43   111.86
2015 02 19 23   110.93   111.30
2015 02 20 00   110.98   111.04
2015 02 20 01   111.38   111.17
2015 02 20 02   111.94   111.57
2015 02 20 03   112.52   112.12
2015 02 20 04   112.58   112.45
2015 02 20 05   112.12   112.34
2015 02 20 06   110.62   111.54
2015 02 20 07   108.69   114.24
2015 02 20 08   110.73   124.29
2015 02 20 09   106.89   132.52
2015 02 20 10   102.53   136.47
2015 02 20 11   102.17   131.74
2015 02 20 12    98.27   116.64
2015 02 20 13   100.50   103.56
2015 02 20 14   104.33    95.32
2015 02 20 15   104.73    92.25
2015 02 20 16   104.45    93.44
2015 02 20 17   104.00    95.96
2015 02 20 18   103.09    99.39
2015 02 20 19   101.01   104.30
2015 02 20 20    99.45   106.96
2015 02 20 21    97.32   108.19
2015 02 20 22    93.80   108.78
2015 02 20 23    90.38   107.66
2015 02 21 00    91.39   103.38
2015 02 21 01    92.19    95.57
2015 02 21 02    94.33    87.51
2015 02 21 03    96.31    83.43
2015 02 21 04    93.98    86.42
2015 02 21 05    92.22    92.97
2015 02 21 06    92.44    97.02
2015 02 21 07    93.52    97.28
2015 02 21 08    94.46    94.75
