#AAA MM DD HH    Qaflu   Qdeflu
2015 02 09 01   277.14  1005.75
2015 02 09 02   298.56  1035.65
2015 02 09 03   239.15  1060.96
2015 02 09 04   295.13  1057.63
2015 02 09 05   273.98  1053.42
2015 02 09 06   260.31  1048.23
2015 02 09 07   289.25  1043.28
2015 02 09 08   297.29  1042.85
2015 02 09 09   322.58  1042.71
2015 02 09 10   333.26  1044.93
2015 02 09 11   340.37  1060.51
2015 02 09 12   309.75  1063.77
2015 02 09 13   304.80  1067.30
2015 02 09 14   306.16  1068.66
2015 02 09 15   286.46  1057.43
2015 02 09 16   333.87  1003.18
2015 02 09 17   302.61   887.19
2015 02 09 18   322.96   729.62
2015 02 09 19   311.76   540.51
2015 02 09 20   312.63   456.66
2015 02 09 21   372.89   389.83
2015 02 09 22   352.73   327.32
2015 02 09 23   349.91   316.02
2015 02 10 00   316.47   291.05
2015 02 10 01   247.95   358.09
2015 02 10 02   297.79   535.01
2015 02 10 03   287.76   719.84
2015 02 10 04   285.50   868.84
2015 02 10 05   298.14   969.67
2015 02 10 06   255.63   999.03
2015 02 10 07   330.70   969.94
2015 02 10 08   298.44   926.49
2015 02 10 09   325.57   904.05
2015 02 10 10   317.79   912.79
2015 02 10 11   273.71   959.62
2015 02 10 12   292.30  1019.53
2015 02 10 13   296.12  1031.61
2015 02 10 14   329.55  1007.19
2015 02 10 15   273.02   934.13
2015 02 10 16   337.88   858.50
2015 02 10 17   319.09   674.44
2015 02 10 18   233.20   439.79
2015 02 10 19   345.14   245.97
2015 02 10 20   253.29    54.96
2015 02 10 21   272.71     0.00
2015 02 10 22   330.56     0.00
2015 02 10 23   239.65     0.00
2015 02 11 00   303.80    39.36
2015 02 11 01   369.93   188.12
2015 02 11 02   445.38   346.21
2015 02 11 03   494.33   585.23
2015 02 11 04   513.41   753.06
2015 02 11 05   503.92   809.68
2015 02 11 06   417.60   855.58
2015 02 11 07   412.72   850.71
2015 02 11 08   370.17   890.80
2015 02 11 09   343.29   913.50
2015 02 11 10   331.87   976.46
2015 02 11 11   406.12  1009.38
2015 02 11 12   480.63   992.99
2015 02 11 13   360.44   980.24
2015 02 11 14   472.25   926.77
2015 02 11 15   332.77   803.81
2015 02 11 16   301.34   714.53
2015 02 11 17   466.63   524.48
2015 02 11 18   385.37   311.00
2015 02 11 19   406.54   166.88
2015 02 11 20   375.54    28.45
2015 02 11 21   349.20   109.55
2015 02 11 22   357.35   324.30
2015 02 11 23   412.93   578.21
2015 02 12 00   412.81   842.53
2015 02 12 01   343.37  1004.48
2015 02 12 02   347.11  1057.80
2015 02 12 03   344.39  1071.61
2015 02 12 04   320.36  1072.37
2015 02 12 05   320.53  1072.55
2015 02 12 06   337.62  1073.11
2015 02 12 07   355.07  1074.02
2015 02 12 08   350.70  1094.45
2015 02 12 09   383.21  1184.81
2015 02 12 10   374.29  1275.05
2015 02 12 11   307.37  1365.15
2015 02 12 12   361.63  1435.93
2015 02 12 13   345.87  1436.71
2015 02 12 14   342.25  1375.24
2015 02 12 15   395.09  1304.12
2015 02 12 16   394.72  1072.36
2015 02 12 17   305.30   776.34
2015 02 12 18   370.09   518.84
2015 02 12 19   346.92   231.22
2015 02 12 20   318.37   103.51
2015 02 12 21   356.36   149.76
2015 02 12 22   345.84   337.58
2015 02 12 23   373.20   654.18
2015 02 13 00   319.25   988.62
2015 02 13 01   398.24  1224.63
2015 02 13 02   298.78  1356.56
2015 02 13 03   291.57  1398.93
2015 02 13 04   333.61  1424.44
2015 02 13 05   275.02  1438.35
2015 02 13 06   299.41  1438.92
2015 02 13 07   299.08  1439.98
2015 02 13 08   306.22  1440.05
2015 02 13 09   329.07  1440.73
2015 02 13 10   345.03  1440.58
2015 02 13 11   329.11  1440.78
2015 02 13 12   321.14  1440.86
2015 02 13 13   345.12  1440.67
2015 02 13 14   321.30  1441.03
2015 02 13 15   378.33  1385.27
2015 02 13 16   336.74  1206.74
2015 02 13 17   343.67   899.51
2015 02 13 18   361.87   539.10
2015 02 13 19   291.01   234.63
2015 02 13 20   349.44    67.49
2015 02 13 21   282.67   161.83
2015 02 13 22   364.54   332.31
2015 02 13 23   271.57   650.19
2015 02 14 00   375.77   996.05
2015 02 14 01   330.78  1208.83
2015 02 14 02   295.29  1398.90
2015 02 14 03   377.47  1440.81
2015 02 14 04   240.80  1441.07
2015 02 14 05   353.77  1441.27
2015 02 14 06   256.93  1441.10
2015 02 14 07   313.75  1441.53
2015 02 14 08   289.34  1441.29
2015 02 14 09   273.33  1441.38
2015 02 14 10   361.67  1441.11
2015 02 14 11   289.46  1441.41
2015 02 14 12   378.10  1441.43
2015 02 14 13   345.74  1441.29
2015 02 14 14   329.76  1441.43
2015 02 14 15   328.33  1407.77
2015 02 14 16   356.96  1315.57
2015 02 14 17   511.06   978.28
2015 02 14 18   553.59   618.04
2015 02 14 19   613.41   291.19
2015 02 14 20   514.42    23.03
2015 02 14 21   402.78     0.00
2015 02 14 22   378.61     0.00
2015 02 14 23   327.25   158.08
2015 02 15 00   454.46   518.91
2015 02 15 01   452.98   879.93
2015 02 15 02   386.51  1240.40
2015 02 15 03   541.43  1435.60
2015 02 15 04   391.57  1364.00
2015 02 15 05   386.96  1344.67
2015 02 15 06   479.39  1343.07
2015 02 15 07   355.55  1348.68
2015 02 15 08   445.41  1418.47
2015 02 15 09   454.56  1435.46
2015 02 15 10   438.94  1435.53
2015 02 15 11   462.49  1435.55
2015 02 15 12   446.86  1435.61
2015 02 15 13   486.46  1435.97
2015 02 15 14   459.11  1385.08
2015 02 15 15   483.76  1284.18
2015 02 15 16   548.94  1059.01
2015 02 15 17   444.82   719.47
2015 02 15 18   474.19   411.42
2015 02 15 19   498.70   153.42
2015 02 15 20   419.72    19.52
2015 02 15 21   505.66    50.52
2015 02 15 22   484.82   178.78
2015 02 15 23   433.73   472.96
2015 02 16 00   478.90   832.02
2015 02 16 01   465.90  1140.76
2015 02 16 02   476.95  1371.53
2015 02 16 03   478.85  1436.21
2015 02 16 04   439.61  1436.21
2015 02 16 05   455.33  1436.23
2015 02 16 06   423.91  1436.20
2015 02 16 07   447.69  1436.44
2015 02 16 08   455.57  1436.47
2015 02 16 09   447.65  1436.40
2015 02 16 10   455.63  1436.53
2015 02 16 11   431.84  1436.29
2015 02 16 12   447.43  1436.18
2015 02 16 13   431.69  1436.13
2015 02 16 14   407.26  1411.70
2015 02 16 15   543.20  1327.93
2015 02 16 16   467.80  1126.96
2015 02 16 17   443.63   906.62
2015 02 16 18   525.84   659.25
2015 02 16 19   368.87   408.11
2015 02 16 20   477.65   250.08
2015 02 16 21   487.93   111.27
2015 02 16 22   400.61    23.95
2015 02 16 23   438.90    62.23
2015 02 17 00   419.70   215.67
2015 02 17 01   390.69   414.24
2015 02 17 02   461.61   744.11
2015 02 17 03   457.28  1014.43
2015 02 17 04   430.31  1175.79
2015 02 17 05   450.20  1305.55
2015 02 17 06   412.82  1315.25
2015 02 17 07   462.13  1317.48
2015 02 17 08   411.42  1329.54
2015 02 17 09   473.15  1289.26
2015 02 17 10   487.49  1248.66
2015 02 17 11   390.05  1250.12
2015 02 17 12   458.22  1280.65
2015 02 17 13   447.09  1349.59
2015 02 17 14   398.90  1365.57
2015 02 17 15   485.42  1211.12
2015 02 17 16   447.39   982.11
2015 02 17 17   445.14   643.75
2015 02 17 18   428.09   328.79
2015 02 17 19   437.27   147.00
2015 02 17 20   423.48    18.61
2015 02 17 21   412.50     0.00
2015 02 17 22   458.33     0.00
2015 02 17 23   374.31     0.00
2015 02 18 00   435.42     0.00
2015 02 18 01   324.46    49.46
2015 02 18 02   409.32   302.38
2015 02 18 03   487.57   640.35
2015 02 18 04   396.75   977.31
2015 02 18 05   502.80  1266.69
2015 02 18 06   442.12  1351.15
2015 02 18 07   408.36  1325.03
2015 02 18 08   456.93  1297.21
2015 02 18 09   477.20  1248.73
2015 02 18 10   434.71  1229.16
2015 02 18 11   409.68  1249.95
2015 02 18 12   468.10  1254.90
2015 02 18 13   400.45  1309.48
2015 02 18 14   451.71  1299.63
2015 02 18 15   444.98  1224.15
2015 02 18 16   501.36  1013.17
2015 02 18 17   439.07   668.24
2015 02 18 18   406.11   360.28
2015 02 18 19   423.95   103.11
2015 02 18 20   297.92     0.00
2015 02 18 21   420.14     0.00
2015 02 18 22   385.72    57.24
2015 02 18 23   416.71   256.29
2015 02 19 00   406.31   597.28
2015 02 19 01   385.17   950.45
2015 02 19 02   444.43  1246.51
2015 02 19 03   369.52  1400.77
2015 02 19 04   396.99  1412.96
2015 02 19 05   412.91  1413.61
2015 02 19 06   367.83  1414.35
2015 02 19 07   413.81  1414.51
2015 02 19 08   414.40  1415.09
2015 02 19 09   399.45  1415.42
2015 02 19 10   346.36  1415.81
2015 02 19 11   301.12  1416.40
2015 02 19 12   294.20  1417.12
2015 02 19 13   279.46  1417.66
2015 02 19 14   348.32  1417.77
2015 02 19 15   402.40  1418.37
2015 02 19 16   447.98  1311.17
2015 02 19 17   369.59  1125.84
2015 02 19 18   511.07   877.74
2015 02 19 19   433.23   578.37
2015 02 19 20   318.23   364.07
2015 02 19 21   418.85   395.93
2015 02 19 22   330.96   598.33
