#AAA MM DD HH    Qaflu   Qdeflu
2015 02 09 10    68.71   145.55
2015 02 09 11    67.45   145.56
2015 02 09 12    66.14   145.53
2015 02 09 13    57.25   145.61
2015 02 09 14    62.34   145.58
2015 02 09 15    56.03   145.67
2015 02 09 16    58.59   145.67
2015 02 09 17    63.79   145.74
2015 02 09 18    58.77   145.85
2015 02 09 19    66.48   145.87
2015 02 09 20    57.55   145.91
2015 02 09 21    63.95   145.91
2015 02 09 22    57.70   146.06
2015 02 09 23    55.12   146.04
2015 02 10 00    64.19   146.14
2015 02 10 01    57.84   146.20
2015 02 10 02    60.21   146.01
2015 02 10 03    58.96   146.04
2015 02 10 04    61.45   145.97
2015 02 10 05    55.03   145.95
2015 02 10 06    58.92   146.00
2015 02 10 07    60.25   146.05
2015 02 10 08    51.39   146.16
2015 02 10 09    63.61   139.16
2015 02 10 10    60.07   129.22
2015 02 10 11    59.10   119.28
2015 02 10 12    61.91   109.30
2015 02 10 13    58.98   106.36
2015 02 10 14    56.43   106.37
2015 02 10 15    55.12   106.34
2015 02 10 16    61.52   106.34
2015 02 10 17    55.14   106.37
2015 02 10 18    62.82   106.36
2015 02 10 19    59.08   106.46
2015 02 10 20    61.69   106.51
2015 02 10 21    64.26   106.52
2015 02 10 22    57.87   106.53
2015 02 10 23    64.27   106.53
2015 02 11 00    55.28   106.50
2015 02 11 01    61.67   106.49
2015 02 11 02    64.23   106.48
2015 02 11 03    57.75   106.41
2015 02 11 04    62.81   106.35
2015 02 11 05    61.49   106.31
2015 02 11 06    55.05   106.27
2015 02 11 07    63.98   106.24
2015 02 11 08    46.12   106.31
2015 02 11 09    55.11   106.34
2015 02 11 10    59.00   106.38
2015 02 11 11    71.88   106.46
2015 02 11 12    71.88   106.46
2015 02 11 13    85.95   106.44
2015 02 11 14    71.83   106.40
2015 02 11 15    73.05   106.35
2015 02 11 16    84.61   106.38
2015 02 11 17    59.04   106.42
2015 02 11 18    83.45   106.50
2015 02 11 19    60.32   112.82
2015 02 11 20    74.11   122.77
2015 02 11 21    72.56   132.74
2015 02 11 22    56.87   142.67
2015 02 11 23    79.75   146.34
2015 02 12 00    70.75   146.31
2015 02 12 01    68.17   146.28
2015 02 12 02    77.12   146.27
2015 02 12 03    78.45   146.32
2015 02 12 04    61.80   146.31
2015 02 12 05    86.22   146.40
2015 02 12 06    76.03   146.46
2015 02 12 07    72.23   146.50
2015 02 12 08    83.93   146.67
2015 02 12 09    82.58   146.61
2015 02 12 10    85.21   146.68
2015 02 12 11    85.18   146.64
2015 02 12 12    90.20   146.54
2015 02 12 13    78.68   146.55
2015 02 12 14    96.51   146.45
2015 02 12 15   105.48   146.46
2015 02 12 16   114.48   146.49
2015 02 12 17   115.84   146.57
2015 02 12 18   109.63   146.76
2015 02 12 19   104.52   146.78
2015 02 12 20   105.81   146.78
2015 02 12 21   104.55   146.81
2015 02 12 22   109.63   146.76
2015 02 12 23   105.83   146.80
2015 02 13 00   116.18   146.91
2015 02 13 01   108.70   147.12
2015 02 13 02   120.36   147.25
2015 02 13 03   111.04   147.38
2015 02 13 04   105.72   147.42
2015 02 13 05   110.08   147.37
2015 02 13 06   107.79   147.43
2015 02 13 07   106.73   147.48
2015 02 13 08   107.91   147.59
2015 02 13 09   112.30   147.68
2015 02 13 10   107.94   147.61
2015 02 13 11   110.06   147.59
2015 02 13 12   107.88   147.55
2015 02 13 13   108.85   147.45
2015 02 13 14   105.69   147.51
2015 02 13 15   106.76   147.51
2015 02 13 16   103.52   147.48
2015 02 13 17   106.80   147.54
2015 02 13 18    99.29   147.54
2015 02 13 19   106.84   147.58
2015 02 13 20   101.55   147.65
2015 02 13 21    98.32   147.64
2015 02 13 22   102.63   147.66
2015 02 13 23    96.14   147.61
2015 02 14 00    97.17   147.57
2015 02 14 01    97.21   147.60
2015 02 14 02    91.84   147.60
2015 02 14 03    95.17   147.71
2015 02 14 04    96.29   147.76
2015 02 14 05    87.80   147.85
2015 02 14 06    94.34   147.95
2015 02 14 07    87.66   147.71
2015 02 14 08    88.26   147.23
2015 02 14 09    92.74   148.50
2015 02 14 10    94.29   150.05
2015 02 14 11    93.09   152.06
2015 02 14 12    94.10   154.15
2015 02 14 13    86.90   154.46
2015 02 14 14    86.05   154.67
2015 02 14 15    83.31   151.94
2015 02 14 16    80.47   145.88
2015 02 14 17    85.03   139.71
2015 02 14 18    78.81   133.49
2015 02 14 19    92.44   129.96
2015 02 14 20    80.51   129.84
2015 02 14 21    89.06   129.80
2015 02 14 22    88.94   129.68
2015 02 14 23    83.80   132.05
2015 02 15 00    78.12   136.02
2015 02 15 01    96.90   137.64
2015 02 15 02    95.06   129.37
2015 02 15 03   119.30   113.94
2015 02 15 04   110.88    90.51
2015 02 15 05    88.68    69.38
2015 02 15 06   113.07    59.46
2015 02 15 07    63.83    57.40
2015 02 15 08   111.44    64.26
2015 02 15 09   113.89    69.93
2015 02 15 10    96.53    70.80
2015 02 15 11   121.48    73.23
2015 02 15 12   120.42    73.24
2015 02 15 13   124.84    74.44
2015 02 15 14   119.82    79.07
2015 02 15 15   131.61    79.07
2015 02 15 16   122.83    87.45
2015 02 15 17   117.35   104.48
2015 02 15 18   131.84   122.19
2015 02 15 19   132.19   139.69
2015 02 15 20   135.93   147.73
2015 02 15 21   136.33   147.05
2015 02 15 22   146.82   145.75
2015 02 15 23   141.39   144.61
2015 02 16 00   134.99   144.64
2015 02 16 01   152.18   144.67
2015 02 16 02   144.68   144.68
2015 02 16 03   146.88   144.73
2015 02 16 04   153.26   144.68
2015 02 16 05   144.78   144.78
2015 02 16 06   145.93   144.86
2015 02 16 07   144.92   144.92
2015 02 16 08   146.05   144.98
2015 02 16 09   149.28   144.99
2015 02 16 10   148.18   144.96
2015 02 16 11   145.97   144.90
2015 02 16 12   144.86   144.86
2015 02 16 13   140.41   144.70
2015 02 16 14   139.29   144.65
2015 02 16 15   143.55   144.62
2015 02 16 16   143.51   144.58
2015 02 16 17   143.64   144.71
2015 02 16 18   139.47   144.83
2015 02 16 19   139.63   144.99
2015 02 16 20   138.70   145.13
2015 02 16 21   135.54   145.18
2015 02 16 22   135.65   145.30
2015 02 16 23   134.48   145.20
2015 02 17 00   129.10   145.18
2015 02 17 01   132.36   145.23
2015 02 17 02   130.14   145.15
2015 02 17 03   129.17   145.25
2015 02 17 04   127.07   145.30
2015 02 17 05   125.98   145.28
2015 02 17 06   122.76   145.28
2015 02 17 07   119.59   145.32
2015 02 17 08   118.59   145.40
2015 02 17 09   119.10   138.40
2015 02 17 10   121.45   128.96
2015 02 17 11   115.18   119.47
2015 02 17 12   112.10   109.95
2015 02 17 13   107.46   107.46
2015 02 17 14   104.19   107.41
2015 02 17 15   110.64   107.43
2015 02 17 16   106.48   107.56
2015 02 17 17   107.66   107.66
2015 02 17 18   103.42   107.70
2015 02 17 19    96.65   109.51
2015 02 17 20   103.60   119.68
2015 02 17 21    99.88   129.91
2015 02 17 22    93.01   140.19
2015 02 17 23   101.50   148.68
2015 02 18 00    94.02   148.70
2015 02 18 01    95.12   148.73
2015 02 18 02    98.30   148.70
2015 02 18 03    91.90   139.08
2015 02 18 04    97.25   126.20
2015 02 18 05    89.64   113.23
2015 02 18 06    91.80   100.38
2015 02 18 07    90.62    97.05
2015 02 18 08    86.32    97.04
2015 02 18 09    91.77    97.14
2015 02 18 10    91.83    97.19
2015 02 18 11    87.72    97.37
2015 02 18 12    86.68    97.41
2015 02 18 13    81.29    97.38
2015 02 18 14    81.27    97.36
2015 02 18 15    82.25    97.26
2015 02 18 16    83.28    97.22
2015 02 18 17    83.13    97.07
2015 02 18 18    84.05    96.92
2015 02 18 19    81.00   107.80
2015 02 18 20    83.20   120.73
2015 02 18 21    78.95   133.63
2015 02 18 22    79.01   146.56
2015 02 18 23    77.68   148.45
2015 02 19 00    77.52   148.29
2015 02 19 01    78.63   148.32
2015 02 19 02    74.74   141.22
2015 02 19 03    80.07   128.32
2015 02 19 04    73.76   109.15
2015 02 19 05    63.57    85.01
2015 02 19 06    72.42    72.42
2015 02 19 07    74.96    67.45
2015 02 19 08    70.95    68.80
2015 02 19 09    89.82    90.90
2015 02 19 10    77.37   110.61
2015 02 19 11    72.79   128.55
2015 02 19 12    74.60   146.45
2015 02 19 13    69.18   148.52
2015 02 19 14    72.69   148.82
2015 02 19 15    72.71   148.84
2015 02 19 16    72.79   148.92
2015 02 19 17    79.37   149.06
2015 02 19 18    72.82   148.95
2015 02 19 19    71.94   149.14
2015 02 19 20    72.05   149.25
2015 02 19 21    65.77   149.41
2015 02 19 22    70.14   149.48
2015 02 19 23    72.32   149.52
2015 02 20 00    71.35   149.62
2015 02 20 01    72.16   149.36
2015 02 20 02    69.66   147.94
2015 02 20 03    70.35   146.48
2015 02 20 04    69.97   145.02
2015 02 20 05    69.86   143.85
2015 02 20 06    69.98   143.96
2015 02 20 07    68.98   144.03
2015 02 20 08    74.47   144.16
2015 02 20 09    72.35   144.19
2015 02 20 10    74.52   144.21
2015 02 20 11    70.21   144.19
2015 02 20 12    64.78   144.13
2015 02 20 13    65.85   144.12
2015 02 20 14    62.66   144.15
2015 02 20 15    70.21   144.19
2015 02 20 16    64.92   144.26
2015 02 20 17    68.20   144.33
2015 02 20 18    69.29   144.34
2015 02 20 19    66.29   144.55
2015 02 20 20    70.67   144.65
2015 02 20 21    63.40   144.89
2015 02 20 22    66.29   145.64
2015 02 20 23    64.90   146.39
2015 02 21 00    67.92   147.26
2015 02 21 01    67.66   148.08
2015 02 21 02    68.88   148.22
2015 02 21 03    65.67   148.23
2015 02 21 04    63.46   148.17
2015 02 21 05    67.65   148.07
2015 02 21 06    59.17   148.16
2015 02 21 07    67.83   148.25
2015 02 21 08    60.48   148.40
2015 02 21 09    63.83   148.54
2015 02 21 10    69.12   148.47
2015 02 21 11    62.75   148.53
2015 02 21 12    69.15   148.49
2015 02 21 13    59.44   148.44
2015 02 21 14    59.57   148.56
2015 02 21 15    54.10   148.46
2015 02 21 16    60.50   148.43
2015 02 21 17    60.44   148.37
2015 02 21 18    60.30   148.22
2015 02 21 19    61.28   148.13
2015 02 21 20    58.06   148.13
2015 02 21 21    59.18   148.17
2015 02 21 22    57.26   148.40
2015 02 21 23    62.67   148.45
2015 02 22 00    57.31   148.44
2015 02 22 01    62.59   148.37
2015 02 22 02    61.32   148.17
2015 02 22 03    62.46   148.24
2015 02 22 04    62.49   148.27
2015 02 22 05    58.31   148.38
2015 02 22 06    63.98   148.68
2015 02 22 07    60.25   149.25
2015 02 22 08    65.82   149.45
2015 02 22 09    63.43   149.21
2015 02 22 10    56.51   148.72
2015 02 22 11    59.91   147.83
2015 02 22 12    56.09   147.23
2015 02 22 13    63.33   146.96
2015 02 22 14    64.16   146.73
2015 02 22 15    59.58   146.43
2015 02 22 16    57.21   146.20
2015 02 22 17    52.77   146.06
2015 02 22 18    56.97   145.97
2015 02 22 19    55.96   146.02
2015 02 22 20    62.44   146.08
2015 02 22 21    58.25   146.18
2015 02 22 22    59.38   146.23
2015 02 22 23    57.32   146.31
2015 02 23 00    58.43   146.36
2015 02 23 01    58.45   146.37
2015 02 23 02    55.25   146.39
2015 02 23 03    62.69   146.32
2015 02 23 04    56.27   146.34
2015 02 23 05    61.61   146.32
2015 02 23 06    59.53   146.38
2015 02 23 07    57.49   146.49
