#AAA MM DD HH    Qaflu   Qdeflu
2015 02 09 13  1626.12  1540.49
2015 02 09 14  1616.31  1549.71
2015 02 09 15  1435.31  1558.98
2015 02 09 16  1540.25  1559.28
2015 02 09 17  1749.56  1559.29
2015 02 09 18  1559.21  1559.21
2015 02 09 19  1625.78  1559.18
2015 02 09 20  1720.82  1559.09
2015 02 09 21  1645.93  1560.30
2015 02 09 22  1615.36  1567.79
2015 02 09 23  1660.98  1575.36
2015 02 10 00  1773.15  1582.87
2015 02 10 01  1617.19  1588.65
2015 02 10 02  1584.63  1698.79
2015 02 10 03  1732.89  1828.03
2015 02 10 04  1743.56  1838.70
2015 02 10 05  1648.09  1743.23
2015 02 10 06  1607.26  1369.41
2015 02 10 07  1559.76   941.36
2015 02 10 08  1383.38   631.79
2015 02 10 09  1475.31   428.78
2015 02 10 10  1544.71   393.53
2015 02 10 11  1455.27   503.88
2015 02 10 12  1378.15   655.10
2015 02 10 13  1464.23   855.34
2015 02 10 14  1504.38  1152.36
2015 02 10 15  1491.51  1339.29
2015 02 10 16  1571.22  1485.59
2015 02 10 17  1487.82  1582.96
2015 02 10 18  1506.54  1592.17
2015 02 10 19  1586.08  1529.00
2015 02 10 20  1509.81  1500.30
2015 02 10 21  1461.58  1499.63
2015 02 10 22  1366.21  1632.60
2015 02 10 23  1430.26  1706.16
2015 02 11 00  1648.89  1734.51
2015 02 11 01  1534.96  1734.75
2015 02 11 02  1735.50  1592.80
2015 02 11 03  1686.72  1582.07
2015 02 11 04  1576.96  1510.36
2015 02 11 05  1598.52  1341.65
2015 02 11 06  1534.15  1106.03
2015 02 11 07  1529.29   825.26
2015 02 11 08  1388.41   608.27
2015 02 11 09  1501.52   483.53
2015 02 11 10  1376.57   425.18
2015 02 11 11  1045.82   427.42
2015 02 11 12   594.95   442.73
2015 02 11 13   830.35   459.31
2015 02 11 14  1210.62   478.05
2015 02 11 15  1245.12   493.52
2015 02 11 16  1741.50   495.18
2015 02 11 17  1722.72   504.94
2015 02 11 18  1490.10   510.17
2015 02 11 19  1448.57   525.72
2015 02 11 20  1581.03   696.24
2015 02 11 21  1666.24   952.69
2015 02 11 22  1560.15  1398.42
2015 02 11 23  1789.46  1818.00
2015 02 12 00  1986.94  2015.48
2015 02 12 01  1716.85  2116.43
2015 02 12 02  1508.77  1984.47
2015 02 12 03  1640.25  1697.34
2015 02 12 04  1479.89  1432.32
2015 02 12 05  1319.30  1109.99
2015 02 12 06  1517.34   794.29
2015 02 12 07  1543.80   630.46
2015 02 12 08  1463.23   530.87
2015 02 12 09  1544.99   603.12
2015 02 12 10  1458.80   830.88
2015 02 12 11  1686.21  1286.63
2015 02 12 12  1694.41  1751.49
2015 02 12 13  1807.18  2111.62
2015 02 12 14  1975.80  2356.36
2015 02 12 15  1761.91  2380.31
2015 02 12 16  1869.89  2383.64
2015 02 12 17  1794.52  2384.38
