#AAA MM DD HH    Qaflu   Qdeflu
2015 02 15 07  1120.25   905.81
2015 02 15 08  1226.72   907.81
2015 02 15 09  1241.39   911.48
2015 02 15 10  1298.56   913.65
2015 02 15 11  1235.97   917.05
2015 02 15 12  1168.37   915.44
2015 02 15 13  1202.85   910.86
2015 02 15 14  1221.96   945.83
2015 02 15 15  1217.56  1013.03
2015 02 15 16  1250.91  1079.03
2015 02 15 17  1236.20  1147.32
2015 02 15 18  1222.30  1177.86
2015 02 15 19  1258.47  1175.14
2015 02 15 20  1245.19  1172.97
2015 02 15 21  1240.81  1174.15
2015 02 15 22  1232.09  1176.54
2015 02 15 23  1082.28  1176.73
2015 02 16 00   923.44  1178.54
2015 02 16 01   768.85  1177.91
2015 02 16 02   612.46  1164.54
2015 02 16 03   554.15  1154.47
2015 02 16 04   529.00  1155.84
2015 02 16 05   455.89  1154.21
2015 02 16 06   361.58  1164.38
2015 02 16 07   584.44  1172.79
2015 02 16 08   652.66  1169.53
2015 02 16 09   850.16  1169.07
2015 02 16 10  1095.13  1172.11
2015 02 16 11  1115.57  1176.05
2015 02 16 12  1134.91  1178.90
2015 02 16 13  1165.37  1181.86
2015 02 16 14  1136.52  1180.51
2015 02 16 15   985.92  1178.37
2015 02 16 16  1075.12  1179.59
2015 02 16 17  1148.48  1181.47
2015 02 16 18  1165.47  1159.97
2015 02 16 19  1276.06  1094.60
2015 02 16 20  1205.49  1024.04
2015 02 16 21  1154.98   957.03
2015 02 16 22  1056.48   913.52
2015 02 16 23   932.11   910.12
2015 02 17 00   673.06   909.50
2015 02 17 01   355.26   905.12
2015 02 17 02   296.73   901.58
2015 02 17 03   181.00   901.32
2015 02 17 04   120.32   901.13
2015 02 17 05   171.73   903.04
2015 02 17 06   359.82   904.18
2015 02 17 07   361.66   906.02
2015 02 17 08   776.32   908.28
2015 02 17 09  1034.75   908.29
2015 02 17 10  1088.74   907.29
2015 02 17 11  1329.58   906.19
2015 02 17 12  1201.38   904.45
2015 02 17 13  1107.81   904.36
2015 02 17 14  1108.20   904.75
2015 02 17 15  1317.30   904.90
2015 02 17 16  1246.90   905.99
2015 02 17 17  1414.30   902.93
2015 02 17 18  1456.90   901.54
2015 02 17 19  1263.15   900.24
2015 02 17 20  1222.61   898.19
2015 02 17 21  1228.38   898.46
2015 02 17 22   969.41   897.93
2015 02 17 23   840.85   851.85
2015 02 18 00   712.44   778.43
2015 02 18 01   330.40   704.30
2015 02 18 02   328.18   663.60
2015 02 18 03   259.98   710.86
2015 02 18 04   565.58   785.53
2015 02 18 05   839.66   861.65
2015 02 18 06  1035.34   903.37
2015 02 18 07  1206.09   903.66
2015 02 18 08  1303.16   907.26
2015 02 18 09  1387.50   909.12
2015 02 18 10  1318.40   911.50
2015 02 18 11  1332.22   914.32
2015 02 18 12  1374.15   912.27
2015 02 18 13  1257.36   910.95
2015 02 18 14  1322.05   909.66
2015 02 18 15  1404.80   909.93
2015 02 18 16  1506.43   907.08
2015 02 18 17  1632.52   939.70
2015 02 18 18  1652.45  1042.11
2015 02 18 19  1764.21  1141.15
2015 02 18 20  1603.84  1294.49
2015 02 18 21  1475.89  1464.90
2015 02 18 22  1431.01  1568.48
2015 02 18 23   994.20  1672.23
2015 02 19 00   644.67  1723.82
2015 02 19 01   633.69  1722.42
2015 02 19 02   428.18  1709.36
2015 02 19 03   207.43  1626.08
2015 02 19 04   509.25  1548.48
2015 02 19 05   816.88  1460.22
2015 02 19 06  1010.12  1274.06
2015 02 19 07  1500.14  1159.23
2015 02 19 08  1640.75  1041.40
2015 02 19 09  1520.65   937.79
2015 02 19 10  1586.63   937.79
2015 02 19 11  1719.87   961.06
2015 02 19 12  1658.85  1043.01
2015 02 19 13  1627.17  1121.30
2015 02 19 14  1436.49  1205.55
2015 02 19 15  1608.04  1289.12
2015 02 19 16  1608.94  1334.01
2015 02 19 17  1616.27  1379.83
2015 02 19 18  1833.46  1421.06
2015 02 19 19  1595.72  1441.76
2015 02 19 20  1636.45  1438.50
2015 02 19 21  1633.68  1435.73
2015 02 19 22  1542.23  1437.76
2015 02 19 23  1227.32  1436.26
2015 02 20 00   773.44  1438.77
2015 02 20 01   451.69  1441.44
2015 02 20 02   236.49  1440.69
2015 02 20 03   208.11  1439.80
2015 02 20 04   504.54  1439.30
2015 02 20 05   839.27  1438.62
2015 02 20 06  1008.51  1437.40
2015 02 20 07  1591.28  1371.34
2015 02 20 08  1669.79  1246.40
2015 02 20 09  1576.24  1119.85
2015 02 20 10  1778.41   997.61
2015 02 20 11  1522.32   939.47
2015 02 20 12  1541.79   942.45
2015 02 20 13  1686.44  1010.11
2015 02 20 14  1642.08  1114.22
2015 02 20 15  1598.61  1219.20
2015 02 20 16  1597.29  1322.35
2015 02 20 17  1648.21  1356.78
2015 02 20 18  1627.57  1358.14
2015 02 20 19  1680.69  1356.27
2015 02 20 20  1680.81  1350.89
2015 02 20 21  1672.50  1342.59
2015 02 20 22  1534.14  1330.69
2015 02 20 23  1534.37  1242.94
2015 02 21 00  1184.61  1085.63
2015 02 21 01   581.86   944.76
2015 02 21 02   458.44   826.84
2015 02 21 03   175.05   790.90
2015 02 21 04   214.31   830.16
2015 02 21 05   429.34   874.73
