#AAA MM DD HH    Qaflu   Qdeflu
2015 02 15 07  1040.00  1497.00
2015 02 15 08  1192.00  1497.00
2015 02 15 09  1498.00  1498.00
2015 02 15 10  1344.00  1496.00
2015 02 15 11  1497.00  1497.00
2015 02 15 12  1343.00  1496.00
2015 02 15 13  1339.00  1491.00
2015 02 15 14  1346.00  1498.00
2015 02 15 15  1344.00  1496.00
2015 02 15 16  1497.00  1497.00
2015 02 15 17  1498.00  1498.00
2015 02 15 18  1499.00  1499.00
2015 02 15 19  1500.00  1500.00
2015 02 15 20  1495.00  1495.00
2015 02 15 21  1495.00  1495.00
2015 02 15 22  1411.00  1411.00
2015 02 15 23  1339.00  1339.00
2015 02 16 00  1483.00  1330.00
2015 02 16 01  1357.00  1357.00
2015 02 16 02  1498.00  1346.00
2015 02 16 03  1423.00  1423.00
2015 02 16 04  1428.00  1124.00
2015 02 16 05  1490.00  1338.00
2015 02 16 06  1554.00  1402.00
2015 02 16 07  1402.00  1402.00
2015 02 16 08  1403.00  1403.00
2015 02 16 09  1401.00  1401.00
2015 02 16 10  1397.00  1397.00
2015 02 16 11  1395.00  1395.00
2015 02 16 12  1393.00  1393.00
2015 02 16 13  1445.00  1292.00
2015 02 16 14  1424.00  1119.00
2015 02 16 15  1435.00  1130.00
2015 02 16 16  1499.00  1499.00
2015 02 16 17  1503.00  1503.00
2015 02 16 18  1504.00  1504.00
2015 02 16 19  1348.00  1501.00
2015 02 16 20  1505.00  1505.00
2015 02 16 21  1351.00  1504.00
2015 02 16 22  1518.00  1366.00
2015 02 16 23  1325.00  1325.00
2015 02 17 00  1491.00  1338.00
2015 02 17 01  1483.00  1331.00
2015 02 17 02  1440.00  1288.00
2015 02 17 03  1418.00  1113.00
2015 02 17 04  1520.00   297.00
2015 02 17 05   813.00   201.00
2015 02 17 06   667.00  1126.00
2015 02 17 07  1363.00  1363.00
2015 02 17 08  1526.00  1373.00
2015 02 17 09  1595.00  1442.00
2015 02 17 10  1386.00  1386.00
2015 02 17 11  1413.00  1413.00
2015 02 17 12  1395.00  1395.00
2015 02 17 13  1439.00  1439.00
2015 02 17 14  1434.00  1434.00
2015 02 17 15  1353.00  1353.00
2015 02 17 16  1498.00  1498.00
2015 02 17 17  1488.00  1488.00
2015 02 17 18  1368.00  1368.00
2015 02 17 19  1512.00  1359.00
2015 02 17 20  1487.00  1334.00
2015 02 17 21  1473.00  1320.00
2015 02 17 22  1483.00  1330.00
2015 02 17 23  1418.00  1264.00
2015 02 18 00  1393.00  1393.00
2015 02 18 01  1507.00  1354.00
2015 02 18 02  1422.00  1422.00
2015 02 18 03  1409.00  1409.00
2015 02 18 04  1426.00  1426.00
2015 02 18 05  1295.00  1448.00
2015 02 18 06  1311.00  1464.00
2015 02 18 07  1487.00  1487.00
2015 02 18 08  1481.00  1481.00
2015 02 18 09  1475.00  1475.00
2015 02 18 10  1476.00  1476.00
2015 02 18 11  1483.00  1483.00
2015 02 18 12  1477.00  1477.00
2015 02 18 13  1479.00  1479.00
2015 02 18 14  1491.00  1491.00
2015 02 18 15  1493.00  1493.00
2015 02 18 16  1480.00  1480.00
2015 02 18 17  1486.00  1486.00
2015 02 18 18  1495.00  1495.00
2015 02 18 19  1492.00  1492.00
2015 02 18 20  1337.00  1337.00
2015 02 18 21  1470.00  1317.00
2015 02 18 22  1463.00  1310.00
2015 02 18 23  1319.00  1319.00
2015 02 19 00  1434.00  1281.00
2015 02 19 01  1429.00  1123.00
2015 02 19 02  1127.00   666.00
2015 02 19 03  1582.00  1274.00
2015 02 19 04  1490.00  1337.00
2015 02 19 05  1411.00  1411.00
