datahora,qsim_antigo
2013-01-01T00:00:00Z,224.959
2013-01-01T01:00:00Z,233.270
2013-01-01T02:00:00Z,240.847
2013-01-01T03:00:00Z,247.797
2013-01-01T04:00:00Z,254.198
2013-01-01T05:00:00Z,260.114
2013-01-01T06:00:00Z,265.600
2013-01-01T07:00:00Z,270.703
2013-01-01T08:00:00Z,275.472
2013-01-01T09:00:00Z,279.951
2013-01-01T10:00:00Z,284.171
2013-01-01T11:00:00Z,288.184
2013-01-01T12:00:00Z,291.993
2013-01-01T13:00:00Z,295.564
2013-01-01T14:00:00Z,298.892
2013-01-01T15:00:00Z,302.015
2013-01-01T16:00:00Z,305.065
2013-01-01T17:00:00Z,308.086
2013-01-01T18:00:00Z,310.982
2013-01-01T19:00:00Z,313.693
2013-01-01T20:00:00Z,316.192
2013-01-01T21:00:00Z,318.477
2013-01-01T22:00:00Z,320.553
2013-01-01T23:00:00Z,322.425
2013-01-02T00:00:00Z,324.101
2013-01-02T01:00:00Z,325.590
2013-01-02T02:00:00Z,326.899
2013-01-02T03:00:00Z,328.031
2013-01-02T04:00:00Z,328.988
2013-01-02T05:00:00Z,329.773
2013-01-02T06:00:00Z,330.387
2013-01-02T07:00:00Z,330.836
2013-01-02T08:00:00Z,331.133
2013-01-02T09:00:00Z,331.288
2013-01-02T10:00:00Z,331.298
2013-01-02T11:00:00Z,331.162
2013-01-02T12:00:00Z,330.878
2013-01-02T13:00:00Z,330.457
2013-01-02T14:00:00Z,329.899
2013-01-02T15:00:00Z,329.201
2013-01-02T16:00:00Z,328.364
2013-01-02T17:00:00Z,327.395
2013-01-02T18:00:00Z,326.299
2013-01-02T19:00:00Z,325.084
2013-01-02T20:00:00Z,323.758
2013-01-02T21:00:00Z,322.317
2013-01-02T22:00:00Z,320.763
2013-01-02T23:00:00Z,319.104
2013-01-03T00:00:00Z,317.350
2013-01-03T01:00:00Z,315.503
2013-01-03T02:00:00Z,313.562
2013-01-03T03:00:00Z,311.531
2013-01-03T04:00:00Z,309.415
2013-01-03T05:00:00Z,307.217
2013-01-03T06:00:00Z,304.936
2013-01-03T07:00:00Z,302.577
2013-01-03T08:00:00Z,300.143
2013-01-03T09:00:00Z,297.639
2013-01-03T10:00:00Z,295.065
2013-01-03T11:00:00Z,292.428
2013-01-03T12:00:00Z,289.729
2013-01-03T13:00:00Z,286.971
2013-01-03T14:00:00Z,284.159
2013-01-03T15:00:00Z,281.294
2013-01-03T16:00:00Z,278.382
2013-01-03T17:00:00Z,275.426
2013-01-03T18:00:00Z,272.429
2013-01-03T19:00:00Z,269.396
2013-01-03T20:00:00Z,266.330
2013-01-03T21:00:00Z,263.233
2013-01-03T22:00:00Z,260.108
2013-01-03T23:00:00Z,256.959
2013-01-04T00:00:00Z,253.789
2013-01-04T01:00:00Z,250.599
2013-01-04T02:00:00Z,247.393
2013-01-04T03:00:00Z,244.173
2013-01-04T04:00:00Z,240.944
2013-01-04T05:00:00Z,237.706
2013-01-04T06:00:00Z,234.462
2013-01-04T07:00:00Z,231.214
2013-01-04T08:00:00Z,227.965
2013-01-04T09:00:00Z,224.716
2013-01-04T10:00:00Z,221.469
2013-01-04T11:00:00Z,218.224
2013-01-04T12:00:00Z,214.985
2013-01-04T13:00:00Z,211.752
2013-01-04T14:00:00Z,208.528
2013-01-04T15:00:00Z,205.314
2013-01-04T16:00:00Z,202.111
2013-01-04T17:00:00Z,198.922
2013-01-04T18:00:00Z,195.748
2013-01-04T19:00:00Z,192.592
2013-01-04T20:00:00Z,189.457
2013-01-04T21:00:00Z,186.343
2013-01-04T22:00:00Z,183.249
2013-01-04T23:00:00Z,180.178
2013-01-05T00:00:00Z,177.130
2013-01-05T01:00:00Z,174.106
2013-01-05T02:00:00Z,171.107
2013-01-05T03:00:00Z,168.133
2013-01-05T04:00:00Z,165.186
2013-01-05T05:00:00Z,162.267
2013-01-05T06:00:00Z,159.375
2013-01-05T07:00:00Z,156.512
2013-01-05T08:00:00Z,153.679
2013-01-05T09:00:00Z,150.875
2013-01-05T10:00:00Z,148.101
2013-01-05T11:00:00Z,145.358
2013-01-05T12:00:00Z,142.646
2013-01-05T13:00:00Z,139.966
2013-01-05T14:00:00Z,137.317
2013-01-05T15:00:00Z,134.700
2013-01-05T16:00:00Z,132.116
2013-01-05T17:00:00Z,129.565
2013-01-05T18:00:00Z,127.151
2013-01-05T19:00:00Z,125.687
2013-01-05T20:00:00Z,125.080
2013-01-05T21:00:00Z,124.699
2013-01-05T22:00:00Z,123.704
2013-01-05T23:00:00Z,122.505
2013-01-06T00:00:00Z,121.001
2013-01-06T01:00:00Z,119.569
2013-01-06T02:00:00Z,118.210
2013-01-06T03:00:00Z,119.499
2013-01-06T04:00:00Z,121.347
2013-01-06T05:00:00Z,123.812
2013-01-06T06:00:00Z,126.877
2013-01-06T07:00:00Z,129.654
2013-01-06T08:00:00Z,120.313
2013-01-06T09:00:00Z,118.314
2013-01-06T10:00:00Z,119.202
2013-01-06T11:00:00Z,120.099
2013-01-06T12:00:00Z,121.905
2013-01-06T13:00:00Z,122.181
2013-01-06T14:00:00Z,126.944
2013-01-06T15:00:00Z,132.205
2013-01-06T16:00:00Z,135.891
2013-01-06T17:00:00Z,139.861
2013-01-06T18:00:00Z,151.203
2013-01-06T19:00:00Z,155.110
2013-01-06T20:00:00Z,157.146
2013-01-06T21:00:00Z,163.235
2013-01-06T22:00:00Z,163.825
2013-01-06T23:00:00Z,165.709
2013-01-07T00:00:00Z,167.602
2013-01-07T01:00:00Z,176.620
2013-01-07T02:00:00Z,177.198
2013-01-07T03:00:00Z,182.199
2013-01-07T04:00:00Z,185.812
2013-01-07T05:00:00Z,186.451
2013-01-07T06:00:00Z,187.087
2013-01-07T07:00:00Z,186.208
2013-01-07T08:00:00Z,189.951
2013-01-07T09:00:00Z,189.063
2013-01-07T10:00:00Z,183.595
2013-01-07T11:00:00Z,179.750
2013-01-07T12:00:00Z,175.923
2013-01-07T13:00:00Z,179.500
2013-01-07T14:00:00Z,184.659
2013-01-07T15:00:00Z,186.836
2013-01-07T16:00:00Z,193.784
2013-01-07T17:00:00Z,204.251
2013-01-07T18:00:00Z,210.130
2013-01-07T19:00:00Z,217.949
2013-01-07T20:00:00Z,229.478
2013-01-07T21:00:00Z,232.144
2013-01-07T22:00:00Z,238.537
2013-01-07T23:00:00Z,232.024
2013-01-08T00:00:00Z,232.893
2013-01-08T01:00:00Z,228.427
2013-01-08T02:00:00Z,229.472
2013-01-08T03:00:00Z,237.051
2013-01-08T04:00:00Z,238.864
2013-01-08T05:00:00Z,240.657
2013-01-08T06:00:00Z,243.643
2013-01-08T07:00:00Z,247.697
2013-01-08T08:00:00Z,246.823
2013-01-08T09:00:00Z,248.567
2013-01-08T10:00:00Z,248.953
2013-01-08T11:00:00Z,249.727
2013-01-08T12:00:00Z,251.439
2013-01-08T13:00:00Z,253.014
2013-01-08T14:00:00Z,253.474
2013-01-08T15:00:00Z,253.393
2013-01-08T16:00:00Z,255.045
2013-01-08T17:00:00Z,257.878
2013-01-08T18:00:00Z,262.633
2013-01-08T19:00:00Z,267.712
2013-01-08T20:00:00Z,272.014
2013-01-08T21:00:00Z,274.538
2013-01-08T22:00:00Z,276.966
2013-01-08T23:00:00Z,275.698
2013-01-09T00:00:00Z,275.445
2013-01-09T01:00:00Z,276.196
2013-01-09T02:00:00Z,277.416
2013-01-09T03:00:00Z,278.579
2013-01-09T04:00:00Z,281.154
2013-01-09T05:00:00Z,283.618
2013-01-09T06:00:00Z,285.057
2013-01-09T07:00:00Z,286.433
2013-01-09T08:00:00Z,287.303
2013-01-09T09:00:00Z,288.131
2013-01-09T10:00:00Z,289.335
2013-01-09T11:00:00Z,290.471
2013-01-09T12:00:00Z,289.891
2013-01-09T13:00:00Z,291.329
2013-01-09T14:00:00Z,292.681
2013-01-09T15:00:00Z,293.596
2013-01-09T16:00:00Z,296.327
2013-01-09T17:00:00Z,297.664
2013-01-09T18:00:00Z,299.722
2013-01-09T19:00:00Z,301.693
2013-01-09T20:00:00Z,303.096
2013-01-09T21:00:00Z,304.061
2013-01-09T22:00:00Z,303.238
2013-01-09T23:00:00Z,302.081
2013-01-10T00:00:00Z,301.555
2013-01-10T01:00:00Z,299.992
2013-01-10T02:00:00Z,299.066
2013-01-10T03:00:00Z,298.432
2013-01-10T04:00:00Z,298.737
2013-01-10T05:00:00Z,298.341
2013-01-10T06:00:00Z,298.221
2013-01-10T07:00:00Z,298.049
2013-01-10T08:00:00Z,296.903
2013-01-10T09:00:00Z,295.402
2013-01-10T10:00:00Z,295.099
2013-01-10T11:00:00Z,294.431
2013-01-10T12:00:00Z,293.411
2013-01-10T13:00:00Z,293.532
2013-01-10T14:00:00Z,294.132
2013-01-10T15:00:00Z,294.336
2013-01-10T16:00:00Z,295.213
2013-01-10T17:00:00Z,295.912
2013-01-10T18:00:00Z,296.220
2013-01-10T19:00:00Z,296.601
