datahora,qsim_antigo
2013-01-01T00:00:00Z,96.967
2013-01-01T01:00:00Z,99.166
2013-01-01T02:00:00Z,101.274
2013-01-01T03:00:00Z,103.287
2013-01-01T04:00:00Z,105.084
2013-01-01T05:00:00Z,106.737
2013-01-01T06:00:00Z,108.336
2013-01-01T07:00:00Z,110.025
2013-01-01T08:00:00Z,111.881
2013-01-01T09:00:00Z,113.880
2013-01-01T10:00:00Z,115.859
2013-01-01T11:00:00Z,117.946
2013-01-01T12:00:00Z,120.001
2013-01-01T13:00:00Z,121.749
2013-01-01T14:00:00Z,123.134
2013-01-01T15:00:00Z,125.694
2013-01-01T16:00:00Z,132.738
2013-01-01T17:00:00Z,140.146
2013-01-01T18:00:00Z,143.935
2013-01-01T19:00:00Z,145.825
2013-01-01T20:00:00Z,146.678
2013-01-01T21:00:00Z,147.355
2013-01-01T22:00:00Z,147.877
2013-01-01T23:00:00Z,148.421
2013-01-02T00:00:00Z,148.959
2013-01-02T01:00:00Z,149.529
2013-01-02T02:00:00Z,150.641
2013-01-02T03:00:00Z,152.302
2013-01-02T04:00:00Z,154.228
2013-01-02T05:00:00Z,155.682
2013-01-02T06:00:00Z,156.377
2013-01-02T07:00:00Z,156.986
2013-01-02T08:00:00Z,157.671
2013-01-02T09:00:00Z,158.631
2013-01-02T10:00:00Z,159.979
2013-01-02T11:00:00Z,160.852
2013-01-02T12:00:00Z,161.359
2013-01-02T13:00:00Z,161.787
2013-01-02T14:00:00Z,162.129
2013-01-02T15:00:00Z,162.204
2013-01-02T16:00:00Z,162.336
2013-01-02T17:00:00Z,162.629
2013-01-02T18:00:00Z,163.034
2013-01-02T19:00:00Z,163.402
2013-01-02T20:00:00Z,163.674
2013-01-02T21:00:00Z,163.735
2013-01-02T22:00:00Z,163.702
2013-01-02T23:00:00Z,163.751
2013-01-03T00:00:00Z,163.694
2013-01-03T01:00:00Z,163.635
2013-01-03T02:00:00Z,163.576
2013-01-03T03:00:00Z,163.550
2013-01-03T04:00:00Z,163.502
