datahora,qsim_antigo
2013-01-01T00:00:00Z,60.601
2013-01-01T01:00:00Z,63.915
2013-01-01T02:00:00Z,66.139
2013-01-01T03:00:00Z,67.779
2013-01-01T04:00:00Z,69.139
2013-01-01T05:00:00Z,70.371
2013-01-01T06:00:00Z,71.548
2013-01-01T07:00:00Z,72.698
2013-01-01T08:00:00Z,73.838
2013-01-01T09:00:00Z,75.000
2013-01-01T10:00:00Z,76.152
2013-01-01T11:00:00Z,77.367
2013-01-01T12:00:00Z,78.593
2013-01-01T13:00:00Z,79.790
2013-01-01T14:00:00Z,80.933
2013-01-01T15:00:00Z,82.107
2013-01-01T16:00:00Z,83.630
2013-01-01T17:00:00Z,85.401
2013-01-01T18:00:00Z,87.070
2013-01-01T19:00:00Z,88.529
2013-01-01T20:00:00Z,89.774
2013-01-01T21:00:00Z,90.910
2013-01-01T22:00:00Z,91.982
2013-01-01T23:00:00Z,93.019
2013-01-02T00:00:00Z,94.032
2013-01-02T01:00:00Z,95.044
2013-01-02T02:00:00Z,96.056
2013-01-02T03:00:00Z,97.047
2013-01-02T04:00:00Z,98.020
2013-01-02T05:00:00Z,98.970
2013-01-02T06:00:00Z,99.889
2013-01-02T07:00:00Z,100.786
2013-01-02T08:00:00Z,101.675
2013-01-02T09:00:00Z,102.554
2013-01-02T10:00:00Z,103.417
2013-01-02T11:00:00Z,104.247
2013-01-02T12:00:00Z,105.045
2013-01-02T13:00:00Z,105.820
2013-01-02T14:00:00Z,106.560
2013-01-02T15:00:00Z,107.258
2013-01-02T16:00:00Z,107.922
2013-01-02T17:00:00Z,108.559
2013-01-02T18:00:00Z,109.175
2013-01-02T19:00:00Z,109.790
2013-01-02T20:00:00Z,110.395
2013-01-02T21:00:00Z,110.958
2013-01-02T22:00:00Z,111.478
2013-01-02T23:00:00Z,111.972
2013-01-03T00:00:00Z,112.443
2013-01-03T01:00:00Z,112.888
2013-01-03T02:00:00Z,113.306
2013-01-03T03:00:00Z,113.698
2013-01-03T04:00:00Z,114.064
2013-01-03T05:00:00Z,114.404
2013-01-03T06:00:00Z,114.718
2013-01-03T07:00:00Z,115.007
2013-01-03T08:00:00Z,115.272
2013-01-03T09:00:00Z,115.514
2013-01-03T10:00:00Z,115.729
2013-01-03T11:00:00Z,115.920
2013-01-03T12:00:00Z,116.083
2013-01-03T13:00:00Z,116.217
2013-01-03T14:00:00Z,116.323
2013-01-03T15:00:00Z,116.403
2013-01-03T16:00:00Z,116.458
2013-01-03T17:00:00Z,116.490
2013-01-03T18:00:00Z,116.501
2013-01-03T19:00:00Z,116.491
2013-01-03T20:00:00Z,116.463
2013-01-03T21:00:00Z,116.417
2013-01-03T22:00:00Z,116.353
2013-01-03T23:00:00Z,116.271
2013-01-04T00:00:00Z,116.172
2013-01-04T01:00:00Z,116.057
2013-01-04T02:00:00Z,115.927
2013-01-04T03:00:00Z,115.782
2013-01-04T04:00:00Z,115.624
2013-01-04T05:00:00Z,115.452
2013-01-04T06:00:00Z,115.264
2013-01-04T07:00:00Z,115.062
2013-01-04T08:00:00Z,114.848
2013-01-04T09:00:00Z,114.620
2013-01-04T10:00:00Z,114.376
2013-01-04T11:00:00Z,114.117
2013-01-04T12:00:00Z,113.842
2013-01-04T13:00:00Z,113.552
2013-01-04T14:00:00Z,113.247
2013-01-04T15:00:00Z,112.928
2013-01-04T16:00:00Z,112.595
2013-01-04T17:00:00Z,112.250
2013-01-04T18:00:00Z,111.896
2013-01-04T19:00:00Z,111.533
2013-01-04T20:00:00Z,111.164
2013-01-04T21:00:00Z,110.787
2013-01-04T22:00:00Z,110.403
2013-01-04T23:00:00Z,110.014
2013-01-05T00:00:00Z,109.618
2013-01-05T01:00:00Z,109.217
2013-01-05T02:00:00Z,108.812
2013-01-05T03:00:00Z,108.401
2013-01-05T04:00:00Z,107.986
2013-01-05T05:00:00Z,107.567
2013-01-05T06:00:00Z,107.145
2013-01-05T07:00:00Z,106.719
2013-01-05T08:00:00Z,106.289
2013-01-05T09:00:00Z,105.855
2013-01-05T10:00:00Z,105.416
2013-01-05T11:00:00Z,104.971
2013-01-05T12:00:00Z,104.519
2013-01-05T13:00:00Z,104.061
2013-01-05T14:00:00Z,103.596
2013-01-05T15:00:00Z,103.125
2013-01-05T16:00:00Z,102.649
2013-01-05T17:00:00Z,102.170
2013-01-05T18:00:00Z,101.689
2013-01-05T19:00:00Z,101.207
2013-01-05T20:00:00Z,100.725
2013-01-05T21:00:00Z,100.242
2013-01-05T22:00:00Z,99.761
2013-01-05T23:00:00Z,99.279
2013-01-06T00:00:00Z,98.799
2013-01-06T01:00:00Z,98.320
2013-01-06T02:00:00Z,97.841
2013-01-06T03:00:00Z,97.364
2013-01-06T04:00:00Z,96.889
2013-01-06T05:00:00Z,96.417
2013-01-06T06:00:00Z,95.949
2013-01-06T07:00:00Z,95.486
2013-01-06T08:00:00Z,95.025
2013-01-06T09:00:00Z,94.575
2013-01-06T10:00:00Z,94.140
2013-01-06T11:00:00Z,93.710
2013-01-06T12:00:00Z,93.277
2013-01-06T13:00:00Z,92.840
2013-01-06T14:00:00Z,92.401
2013-01-06T15:00:00Z,91.961
2013-01-06T16:00:00Z,91.519
2013-01-06T17:00:00Z,91.078
2013-01-06T18:00:00Z,90.639
2013-01-06T19:00:00Z,90.204
2013-01-06T20:00:00Z,89.908
2013-01-06T21:00:00Z,89.634
2013-01-06T22:00:00Z,89.252
2013-01-06T23:00:00Z,88.880
2013-01-07T00:00:00Z,88.512
2013-01-07T01:00:00Z,88.147
2013-01-07T02:00:00Z,87.786
2013-01-07T03:00:00Z,87.428
2013-01-07T04:00:00Z,87.073
2013-01-07T05:00:00Z,86.722
2013-01-07T06:00:00Z,86.374
2013-01-07T07:00:00Z,86.028
2013-01-07T08:00:00Z,85.686
