datahora,qsim_antigo
2013-01-01T00:00:00Z,37.160
2013-01-01T01:00:00Z,39.164
2013-01-01T02:00:00Z,41.169
2013-01-01T03:00:00Z,43.163
2013-01-01T04:00:00Z,45.142
2013-01-01T05:00:00Z,47.109
2013-01-01T06:00:00Z,49.067
2013-01-01T07:00:00Z,51.018
2013-01-01T08:00:00Z,52.964
2013-01-01T09:00:00Z,54.915
2013-01-01T10:00:00Z,56.882
2013-01-01T11:00:00Z,58.886
2013-01-01T12:00:00Z,60.930
2013-01-01T13:00:00Z,62.992
2013-01-01T14:00:00Z,65.063
2013-01-01T15:00:00Z,67.147
2013-01-01T16:00:00Z,69.277
2013-01-01T17:00:00Z,71.466
2013-01-01T18:00:00Z,73.679
2013-01-01T19:00:00Z,75.885
2013-01-01T20:00:00Z,78.074
2013-01-01T21:00:00Z,80.240
2013-01-01T22:00:00Z,82.387
2013-01-01T23:00:00Z,84.514
2013-01-02T00:00:00Z,86.618
2013-01-02T01:00:00Z,88.699
2013-01-02T02:00:00Z,90.758
2013-01-02T03:00:00Z,92.792
2013-01-02T04:00:00Z,94.800
2013-01-02T05:00:00Z,96.782
2013-01-02T06:00:00Z,98.736
2013-01-02T07:00:00Z,100.660
2013-01-02T08:00:00Z,102.554
2013-01-02T09:00:00Z,104.416
2013-01-02T10:00:00Z,106.240
2013-01-02T11:00:00Z,108.028
2013-01-02T12:00:00Z,109.766
2013-01-02T13:00:00Z,111.467
2013-01-02T14:00:00Z,113.120
2013-01-02T15:00:00Z,114.725
2013-01-02T16:00:00Z,116.281
2013-01-02T17:00:00Z,117.799
2013-01-02T18:00:00Z,119.274
2013-01-02T19:00:00Z,120.707
2013-01-02T20:00:00Z,122.105
2013-01-02T21:00:00Z,123.458
2013-01-02T22:00:00Z,124.762
2013-01-02T23:00:00Z,126.044
2013-01-03T00:00:00Z,127.303
2013-01-03T01:00:00Z,128.496
2013-01-03T02:00:00Z,129.654
2013-01-03T03:00:00Z,130.790
2013-01-03T04:00:00Z,131.880
2013-01-03T05:00:00Z,132.941
2013-01-03T06:00:00Z,133.932
2013-01-03T07:00:00Z,134.900
2013-01-03T08:00:00Z,135.827
2013-01-03T09:00:00Z,136.704
2013-01-03T10:00:00Z,137.550
2013-01-03T11:00:00Z,138.349
2013-01-03T12:00:00Z,139.108
2013-01-03T13:00:00Z,139.805
2013-01-03T14:00:00Z,140.463
2013-01-03T15:00:00Z,141.082
2013-01-03T16:00:00Z,141.636
2013-01-03T17:00:00Z,142.156
2013-01-03T18:00:00Z,142.644
2013-01-03T19:00:00Z,143.076
2013-01-03T20:00:00Z,143.488
2013-01-03T21:00:00Z,143.860
2013-01-03T22:00:00Z,144.221
2013-01-03T23:00:00Z,144.537
2013-01-04T00:00:00Z,144.802
2013-01-04T01:00:00Z,145.066
2013-01-04T02:00:00Z,145.300
2013-01-04T03:00:00Z,145.520
2013-01-04T04:00:00Z,145.699
2013-01-04T05:00:00Z,145.847
2013-01-04T06:00:00Z,145.958
2013-01-04T07:00:00Z,146.046
2013-01-04T08:00:00Z,146.132
2013-01-04T09:00:00Z,146.197
2013-01-04T10:00:00Z,146.210
2013-01-04T11:00:00Z,146.220
2013-01-04T12:00:00Z,146.188
2013-01-04T13:00:00Z,146.133
2013-01-04T14:00:00Z,146.050
2013-01-04T15:00:00Z,145.938
2013-01-04T16:00:00Z,145.809
2013-01-04T17:00:00Z,145.652
2013-01-04T18:00:00Z,145.478
2013-01-04T19:00:00Z,145.294
2013-01-04T20:00:00Z,145.093
2013-01-04T21:00:00Z,144.877
2013-01-04T22:00:00Z,144.654
2013-01-04T23:00:00Z,144.416
2013-01-05T00:00:00Z,144.167
2013-01-05T01:00:00Z,143.907
2013-01-05T02:00:00Z,143.638
2013-01-05T03:00:00Z,143.356
2013-01-05T04:00:00Z,143.064
2013-01-05T05:00:00Z,142.759
2013-01-05T06:00:00Z,142.451
2013-01-05T07:00:00Z,142.135
2013-01-05T08:00:00Z,141.810
2013-01-05T09:00:00Z,141.476
2013-01-05T10:00:00Z,141.109
2013-01-05T11:00:00Z,140.738
2013-01-05T12:00:00Z,140.364
2013-01-05T13:00:00Z,139.967
2013-01-05T14:00:00Z,139.524
2013-01-05T15:00:00Z,139.088
2013-01-05T16:00:00Z,138.629
2013-01-05T17:00:00Z,138.168
2013-01-05T18:00:00Z,137.689
2013-01-05T19:00:00Z,137.203
2013-01-05T20:00:00Z,136.711
2013-01-05T21:00:00Z,136.214
2013-01-05T22:00:00Z,135.738
2013-01-05T23:00:00Z,135.234
2013-01-06T00:00:00Z,134.727
2013-01-06T01:00:00Z,134.201
2013-01-06T02:00:00Z,133.626
2013-01-06T03:00:00Z,133.075
2013-01-06T04:00:00Z,132.522
2013-01-06T05:00:00Z,131.976
2013-01-06T06:00:00Z,131.472
2013-01-06T07:00:00Z,130.978
2013-01-06T08:00:00Z,130.563
2013-01-06T09:00:00Z,130.109
2013-01-06T10:00:00Z,129.635
2013-01-06T11:00:00Z,129.172
2013-01-06T12:00:00Z,128.697
2013-01-06T13:00:00Z,128.147
2013-01-06T14:00:00Z,127.651
2013-01-06T15:00:00Z,127.125
2013-01-06T16:00:00Z,126.569
2013-01-06T17:00:00Z,126.038
2013-01-06T18:00:00Z,125.533
2013-01-06T19:00:00Z,125.181
2013-01-06T20:00:00Z,124.692
2013-01-06T21:00:00Z,124.416
2013-01-06T22:00:00Z,124.179
2013-01-06T23:00:00Z,123.862
2013-01-07T00:00:00Z,123.526
2013-01-07T01:00:00Z,123.270
2013-01-07T02:00:00Z,122.935
2013-01-07T03:00:00Z,122.652
2013-01-07T04:00:00Z,122.343
2013-01-07T05:00:00Z,122.002
2013-01-07T06:00:00Z,121.741
2013-01-07T07:00:00Z,121.453
2013-01-07T08:00:00Z,121.160
2013-01-07T09:00:00Z,120.837
2013-01-07T10:00:00Z,120.564
2013-01-07T11:00:00Z,120.226
2013-01-07T12:00:00Z,119.847
2013-01-07T13:00:00Z,119.458
2013-01-07T14:00:00Z,119.119
2013-01-07T15:00:00Z,118.735
2013-01-07T16:00:00Z,118.348
2013-01-07T17:00:00Z,117.988
2013-01-07T18:00:00Z,117.668
2013-01-07T19:00:00Z,117.261
2013-01-07T20:00:00Z,117.026
2013-01-07T21:00:00Z,116.692
2013-01-07T22:00:00Z,116.392
2013-01-07T23:00:00Z,116.059
2013-01-08T00:00:00Z,115.694
2013-01-08T01:00:00Z,115.441
2013-01-08T02:00:00Z,115.113
2013-01-08T03:00:00Z,114.806
2013-01-08T04:00:00Z,114.585
2013-01-08T05:00:00Z,114.322
2013-01-08T06:00:00Z,114.117
2013-01-08T07:00:00Z,114.036
2013-01-08T08:00:00Z,113.895
2013-01-08T09:00:00Z,113.763
2013-01-08T10:00:00Z,113.713
2013-01-08T11:00:00Z,113.909
2013-01-08T12:00:00Z,114.543
2013-01-08T13:00:00Z,115.338
2013-01-08T14:00:00Z,116.362
2013-01-08T15:00:00Z,117.411
2013-01-08T16:00:00Z,118.549
2013-01-08T17:00:00Z,119.640
2013-01-08T18:00:00Z,120.732
2013-01-08T19:00:00Z,121.886
2013-01-08T20:00:00Z,123.063
2013-01-08T21:00:00Z,124.234
2013-01-08T22:00:00Z,125.428
2013-01-08T23:00:00Z,126.589
2013-01-09T00:00:00Z,127.680
2013-01-09T01:00:00Z,128.819
2013-01-09T02:00:00Z,129.871
2013-01-09T03:00:00Z,130.966
2013-01-09T04:00:00Z,132.031
2013-01-09T05:00:00Z,133.072
2013-01-09T06:00:00Z,134.137
2013-01-09T07:00:00Z,135.101
2013-01-09T08:00:00Z,136.047
2013-01-09T09:00:00Z,136.946
2013-01-09T10:00:00Z,137.821
2013-01-09T11:00:00Z,138.686
2013-01-09T12:00:00Z,139.478
2013-01-09T13:00:00Z,140.206
2013-01-09T14:00:00Z,140.936
2013-01-09T15:00:00Z,141.606
2013-01-09T16:00:00Z,142.234
2013-01-09T17:00:00Z,142.839
2013-01-09T18:00:00Z,143.369
2013-01-09T19:00:00Z,143.986
2013-01-09T20:00:00Z,144.507
2013-01-09T21:00:00Z,145.021
2013-01-09T22:00:00Z,145.537
2013-01-09T23:00:00Z,145.997
2013-01-10T00:00:00Z,146.472
2013-01-10T01:00:00Z,146.919
2013-01-10T02:00:00Z,147.329
2013-01-10T03:00:00Z,147.725
2013-01-10T04:00:00Z,148.099
2013-01-10T05:00:00Z,148.460
2013-01-10T06:00:00Z,148.812
2013-01-10T07:00:00Z,149.199
2013-01-10T08:00:00Z,149.527
2013-01-10T09:00:00Z,149.792
2013-01-10T10:00:00Z,150.091
2013-01-10T11:00:00Z,150.374
2013-01-10T12:00:00Z,150.604
2013-01-10T13:00:00Z,150.818
2013-01-10T14:00:00Z,151.015
2013-01-10T15:00:00Z,151.196
2013-01-10T16:00:00Z,151.340
2013-01-10T17:00:00Z,151.497
2013-01-10T18:00:00Z,151.642
2013-01-10T19:00:00Z,151.767
2013-01-10T20:00:00Z,151.885
2013-01-10T21:00:00Z,151.994
2013-01-10T22:00:00Z,152.108
2013-01-10T23:00:00Z,152.200
2013-01-11T00:00:00Z,152.273
2013-01-11T01:00:00Z,152.301
2013-01-11T02:00:00Z,152.358
2013-01-11T03:00:00Z,152.396
2013-01-11T04:00:00Z,152.426
2013-01-11T05:00:00Z,152.449
2013-01-11T06:00:00Z,152.464
2013-01-11T07:00:00Z,152.473
2013-01-11T08:00:00Z,152.418
2013-01-11T09:00:00Z,152.368
2013-01-11T10:00:00Z,152.335
2013-01-11T11:00:00Z,152.262
2013-01-11T12:00:00Z,152.176
2013-01-11T13:00:00Z,152.077
2013-01-11T14:00:00Z,151.949
2013-01-11T15:00:00Z,151.838
2013-01-11T16:00:00Z,151.669
2013-01-11T17:00:00Z,151.488
2013-01-11T18:00:00Z,151.299
2013-01-11T19:00:00Z,151.100
2013-01-11T20:00:00Z,150.928
2013-01-11T21:00:00Z,150.750
2013-01-11T22:00:00Z,150.531
2013-01-11T23:00:00Z,150.306
2013-01-12T00:00:00Z,150.074
2013-01-12T01:00:00Z,149.835
2013-01-12T02:00:00Z,149.590
2013-01-12T03:00:00Z,149.321
2013-01-12T04:00:00Z,149.045
2013-01-12T05:00:00Z,148.745
2013-01-12T06:00:00Z,148.514
2013-01-12T07:00:00Z,148.199
2013-01-12T08:00:00Z,147.877
2013-01-12T09:00:00Z,147.547
2013-01-12T10:00:00Z,147.287
2013-01-12T11:00:00Z,146.958
2013-01-12T12:00:00Z,146.554
2013-01-12T13:00:00Z,146.243
2013-01-12T14:00:00Z,145.859
2013-01-12T15:00:00Z,145.439
2013-01-12T16:00:00Z,145.031
2013-01-12T17:00:00Z,144.592
2013-01-12T18:00:00Z,144.277
2013-01-12T19:00:00Z,143.869
2013-01-12T20:00:00Z,143.502
2013-01-12T21:00:00Z,143.108
2013-01-12T22:00:00Z,142.689
2013-01-12T23:00:00Z,142.238
2013-01-13T00:00:00Z,141.857
