datahora,qsim_antigo
2013-01-01T00:00:00Z,108.630
2013-01-01T01:00:00Z,126.254
2013-01-01T02:00:00Z,143.194
2013-01-01T03:00:00Z,159.568
2013-01-01T04:00:00Z,175.265
2013-01-01T05:00:00Z,190.511
2013-01-01T06:00:00Z,205.310
2013-01-01T07:00:00Z,219.808
2013-01-01T08:00:00Z,234.285
2013-01-01T09:00:00Z,249.718
2013-01-01T10:00:00Z,266.933
2013-01-01T11:00:00Z,286.265
2013-01-01T12:00:00Z,305.830
2013-01-01T13:00:00Z,322.423
2013-01-01T14:00:00Z,336.684
2013-01-01T15:00:00Z,351.062
2013-01-01T16:00:00Z,366.130
2013-01-01T17:00:00Z,381.930
2013-01-01T18:00:00Z,396.153
2013-01-01T19:00:00Z,408.484
2013-01-01T20:00:00Z,419.293
2013-01-01T21:00:00Z,429.717
2013-01-01T22:00:00Z,439.328
2013-01-01T23:00:00Z,448.233
2013-01-02T00:00:00Z,456.983
2013-01-02T01:00:00Z,465.033
2013-01-02T02:00:00Z,472.464
2013-01-02T03:00:00Z,478.570
2013-01-02T04:00:00Z,483.714
2013-01-02T05:00:00Z,487.897
2013-01-02T06:00:00Z,490.930
2013-01-02T07:00:00Z,492.639
2013-01-02T08:00:00Z,493.202
2013-01-02T09:00:00Z,492.532
2013-01-02T10:00:00Z,491.000
2013-01-02T11:00:00Z,488.343
2013-01-02T12:00:00Z,485.179
2013-01-02T13:00:00Z,481.002
2013-01-02T14:00:00Z,476.532
2013-01-02T15:00:00Z,471.205
2013-01-02T16:00:00Z,466.025
2013-01-02T17:00:00Z,460.198
2013-01-02T18:00:00Z,453.881
2013-01-02T19:00:00Z,448.053
2013-01-02T20:00:00Z,441.446
2013-01-02T21:00:00Z,435.169
2013-01-02T22:00:00Z,428.442
2013-01-02T23:00:00Z,422.313
2013-01-03T00:00:00Z,416.164
2013-01-03T01:00:00Z,409.240
2013-01-03T02:00:00Z,402.984
2013-01-03T03:00:00Z,397.059
2013-01-03T04:00:00Z,390.314
2013-01-03T05:00:00Z,384.417
2013-01-03T06:00:00Z,378.689
2013-01-03T07:00:00Z,372.947
2013-01-03T08:00:00Z,366.257
2013-01-03T09:00:00Z,360.644
2013-01-03T10:00:00Z,355.152
2013-01-03T11:00:00Z,349.769
2013-01-03T12:00:00Z,343.573
2013-01-03T13:00:00Z,338.079
2013-01-03T14:00:00Z,332.932
2013-01-03T15:00:00Z,327.892
2013-01-03T16:00:00Z,322.956
2013-01-03T17:00:00Z,317.963
2013-01-03T18:00:00Z,313.185
2013-01-03T19:00:00Z,307.771
2013-01-03T20:00:00Z,302.979
2013-01-03T21:00:00Z,298.492
2013-01-03T22:00:00Z,293.885
2013-01-03T23:00:00Z,289.439
2013-01-04T00:00:00Z,285.204
2013-01-04T01:00:00Z,281.247
2013-01-04T02:00:00Z,277.476
2013-01-04T03:00:00Z,273.769
2013-01-04T04:00:00Z,270.138
2013-01-04T05:00:00Z,266.312
2013-01-04T06:00:00Z,262.715
2013-01-04T07:00:00Z,259.082
2013-01-04T08:00:00Z,255.719
2013-01-04T09:00:00Z,252.133
2013-01-04T10:00:00Z,248.534
2013-01-04T11:00:00Z,244.986
2013-01-04T12:00:00Z,241.421
2013-01-04T13:00:00Z,237.776
2013-01-04T14:00:00Z,234.426
2013-01-04T15:00:00Z,231.332
2013-01-04T16:00:00Z,228.796
2013-01-04T17:00:00Z,225.430
2013-01-04T18:00:00Z,222.076
2013-01-04T19:00:00Z,218.609
2013-01-04T20:00:00Z,215.119
2013-01-04T21:00:00Z,211.721
2013-01-04T22:00:00Z,209.987
