datahora,qsim_antigo
2013-01-01T00:00:00Z,42.132
2013-01-01T01:00:00Z,46.703
2013-01-01T02:00:00Z,50.899
2013-01-01T03:00:00Z,54.914
2013-01-01T04:00:00Z,58.718
2013-01-01T05:00:00Z,62.286
2013-01-01T06:00:00Z,65.734
2013-01-01T07:00:00Z,69.102
2013-01-01T08:00:00Z,72.601
2013-01-01T09:00:00Z,76.409
2013-01-01T10:00:00Z,80.841
2013-01-01T11:00:00Z,85.822
2013-01-01T12:00:00Z,90.735
2013-01-01T13:00:00Z,94.969
2013-01-01T14:00:00Z,98.685
2013-01-01T15:00:00Z,102.193
2013-01-01T16:00:00Z,105.955
2013-01-01T17:00:00Z,109.982
2013-01-01T18:00:00Z,113.634
2013-01-01T19:00:00Z,116.274
2013-01-01T20:00:00Z,118.171
2013-01-01T21:00:00Z,119.560
2013-01-01T22:00:00Z,120.515
2013-01-01T23:00:00Z,121.077
2013-01-02T00:00:00Z,121.289
2013-01-02T01:00:00Z,121.253
2013-01-02T02:00:00Z,121.309
2013-01-02T03:00:00Z,121.340
2013-01-02T04:00:00Z,121.146
2013-01-02T05:00:00Z,120.609
2013-01-02T06:00:00Z,119.870
2013-01-02T07:00:00Z,118.951
2013-01-02T08:00:00Z,117.870
2013-01-02T09:00:00Z,116.632
2013-01-02T10:00:00Z,115.248
2013-01-02T11:00:00Z,113.730
2013-01-02T12:00:00Z,112.084
2013-01-02T13:00:00Z,110.322
2013-01-02T14:00:00Z,108.465
2013-01-02T15:00:00Z,106.527
2013-01-02T16:00:00Z,104.523
2013-01-02T17:00:00Z,102.471
2013-01-02T18:00:00Z,100.388
2013-01-02T19:00:00Z,98.289
2013-01-02T20:00:00Z,96.183
2013-01-02T21:00:00Z,94.080
2013-01-02T22:00:00Z,91.989
2013-01-02T23:00:00Z,89.916
2013-01-03T00:00:00Z,87.827
2013-01-03T01:00:00Z,85.564
2013-01-03T02:00:00Z,83.253
2013-01-03T03:00:00Z,80.885
2013-01-03T04:00:00Z,78.361
2013-01-03T05:00:00Z,76.081
2013-01-03T06:00:00Z,73.696
2013-01-03T07:00:00Z,71.913
2013-01-03T08:00:00Z,70.233
2013-01-03T09:00:00Z,68.621
2013-01-03T10:00:00Z,67.041
2013-01-03T11:00:00Z,65.616
2013-01-03T12:00:00Z,64.205
2013-01-03T13:00:00Z,62.867
2013-01-03T14:00:00Z,61.567
2013-01-03T15:00:00Z,60.281
2013-01-03T16:00:00Z,59.061
2013-01-03T17:00:00Z,57.854
2013-01-03T18:00:00Z,56.660
2013-01-03T19:00:00Z,55.532
2013-01-03T20:00:00Z,54.442
2013-01-03T21:00:00Z,53.445
2013-01-03T22:00:00Z,52.394
2013-01-03T23:00:00Z,51.337
2013-01-04T00:00:00Z,50.378
2013-01-04T01:00:00Z,49.512
2013-01-04T02:00:00Z,48.608
2013-01-04T03:00:00Z,47.797
2013-01-04T04:00:00Z,46.942
2013-01-04T05:00:00Z,46.182
2013-01-04T06:00:00Z,45.372
2013-01-04T07:00:00Z,44.660
2013-01-04T08:00:00Z,43.930
2013-01-04T09:00:00Z,43.218
2013-01-04T10:00:00Z,42.605
2013-01-04T11:00:00Z,42.008
2013-01-04T12:00:00Z,41.424
2013-01-04T13:00:00Z,40.852
2013-01-04T14:00:00Z,40.292
2013-01-04T15:00:00Z,39.746
2013-01-04T16:00:00Z,39.135
2013-01-04T17:00:00Z,38.617
2013-01-04T18:00:00Z,37.950
2013-01-04T19:00:00Z,37.381
2013-01-04T20:00:00Z,36.923
2013-01-04T21:00:00Z,36.484
2013-01-04T22:00:00Z,35.926
2013-01-04T23:00:00Z,35.331
2013-01-05T00:00:00Z,34.899
2013-01-05T01:00:00Z,34.531
2013-01-05T02:00:00Z,34.175
2013-01-05T03:00:00Z,33.677
2013-01-05T04:00:00Z,33.292
2013-01-05T05:00:00Z,32.973
2013-01-05T06:00:00Z,32.718
2013-01-05T07:00:00Z,32.221
2013-01-05T08:00:00Z,31.884
2013-01-05T09:00:00Z,31.605
2013-01-05T10:00:00Z,31.334
2013-01-05T11:00:00Z,31.067
2013-01-05T12:00:00Z,30.996
2013-01-05T13:00:00Z,30.543
2013-01-05T14:00:00Z,30.285
2013-01-05T15:00:00Z,30.029
2013-01-05T16:00:00Z,29.628
2013-01-05T17:00:00Z,29.334
2013-01-05T18:00:00Z,29.047
2013-01-05T19:00:00Z,28.661
2013-01-05T20:00:00Z,28.443
2013-01-05T21:00:00Z,28.338
2013-01-05T22:00:00Z,28.026
2013-01-05T23:00:00Z,27.718
2013-01-06T00:00:00Z,27.414
2013-01-06T01:00:00Z,27.227
2013-01-06T02:00:00Z,27.049
