datahora,qsim_antigo
2013-01-01T00:00:00Z,73.719
2013-01-01T01:00:00Z,89.057
2013-01-01T02:00:00Z,103.954
2013-01-01T03:00:00Z,118.429
2013-01-01T04:00:00Z,132.466
2013-01-01T05:00:00Z,146.211
2013-01-01T06:00:00Z,159.812
2013-01-01T07:00:00Z,173.641
2013-01-01T08:00:00Z,188.700
2013-01-01T09:00:00Z,205.510
2013-01-01T10:00:00Z,228.471
2013-01-01T11:00:00Z,258.297
2013-01-01T12:00:00Z,282.416
2013-01-01T13:00:00Z,298.789
2013-01-01T14:00:00Z,309.375
2013-01-01T15:00:00Z,319.676
2013-01-01T16:00:00Z,332.185
2013-01-01T17:00:00Z,345.548
2013-01-01T18:00:00Z,355.737
2013-01-01T19:00:00Z,362.323
2013-01-01T20:00:00Z,366.769
2013-01-01T21:00:00Z,369.962
2013-01-01T22:00:00Z,372.143
2013-01-01T23:00:00Z,373.383
2013-01-02T00:00:00Z,373.706
2013-01-02T01:00:00Z,373.145
2013-01-02T02:00:00Z,371.770
2013-01-02T03:00:00Z,369.637
2013-01-02T04:00:00Z,366.799
2013-01-02T05:00:00Z,363.315
2013-01-02T06:00:00Z,359.253
2013-01-02T07:00:00Z,354.697
2013-01-02T08:00:00Z,349.722
2013-01-02T09:00:00Z,344.376
2013-01-02T10:00:00Z,338.719
2013-01-02T11:00:00Z,332.806
2013-01-02T12:00:00Z,326.685
2013-01-02T13:00:00Z,320.416
2013-01-02T14:00:00Z,314.055
2013-01-02T15:00:00Z,307.627
2013-01-02T16:00:00Z,301.174
2013-01-02T17:00:00Z,294.757
2013-01-02T18:00:00Z,288.039
2013-01-02T19:00:00Z,280.235
2013-01-02T20:00:00Z,272.423
2013-01-02T21:00:00Z,261.507
2013-01-02T22:00:00Z,250.752
2013-01-02T23:00:00Z,241.328
2013-01-03T00:00:00Z,226.878
2013-01-03T01:00:00Z,213.922
2013-01-03T02:00:00Z,200.406
2013-01-03T03:00:00Z,193.666
2013-01-03T04:00:00Z,187.972
2013-01-03T05:00:00Z,182.601
2013-01-03T06:00:00Z,179.133
2013-01-03T07:00:00Z,169.420
2013-01-03T08:00:00Z,164.687
2013-01-03T09:00:00Z,161.928
2013-01-03T10:00:00Z,157.311
2013-01-03T11:00:00Z,154.881
2013-01-03T12:00:00Z,152.560
2013-01-03T13:00:00Z,149.117
2013-01-03T14:00:00Z,146.659
2013-01-03T15:00:00Z,144.663
2013-01-03T16:00:00Z,141.525
2013-01-03T17:00:00Z,139.733
2013-01-03T18:00:00Z,137.305
2013-01-03T19:00:00Z,136.362
2013-01-03T20:00:00Z,133.935
2013-01-03T21:00:00Z,133.008
2013-01-03T22:00:00Z,130.841
2013-01-03T23:00:00Z,129.085
2013-01-04T00:00:00Z,127.592
2013-01-04T01:00:00Z,126.215
2013-01-04T02:00:00Z,125.007
2013-01-04T03:00:00Z,123.804
2013-01-04T04:00:00Z,122.667
2013-01-04T05:00:00Z,121.642
2013-01-04T06:00:00Z,120.515
2013-01-04T07:00:00Z,119.687
2013-01-04T08:00:00Z,118.691
2013-01-04T09:00:00Z,117.714
2013-01-04T10:00:00Z,117.058
2013-01-04T11:00:00Z,116.692
2013-01-04T12:00:00Z,117.325
2013-01-04T13:00:00Z,115.398
2013-01-04T14:00:00Z,114.143
2013-01-04T15:00:00Z,113.239
2013-01-04T16:00:00Z,111.129
2013-01-04T17:00:00Z,110.560
2013-01-04T18:00:00Z,110.574
2013-01-04T19:00:00Z,110.501
2013-01-04T20:00:00Z,109.730
2013-01-04T21:00:00Z,108.944
2013-01-04T22:00:00Z,108.130
2013-01-04T23:00:00Z,107.356
2013-01-05T00:00:00Z,107.256
2013-01-05T01:00:00Z,106.710
2013-01-05T02:00:00Z,105.937
2013-01-05T03:00:00Z,105.668
2013-01-05T04:00:00Z,104.665
2013-01-05T05:00:00Z,104.688
2013-01-05T06:00:00Z,103.952
2013-01-05T07:00:00Z,103.492
2013-01-05T08:00:00Z,103.611
2013-01-05T09:00:00Z,102.892
2013-01-05T10:00:00Z,102.177
2013-01-05T11:00:00Z,102.045
2013-01-05T12:00:00Z,101.929
2013-01-05T13:00:00Z,99.753
2013-01-05T14:00:00Z,98.244
2013-01-05T15:00:00Z,98.581
2013-01-05T16:00:00Z,103.424
2013-01-05T17:00:00Z,98.275
2013-01-05T18:00:00Z,96.195
2013-01-05T19:00:00Z,96.909
2013-01-05T20:00:00Z,96.199
2013-01-05T21:00:00Z,96.081
2013-01-05T22:00:00Z,95.415
2013-01-05T23:00:00Z,94.185
2013-01-06T00:00:00Z,93.505
2013-01-06T01:00:00Z,92.838
2013-01-06T02:00:00Z,92.545
2013-01-06T03:00:00Z,93.104
2013-01-06T04:00:00Z,93.459
2013-01-06T05:00:00Z,95.876
2013-01-06T06:00:00Z,97.468
2013-01-06T07:00:00Z,95.242
2013-01-06T08:00:00Z,94.588
2013-01-06T09:00:00Z,95.058
2013-01-06T10:00:00Z,95.998
2013-01-06T11:00:00Z,96.992
2013-01-06T12:00:00Z,100.932
2013-01-06T13:00:00Z,99.138
2013-01-06T14:00:00Z,96.801
2013-01-06T15:00:00Z,95.299
2013-01-06T16:00:00Z,96.857
2013-01-06T17:00:00Z,98.060
2013-01-06T18:00:00Z,100.835
2013-01-06T19:00:00Z,103.802
2013-01-06T20:00:00Z,102.213
2013-01-06T21:00:00Z,101.714
2013-01-06T22:00:00Z,103.784
2013-01-06T23:00:00Z,105.196
2013-01-07T00:00:00Z,105.453
2013-01-07T01:00:00Z,105.838
2013-01-07T02:00:00Z,106.669
2013-01-07T03:00:00Z,106.947
2013-01-07T04:00:00Z,107.140
2013-01-07T05:00:00Z,107.257
2013-01-07T06:00:00Z,106.956
2013-01-07T07:00:00Z,106.505
2013-01-07T08:00:00Z,105.955
2013-01-07T09:00:00Z,105.094
2013-01-07T10:00:00Z,104.080
2013-01-07T11:00:00Z,103.347
2013-01-07T12:00:00Z,102.806
2013-01-07T13:00:00Z,102.370
2013-01-07T14:00:00Z,101.819
2013-01-07T15:00:00Z,101.162
2013-01-07T16:00:00Z,100.444
2013-01-07T17:00:00Z,99.977
2013-01-07T18:00:00Z,100.203
2013-01-07T19:00:00Z,100.512
2013-01-07T20:00:00Z,100.383
2013-01-07T21:00:00Z,100.413
2013-01-07T22:00:00Z,100.511
2013-01-07T23:00:00Z,100.310
2013-01-08T00:00:00Z,100.226
2013-01-08T01:00:00Z,100.946
2013-01-08T02:00:00Z,102.353
2013-01-08T03:00:00Z,103.616
2013-01-08T04:00:00Z,105.358
2013-01-08T05:00:00Z,107.505
