datahora,qsim_antigo
2013-01-01T00:00:00Z,466.903
2013-01-01T01:00:00Z,467.904
2013-01-01T02:00:00Z,469.537
2013-01-01T03:00:00Z,471.751
2013-01-01T04:00:00Z,474.495
2013-01-01T05:00:00Z,477.724
2013-01-01T06:00:00Z,481.389
2013-01-01T07:00:00Z,485.445
2013-01-01T08:00:00Z,489.856
2013-01-01T09:00:00Z,494.608
2013-01-01T10:00:00Z,499.874
2013-01-01T11:00:00Z,506.060
2013-01-01T12:00:00Z,513.071
2013-01-01T13:00:00Z,520.442
2013-01-01T14:00:00Z,527.967
2013-01-01T15:00:00Z,535.612
2013-01-01T16:00:00Z,543.382
2013-01-01T17:00:00Z,551.322
2013-01-01T18:00:00Z,559.432
2013-01-01T19:00:00Z,567.633
2013-01-01T20:00:00Z,575.891
2013-01-01T21:00:00Z,584.189
2013-01-01T22:00:00Z,592.516
2013-01-01T23:00:00Z,600.859
2013-01-02T00:00:00Z,609.205
2013-01-02T01:00:00Z,617.540
2013-01-02T02:00:00Z,625.853
2013-01-02T03:00:00Z,634.132
2013-01-02T04:00:00Z,642.367
2013-01-02T05:00:00Z,650.548
2013-01-02T06:00:00Z,658.665
2013-01-02T07:00:00Z,666.709
2013-01-02T08:00:00Z,674.673
2013-01-02T09:00:00Z,682.549
2013-01-02T10:00:00Z,690.330
2013-01-02T11:00:00Z,698.007
2013-01-02T12:00:00Z,705.572
2013-01-02T13:00:00Z,713.016
2013-01-02T14:00:00Z,720.328
2013-01-02T15:00:00Z,727.501
2013-01-02T16:00:00Z,734.527
2013-01-02T17:00:00Z,741.399
2013-01-02T18:00:00Z,748.118
2013-01-02T19:00:00Z,754.687
2013-01-02T20:00:00Z,761.104
2013-01-02T21:00:00Z,767.368
2013-01-02T22:00:00Z,773.479
2013-01-02T23:00:00Z,779.436
2013-01-03T00:00:00Z,785.241
2013-01-03T01:00:00Z,790.893
2013-01-03T02:00:00Z,796.394
2013-01-03T03:00:00Z,801.745
2013-01-03T04:00:00Z,806.947
2013-01-03T05:00:00Z,812.003
2013-01-03T06:00:00Z,816.914
2013-01-03T07:00:00Z,821.685
2013-01-03T08:00:00Z,826.320
2013-01-03T09:00:00Z,830.819
2013-01-03T10:00:00Z,835.177
2013-01-03T11:00:00Z,839.391
2013-01-03T12:00:00Z,843.458
2013-01-03T13:00:00Z,847.375
2013-01-03T14:00:00Z,851.144
2013-01-03T15:00:00Z,854.770
2013-01-03T16:00:00Z,858.257
2013-01-03T17:00:00Z,861.602
2013-01-03T18:00:00Z,864.806
2013-01-03T19:00:00Z,867.875
2013-01-03T20:00:00Z,870.815
2013-01-03T21:00:00Z,873.631
2013-01-03T22:00:00Z,876.328
2013-01-03T23:00:00Z,878.910
2013-01-04T00:00:00Z,881.386
2013-01-04T01:00:00Z,883.760
2013-01-04T02:00:00Z,886.033
2013-01-04T03:00:00Z,888.208
2013-01-04T04:00:00Z,890.287
2013-01-04T05:00:00Z,892.270
2013-01-04T06:00:00Z,894.158
2013-01-04T07:00:00Z,895.955
2013-01-04T08:00:00Z,897.665
2013-01-04T09:00:00Z,899.287
2013-01-04T10:00:00Z,900.826
2013-01-04T11:00:00Z,902.281
2013-01-04T12:00:00Z,903.653
2013-01-04T13:00:00Z,904.936
2013-01-04T14:00:00Z,906.130
2013-01-04T15:00:00Z,907.242
2013-01-04T16:00:00Z,908.270
2013-01-04T17:00:00Z,909.219
2013-01-04T18:00:00Z,910.088
2013-01-04T19:00:00Z,910.873
2013-01-04T20:00:00Z,911.574
2013-01-04T21:00:00Z,912.195
2013-01-04T22:00:00Z,912.739
2013-01-04T23:00:00Z,913.216
2013-01-05T00:00:00Z,913.633
2013-01-05T01:00:00Z,913.993
2013-01-05T02:00:00Z,914.298
2013-01-05T03:00:00Z,914.544
2013-01-05T04:00:00Z,914.733
2013-01-05T05:00:00Z,914.866
2013-01-05T06:00:00Z,914.946
2013-01-05T07:00:00Z,914.978
2013-01-05T08:00:00Z,914.964
2013-01-05T09:00:00Z,914.906
2013-01-05T10:00:00Z,914.807
2013-01-05T11:00:00Z,914.664
2013-01-05T12:00:00Z,914.473
2013-01-05T13:00:00Z,914.231
2013-01-05T14:00:00Z,913.934
2013-01-05T15:00:00Z,913.574
2013-01-05T16:00:00Z,913.150
2013-01-05T17:00:00Z,912.669
2013-01-05T18:00:00Z,912.132
2013-01-05T19:00:00Z,911.549
2013-01-05T20:00:00Z,910.928
2013-01-05T21:00:00Z,910.269
2013-01-05T22:00:00Z,909.572
2013-01-05T23:00:00Z,908.845
2013-01-06T00:00:00Z,908.090
2013-01-06T01:00:00Z,907.310
2013-01-06T02:00:00Z,906.507
2013-01-06T03:00:00Z,905.680
2013-01-06T04:00:00Z,904.833
2013-01-06T05:00:00Z,904.038
2013-01-06T06:00:00Z,903.378
2013-01-06T07:00:00Z,902.773
2013-01-06T08:00:00Z,902.206
2013-01-06T09:00:00Z,901.674
2013-01-06T10:00:00Z,901.174
2013-01-06T11:00:00Z,900.694
2013-01-06T12:00:00Z,900.224
2013-01-06T13:00:00Z,899.762
2013-01-06T14:00:00Z,899.303
2013-01-06T15:00:00Z,898.846
2013-01-06T16:00:00Z,898.395
2013-01-06T17:00:00Z,897.977
2013-01-06T18:00:00Z,897.653
2013-01-06T19:00:00Z,897.648
2013-01-06T20:00:00Z,897.988
2013-01-06T21:00:00Z,898.482
2013-01-06T22:00:00Z,899.080
2013-01-06T23:00:00Z,899.737
2013-01-07T00:00:00Z,900.439
2013-01-07T01:00:00Z,901.177
2013-01-07T02:00:00Z,901.947
2013-01-07T03:00:00Z,902.744
2013-01-07T04:00:00Z,903.563
2013-01-07T05:00:00Z,904.399
2013-01-07T06:00:00Z,905.252
2013-01-07T07:00:00Z,906.118
2013-01-07T08:00:00Z,906.997
2013-01-07T09:00:00Z,907.886
2013-01-07T10:00:00Z,908.779
2013-01-07T11:00:00Z,909.676
2013-01-07T12:00:00Z,910.574
2013-01-07T13:00:00Z,911.474
2013-01-07T14:00:00Z,912.374
2013-01-07T15:00:00Z,913.271
2013-01-07T16:00:00Z,914.164
2013-01-07T17:00:00Z,915.056
2013-01-07T18:00:00Z,915.959
2013-01-07T19:00:00Z,916.887
2013-01-07T20:00:00Z,917.833
2013-01-07T21:00:00Z,918.793
2013-01-07T22:00:00Z,919.765
2013-01-07T23:00:00Z,920.744
2013-01-08T00:00:00Z,921.730
2013-01-08T01:00:00Z,922.750
2013-01-08T02:00:00Z,923.869
2013-01-08T03:00:00Z,925.090
2013-01-08T04:00:00Z,926.495
2013-01-08T05:00:00Z,928.177
2013-01-08T06:00:00Z,930.054
2013-01-08T07:00:00Z,931.978
2013-01-08T08:00:00Z,933.940
2013-01-08T09:00:00Z,935.974
2013-01-08T10:00:00Z,939.072
2013-01-08T11:00:00Z,946.672
2013-01-08T12:00:00Z,958.986
2013-01-08T13:00:00Z,974.169
2013-01-08T14:00:00Z,990.128
2013-01-08T15:00:00Z,1005.490
2013-01-08T16:00:00Z,1019.750
2013-01-08T17:00:00Z,1032.943
2013-01-08T18:00:00Z,1045.149
2013-01-08T19:00:00Z,1056.454
2013-01-08T20:00:00Z,1066.944
2013-01-08T21:00:00Z,1076.691
2013-01-08T22:00:00Z,1085.768
2013-01-08T23:00:00Z,1094.247
2013-01-09T00:00:00Z,1102.190
2013-01-09T01:00:00Z,1109.650
2013-01-09T02:00:00Z,1116.675
2013-01-09T03:00:00Z,1123.311
2013-01-09T04:00:00Z,1129.594
2013-01-09T05:00:00Z,1135.559
2013-01-09T06:00:00Z,1141.240
2013-01-09T07:00:00Z,1146.664
2013-01-09T08:00:00Z,1151.855
2013-01-09T09:00:00Z,1156.829
2013-01-09T10:00:00Z,1161.599
2013-01-09T11:00:00Z,1166.179
2013-01-09T12:00:00Z,1170.577
2013-01-09T13:00:00Z,1174.798
2013-01-09T14:00:00Z,1178.848
2013-01-09T15:00:00Z,1182.731
2013-01-09T16:00:00Z,1186.446
2013-01-09T17:00:00Z,1189.998
2013-01-09T18:00:00Z,1193.386
2013-01-09T19:00:00Z,1196.618
2013-01-09T20:00:00Z,1199.688
2013-01-09T21:00:00Z,1202.594
2013-01-09T22:00:00Z,1205.347
2013-01-09T23:00:00Z,1207.949
2013-01-10T00:00:00Z,1210.398
2013-01-10T01:00:00Z,1212.701
2013-01-10T02:00:00Z,1214.860
2013-01-10T03:00:00Z,1216.874
2013-01-10T04:00:00Z,1218.741
2013-01-10T05:00:00Z,1220.464
2013-01-10T06:00:00Z,1222.049
2013-01-10T07:00:00Z,1223.499
2013-01-10T08:00:00Z,1224.818
2013-01-10T09:00:00Z,1226.008
2013-01-10T10:00:00Z,1227.069
2013-01-10T11:00:00Z,1228.008
2013-01-10T12:00:00Z,1228.823
2013-01-10T13:00:00Z,1229.511
2013-01-10T14:00:00Z,1230.073
2013-01-10T15:00:00Z,1230.512
2013-01-10T16:00:00Z,1230.827
2013-01-10T17:00:00Z,1231.018
2013-01-10T18:00:00Z,1231.090
2013-01-10T19:00:00Z,1231.052
2013-01-10T20:00:00Z,1230.908
2013-01-10T21:00:00Z,1230.660
2013-01-10T22:00:00Z,1230.315
2013-01-10T23:00:00Z,1229.880
2013-01-11T00:00:00Z,1229.358
2013-01-11T01:00:00Z,1228.751
2013-01-11T02:00:00Z,1228.061
2013-01-11T03:00:00Z,1227.293
2013-01-11T04:00:00Z,1226.448
2013-01-11T05:00:00Z,1225.528
2013-01-11T06:00:00Z,1224.534
2013-01-11T07:00:00Z,1223.468
2013-01-11T08:00:00Z,1222.335
2013-01-11T09:00:00Z,1221.138
2013-01-11T10:00:00Z,1219.878
2013-01-11T11:00:00Z,1218.555
2013-01-11T12:00:00Z,1217.159
2013-01-11T13:00:00Z,1215.690
2013-01-11T14:00:00Z,1214.153
2013-01-11T15:00:00Z,1212.544
2013-01-11T16:00:00Z,1210.859
2013-01-11T17:00:00Z,1209.100
2013-01-11T18:00:00Z,1207.273
2013-01-11T19:00:00Z,1205.385
2013-01-11T20:00:00Z,1203.439
2013-01-11T21:00:00Z,1201.435
2013-01-11T22:00:00Z,1199.378
2013-01-11T23:00:00Z,1197.278
2013-01-12T00:00:00Z,1195.141
2013-01-12T01:00:00Z,1192.972
2013-01-12T02:00:00Z,1190.767
2013-01-12T03:00:00Z,1188.528
2013-01-12T04:00:00Z,1186.257
2013-01-12T05:00:00Z,1183.957
2013-01-12T06:00:00Z,1181.631
2013-01-12T07:00:00Z,1179.277
2013-01-12T08:00:00Z,1176.897
2013-01-12T09:00:00Z,1174.491
2013-01-12T10:00:00Z,1172.061
2013-01-12T11:00:00Z,1169.606
2013-01-12T12:00:00Z,1167.126
2013-01-12T13:00:00Z,1164.618
2013-01-12T14:00:00Z,1162.076
2013-01-12T15:00:00Z,1159.495
2013-01-12T16:00:00Z,1156.870
2013-01-12T17:00:00Z,1154.201
2013-01-12T18:00:00Z,1151.494
2013-01-12T19:00:00Z,1148.754
2013-01-12T20:00:00Z,1145.983
2013-01-12T21:00:00Z,1143.188
2013-01-12T22:00:00Z,1140.370
2013-01-12T23:00:00Z,1137.529
2013-01-13T00:00:00Z,1134.664
2013-01-13T01:00:00Z,1131.772
2013-01-13T02:00:00Z,1128.859
2013-01-13T03:00:00Z,1125.918
2013-01-13T04:00:00Z,1122.949
2013-01-13T05:00:00Z,1119.950
2013-01-13T06:00:00Z,1116.921
2013-01-13T07:00:00Z,1113.860
2013-01-13T08:00:00Z,1110.766
2013-01-13T09:00:00Z,1107.643
2013-01-13T10:00:00Z,1104.492
2013-01-13T11:00:00Z,1101.308
2013-01-13T12:00:00Z,1098.091
2013-01-13T13:00:00Z,1094.839
2013-01-13T14:00:00Z,1091.550
2013-01-13T15:00:00Z,1088.221
2013-01-13T16:00:00Z,1084.845
2013-01-13T17:00:00Z,1081.414
2013-01-13T18:00:00Z,1077.931
2013-01-13T19:00:00Z,1074.402
2013-01-13T20:00:00Z,1070.825
2013-01-13T21:00:00Z,1067.203
2013-01-13T22:00:00Z,1063.538
2013-01-13T23:00:00Z,1059.836
2013-01-14T00:00:00Z,1056.101
2013-01-14T01:00:00Z,1052.334
2013-01-14T02:00:00Z,1048.535
2013-01-14T03:00:00Z,1044.700
2013-01-14T04:00:00Z,1040.824
2013-01-14T05:00:00Z,1036.909
2013-01-14T06:00:00Z,1032.966
2013-01-14T07:00:00Z,1029.004
2013-01-14T08:00:00Z,1025.026
2013-01-14T09:00:00Z,1021.032
2013-01-14T10:00:00Z,1017.022
2013-01-14T11:00:00Z,1012.996
2013-01-14T12:00:00Z,1008.954
2013-01-14T13:00:00Z,1004.894
2013-01-14T14:00:00Z,1000.817
2013-01-14T15:00:00Z,996.720
2013-01-14T16:00:00Z,992.600
2013-01-14T17:00:00Z,988.457
2013-01-14T18:00:00Z,984.293
2013-01-14T19:00:00Z,980.108
2013-01-14T20:00:00Z,975.912
2013-01-14T21:00:00Z,971.711
2013-01-14T22:00:00Z,967.508
2013-01-14T23:00:00Z,963.304
2013-01-15T00:00:00Z,959.096
2013-01-15T01:00:00Z,954.887
2013-01-15T02:00:00Z,950.681
2013-01-15T03:00:00Z,946.482
2013-01-15T04:00:00Z,942.293
2013-01-15T05:00:00Z,938.109
2013-01-15T06:00:00Z,933.931
2013-01-15T07:00:00Z,929.766
2013-01-15T08:00:00Z,925.612
2013-01-15T09:00:00Z,921.466
2013-01-15T10:00:00Z,917.324
2013-01-15T11:00:00Z,913.189
2013-01-15T12:00:00Z,909.064
2013-01-15T13:00:00Z,904.949
2013-01-15T14:00:00Z,900.843
2013-01-15T15:00:00Z,896.748
2013-01-15T16:00:00Z,892.657
2013-01-15T17:00:00Z,888.567
2013-01-15T18:00:00Z,884.484
2013-01-15T19:00:00Z,880.408
2013-01-15T20:00:00Z,876.344
2013-01-15T21:00:00Z,872.299
2013-01-15T22:00:00Z,868.283
2013-01-15T23:00:00Z,864.303
2013-01-16T00:00:00Z,860.354
2013-01-16T01:00:00Z,856.436
2013-01-16T02:00:00Z,852.556
2013-01-16T03:00:00Z,848.716
2013-01-16T04:00:00Z,844.918
2013-01-16T05:00:00Z,841.161
2013-01-16T06:00:00Z,837.443
2013-01-16T07:00:00Z,833.762
2013-01-16T08:00:00Z,830.113
2013-01-16T09:00:00Z,826.497
2013-01-16T10:00:00Z,822.914
2013-01-16T11:00:00Z,819.362
2013-01-16T12:00:00Z,815.839
2013-01-16T13:00:00Z,812.336
2013-01-16T14:00:00Z,808.849
2013-01-16T15:00:00Z,805.376
2013-01-16T16:00:00Z,801.915
2013-01-16T17:00:00Z,798.464
2013-01-16T18:00:00Z,795.027
2013-01-16T19:00:00Z,791.606
2013-01-16T20:00:00Z,788.210
2013-01-16T21:00:00Z,784.865
2013-01-16T22:00:00Z,781.566
2013-01-16T23:00:00Z,778.309
2013-01-17T00:00:00Z,775.097
2013-01-17T01:00:00Z,771.932
2013-01-17T02:00:00Z,768.818
2013-01-17T03:00:00Z,765.758
2013-01-17T04:00:00Z,762.753
2013-01-17T05:00:00Z,759.803
2013-01-17T06:00:00Z,756.906
2013-01-17T07:00:00Z,754.061
2013-01-17T08:00:00Z,751.267
2013-01-17T09:00:00Z,748.526
2013-01-17T10:00:00Z,745.835
2013-01-17T11:00:00Z,743.194
2013-01-17T12:00:00Z,740.602
2013-01-17T13:00:00Z,738.052
2013-01-17T14:00:00Z,735.543
2013-01-17T15:00:00Z,733.073
2013-01-17T16:00:00Z,730.637
2013-01-17T17:00:00Z,728.231
2013-01-17T18:00:00Z,725.853
2013-01-17T19:00:00Z,723.513
2013-01-17T20:00:00Z,721.214
2013-01-17T21:00:00Z,718.966
2013-01-17T22:00:00Z,716.783
2013-01-17T23:00:00Z,714.662
2013-01-18T00:00:00Z,712.603
2013-01-18T01:00:00Z,710.600
2013-01-18T02:00:00Z,708.647
2013-01-18T03:00:00Z,706.742
2013-01-18T04:00:00Z,704.886
2013-01-18T05:00:00Z,703.078
2013-01-18T06:00:00Z,701.315
2013-01-18T07:00:00Z,699.593
2013-01-18T08:00:00Z,697.908
2013-01-18T09:00:00Z,696.255
2013-01-18T10:00:00Z,694.632
2013-01-18T11:00:00Z,693.035
2013-01-18T12:00:00Z,691.456
2013-01-18T13:00:00Z,689.885
2013-01-18T14:00:00Z,688.313
2013-01-18T15:00:00Z,686.743
2013-01-18T16:00:00Z,685.175
2013-01-18T17:00:00Z,683.611
2013-01-18T18:00:00Z,682.059
2013-01-18T19:00:00Z,680.513
2013-01-18T20:00:00Z,678.975
2013-01-18T21:00:00Z,677.450
2013-01-18T22:00:00Z,675.948
2013-01-18T23:00:00Z,674.479
2013-01-19T00:00:00Z,673.041
2013-01-19T01:00:00Z,671.638
2013-01-19T02:00:00Z,670.271
