datahora,qsim_antigo
2013-01-01T00:00:00Z,32.172
2013-01-01T01:00:00Z,37.307
2013-01-01T02:00:00Z,42.319
2013-01-01T03:00:00Z,47.103
2013-01-01T04:00:00Z,51.868
2013-01-01T05:00:00Z,56.951
2013-01-01T06:00:00Z,62.355
2013-01-01T07:00:00Z,68.528
2013-01-01T08:00:00Z,85.219
2013-01-01T09:00:00Z,114.914
2013-01-01T10:00:00Z,147.354
2013-01-01T11:00:00Z,175.218
2013-01-01T12:00:00Z,197.425
2013-01-01T13:00:00Z,212.709
2013-01-01T14:00:00Z,224.745
2013-01-01T15:00:00Z,238.388
2013-01-01T16:00:00Z,255.987
2013-01-01T17:00:00Z,277.494
2013-01-01T18:00:00Z,294.578
2013-01-01T19:00:00Z,309.422
2013-01-01T20:00:00Z,323.010
2013-01-01T21:00:00Z,331.488
2013-01-01T22:00:00Z,338.524
2013-01-01T23:00:00Z,345.117
2013-01-02T00:00:00Z,351.218
2013-01-02T01:00:00Z,354.616
2013-01-02T02:00:00Z,360.876
2013-01-02T03:00:00Z,373.451
2013-01-02T04:00:00Z,386.243
2013-01-02T05:00:00Z,394.699
2013-01-02T06:00:00Z,399.726
2013-01-02T07:00:00Z,401.100
2013-01-02T08:00:00Z,401.863
2013-01-02T09:00:00Z,397.294
2013-01-02T10:00:00Z,396.870
2013-01-02T11:00:00Z,389.678
2013-01-02T12:00:00Z,380.619
2013-01-02T13:00:00Z,369.886
2013-01-02T14:00:00Z,360.484
2013-01-02T15:00:00Z,349.600
2013-01-02T16:00:00Z,341.372
2013-01-02T17:00:00Z,330.519
2013-01-02T18:00:00Z,319.815
2013-01-02T19:00:00Z,310.482
2013-01-02T20:00:00Z,300.098
2013-01-02T21:00:00Z,291.061
2013-01-02T22:00:00Z,282.215
2013-01-02T23:00:00Z,271.440
2013-01-03T00:00:00Z,262.058
2013-01-03T01:00:00Z,253.979
2013-01-03T02:00:00Z,245.181
2013-01-03T03:00:00Z,235.762
2013-01-03T04:00:00Z,228.710
2013-01-03T05:00:00Z,221.112
2013-01-03T06:00:00Z,213.820
2013-01-03T07:00:00Z,207.598
2013-01-03T08:00:00Z,201.634
2013-01-03T09:00:00Z,194.458
2013-01-03T10:00:00Z,189.014
2013-01-03T11:00:00Z,183.810
2013-01-03T12:00:00Z,177.465
2013-01-03T13:00:00Z,172.695
2013-01-03T14:00:00Z,168.121
2013-01-03T15:00:00Z,163.101
2013-01-03T16:00:00Z,159.528
2013-01-03T17:00:00Z,154.279
2013-01-03T18:00:00Z,149.853
2013-01-03T19:00:00Z,146.772
2013-01-03T20:00:00Z,142.925
2013-01-03T21:00:00Z,140.190
2013-01-03T22:00:00Z,136.623
2013-01-03T23:00:00Z,134.128
2013-01-04T00:00:00Z,130.810
2013-01-04T01:00:00Z,128.520
2013-01-04T02:00:00Z,125.416
2013-01-04T03:00:00Z,123.309
2013-01-04T04:00:00Z,120.836
2013-01-04T05:00:00Z,118.443
2013-01-04T06:00:00Z,116.561
2013-01-04T07:00:00Z,113.879
2013-01-04T08:00:00Z,112.550
2013-01-04T09:00:00Z,110.417
2013-01-04T10:00:00Z,108.343
2013-01-04T11:00:00Z,107.164
2013-01-04T12:00:00Z,104.755
2013-01-04T13:00:00Z,103.196
2013-01-04T14:00:00Z,102.076
2013-01-04T15:00:00Z,100.155
2013-01-04T16:00:00Z,98.264
2013-01-04T17:00:00Z,97.214
2013-01-04T18:00:00Z,95.381
2013-01-04T19:00:00Z,93.612
2013-01-04T20:00:00Z,92.735
2013-01-04T21:00:00Z,91.863
2013-01-04T22:00:00Z,89.660
2013-01-04T23:00:00Z,88.843
2013-01-05T00:00:00Z,88.050
2013-01-05T01:00:00Z,86.905
2013-01-05T02:00:00Z,85.132
2013-01-05T03:00:00Z,84.349
2013-01-05T04:00:00Z,83.584
2013-01-05T05:00:00Z,82.518
2013-01-05T06:00:00Z,80.837
2013-01-05T07:00:00Z,80.128
2013-01-05T08:00:00Z,79.433
2013-01-05T09:00:00Z,78.749
2013-01-05T10:00:00Z,77.448
2013-01-05T11:00:00Z,76.154
2013-01-05T12:00:00Z,75.486
2013-01-05T13:00:00Z,74.815
2013-01-05T14:00:00Z,74.142
2013-01-05T15:00:00Z,72.857
2013-01-05T16:00:00Z,71.582
2013-01-05T17:00:00Z,70.923
2013-01-05T18:00:00Z,70.330
2013-01-05T19:00:00Z,69.751
2013-01-05T20:00:00Z,68.223
2013-01-05T21:00:00Z,67.309
2013-01-05T22:00:00Z,66.712
2013-01-05T23:00:00Z,66.126
2013-01-06T00:00:00Z,65.542
2013-01-06T01:00:00Z,64.970
2013-01-06T02:00:00Z,63.702
2013-01-06T03:00:00Z,63.476
2013-01-06T04:00:00Z,66.132
2013-01-06T05:00:00Z,69.571
2013-01-06T06:00:00Z,72.350
2013-01-06T07:00:00Z,73.222
2013-01-06T08:00:00Z,73.606
2013-01-06T09:00:00Z,72.878
2013-01-06T10:00:00Z,72.718
2013-01-06T11:00:00Z,72.842
2013-01-06T12:00:00Z,73.089
2013-01-06T13:00:00Z,75.918
2013-01-06T14:00:00Z,79.110
2013-01-06T15:00:00Z,81.197
2013-01-06T16:00:00Z,82.714
2013-01-06T17:00:00Z,83.176
2013-01-06T18:00:00Z,85.817
2013-01-06T19:00:00Z,93.817
2013-01-06T20:00:00Z,105.722
2013-01-06T21:00:00Z,125.952
2013-01-06T22:00:00Z,133.200
2013-01-06T23:00:00Z,136.968
2013-01-07T00:00:00Z,135.302
2013-01-07T01:00:00Z,133.835
2013-01-07T02:00:00Z,133.161
2013-01-07T03:00:00Z,133.778
2013-01-07T04:00:00Z,136.094
2013-01-07T05:00:00Z,136.467
2013-01-07T06:00:00Z,136.730
2013-01-07T07:00:00Z,136.860
2013-01-07T08:00:00Z,136.879
2013-01-07T09:00:00Z,137.677
2013-01-07T10:00:00Z,138.321
2013-01-07T11:00:00Z,137.921
2013-01-07T12:00:00Z,138.267
2013-01-07T13:00:00Z,138.467
2013-01-07T14:00:00Z,138.514
2013-01-07T15:00:00Z,138.439
2013-01-07T16:00:00Z,139.195
2013-01-07T17:00:00Z,140.863
2013-01-07T18:00:00Z,144.638
2013-01-07T19:00:00Z,148.525
2013-01-07T20:00:00Z,150.046
2013-01-07T21:00:00Z,149.820
2013-01-07T22:00:00Z,149.069
2013-01-07T23:00:00Z,146.172
2013-01-08T00:00:00Z,146.147
2013-01-08T01:00:00Z,148.052
2013-01-08T02:00:00Z,155.032
2013-01-08T03:00:00Z,169.039
2013-01-08T04:00:00Z,195.178
2013-01-08T05:00:00Z,223.420
2013-01-08T06:00:00Z,243.071
2013-01-08T07:00:00Z,254.847
2013-01-08T08:00:00Z,279.579
2013-01-08T09:00:00Z,316.951
2013-01-08T10:00:00Z,348.720
2013-01-08T11:00:00Z,379.143
2013-01-08T12:00:00Z,403.548
2013-01-08T13:00:00Z,424.174
2013-01-08T14:00:00Z,437.606
2013-01-08T15:00:00Z,445.289
2013-01-08T16:00:00Z,450.587
2013-01-08T17:00:00Z,454.954
2013-01-08T18:00:00Z,458.617
2013-01-08T19:00:00Z,461.622
2013-01-08T20:00:00Z,463.897
2013-01-08T21:00:00Z,465.401
2013-01-08T22:00:00Z,466.128
2013-01-08T23:00:00Z,466.063
2013-01-09T00:00:00Z,465.206
2013-01-09T01:00:00Z,463.569
2013-01-09T02:00:00Z,461.183
2013-01-09T03:00:00Z,458.092
2013-01-09T04:00:00Z,454.350
2013-01-09T05:00:00Z,450.015
2013-01-09T06:00:00Z,445.157
2013-01-09T07:00:00Z,439.846
2013-01-09T08:00:00Z,434.152
2013-01-09T09:00:00Z,428.142
2013-01-09T10:00:00Z,421.876
2013-01-09T11:00:00Z,415.427
2013-01-09T12:00:00Z,408.845
2013-01-09T13:00:00Z,402.171
2013-01-09T14:00:00Z,395.464
