datahora,qsim_antigo
2013-01-01T00:00:00Z,27.298
2013-01-01T01:00:00Z,35.362
2013-01-01T02:00:00Z,42.562
2013-01-01T03:00:00Z,49.493
2013-01-01T04:00:00Z,56.035
2013-01-01T05:00:00Z,62.521
2013-01-01T06:00:00Z,68.841
2013-01-01T07:00:00Z,75.879
2013-01-01T08:00:00Z,84.187
2013-01-01T09:00:00Z,96.716
2013-01-01T10:00:00Z,114.086
2013-01-01T11:00:00Z,131.952
2013-01-01T12:00:00Z,148.311
2013-01-01T13:00:00Z,168.356
2013-01-01T14:00:00Z,191.479
2013-01-01T15:00:00Z,213.985
2013-01-01T16:00:00Z,238.489
2013-01-01T17:00:00Z,262.326
2013-01-01T18:00:00Z,290.550
2013-01-01T19:00:00Z,315.998
2013-01-01T20:00:00Z,338.208
2013-01-01T21:00:00Z,364.948
2013-01-01T22:00:00Z,401.611
2013-01-01T23:00:00Z,540.653
2013-01-02T00:00:00Z,554.969
2013-01-02T01:00:00Z,555.010
2013-01-02T02:00:00Z,552.918
2013-01-02T03:00:00Z,548.802
2013-01-02T04:00:00Z,542.808
2013-01-02T05:00:00Z,535.103
2013-01-02T06:00:00Z,525.906
2013-01-02T07:00:00Z,515.480
2013-01-02T08:00:00Z,504.081
2013-01-02T09:00:00Z,491.953
2013-01-02T10:00:00Z,479.341
2013-01-02T11:00:00Z,466.468
2013-01-02T12:00:00Z,453.540
2013-01-02T13:00:00Z,440.743
2013-01-02T14:00:00Z,428.228
2013-01-02T15:00:00Z,416.113
2013-01-02T16:00:00Z,404.484
2013-01-02T17:00:00Z,393.398
2013-01-02T18:00:00Z,382.886
2013-01-02T19:00:00Z,372.962
2013-01-02T20:00:00Z,363.605
2013-01-02T21:00:00Z,354.780
2013-01-02T22:00:00Z,346.453
2013-01-02T23:00:00Z,338.583
2013-01-03T00:00:00Z,331.127
2013-01-03T01:00:00Z,324.045
2013-01-03T02:00:00Z,317.299
2013-01-03T03:00:00Z,310.857
2013-01-03T04:00:00Z,304.692
2013-01-03T05:00:00Z,298.778
2013-01-03T06:00:00Z,293.096
2013-01-03T07:00:00Z,287.627
2013-01-03T08:00:00Z,282.353
2013-01-03T09:00:00Z,277.250
2013-01-03T10:00:00Z,272.300
2013-01-03T11:00:00Z,267.486
2013-01-03T12:00:00Z,262.793
2013-01-03T13:00:00Z,258.212
2013-01-03T14:00:00Z,253.735
2013-01-03T15:00:00Z,249.359
2013-01-03T16:00:00Z,245.082
2013-01-03T17:00:00Z,240.904
2013-01-03T18:00:00Z,236.878
2013-01-03T19:00:00Z,232.984
2013-01-03T20:00:00Z,229.172
2013-01-03T21:00:00Z,225.351
2013-01-03T22:00:00Z,215.225
2013-01-03T23:00:00Z,198.784
2013-01-04T00:00:00Z,175.832
2013-01-04T01:00:00Z,152.376
2013-01-04T02:00:00Z,146.933
2013-01-04T03:00:00Z,141.730
2013-01-04T04:00:00Z,136.281
2013-01-04T05:00:00Z,131.312
2013-01-04T06:00:00Z,127.100
2013-01-04T07:00:00Z,122.621
2013-01-04T08:00:00Z,118.841
2013-01-04T09:00:00Z,114.829
2013-01-04T10:00:00Z,111.048
2013-01-04T11:00:00Z,106.747
2013-01-04T12:00:00Z,103.792
2013-01-04T13:00:00Z,101.325
2013-01-04T14:00:00Z,99.294
2013-01-04T15:00:00Z,97.354
2013-01-04T16:00:00Z,95.205
2013-01-04T17:00:00Z,93.164
2013-01-04T18:00:00Z,90.704
2013-01-04T19:00:00Z,89.421
2013-01-04T20:00:00Z,87.562
2013-01-04T21:00:00Z,85.872
2013-01-04T22:00:00Z,84.912
2013-01-04T23:00:00Z,83.575
2013-01-05T00:00:00Z,82.304
2013-01-05T01:00:00Z,81.091
2013-01-05T02:00:00Z,80.111
2013-01-05T03:00:00Z,78.828
2013-01-05T04:00:00Z,77.931
2013-01-05T05:00:00Z,77.067
2013-01-05T06:00:00Z,75.939
2013-01-05T07:00:00Z,75.284
2013-01-05T08:00:00Z,74.374
2013-01-05T09:00:00Z,73.755
2013-01-05T10:00:00Z,72.893
2013-01-05T11:00:00Z,71.711
2013-01-05T12:00:00Z,71.350
2013-01-05T13:00:00Z,70.130
2013-01-05T14:00:00Z,69.755
2013-01-05T15:00:00Z,69.276
2013-01-05T16:00:00Z,68.693
2013-01-05T17:00:00Z,67.827
2013-01-05T18:00:00Z,67.252
2013-01-05T19:00:00Z,66.505
2013-01-05T20:00:00Z,65.952
2013-01-05T21:00:00Z,65.196
2013-01-05T22:00:00Z,64.784
2013-01-05T23:00:00Z,64.305
2013-01-06T00:00:00Z,63.565
2013-01-06T01:00:00Z,62.902
2013-01-06T02:00:00Z,62.375
2013-01-06T03:00:00Z,62.105
2013-01-06T04:00:00Z,61.994
2013-01-06T05:00:00Z,61.945
2013-01-06T06:00:00Z,62.009
2013-01-06T07:00:00Z,62.158
2013-01-06T08:00:00Z,62.499
2013-01-06T09:00:00Z,62.783
2013-01-06T10:00:00Z,62.868
2013-01-06T11:00:00Z,62.813
2013-01-06T12:00:00Z,62.632
2013-01-06T13:00:00Z,62.829
2013-01-06T14:00:00Z,62.720
2013-01-06T15:00:00Z,62.729
2013-01-06T16:00:00Z,62.812
2013-01-06T17:00:00Z,63.185
2013-01-06T18:00:00Z,63.633
2013-01-06T19:00:00Z,64.261
