datahora,qsim_antigo
2013-01-01T00:00:00Z,317.627
2013-01-01T01:00:00Z,352.242
2013-01-01T02:00:00Z,385.652
2013-01-01T03:00:00Z,417.239
2013-01-01T04:00:00Z,447.472
2013-01-01T05:00:00Z,477.107
2013-01-01T06:00:00Z,507.761
2013-01-01T07:00:00Z,550.652
2013-01-01T08:00:00Z,610.086
2013-01-01T09:00:00Z,672.569
2013-01-01T10:00:00Z,731.910
2013-01-01T11:00:00Z,795.647
2013-01-01T12:00:00Z,865.675
2013-01-01T13:00:00Z,927.519
2013-01-01T14:00:00Z,1004.827
2013-01-01T15:00:00Z,1069.399
2013-01-01T16:00:00Z,1140.400
2013-01-01T17:00:00Z,1221.261
2013-01-01T18:00:00Z,1281.303
2013-01-01T19:00:00Z,1336.217
2013-01-01T20:00:00Z,1393.587
2013-01-01T21:00:00Z,1444.187
2013-01-01T22:00:00Z,1487.470
2013-01-01T23:00:00Z,1526.302
2013-01-02T00:00:00Z,1564.094
2013-01-02T01:00:00Z,1600.831
2013-01-02T02:00:00Z,1636.483
2013-01-02T03:00:00Z,1671.012
2013-01-02T04:00:00Z,1704.370
2013-01-02T05:00:00Z,1736.502
2013-01-02T06:00:00Z,1767.342
2013-01-02T07:00:00Z,1796.811
2013-01-02T08:00:00Z,1824.826
2013-01-02T09:00:00Z,1851.274
2013-01-02T10:00:00Z,1876.045
2013-01-02T11:00:00Z,1899.032
2013-01-02T12:00:00Z,1920.128
2013-01-02T13:00:00Z,1939.256
2013-01-02T14:00:00Z,1956.353
2013-01-02T15:00:00Z,1971.369
2013-01-02T16:00:00Z,1984.264
2013-01-02T17:00:00Z,1995.011
2013-01-02T18:00:00Z,2003.595
2013-01-02T19:00:00Z,2010.015
2013-01-02T20:00:00Z,2014.265
2013-01-02T21:00:00Z,2016.345
2013-01-02T22:00:00Z,2016.270
2013-01-02T23:00:00Z,2014.066
2013-01-03T00:00:00Z,2009.774
2013-01-03T01:00:00Z,2003.450
2013-01-03T02:00:00Z,1995.161
2013-01-03T03:00:00Z,1984.981
2013-01-03T04:00:00Z,1972.998
2013-01-03T05:00:00Z,1959.308
2013-01-03T06:00:00Z,1944.012
2013-01-03T07:00:00Z,1927.217
2013-01-03T08:00:00Z,1909.029
2013-01-03T09:00:00Z,1889.549
2013-01-03T10:00:00Z,1868.880
2013-01-03T11:00:00Z,1847.136
2013-01-03T12:00:00Z,1824.430
2013-01-03T13:00:00Z,1800.878
2013-01-03T14:00:00Z,1776.604
2013-01-03T15:00:00Z,1751.727
2013-01-03T16:00:00Z,1726.361
2013-01-03T17:00:00Z,1700.621
2013-01-03T18:00:00Z,1674.635
2013-01-03T19:00:00Z,1648.502
2013-01-03T20:00:00Z,1622.298
2013-01-03T21:00:00Z,1596.100
2013-01-03T22:00:00Z,1569.983
2013-01-03T23:00:00Z,1544.018
2013-01-04T00:00:00Z,1518.266
2013-01-04T01:00:00Z,1492.781
2013-01-04T02:00:00Z,1467.612
2013-01-04T03:00:00Z,1442.799
2013-01-04T04:00:00Z,1418.380
2013-01-04T05:00:00Z,1394.250
2013-01-04T06:00:00Z,1369.710
2013-01-04T07:00:00Z,1343.365
2013-01-04T08:00:00Z,1317.476
2013-01-04T09:00:00Z,1291.209
2013-01-04T10:00:00Z,1258.518
2013-01-04T11:00:00Z,1230.710
2013-01-04T12:00:00Z,1202.598
2013-01-04T13:00:00Z,1169.549
2013-01-04T14:00:00Z,1140.446
2013-01-04T15:00:00Z,1105.384
2013-01-04T16:00:00Z,1081.748
2013-01-04T17:00:00Z,1058.433
2013-01-04T18:00:00Z,1029.412
2013-01-04T19:00:00Z,993.677
2013-01-04T20:00:00Z,971.087
2013-01-04T21:00:00Z,927.115
2013-01-04T22:00:00Z,905.125
2013-01-04T23:00:00Z,885.299
2013-01-05T00:00:00Z,867.831
2013-01-05T01:00:00Z,848.995
2013-01-05T02:00:00Z,830.642
2013-01-05T03:00:00Z,812.755
2013-01-05T04:00:00Z,798.696
2013-01-05T05:00:00Z,781.630
2013-01-05T06:00:00Z,763.365
2013-01-05T07:00:00Z,744.021
2013-01-05T08:00:00Z,728.579
2013-01-05T09:00:00Z,716.347
2013-01-05T10:00:00Z,701.566
2013-01-05T11:00:00Z,689.883
2013-01-05T12:00:00Z,677.063
2013-01-05T13:00:00Z,664.503
2013-01-05T14:00:00Z,654.888
2013-01-05T15:00:00Z,640.130
2013-01-05T16:00:00Z,629.620
2013-01-05T17:00:00Z,616.737
2013-01-05T18:00:00Z,607.977
2013-01-05T19:00:00Z,595.612
2013-01-05T20:00:00Z,586.021
2013-01-05T21:00:00Z,577.893
2013-01-05T22:00:00Z,566.249
2013-01-05T23:00:00Z,557.302
2013-01-06T00:00:00Z,549.769
2013-01-06T01:00:00Z,537.652
2013-01-06T02:00:00Z,530.834
2013-01-06T03:00:00Z,524.681
2013-01-06T04:00:00Z,529.077
2013-01-06T05:00:00Z,531.357
2013-01-06T06:00:00Z,530.592
2013-01-06T07:00:00Z,531.064
2013-01-06T08:00:00Z,534.104
2013-01-06T09:00:00Z,534.514
2013-01-06T10:00:00Z,534.856
2013-01-06T11:00:00Z,531.104
2013-01-06T12:00:00Z,529.940
2013-01-06T13:00:00Z,523.717
2013-01-06T14:00:00Z,522.922
2013-01-06T15:00:00Z,522.018
2013-01-06T16:00:00Z,521.112
2013-01-06T17:00:00Z,515.098
2013-01-06T18:00:00Z,512.648
2013-01-06T19:00:00Z,512.150
2013-01-06T20:00:00Z,516.168
2013-01-06T21:00:00Z,526.232
2013-01-06T22:00:00Z,530.826
2013-01-06T23:00:00Z,540.271
2013-01-07T00:00:00Z,545.194
2013-01-07T01:00:00Z,548.359
2013-01-07T02:00:00Z,553.913
2013-01-07T03:00:00Z,559.197
2013-01-07T04:00:00Z,564.224
2013-01-07T05:00:00Z,563.546
2013-01-07T06:00:00Z,562.712
2013-01-07T07:00:00Z,571.043
2013-01-07T08:00:00Z,576.516
2013-01-07T09:00:00Z,580.410
2013-01-07T10:00:00Z,584.076
2013-01-07T11:00:00Z,587.494
2013-01-07T12:00:00Z,590.654
2013-01-07T13:00:00Z,599.212
2013-01-07T14:00:00Z,607.685
2013-01-07T15:00:00Z,622.177
2013-01-07T16:00:00Z,637.100
2013-01-07T17:00:00Z,656.109
2013-01-07T18:00:00Z,671.428
2013-01-07T19:00:00Z,683.547
2013-01-07T20:00:00Z,689.877
2013-01-07T21:00:00Z,700.720
2013-01-07T22:00:00Z,705.768
2013-01-07T23:00:00Z,715.296
2013-01-08T00:00:00Z,719.039
2013-01-08T01:00:00Z,725.957
2013-01-08T02:00:00Z,745.505
2013-01-08T03:00:00Z,779.134
2013-01-08T04:00:00Z,803.848
2013-01-08T05:00:00Z,842.665
2013-01-08T06:00:00Z,870.926
2013-01-08T07:00:00Z,898.435
2013-01-08T08:00:00Z,926.071
2013-01-08T09:00:00Z,990.371
2013-01-08T10:00:00Z,1077.014
2013-01-08T11:00:00Z,1131.561
2013-01-08T12:00:00Z,1178.581
2013-01-08T13:00:00Z,1217.824
2013-01-08T14:00:00Z,1249.083
2013-01-08T15:00:00Z,1275.616
2013-01-08T16:00:00Z,1299.808
2013-01-08T17:00:00Z,1322.535
2013-01-08T18:00:00Z,1343.858
2013-01-08T19:00:00Z,1363.890
2013-01-08T20:00:00Z,1382.745
2013-01-08T21:00:00Z,1400.475
2013-01-08T22:00:00Z,1417.217
2013-01-08T23:00:00Z,1433.022
2013-01-09T00:00:00Z,1447.938
2013-01-09T01:00:00Z,1462.007
2013-01-09T02:00:00Z,1475.269
2013-01-09T03:00:00Z,1487.765
2013-01-09T04:00:00Z,1499.528
2013-01-09T05:00:00Z,1510.586
2013-01-09T06:00:00Z,1520.964
2013-01-09T07:00:00Z,1530.681
2013-01-09T08:00:00Z,1539.736
2013-01-09T09:00:00Z,1548.117
2013-01-09T10:00:00Z,1555.800
2013-01-09T11:00:00Z,1562.768
2013-01-09T12:00:00Z,1569.007
2013-01-09T13:00:00Z,1574.497
2013-01-09T14:00:00Z,1579.230
2013-01-09T15:00:00Z,1583.189
2013-01-09T16:00:00Z,1586.361
2013-01-09T17:00:00Z,1588.764
2013-01-09T18:00:00Z,1590.547
2013-01-09T19:00:00Z,1591.654
2013-01-09T20:00:00Z,1592.128
2013-01-09T21:00:00Z,1591.870
2013-01-09T22:00:00Z,1590.619
2013-01-09T23:00:00Z,1588.432
2013-01-10T00:00:00Z,1585.291
2013-01-10T01:00:00Z,1581.178
2013-01-10T02:00:00Z,1576.084
2013-01-10T03:00:00Z,1570.014
2013-01-10T04:00:00Z,1562.972
2013-01-10T05:00:00Z,1554.970
2013-01-10T06:00:00Z,1546.027
2013-01-10T07:00:00Z,1536.166
2013-01-10T08:00:00Z,1525.412
2013-01-10T09:00:00Z,1513.792
2013-01-10T10:00:00Z,1501.340
2013-01-10T11:00:00Z,1488.096
2013-01-10T12:00:00Z,1474.107
2013-01-10T13:00:00Z,1459.430
2013-01-10T14:00:00Z,1444.118
2013-01-10T15:00:00Z,1428.237
2013-01-10T16:00:00Z,1411.859
2013-01-10T17:00:00Z,1395.052
2013-01-10T18:00:00Z,1377.883
2013-01-10T19:00:00Z,1360.420
2013-01-10T20:00:00Z,1342.725
2013-01-10T21:00:00Z,1324.857
2013-01-10T22:00:00Z,1306.871
2013-01-10T23:00:00Z,1288.818
2013-01-11T00:00:00Z,1270.749
2013-01-11T01:00:00Z,1252.708
2013-01-11T02:00:00Z,1234.739
2013-01-11T03:00:00Z,1216.881
2013-01-11T04:00:00Z,1199.170
2013-01-11T05:00:00Z,1181.638
2013-01-11T06:00:00Z,1164.315
2013-01-11T07:00:00Z,1147.225
2013-01-11T08:00:00Z,1130.388
2013-01-11T09:00:00Z,1113.818
2013-01-11T10:00:00Z,1097.526
2013-01-11T11:00:00Z,1081.523
2013-01-11T12:00:00Z,1065.817
2013-01-11T13:00:00Z,1050.408
2013-01-11T14:00:00Z,1035.305
2013-01-11T15:00:00Z,1020.520
2013-01-11T16:00:00Z,1006.061
2013-01-11T17:00:00Z,991.934
2013-01-11T18:00:00Z,978.143
2013-01-11T19:00:00Z,964.692
2013-01-11T20:00:00Z,951.581
2013-01-11T21:00:00Z,938.808
2013-01-11T22:00:00Z,926.368
2013-01-11T23:00:00Z,914.257
2013-01-12T00:00:00Z,902.470
2013-01-12T01:00:00Z,891.002
2013-01-12T02:00:00Z,879.845
2013-01-12T03:00:00Z,868.994
2013-01-12T04:00:00Z,858.443
2013-01-12T05:00:00Z,848.184
2013-01-12T06:00:00Z,838.210
2013-01-12T07:00:00Z,828.513
2013-01-12T08:00:00Z,819.085
2013-01-12T09:00:00Z,809.914
2013-01-12T10:00:00Z,800.989
2013-01-12T11:00:00Z,792.301
2013-01-12T12:00:00Z,783.841
2013-01-12T13:00:00Z,775.599
2013-01-12T14:00:00Z,767.570
2013-01-12T15:00:00Z,759.748
2013-01-12T16:00:00Z,752.129
2013-01-12T17:00:00Z,744.710
2013-01-12T18:00:00Z,737.489
2013-01-12T19:00:00Z,730.461
2013-01-12T20:00:00Z,723.623
2013-01-12T21:00:00Z,716.970
2013-01-12T22:00:00Z,710.495
2013-01-12T23:00:00Z,704.194
2013-01-13T00:00:00Z,698.059
2013-01-13T01:00:00Z,692.087
2013-01-13T02:00:00Z,686.272
2013-01-13T03:00:00Z,680.608
2013-01-13T04:00:00Z,675.091
2013-01-13T05:00:00Z,669.717
2013-01-13T06:00:00Z,664.480
2013-01-13T07:00:00Z,659.376
2013-01-13T08:00:00Z,654.398
2013-01-13T09:00:00Z,649.540
2013-01-13T10:00:00Z,644.794
2013-01-13T11:00:00Z,640.156
2013-01-13T12:00:00Z,635.618
2013-01-13T13:00:00Z,631.176
2013-01-13T14:00:00Z,626.826
2013-01-13T15:00:00Z,622.564
2013-01-13T16:00:00Z,618.390
2013-01-13T17:00:00Z,614.303
2013-01-13T18:00:00Z,610.302
2013-01-13T19:00:00Z,606.387
2013-01-13T20:00:00Z,602.555
2013-01-13T21:00:00Z,598.806
2013-01-13T22:00:00Z,595.136
2013-01-13T23:00:00Z,591.543
2013-01-14T00:00:00Z,588.023
2013-01-14T01:00:00Z,584.574
2013-01-14T02:00:00Z,581.194
2013-01-14T03:00:00Z,577.881
2013-01-14T04:00:00Z,574.632
2013-01-14T05:00:00Z,571.445
2013-01-14T06:00:00Z,568.318
2013-01-14T07:00:00Z,565.248
2013-01-14T08:00:00Z,562.233
2013-01-14T09:00:00Z,559.268
2013-01-14T10:00:00Z,556.348
2013-01-14T11:00:00Z,553.094
2013-01-14T12:00:00Z,550.256
2013-01-14T13:00:00Z,544.527
2013-01-14T14:00:00Z,540.577
2013-01-14T15:00:00Z,533.202
2013-01-14T16:00:00Z,530.511
2013-01-14T17:00:00Z,519.129
2013-01-14T18:00:00Z,516.518
2013-01-14T19:00:00Z,511.306
2013-01-14T20:00:00Z,502.949
2013-01-14T21:00:00Z,497.278
2013-01-14T22:00:00Z,494.834
2013-01-14T23:00:00Z,485.512
2013-01-15T00:00:00Z,475.682
2013-01-15T01:00:00Z,473.732
2013-01-15T02:00:00Z,459.012
2013-01-15T03:00:00Z,452.481
2013-01-15T04:00:00Z,446.061
2013-01-15T05:00:00Z,429.613
2013-01-15T06:00:00Z,427.761
2013-01-15T07:00:00Z,425.924
2013-01-15T08:00:00Z,402.455
2013-01-15T09:00:00Z,400.659
2013-01-15T10:00:00Z,393.071
2013-01-15T11:00:00Z,372.938
2013-01-15T12:00:00Z,383.568
2013-01-15T13:00:00Z,369.437
2013-01-15T14:00:00Z,367.695
2013-01-15T15:00:00Z,358.200
2013-01-15T16:00:00Z,353.330
2013-01-15T17:00:00Z,351.639
2013-01-15T18:00:00Z,349.971
2013-01-15T19:00:00Z,348.323
2013-01-15T20:00:00Z,340.582
2013-01-15T21:00:00Z,341.106
2013-01-15T22:00:00Z,344.417
2013-01-15T23:00:00Z,343.922
2013-01-16T00:00:00Z,351.068
2013-01-16T01:00:00Z,350.687
2013-01-16T02:00:00Z,354.565
2013-01-16T03:00:00Z,361.106
2013-01-16T04:00:00Z,367.383
2013-01-16T05:00:00Z,370.246
2013-01-16T06:00:00Z,372.834
2013-01-16T07:00:00Z,375.171
2013-01-16T08:00:00Z,380.515
2013-01-16T09:00:00Z,385.739
2013-01-16T10:00:00Z,387.497
2013-01-16T11:00:00Z,384.118
2013-01-16T12:00:00Z,383.866
2013-01-16T13:00:00Z,385.065
2013-01-16T14:00:00Z,386.102
2013-01-16T15:00:00Z,386.981
2013-01-16T16:00:00Z,387.724
2013-01-16T17:00:00Z,393.352
2013-01-16T18:00:00Z,397.314
2013-01-16T19:00:00Z,407.995
2013-01-16T20:00:00Z,435.867
2013-01-16T21:00:00Z,444.931
2013-01-16T22:00:00Z,465.239
2013-01-16T23:00:00Z,467.963
2013-01-17T00:00:00Z,491.398
2013-01-17T01:00:00Z,493.727
2013-01-17T02:00:00Z,495.837
2013-01-17T03:00:00Z,497.742
2013-01-17T04:00:00Z,494.423
2013-01-17T05:00:00Z,479.733
2013-01-17T06:00:00Z,481.042
