datahora,q_m3s
2006-09-05 03:00:00+00:00,50.97
2006-09-05 04:00:00+00:00,50.35
2006-09-05 05:00:00+00:00,49.28
2006-09-05 06:00:00+00:00,48.49
2006-09-05 07:00:00+00:00,47.59
2006-09-05 08:00:00+00:00,46.78
2006-09-05 09:00:00+00:00,45.93
2006-09-05 10:00:00+00:00,44.99
2006-09-05 11:00:00+00:00,43.51
2006-09-05 12:00:00+00:00,41.68
2006-09-05 13:00:00+00:00,40.76
2006-09-05 14:00:00+00:00,39.43
2006-09-05 15:00:00+00:00,38.22
2006-09-05 16:00:00+00:00,37.15
2006-09-05 17:00:00+00:00,36.42
2006-09-05 18:00:00+00:00,35.77
2006-09-05 19:00:00+00:00,35.06
2006-09-05 20:00:00+00:00,34.65
2006-09-05 21:00:00+00:00,34.49
2006-09-05 22:00:00+00:00,34.19
2006-09-05 23:00:00+00:00,34.28
2006-09-06 00:00:00+00:00,33.99
2006-09-06 01:00:00+00:00,33.67
2006-09-06 02:00:00+00:00,33.63
2006-09-06 03:00:00+00:00,33.11
2006-09-06 04:00:00+00:00,32.95
2006-09-06 05:00:00+00:00,32.67
2006-09-06 06:00:00+00:00,32.35
2006-09-06 07:00:00+00:00,32.43
2006-09-06 08:00:00+00:00,32.16
2006-09-06 09:00:00+00:00,31.69
2006-09-06 10:00:00+00:00,31.48
2006-09-06 11:00:00+00:00,30.58
2006-09-06 12:00:00+00:00,29.68
2006-09-06 13:00:00+00:00,28.81
2006-09-06 14:00:00+00:00,28.23
2006-09-06 15:00:00+00:00,27.14
2006-09-06 16:00:00+00:00,26.33
2006-09-06 17:00:00+00:00,25.51
2006-09-06 18:00:00+00:00,25.39
2006-09-06 19:00:00+00:00,24.89
2006-09-06 20:00:00+00:00,24.83
2006-09-06 21:00:00+00:00,24.76
2006-09-06 22:00:00+00:00,25.08
2006-09-06 23:00:00+00:00,25.26
2006-09-07 00:00:00+00:00,25.33
2006-09-07 01:00:00+00:00,25.45
2006-09-07 02:00:00+00:00,25.20
2006-09-07 03:00:00+00:00,25.20
2006-09-07 04:00:00+00:00,25.33
2006-09-07 05:00:00+00:00,25.20
2006-09-07 06:00:00+00:00,24.83
2006-09-07 07:00:00+00:00,24.76
2006-09-07 08:00:00+00:00,24.70
2006-09-07 09:00:00+00:00,24.64
2006-09-07 10:00:00+00:00,24.64
2006-09-07 11:00:00+00:00,24.64
2006-09-07 12:00:00+00:00,24.39
2006-09-07 13:00:00+00:00,23.25
2006-09-07 14:00:00+00:00,23.25
2006-09-07 15:00:00+00:00,22.50
2006-09-07 16:00:00+00:00,22.20
2006-09-07 17:00:00+00:00,21.65
2006-09-07 18:00:00+00:00,21.47
2006-09-07 19:00:00+00:00,21.22
2006-09-07 20:00:00+00:00,21.35
2006-09-07 21:00:00+00:00,21.41
2006-09-07 22:00:00+00:00,21.59
2006-09-07 23:00:00+00:00,21.84
2006-09-08 00:00:00+00:00,21.90
2006-09-08 01:00:00+00:00,21.66
2006-09-08 02:00:00+00:00,21.60
2006-09-08 03:00:00+00:00,21.66
2006-09-08 04:00:00+00:00,21.41
2006-09-08 05:00:00+00:00,21.23
2006-09-08 06:00:00+00:00,21.17
2006-09-08 07:00:00+00:00,20.93
2006-09-08 08:00:00+00:00,20.92
2006-09-08 09:00:00+00:00,20.92
2006-09-08 10:00:00+00:00,20.80
2006-09-08 11:00:00+00:00,20.56
2006-09-08 12:00:00+00:00,20.67
2006-09-08 13:00:00+00:00,20.49
2006-09-08 14:00:00+00:00,19.92
2006-09-08 15:00:00+00:00,19.64
2006-09-08 16:00:00+00:00,19.53
2006-09-08 17:00:00+00:00,19.59
2006-09-08 18:00:00+00:00,19.21
2006-09-08 19:00:00+00:00,18.89
2006-09-08 20:00:00+00:00,18.89
2006-09-08 21:00:00+00:00,18.83
2006-09-08 22:00:00+00:00,18.94
2006-09-08 23:00:00+00:00,18.88
2006-09-09 00:00:00+00:00,18.99
2006-09-09 01:00:00+00:00,18.99
2006-09-09 02:00:00+00:00,19.03
2006-09-09 03:00:00+00:00,18.98
2006-09-09 04:00:00+00:00,18.92
2006-09-09 05:00:00+00:00,18.86
2006-09-09 06:00:00+00:00,18.97
2006-09-09 07:00:00+00:00,19.00
2006-09-09 08:00:00+00:00,18.68
2006-09-09 09:00:00+00:00,18.63
2006-09-09 10:00:00+00:00,18.67
2006-09-09 11:00:00+00:00,18.62
2006-09-09 12:00:00+00:00,18.62
2006-09-09 13:00:00+00:00,18.76
2006-09-09 14:00:00+00:00,18.95
2006-09-09 15:00:00+00:00,18.79
2006-09-09 16:00:00+00:00,18.79
2006-09-09 17:00:00+00:00,18.84
2006-09-09 18:00:00+00:00,18.97
2006-09-09 19:00:00+00:00,19.17
2006-09-09 20:00:00+00:00,19.31
2006-09-09 21:00:00+00:00,19.89
2006-09-09 22:00:00+00:00,20.43
2006-09-09 23:00:00+00:00,20.78
2006-09-10 00:00:00+00:00,21.20
2006-09-10 01:00:00+00:00,21.87
2006-09-10 02:00:00+00:00,22.57
2006-09-10 03:00:00+00:00,23.00
2006-09-10 04:00:00+00:00,23.27
2006-09-10 05:00:00+00:00,23.66
2006-09-10 06:00:00+00:00,24.13
2006-09-10 07:00:00+00:00,24.47
2006-09-10 08:00:00+00:00,24.53
2006-09-10 09:00:00+00:00,24.70
2006-09-10 10:00:00+00:00,24.94
2006-09-10 11:00:00+00:00,25.32
2006-09-10 12:00:00+00:00,25.56
2006-09-10 13:00:00+00:00,25.90
2006-09-10 14:00:00+00:00,25.96
2006-09-10 15:00:00+00:00,26.17
2006-09-10 16:00:00+00:00,26.74
2006-09-10 17:00:00+00:00,26.77
2006-09-10 18:00:00+00:00,27.09
2006-09-10 19:00:00+00:00,27.52
2006-09-10 20:00:00+00:00,27.85
2006-09-10 21:00:00+00:00,28.33
2006-09-10 22:00:00+00:00,28.92
2006-09-10 23:00:00+00:00,29.25
2006-09-11 00:00:00+00:00,29.53
2006-09-11 01:00:00+00:00,29.70
2006-09-11 02:00:00+00:00,29.95
2006-09-11 03:00:00+00:00,29.70
2006-09-11 04:00:00+00:00,29.82
2006-09-11 05:00:00+00:00,29.60
2006-09-11 06:00:00+00:00,29.71
2006-09-11 07:00:00+00:00,29.51
2006-09-11 08:00:00+00:00,29.40
2006-09-11 09:00:00+00:00,29.21
2006-09-11 10:00:00+00:00,28.94
2006-09-11 11:00:00+00:00,28.55
2006-09-11 12:00:00+00:00,28.20
2006-09-11 13:00:00+00:00,27.64
2006-09-11 14:00:00+00:00,26.84
2006-09-11 15:00:00+00:00,26.42
2006-09-11 16:00:00+00:00,26.20
2006-09-11 17:00:00+00:00,25.91
2006-09-11 18:00:00+00:00,25.45
2006-09-11 19:00:00+00:00,25.20
2006-09-11 20:00:00+00:00,25.03
2006-09-11 21:00:00+00:00,25.09
2006-09-11 22:00:00+00:00,25.05
2006-09-11 23:00:00+00:00,25.10
2006-09-12 00:00:00+00:00,25.11
2006-09-12 01:00:00+00:00,24.85
2006-09-12 02:00:00+00:00,24.90
2006-09-12 03:00:00+00:00,24.86
2006-09-12 04:00:00+00:00,24.70
2006-09-12 05:00:00+00:00,24.49
2006-09-12 06:00:00+00:00,24.38
2006-09-12 07:00:00+00:00,24.10
2006-09-12 08:00:00+00:00,24.06
2006-09-12 09:00:00+00:00,23.73
2006-09-12 10:00:00+00:00,23.66
2006-09-12 11:00:00+00:00,23.00
2006-09-12 12:00:00+00:00,22.46
2006-09-12 13:00:00+00:00,21.92
2006-09-12 14:00:00+00:00,21.55
2006-09-12 15:00:00+00:00,21.23
2006-09-12 16:00:00+00:00,21.12
2006-09-12 17:00:00+00:00,20.80
2006-09-12 18:00:00+00:00,20.88
2006-09-12 19:00:00+00:00,20.62
2006-09-12 20:00:00+00:00,20.70
2006-09-12 21:00:00+00:00,20.63
2006-09-12 22:00:00+00:00,20.80
2006-09-12 23:00:00+00:00,20.71
