datahora,q_m3s
2020-04-28 03:00:00+00:00,56.45
2020-04-28 04:00:00+00:00,40.81
2020-04-28 05:00:00+00:00,25.27
2020-04-28 06:00:00+00:00,2163.67
2020-04-28 07:00:00+00:00,2158.89
2020-04-28 08:00:00+00:00,147.92
2020-04-28 09:00:00+00:00,187.36
2020-04-28 10:00:00+00:00,44.38
2020-04-28 11:00:00+00:00,39.44
2020-04-28 12:00:00+00:00,83.82
2020-04-28 13:00:00+00:00,39.44
2020-04-28 14:00:00+00:00,64.10
2020-04-28 15:00:00+00:00,1.68
2020-04-28 16:00:00+00:00,31.97
2020-04-28 17:00:00+00:00,52.72
2020-04-28 18:00:00+00:00,48.16
2020-04-28 19:00:00+00:00,76.86
2020-04-28 20:00:00+00:00,57.28
2020-04-28 21:00:00+00:00,32.53
2020-04-28 22:00:00+00:00,24.51
2020-04-28 23:00:00+00:00,54.38
2020-04-29 00:00:00+00:00,54.34
2020-04-29 01:00:00+00:00,44.29
2020-04-29 02:00:00+00:00,61.28
2020-04-29 03:00:00+00:00,85.73
2020-04-29 04:00:00+00:00,44.69
2020-04-29 05:00:00+00:00,39.02
2020-04-29 06:00:00+00:00,78.99
2020-04-29 07:00:00+00:00,18.93
2020-04-29 08:00:00+00:00,49.31
2020-04-29 09:00:00+00:00,103.54
2020-04-29 10:00:00+00:00,14.79
2020-04-29 11:00:00+00:00,93.68
2020-04-29 12:00:00+00:00,64.10
2020-04-29 13:00:00+00:00,44.37
2020-04-29 14:00:00+00:00,76.34
2020-04-29 15:00:00+00:00,37.84
2020-04-29 16:00:00+00:00,38.75
2020-04-29 17:00:00+00:00,14.87
2020-04-29 18:00:00+00:00,65.87
2020-04-29 19:00:00+00:00,24.99
2020-04-29 20:00:00+00:00,38.33
2020-04-29 21:00:00+00:00,71.56
2020-04-29 22:00:00+00:00,
2020-04-29 23:00:00+00:00,74.64
2020-04-30 00:00:00+00:00,17.33
2020-04-30 01:00:00+00:00,96.93
2020-04-30 02:00:00+00:00,201.76
2020-04-30 03:00:00+00:00,28.94
2020-04-30 04:00:00+00:00,91.76
2020-04-30 05:00:00+00:00,91.55
2020-04-30 06:00:00+00:00,
2020-04-30 07:00:00+00:00,88.75
2020-04-30 08:00:00+00:00,64.10
2020-04-30 09:00:00+00:00,19.72
2020-04-30 10:00:00+00:00,98.61
2020-04-30 11:00:00+00:00,29.58
2020-04-30 12:00:00+00:00,54.24
2020-04-30 13:00:00+00:00,78.89
2020-04-30 14:00:00+00:00,
2020-04-30 15:00:00+00:00,80.61
2020-04-30 16:00:00+00:00,
2020-04-30 17:00:00+00:00,
2020-04-30 18:00:00+00:00,133.98
2020-04-30 19:00:00+00:00,58.51
2020-04-30 20:00:00+00:00,176.67
2020-04-30 21:00:00+00:00,4011.94
2020-04-30 22:00:00+00:00,
2020-04-30 23:00:00+00:00,3.19
2020-05-01 00:00:00+00:00,1.32
2020-05-01 01:00:00+00:00,33.68
2020-05-01 02:00:00+00:00,71.00
2020-05-01 03:00:00+00:00,18.97
2020-05-01 04:00:00+00:00,112.81
2020-05-01 05:00:00+00:00,62.98
2020-05-01 06:00:00+00:00,60.44
2020-05-01 07:00:00+00:00,95.83
2020-05-01 08:00:00+00:00,28.75
2020-05-01 09:00:00+00:00,81.46
2020-05-01 10:00:00+00:00,71.87
2020-05-01 11:00:00+00:00,33.54
2020-05-01 12:00:00+00:00,81.46
2020-05-01 13:00:00+00:00,57.50
2020-05-01 14:00:00+00:00,57.64
2020-05-01 15:00:00+00:00,67.36
2020-05-01 16:00:00+00:00,53.54
