datahora,q_m3s
2020-04-28 03:00:00+00:00,104.13
2020-04-28 04:00:00+00:00,
2020-04-28 05:00:00+00:00,
2020-04-28 06:00:00+00:00,311.82
2020-04-28 07:00:00+00:00,343.00
2020-04-28 08:00:00+00:00,366.30
2020-04-28 09:00:00+00:00,286.24
2020-04-28 10:00:00+00:00,44.45
2020-04-28 11:00:00+00:00,
2020-04-28 12:00:00+00:00,2.98
2020-04-28 13:00:00+00:00,34.14
2020-04-28 14:00:00+00:00,31.84
2020-04-28 15:00:00+00:00,12.46
2020-04-28 16:00:00+00:00,49.75
2020-04-28 17:00:00+00:00,162.24
2020-04-28 18:00:00+00:00,411.06
2020-04-28 19:00:00+00:00,525.95
2020-04-28 20:00:00+00:00,628.09
2020-04-28 21:00:00+00:00,663.73
2020-04-28 22:00:00+00:00,618.50
2020-04-28 23:00:00+00:00,746.62
2020-04-29 00:00:00+00:00,850.90
2020-04-29 01:00:00+00:00,828.05
2020-04-29 02:00:00+00:00,758.62
2020-04-29 03:00:00+00:00,663.44
2020-04-29 04:00:00+00:00,465.51
2020-04-29 05:00:00+00:00,225.46
2020-04-29 06:00:00+00:00,81.92
2020-04-29 07:00:00+00:00,61.79
2020-04-29 08:00:00+00:00,
2020-04-29 09:00:00+00:00,
2020-04-29 10:00:00+00:00,84.60
2020-04-29 11:00:00+00:00,
2020-04-29 12:00:00+00:00,
2020-04-29 13:00:00+00:00,53.98
2020-04-29 14:00:00+00:00,41.63
2020-04-29 15:00:00+00:00,55.10
2020-04-29 16:00:00+00:00,198.69
2020-04-29 17:00:00+00:00,314.70
2020-04-29 18:00:00+00:00,411.87
2020-04-29 19:00:00+00:00,677.64
2020-04-29 20:00:00+00:00,703.52
2020-04-29 21:00:00+00:00,712.32
2020-04-29 22:00:00+00:00,710.24
2020-04-29 23:00:00+00:00,756.14
2020-04-30 00:00:00+00:00,865.01
2020-04-30 01:00:00+00:00,816.72
2020-04-30 02:00:00+00:00,
2020-04-30 03:00:00+00:00,454.99
2020-04-30 04:00:00+00:00,130.03
2020-04-30 05:00:00+00:00,52.51
2020-04-30 06:00:00+00:00,32.46
2020-04-30 07:00:00+00:00,32.36
2020-04-30 08:00:00+00:00,42.71
2020-04-30 09:00:00+00:00,53.91
2020-04-30 10:00:00+00:00,23.37
