datahora,q_m3s
2020-04-28 03:00:00+00:00,32.09
2020-04-28 04:00:00+00:00,32.14
2020-04-28 05:00:00+00:00,32.23
2020-04-28 06:00:00+00:00,31.54
2020-04-28 07:00:00+00:00,31.44
2020-04-28 08:00:00+00:00,30.76
2020-04-28 09:00:00+00:00,29.92
2020-04-28 10:00:00+00:00,29.65
2020-04-28 11:00:00+00:00,28.66
2020-04-28 12:00:00+00:00,28.07
2020-04-28 13:00:00+00:00,27.48
2020-04-28 14:00:00+00:00,26.93
2020-04-28 15:00:00+00:00,
2020-04-28 16:00:00+00:00,20.97
2020-04-28 17:00:00+00:00,17.68
2020-04-28 18:00:00+00:00,14.90
2020-04-28 19:00:00+00:00,
2020-04-28 20:00:00+00:00,
2020-04-28 21:00:00+00:00,
2020-04-28 22:00:00+00:00,11.52
2020-04-28 23:00:00+00:00,10.36
2020-04-29 00:00:00+00:00,9.62
2020-04-29 01:00:00+00:00,12.39
2020-04-29 02:00:00+00:00,
2020-04-29 03:00:00+00:00,22.40
2020-04-29 04:00:00+00:00,27.37
2020-04-29 05:00:00+00:00,29.28
2020-04-29 06:00:00+00:00,28.96
2020-04-29 07:00:00+00:00,28.55
2020-04-29 08:00:00+00:00,27.93
2020-04-29 09:00:00+00:00,27.11
2020-04-29 10:00:00+00:00,26.25
2020-04-29 11:00:00+00:00,25.46
2020-04-29 12:00:00+00:00,24.89
2020-04-29 13:00:00+00:00,24.39
2020-04-29 14:00:00+00:00,
2020-04-29 15:00:00+00:00,21.43
2020-04-29 16:00:00+00:00,18.29
2020-04-29 17:00:00+00:00,15.27
2020-04-29 18:00:00+00:00,12.07
2020-04-29 19:00:00+00:00,11.25
2020-04-29 20:00:00+00:00,11.05
2020-04-29 21:00:00+00:00,10.76
2020-04-29 22:00:00+00:00,10.59
2020-04-29 23:00:00+00:00,10.29
2020-04-30 00:00:00+00:00,
2020-04-30 01:00:00+00:00,9.34
2020-04-30 02:00:00+00:00,8.78
2020-04-30 03:00:00+00:00,8.23
2020-04-30 04:00:00+00:00,7.76
2020-04-30 05:00:00+00:00,7.44
2020-04-30 06:00:00+00:00,7.27
2020-04-30 07:00:00+00:00,7.10
2020-04-30 08:00:00+00:00,7.02
2020-04-30 09:00:00+00:00,7.00
2020-04-30 10:00:00+00:00,6.92
2020-04-30 11:00:00+00:00,6.96
2020-04-30 12:00:00+00:00,6.91
2020-04-30 13:00:00+00:00,6.74
2020-04-30 14:00:00+00:00,6.32
2020-04-30 15:00:00+00:00,10.34
2020-04-30 16:00:00+00:00,14.71
2020-04-30 17:00:00+00:00,18.76
2020-04-30 18:00:00+00:00,22.29
2020-04-30 19:00:00+00:00,20.57
2020-04-30 20:00:00+00:00,18.42
2020-04-30 21:00:00+00:00,
2020-04-30 22:00:00+00:00,
2020-04-30 23:00:00+00:00,10.26
2020-05-01 00:00:00+00:00,
2020-05-01 01:00:00+00:00,15.64
2020-05-01 02:00:00+00:00,17.94
2020-05-01 03:00:00+00:00,18.00
2020-05-01 04:00:00+00:00,16.12
2020-05-01 05:00:00+00:00,12.79
2020-05-01 06:00:00+00:00,10.30
2020-05-01 07:00:00+00:00,7.97
2020-05-01 08:00:00+00:00,6.43
2020-05-01 09:00:00+00:00,6.14
2020-05-01 10:00:00+00:00,6.42
2020-05-01 11:00:00+00:00,6.46
2020-05-01 12:00:00+00:00,6.23
2020-05-01 13:00:00+00:00,5.93
2020-05-01 14:00:00+00:00,6.06
2020-05-01 15:00:00+00:00,
2020-05-01 16:00:00+00:00,9.81
2020-05-01 17:00:00+00:00,9.05
2020-05-01 18:00:00+00:00,11.58
2020-05-01 19:00:00+00:00,10.33
2020-05-01 20:00:00+00:00,8.91
2020-05-01 21:00:00+00:00,7.50
2020-05-01 22:00:00+00:00,7.12
2020-05-01 23:00:00+00:00,
2020-05-02 00:00:00+00:00,14.06
2020-05-02 01:00:00+00:00,
2020-05-02 02:00:00+00:00,21.77
2020-05-02 03:00:00+00:00,22.23
2020-05-02 04:00:00+00:00,20.88
2020-05-02 05:00:00+00:00,20.07
2020-05-02 06:00:00+00:00,17.41
2020-05-02 07:00:00+00:00,14.95
2020-05-02 08:00:00+00:00,12.86
2020-05-02 09:00:00+00:00,10.65
2020-05-02 10:00:00+00:00,10.80
2020-05-02 11:00:00+00:00,11.09
2020-05-02 12:00:00+00:00,11.22
2020-05-02 13:00:00+00:00,10.82
2020-05-02 14:00:00+00:00,
2020-05-02 15:00:00+00:00,9.51
2020-05-02 16:00:00+00:00,8.63
2020-05-02 17:00:00+00:00,8.13
2020-05-02 18:00:00+00:00,7.25
2020-05-02 19:00:00+00:00,6.32
2020-05-02 20:00:00+00:00,
2020-05-02 21:00:00+00:00,3.54
