datahora,q_m3s
2020-04-28 03:00:00+00:00,260.10
2020-04-28 04:00:00+00:00,427.62
2020-04-28 05:00:00+00:00,18.18
2020-04-28 06:00:00+00:00,
2020-04-28 07:00:00+00:00,
2020-04-28 08:00:00+00:00,
2020-04-28 09:00:00+00:00,83.16
2020-04-28 10:00:00+00:00,111.06
2020-04-28 11:00:00+00:00,101.74
2020-04-28 12:00:00+00:00,
2020-04-28 13:00:00+00:00,83.10
2020-04-28 14:00:00+00:00,207.26
2020-04-28 15:00:00+00:00,182.55
2020-04-28 16:00:00+00:00,280.00
2020-04-28 17:00:00+00:00,421.64
2020-04-28 18:00:00+00:00,430.98
2020-04-28 19:00:00+00:00,458.93
2020-04-28 20:00:00+00:00,589.23
2020-04-28 21:00:00+00:00,633.06
2020-04-28 22:00:00+00:00,611.24
2020-04-28 23:00:00+00:00,635.94
2020-04-29 00:00:00+00:00,688.57
2020-04-29 01:00:00+00:00,688.10
2020-04-29 02:00:00+00:00,613.72
2020-04-29 03:00:00+00:00,557.95
2020-04-29 04:00:00+00:00,446.32
2020-04-29 05:00:00+00:00,223.01
2020-04-29 06:00:00+00:00,111.34
2020-04-29 07:00:00+00:00,111.32
2020-04-29 08:00:00+00:00,102.00
2020-04-29 09:00:00+00:00,27.54
2020-04-29 10:00:00+00:00,92.66
2020-04-29 11:00:00+00:00,120.56
2020-04-29 12:00:00+00:00,
2020-04-29 13:00:00+00:00,84.58
2020-04-29 14:00:00+00:00,264.51
2020-04-29 15:00:00+00:00,276.95
2020-04-29 16:00:00+00:00,402.28
2020-04-29 17:00:00+00:00,440.14
2020-04-29 18:00:00+00:00,449.48
2020-04-29 19:00:00+00:00,583.85
2020-04-29 20:00:00+00:00,709.43
2020-04-29 21:00:00+00:00,630.51
2020-04-29 22:00:00+00:00,613.07
2020-04-29 23:00:00+00:00,562.99
2020-04-30 00:00:00+00:00,648.35
2020-04-30 01:00:00+00:00,567.58
2020-04-30 02:00:00+00:00,353.60
2020-04-30 03:00:00+00:00,372.24
2020-04-30 04:00:00+00:00,232.67
2020-04-30 05:00:00+00:00,111.70
2020-04-30 06:00:00+00:00,83.78
2020-04-30 07:00:00+00:00,102.38
2020-04-30 08:00:00+00:00,120.99
2020-04-30 09:00:00+00:00,27.93
2020-04-30 10:00:00+00:00,120.97
2020-04-30 11:00:00+00:00,120.97
2020-04-30 12:00:00+00:00,
2020-04-30 13:00:00+00:00,66.74
2020-04-30 14:00:00+00:00,278.89
2020-04-30 15:00:00+00:00,444.51
2020-04-30 16:00:00+00:00,401.33
2020-04-30 17:00:00+00:00,551.84
2020-04-30 18:00:00+00:00,589.15
2020-04-30 19:00:00+00:00,524.02
2020-04-30 20:00:00+00:00,542.64
2020-04-30 21:00:00+00:00,616.08
2020-04-30 22:00:00+00:00,541.59
2020-04-30 23:00:00+00:00,569.56
2020-05-01 00:00:00+00:00,699.92
2020-05-01 01:00:00+00:00,618.04
2020-05-01 02:00:00+00:00,546.39
2020-05-01 03:00:00+00:00,437.06
2020-05-01 04:00:00+00:00,253.25
2020-05-01 05:00:00+00:00,160.71
2020-05-01 06:00:00+00:00,104.45
2020-05-01 07:00:00+00:00,57.92
2020-05-01 08:00:00+00:00,48.60
2020-05-01 09:00:00+00:00,113.73
2020-05-01 10:00:00+00:00,67.20
2020-05-01 11:00:00+00:00,85.80
2020-05-01 12:00:00+00:00,104.40
2020-05-01 13:00:00+00:00,39.26
2020-05-01 14:00:00+00:00,39.24
2020-05-01 15:00:00+00:00,20.62
2020-05-01 16:00:00+00:00,76.44
2020-05-01 17:00:00+00:00,67.13
2020-05-01 18:00:00+00:00,95.04
2020-05-01 19:00:00+00:00,104.34
2020-05-01 20:00:00+00:00,42.27
2020-05-01 21:00:00+00:00,100.34
2020-05-01 22:00:00+00:00,134.99
2020-05-01 23:00:00+00:00,216.24
2020-05-02 00:00:00+00:00,481.23
2020-05-02 01:00:00+00:00,507.33
2020-05-02 02:00:00+00:00,314.47
2020-05-02 03:00:00+00:00,214.59
2020-05-02 04:00:00+00:00,132.62
2020-05-02 05:00:00+00:00,57.74
2020-05-02 06:00:00+00:00,67.04
2020-05-02 07:00:00+00:00,141.48
2020-05-02 08:00:00+00:00,141.48
2020-05-02 09:00:00+00:00,11.19
2020-05-02 10:00:00+00:00,113.54
2020-05-02 11:00:00+00:00,122.84
2020-05-02 12:00:00+00:00,11.17
2020-05-02 13:00:00+00:00,29.76
2020-05-02 14:00:00+00:00,48.36
2020-05-02 15:00:00+00:00,85.58
2020-05-02 16:00:00+00:00,39.04
2020-05-02 17:00:00+00:00,41.47
2020-05-02 18:00:00+00:00,122.25
2020-05-02 19:00:00+00:00,92.65
2020-05-02 20:00:00+00:00,127.48
2020-05-02 21:00:00+00:00,76.22
2020-05-02 22:00:00+00:00,160.70
2020-05-02 23:00:00+00:00,290.46
2020-05-03 00:00:00+00:00,289.79
2020-05-03 01:00:00+00:00,488.51
2020-05-03 02:00:00+00:00,490.72
2020-05-03 03:00:00+00:00,418.47
2020-05-03 04:00:00+00:00,364.98
2020-05-03 05:00:00+00:00,11.03
2020-05-03 06:00:00+00:00,187.85
2020-05-03 07:00:00+00:00,66.87
2020-05-03 08:00:00+00:00,29.64
2020-05-03 09:00:00+00:00,122.69
2020-05-03 10:00:00+00:00,94.77
2020-05-03 11:00:00+00:00,66.84
2020-05-03 12:00:00+00:00,20.30
2020-05-03 13:00:00+00:00,57.51
2020-05-03 14:00:00+00:00,48.20
2020-05-03 15:00:00+00:00,
2020-05-03 16:00:00+00:00,48.17
2020-05-03 17:00:00+00:00,66.77
2020-05-03 18:00:00+00:00,38.84
