idBacia,bacia,nome,tipo,codigo_banco,area_incremental
01_Rio_Negro,1,'Rio Negro',estacao,26064948,3461
02_Porto_Amazonas,2,'Porto Amazonas',estacao,25334953,3624
03_Sao_Bento,3,'Sao Bento',estacao,25564947,2003
04_Pontilhao,4,'Pontilhao',estacao,25555031,2209
05_Santa_Cruz_do_Timbo,5,'Santa Cruz do Timbo',estacao,26125049,2605
06_Sao_Mateus_do_Sul,6,'Sao Mateus do Sul',estacao,25525023,2411
07_Divisa,7,'Divisa',estacao,26055019,2590
08_Fluviopolis,8,'Fluviopolis',estacao,26025035,2287
09_Uniao_da_Vitoria,9,'Uniao da Vitoria',estacao,26145104,3029
10_Madeireira_Gavazzoni,10,'Madeireira Gavazzoni',estacao,25485116,978
11_Jangada,11,'Jangada',estacao,26225115,1004
12_Foz_do_Areia,12,'Foz do Areia',uhe,1,3954
13_Solais_Novo,13,'Solais Novo',estacao,26055155,1654
14_Porto_Santo_Antonio,14,'Porto Santo Antonio',estacao,25235306,1083
15_Aguas_do_Vere,15,'Aguas do Vere',estacao,25465256,6694,
16_Segredo,16,'Segredo',uhe,24,2578
17_Foz_do_Chopim,17,'Foz do Chopim',uhe,6,771
18_Santa_Clara,18,'Santa Clara',uhe,31,3910
19_Salto_Caxias,19,'Salto Caxias',uhe,20,10239
20_Porto_Capanema,20,'Porto Capanema',estacao,25345435,6801
21_Hotel_Cataratas,21,'Hotel Cataratas',estacao,25685442,2981
