idBacia,bacia,nome,tipo,codigo_banco,area_incremental,b_montante
01_Rio_Negro,1,'Rio Negro',estacao,26064948,3461,n
02_Porto_Amazonas,2,'Porto Amazonas',estacao,25334953,3624,n
03_Sao_Bento,3,'Sao Bento',estacao,25564947,2003,n
04_Pontilhao,4,'Pontilhao',estacao,25555031,2209,n
05_Santa_Cruz_do_Timbo,5,'Santa Cruz do Timbo',estacao,26125049,2605,n
06_Sao_Mateus_do_Sul,6,'Sao Mateus do Sul',estacao,25525023,2411,s
07_Divisa,7,'Divisa',estacao,26055019,2590,s
08_Fluviopolis,8,'Fluviopolis',estacao,26025035,2287,s
09_Uniao_da_Vitoria,9,'Uniao da Vitoria',estacao,26145104,3029,s
10_Madeireira_Gavazzoni,10,'Madeireira Gavazzoni',estacao,25485116,978,n
11_Jangada,11,'Jangada',estacao,26225115,1004,n
13_Solais_Novo,13,'Solais Novo',estacao,26055155,1654,n
14_Porto_Santo_Antonio,14,'Porto Santo Antonio',estacao,25235306,1083,n
15_Aguas_do_Vere,15,'Aguas do Vere',estacao,25465256,6694,n
