field_1,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
"3","25615165",Guarapuavinha,ELEJOR,H,-51.67591,-25.59652,866,2006/07/13
"126","26105047",Foz do Timbó,Simepar,H,-50.89522,-26.29452,0,1997/06/01
"141","26175039",CANOINHAS- Prefeitura Municipal,CEMADEN,P,-50.39492,-26.17522,,2015/02/24
"191","25075038",Uvaia,Maua,H,-50.38847,-25.07553,,2013/06/20
"240","26235107",UNIÃO DA VITÓRIA- Sagrada Familia,CEMADEN,P,-51.069,-26.232,,2014/07/25
"259","26255110",UNIÃO DA VITÓRIA - Rio da Praia,CEMADEN,P,-51.1,-26.251,,2014/07/25
"380","26005139",Foz do Areia,Simepar,H,-51.66754,-26.00639,728.2,1998/03/06
"508","26025035",Fluviopolis,Simepar,H,-50.5833,-26.0333,0,1997/06/01
"542","25555031",Pontilhão,Simepar,H,-50.5166,-25.9166,0,1997/06/01
"544","25485116",Madeireira Gavazzoni,Simepar,H,-51.22884,-25.80682,0,1997/06/11
"547","25505036",Teixeira Soares,Epagri/Ciram,P,-50.36111,-25.50528,1016.08,2009/07/08
"570","26025109",Palmital do Meio,Simepar,H,-51.14149,-26.02999,0,1997/06/01
"579","25435059",Fernandes Pinheiro / Irati,Iapar,M,-50.59503,-25.44331,872,2015/08/01
"605","25385149",Guarapuava,Iapar,M,-51.49391,-25.38495,1029,2015/08/01
"630","25865037",SÃO MATEUS DO SUL- Pinheirinho,CEMADEN,P,-50.37159,-25.86249,,2016/02/19
"645","26005167",UHGBM - Canal Fuga,Simepar,H,-51.66995,-26.00673,914,2010/05/05
"743","26065150",Bituruna,Simepar,H,-51.5083,-26.0639,720,2011/04/15
"912","26435132",GENERAL CARNEIRO - Centro,CEMADEN,P,-51.317,-26.428,,2014/07/25
"984","26245108",PORTO UNIÃO - Centro,CEMADEN,P,-51.084,-26.236,,2014/07/25
"1272","26055139",Foz do Areia,Simepar,M,-51.6679,-26.0037,780,1997/06/01
"1522","25325149",Salto Curucaca,ELEJOR,H,-51.81917,-25.53636,762,2006/07/27
"1527","24565023",PCH Salto Mauá Montante,Klabin,H,-50.3908,-24.9475,759,2003/07/24
"1631","25835036",São Mateus do Sul,Inmet,M,-50.36899,-25.8356,780.21,2011/04/16
"1709","25105056",Barragem UHE Rio dos Patos,Simepar,H,-50.94092,-25.17614,719,2008/11/13
"1897","26145103",União da Vitória,Simepar,M,-51.06827,-26.22825,756.53,1997/06/01
"1939","23365141",Guarapuavinha Novo,ELEJOR,H,-51.65317,-25.61192,866,2014/05/22
"1972","25005051",Ivaí,Inmet,M,-50.85385,-25.01076,803.58,2006/07/12
"2365","25215098",PRUDENTÓPOLIS - Bombeiro Comunitário,CEMADEN,P,-50.97847,-25.21334,,2015/02/25
"2545","26245080",IRINEÓPOLIS- Hospital Municipal Bom Jesus,CEMADEN,P,-50.80416,-26.23987,,2015/03/06
"2617","25315119",Serra da Esperança,Caminhos do Paraná,P,-51.19687,-25.31566,964,2013/03/01
"2738","25475066",IRATI - Centro,CEMADEN,P,-50.65887,-25.47186,,2015/02/24
"2811","26105114",Porto Vitória,Simepar,H,-51.2333,-26.1666,0,1997/06/01
"3026","25335105",Inácio Martins,Inmet,M,-51.07795,-25.56788,1208.85,2006/10/16
"3122","26395036",Major Vieira,Inmet,M,-50.36321,-26.39366,799.58,2009/02/10
"3221","26445135",General Carneiro,Inmet,M,-51.35367,-26.39847,1009.01,2008/04/10
"3225","25445068",Praça de Irati,Caminhos do Paraná,P,-50.68119,-25.4444,966,2013/03/01
"3226","25155054",Praça de Imbituva,Caminhos do Paraná,P,-50.54213,-25.15736,925,2013/03/25
"3263","25525023",São Mateus do Sul,Simepar,H,-50.38755,-25.87702,0,1997/06/01
"3268","26145104",União da Vitória,Simepar,H,-51.08059,-26.22772,749,1997/06/01
"3269","25485173",Fazenda Aurora,ELEJOR,H,-51.73786,-25.4879,,2015/04/10
"3349","25215130",Guarapuava,Simepar,M,-51.4935,-25.3845,1070,1997/06/01
"3355","25335129",Entre Rios,Simepar,M,-51.4884,-25.5459,1095,2001/01/17
"3735","26225115",Jangada,Simepar,H,-51.25,-26.3666,1046,1997/06/01
"3767","25455163",Foz Do Rio Coutinho,Águas Paraná,H,-51.63583,-25.45278,,2014/02/03
"3788","25445144",Foz Do Rio Bananas,Águas Paraná,H,-51.44681,-25.44458,,2014/02/03
"4462","25465053",Eta Irati,Águas Paraná,H,-50.53306,-25.46417,,2014/02/04
"4467","25395143",Eta Guarapuava,Águas Paraná,H,-51.43653,-25.39914,,2014/02/04
"4469","25235096",Prudentópolis Capt. Sanepar,Águas Paraná,H,-50.96083,-25.23722,,2014/02/20
"4492","25275035",Fernandes Pinheiro,Simepar,M,-50.5839,-25.4532,893,1998/11/28
"4578","26225049",MB-Canoinhas - KURPIEL,Epagri/Ciram,H,-50.49222,-26.22139,779,2014/01/01
"4984","25405149",GUARAPUAVA - Vila Bela,CEMADEN,P,-51.49242,-25.40131,,2015/02/25
"4985","25365143",GUARAPUAVA - Imovel Morro Alto,CEMADEN,P,-51.43377,-25.35533,,2015/02/24
"5061","25885042",SÃO MATEUS DO SUL - SaoMateus02,CEMADEN,P,-50.41684,-25.88059,,2016/02/19
"5185","26235108",PORTO UNIÃO - Centro,CEMADEN,P,-51.084,-26.236,,2017/09/03
"4","26355045",Foz do Cachoeira,Simepar,H,-50.75,-26.5833,0,1997/06/01
"153","25495200",Barragem Usina Fundão,ELEJOR,H,-52.00288,-25.70366,713,2006/08/11
"154","25385156",Barragem Usina Santa Clara,ELEJOR,H,-51.9553,-25.64386,817,2006/08/24
"385","26715150",Água Doce - Trento,Epagri/Ciram,M,-51.5,-26.71,,2015/04/08
"404","26475197",Palmas,Iapar,M,-51.97467,-26.46711,1093,2015/12/11
"471","26815098",Caçador,Epagri/Ciram,M,-50.985,-26.81861,960,2015/04/09
"519","26775202",Coronel Passos Maia,Epagri/Ciram,H,-52.025,-26.77278,840,2008/01/01
"523","26825087",Caçador,Epagri/Ciram,H,-50.87,-26.82167,960,2008/01/01
